u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,tunnel,bridge,maxspeed,access
409391960,9000013660,0,34900347,银桂道,residential,False,True,34.363,"LINESTRING (114.0551493 22.5184954, 114.0551658 22.5184286, 114.0551736 22.5184091, 114.0551823 22.5183873, 114.0552344 22.5181968)",,,,,
409391960,409391961,0,996188191,福强路,primary,True,False,352.236,"LINESTRING (114.0551493 22.5184954, 114.0558 22.5186699, 114.0562616 22.5187963, 114.0568346 22.5189704, 114.0575045 22.5192154, 114.0581053 22.5194691, 114.058361 22.5195872)",3,,,,
409391961,8195511764,0,816544581,金桂道,residential,False,False,37.318,"LINESTRING (114.058361 22.5195872, 114.0584065 22.5194484, 114.0585025 22.5192797)",2,,,,
409391961,1783922636,0,"[996181410, 996181423]",福强路,primary,True,False,78.823,"LINESTRING (114.058361 22.5195872, 114.0585549 22.5196793, 114.0589254 22.519861, 114.0590416 22.5199146)",3,,,,
409391968,409391970,0,816544581,金桂道,residential,False,False,77.583,"LINESTRING (114.058956 22.5184802, 114.0593271 22.5178725)",2,,,,
409391968,8195511764,0,816544581,金桂道,residential,False,True,100.365,"LINESTRING (114.058956 22.5184802, 114.0585025 22.5192797)",2,,,,
409391970,409391968,0,816544581,金桂道,residential,False,True,77.583,"LINESTRING (114.0593271 22.5178725, 114.058956 22.5184802)",2,,,,
409391970,2268825369,0,46898356,菩提路,tertiary,False,False,443.14799999999997,"LINESTRING (114.0593271 22.5178725, 114.0585748 22.5173583, 114.0572028 22.5165731, 114.0569399 22.516414, 114.05655 22.5161965, 114.0556914 22.5157327)",2,,,,
409391983,8195511757,0,881161574,,residential,False,False,119.513,"LINESTRING (114.0580905 22.5179267, 114.0575384 22.5188728)",,,,,
409391983,409391968,0,819859494,丹桂路,residential,True,False,108.15,"LINESTRING (114.0580905 22.5179267, 114.0583431 22.5180789, 114.0586576 22.5182796, 114.058956 22.5184802)",2,,,,
503304240,7626252432,0,996188214,福强路,primary,True,False,50.689,"LINESTRING (114.0508536 22.5182565, 114.0503615 22.5182906)",3,,,,
503304240,503304245,0,1051282785,益田路,secondary,True,False,12.68,"LINESTRING (114.0508536 22.5182565, 114.0508355 22.5181437)",3,,,,
503304245,598724289,0,1051282784,福强路,primary,True,False,13.348,"LINESTRING (114.0508355 22.5181437, 114.0509652 22.5181363)",3,,,,
503304245,7626252440,0,1051282785,益田路,secondary,True,False,47.079,"LINESTRING (114.0508355 22.5181437, 114.050819 22.518041, 114.0508121 22.5179982, 114.0507544 22.5177271)",3,,,,
503304404,2268825364,0,996188191,福强路,primary,True,False,166.436,"LINESTRING (114.0514049 22.5181294, 114.0518653 22.5181324, 114.0524129 22.5181432, 114.0530238 22.5181799)",3,,,,
503304577,9757737411,0,1051282796,福强路,primary,True,False,55.957,"LINESTRING (114.0515255 22.5182175, 114.0509817 22.5182475)",3,,,,
503304577,8167985814,0,996181404,,primary_link,True,False,81.286,"LINESTRING (114.0515255 22.5182175, 114.0513555 22.5182532, 114.0512324 22.5183106, 114.0511448 22.5183874, 114.0510823 22.5184725, 114.0510407 22.5185664, 114.0510162 22.5186911)",1,,,,
503304588,8167985697,0,97520170,石厦‎街,tertiary,False,True,138.708,"LINESTRING (114.0485994 22.5185016, 114.0485982 22.518632, 114.0485977 22.5186868, 114.0485939 22.5189138, 114.0485799 22.5197489)",,,,,
503304588,6410194600,0,996181406,福强路,primary,True,False,278.27,"LINESTRING (114.0485994 22.5185016, 114.0482744 22.5185769, 114.0479644 22.5186436, 114.047652 22.5187149, 114.0473221 22.5187993, 114.0470031 22.5188871, 114.0466469 22.5189854, 114.0463279 22.5190862, 114.0459993 22.5191971)",3,,,,
598723406,2268825369,0,46898356,菩提路,tertiary,False,True,99.332,"LINESTRING (114.0548566 22.5152818, 114.0556914 22.5157327)",2,,,,
