u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
358334079,1480669310,0,240804160,3,文錦渡路 Man Kam To Road,secondary,False,True,236.417,"LINESTRING (114.1261684 22.5164174, 114.1260963 22.5166823, 114.1259966 22.5169293, 114.1259349 22.5170696, 114.125808 22.5172825, 114.1255425 22.5176127, 114.1253882 22.5178648, 114.1251364 22.5183006)",
358334079,2609923032,0,"[255289123, 31976916, 255289118]",3,"['文錦渡路 Man Kam To Road', '馬會道 Jockey Club Road']",secondary,False,False,108.486,"LINESTRING (114.1261684 22.5164174, 114.1261892 22.5163355, 114.1262719 22.515639, 114.1262923 22.5154491)",yes
358334079,1091173484,0,510537700,2,,unclassified,False,False,50.169000000000004,"LINESTRING (114.1261684 22.5164174, 114.1263102 22.5164266, 114.1265651 22.5164432, 114.1266558 22.5164454)",
637864113,637864759,0,722711546,,寶運路 Po Wan Road,tertiary,False,False,44.02,"LINESTRING (114.1248422 22.5131462, 114.1252707 22.5131513)",
637864113,637864115,0,50177976,,,unclassified,False,False,71.70100000000001,"LINESTRING (114.1248422 22.5131462, 114.1248779 22.5129108, 114.1249067 22.5125962, 114.1249049 22.5125373, 114.1248871 22.5125093)",
637864113,6779293991,0,722711546,,寶運路 Po Wan Road,tertiary,False,True,230.33500000000004,"LINESTRING (114.1248422 22.5131462, 114.1244865 22.5131021, 114.1239454 22.512966, 114.123564 22.5128331, 114.1229791 22.512563, 114.1227465 22.5124534)",
637864115,637864113,0,50177976,,,unclassified,False,True,71.701,"LINESTRING (114.1248871 22.5125093, 114.1249049 22.5125373, 114.1249067 22.5125962, 114.1248779 22.5129108, 114.1248422 22.5131462)",
637864115,1606825071,0,759964884,,,residential,False,False,271.46999999999997,"LINESTRING (114.1248871 22.5125093, 114.1244147 22.5122327, 114.1237885 22.5118525, 114.1231195 22.5114416, 114.1226414 22.5112287)",
637864458,8857061474,0,31976915,3,馬會道 Jockey Club Road,secondary,False,False,16.486,"LINESTRING (114.1262653 22.5139014, 114.126221 22.5137589)",
637864458,2609923032,0,"[31976915, 255289118]",3,馬會道 Jockey Club Road,secondary,False,True,172.994,"LINESTRING (114.1262653 22.5139014, 114.1263132 22.5141626, 114.126344 22.5144004, 114.1263473 22.514884, 114.1263487 22.5149329, 114.1262923 22.5154491)",
637864759,637864113,0,722711546,,寶運路 Po Wan Road,tertiary,False,True,44.02,"LINESTRING (114.1252707 22.5131513, 114.1248422 22.5131462)",
637864759,6779294001,0,722711547,,寶運路 Po Wan Road,tertiary,True,False,87.50900000000001,"LINESTRING (114.1252707 22.5131513, 114.1256019 22.5131498, 114.1259708 22.513124, 114.125997 22.5131234, 114.1261215 22.5131204)",
1091173484,4129882693,0,93870001,2,,unclassified,False,False,454.92999999999995,"LINESTRING (114.1266558 22.5164454, 114.1266912 22.5163954, 114.1267104 22.5163702, 114.126767 22.5163495, 114.1274443 22.5163881, 114.1276307 22.5164329, 114.1280143 22.5164282, 114.1282593 22.5164048, 114.1285076 22.5163704, 114.1290403 22.5162117, 114.1291886 22.5161675, 114.1299709 22.5158866, 114.1307144 22.5155385, 114.1308191 22.5154683)",
1091173484,4995349522,0,447922062,1,,residential,False,False,583.601,"LINESTRING (114.1266558 22.5164454, 114.1272941 22.5164845, 114.1284711 22.5165558, 114.1294651 22.5167361, 114.1302111 22.5167887, 114.1307763 22.5168394, 114.1311767 22.5168439, 114.1317519 22.5168938, 114.1320695 22.5169183, 114.1323044 22.5169433)",
1091173484,358334079,0,510537700,2,,unclassified,False,True,50.169,"LINESTRING (114.1266558 22.5164454, 114.1265651 22.5164432, 114.1263102 22.5164266, 114.1261684 22.5164174)",
1480669310,3557993862,0,240804160,3,文錦渡路 Man Kam To Road,secondary,False,True,6.298,"LINESTRING (114.1251364 22.5183006, 114.125108 22.5183508)",
1480669310,7892787444,0,134713231,2,虎地坳道 Fu Tei Au Road,unclassified,False,False,436.889,"LINESTRING (114.1251364 22.5183006, 114.1250319 22.5182508, 114.1249942 22.5182309, 114.1249225 22.5181975, 114.1248637 22.5181701, 114.1246987 22.5181127, 114.1245971 22.5180782, 114.1245201 22.5180566, 114.124422 22.5180415, 114.1240578 22.5180059, 114.1233691 22.5179566, 114.1231815 22.5179452, 114.1231072 22.5179472, 114.122886 22.5179533, 114.1227869 22.5179538, 114.1227469 22.5179511, 114.1227037 22.5179481, 114.1226236 22.5179382, 114.1225311 22.517914, 114.1224741 22.5178955, 114.122398 22.5178519, 114.1223116 22.5177863, 114.1222427 22.5177108, 114.1221738 22.5176137, 114.1221376 22.517549, 114.1221154 22.5174929, 114.1221014 22.5174347, 114.1218854 22.5166475)",
1480669310,358334079,0,240804160,3,文錦渡路 Man Kam To Road,secondary,False,False,236.41700000000003,"LINESTRING (114.1251364 22.5183006, 114.1253882 22.5178648, 114.1255425 22.5176127, 114.125808 22.5172825, 114.1259349 22.5170696, 114.1259966 22.5169293, 114.1260963 22.5166823, 114.1261684 22.5164174)",
1606825071,637864115,0,759964884,,,residential,False,True,271.47,"LINESTRING (114.1226414 22.5112287, 114.1231195 22.5114416, 114.1237885 22.5118525, 114.1244147 22.5122327, 114.1248871 22.5125093)",
2609923032,637864458,0,"[31976915, 255289118]",3,馬會道 Jockey Club Road,secondary,False,False,172.994,"LINESTRING (114.1262923 22.5154491, 114.1263487 22.5149329, 114.1263473 22.514884, 114.126344 22.5144004, 114.1263132 22.5141626, 114.1262653 22.5139014)",
2609923032,637864458,1,255289269,1,,unclassified,True,False,202.49999999999997,"LINESTRING (114.1262923 22.5154491, 114.1264124 22.5154522, 114.1265036 22.51542, 114.1265801 22.5153346, 114.1265975 22.5152751, 114.1265881 22.5151747, 114.1265184 22.515057, 114.1264862 22.5149158, 114.1264821 22.5148491, 114.1264757 22.5147447, 114.1264151 22.5141564, 114.1263756 22.5139884, 114.1262653 22.5139014)",
2609923032,358334079,0,"[255289123, 31976916, 255289118]",3,"['文錦渡路 Man Kam To Road', '馬會道 Jockey Club Road']",secondary,False,True,108.486,"LINESTRING (114.1262923 22.5154491, 114.1262719 22.515639, 114.1261892 22.5163355, 114.1261684 22.5164174)",yes
3557993862,1480669310,0,240804160,3,文錦渡路 Man Kam To Road,secondary,False,False,6.298,"LINESTRING (114.125108 22.5183508, 114.1251364 22.5183006)",
