u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,tunnel
352965781,1491845092,0,1067522792,新洲三街,tertiary,False,False,237.769,"LINESTRING (114.0385653 22.5273745, 114.0383133 22.5295001)",,,,
352965781,352965797,0,31542519,新洲三街,tertiary,False,True,220.589,"LINESTRING (114.0385653 22.5273745, 114.0386686 22.526551, 114.0387881 22.5254015)",,,,
352965781,1491845065,0,1067522793,新洲九街,tertiary,False,False,116.207,"LINESTRING (114.0385653 22.5273745, 114.0384311 22.5273873, 114.0374399 22.527482)",,,,
352965797,2042400930,0,31542519,新洲三街,tertiary,False,True,121.84,"LINESTRING (114.0387881 22.5254015, 114.0388935 22.5243101)",,,,
352965797,352965781,0,31542519,新洲三街,tertiary,False,False,220.589,"LINESTRING (114.0387881 22.5254015, 114.0386686 22.526551, 114.0385653 22.5273745)",,,,
352965797,2042400943,0,193721705,新洲七街,residential,False,False,257.072,"LINESTRING (114.0387881 22.5254015, 114.0376569 22.525275, 114.0364797 22.5259103)",2,30,,
498857670,9660848480,0,1051307468,沙嘴路,secondary,True,False,15.155,"LINESTRING (114.0325917 22.5263526, 114.0325132 22.5262372)",,,,
498857670,6020564532,0,1067522798,福强路,primary,True,False,50.396,"LINESTRING (114.0325917 22.5263526, 114.0321693 22.5265832)",3,,,
498857685,498877530,0,843561047,福强路,primary,True,False,96.953,"LINESTRING (114.0287734 22.5284642, 114.0283935 22.5287125, 114.0280019 22.5289666)",3,,,
498877494,498857670,0,1067522798,福强路,primary,True,False,14.34,"LINESTRING (114.0327119 22.526287, 114.0325917 22.5263526)",3,,,
498877494,6020564541,0,1067522791,沙嘴路,secondary,True,False,48.955,"LINESTRING (114.0327119 22.526287, 114.0327776 22.5263905, 114.0328023 22.5264294, 114.0329494 22.5266687)",,,,
498877530,498857714,0,843561047,福强路,primary,True,False,161.905,"LINESTRING (114.0280019 22.5289666, 114.0275526 22.5292631, 114.0272266 22.529485, 114.0269493 22.5296938, 114.0267647 22.5298648)",3,,,
498877627,9660848462,0,1051282798,新洲三街,tertiary,False,True,15.867,"LINESTRING (114.037575 22.5235996, 114.0374422 22.5235267)",,,,
