u,v,key,osmid,bridge,oneway,highway,reversed,length,lanes,ref,name,geometry,access,maxspeed
500020974,2784845998,0,273649888,yes,True,motorway_link,False,112.187,,,,"LINESTRING (114.0640942 22.5214145, 114.064825 22.5221643)",,
500020974,598508151,0,41019606,yes,True,motorway,False,286.758,3,G4,京港澳高速,"LINESTRING (114.0640942 22.5214145, 114.0646366 22.522095, 114.0649643 22.5225362, 114.0652584 22.5229377, 114.0654315 22.5231809, 114.0656807 22.5235357)",,
500020980,6267508948,0,997152260,yes,True,motorway,False,23.465,3,G4,京港澳高速,"LINESTRING (114.0671417 22.5260982, 114.0672326 22.5262918)",,
500020991,8148654288,0,229396278,,False,residential,False,130.553,2,,福港路,"LINESTRING (114.0631531 22.5297228, 114.0633775 22.5297269, 114.064424 22.5297435)",,
500020999,7707208812,0,41019611,,True,primary,False,20.085,3,,福强路,"LINESTRING (114.0630543 22.5295287, 114.0630578 22.5293481)",,
500021035,7609471531,0,974372190,,True,trunk,False,45.985,3,,皇岗路,"LINESTRING (114.068081 22.5292791, 114.0680352 22.5290177, 114.0680044 22.5288717)",,
503304465,7673048367,0,229396290,,False,residential,False,88.422,,,,"LINESTRING (114.0627656 22.5229418, 114.0635578 22.5226306)",,
503304465,2530287134,0,996181409,,True,primary,False,342.079,3,,福强路,"LINESTRING (114.0627656 22.5229418, 114.0628368 22.5230824, 114.0629338 22.5232964, 114.0630076 22.5234968, 114.0630729 22.5236991, 114.0631277 22.5239177, 114.0631609 22.5240907, 114.0631845 22.5242423, 114.0632027 22.5244125, 114.063217 22.5245906, 114.0632267 22.5247682, 114.0632298 22.5249619, 114.0632305 22.5251558, 114.0632292 22.5253204, 114.0632216 22.52576, 114.0632206 22.5258182, 114.06322 22.5258542, 114.0632183 22.5259538)",,
503304545,503467235,0,1054407549,,True,primary,False,8.726,3,,福强路,"LINESTRING (114.0610099 22.521148, 114.0609403 22.521103)",,
503304545,7893911643,0,996750279,,True,secondary,False,42.065,2,,金田路,"LINESTRING (114.0610099 22.521148, 114.0609806 22.5212032, 114.0609555 22.5212645, 114.0609426 22.521304, 114.060889 22.5215081)",,
503466762,8882319735,0,1036811501,,True,primary,False,6.533,,,福田南路,"LINESTRING (114.0710707 22.5257749, 114.0710906 22.5258307)",,
503466762,3084586786,0,74017041,,True,primary,False,96.88799999999999,,,,"LINESTRING (114.0710707 22.5257749, 114.0711403 22.5257516, 114.0714763 22.5256326, 114.0715315 22.5256088, 114.0715876 22.5255772, 114.0716406 22.5255381, 114.0716878 22.5254881, 114.0718176 22.5252982)",no,
503466762,3084586786,1,845578528,,True,primary_link,False,94.55799999999999,,,,"LINESTRING (114.0710707 22.5257749, 114.0711337 22.5257313, 114.0712147 22.5256753, 114.0712655 22.525649, 114.0714698 22.5255776, 114.0715145 22.5255569, 114.0715681 22.5255256, 114.0716236 22.5254799, 114.0718176 22.5252982)",no,
503467235,1441786493,0,1054407550,,True,secondary,False,6.409,2,,金田路,"LINESTRING (114.0609403 22.521103, 114.0609728 22.5210538)",,
503467235,9666019885,0,1059172722,,True,primary,False,42.43000000000001,3,,福强路,"LINESTRING (114.0609403 22.521103, 114.060823 22.521027, 114.0607779 22.5209978, 114.0606021 22.5208839)",,
