u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
498857809,498877610,0,1051282775,True,S550,滨河大道,trunk,False,245.14399999999998,"LINESTRING (114.0208578 22.5319733, 114.021299 22.5319706, 114.0217661 22.5319519, 114.0221956 22.5319145, 114.0226097 22.5318655, 114.0228963 22.5318206, 114.0232259 22.5317494)",,
498867803,7719526814,0,135913061,True,,滨河大道辅路,primary,False,187.595,"LINESTRING (114.026621 22.5313195, 114.0248562 22.5317543)",1,
498867803,7858813311,0,40953703,True,,车公庙立交,primary_link,False,127.28000000000002,"LINESTRING (114.026621 22.5313195, 114.0264269 22.5314053, 114.0263047 22.5314597, 114.0262266 22.5315001, 114.0261134 22.5315749, 114.0260219 22.5316519, 114.0259589 22.5317157, 114.0258857 22.5317927, 114.0258247 22.5318734, 114.0257678 22.5319636, 114.0257129 22.5320537)",2,
498867870,1491785606,0,1051282765,True,,滨河大道辅路,primary,False,14.535,"LINESTRING (114.0206723 22.5323265, 114.0205309 22.5323211)",,
498867885,7276028445,0,135913061,True,,滨河大道辅路,primary,False,131.661,"LINESTRING (114.022539 22.5322801, 114.022279 22.5323108, 114.021975 22.5323344, 114.021719 22.5323499, 114.0214966 22.5323543, 114.0212609 22.5323506)",1,
498867885,7973259344,0,636701234,False,,泰然七路,tertiary,True,146.17199999999997,"LINESTRING (114.022539 22.5322801, 114.0225755 22.5323894, 114.022706 22.5327568, 114.0227205 22.5328232, 114.0227296 22.5328912, 114.0227331 22.5329472, 114.0227345 22.5330032, 114.0227336 22.5330563, 114.02273 22.5331109, 114.0227231 22.533158, 114.0226649 22.5334492, 114.0226426 22.533561)",2,
498877516,498877542,0,40954715,True,,滨河大道辅路,primary,False,110.908,"LINESTRING (114.0274194 22.5305246, 114.0284678 22.5302857)",,
498877542,498877613,0,40954715,True,,滨河大道辅路,primary,False,96.043,"LINESTRING (114.0284678 22.5302857, 114.0290466 22.5301563, 114.029379 22.5300921)",,
498877561,7616135765,0,40954706,True,,滨河大道辅路,primary,False,102.484,"LINESTRING (114.0213506 22.5317527, 114.0217551 22.5317283, 114.0220473 22.5317096, 114.0223457 22.5316853)",,
498877561,7616135765,1,815469505,True,,,primary_link,False,106.596,"LINESTRING (114.0213506 22.5317527, 114.0215469 22.5316855, 114.0217234 22.5316292, 114.0221809 22.5316101, 114.0223457 22.5316853)",,
498877573,498877516,0,40954715,True,,滨河大道辅路,primary,False,277.528,"LINESTRING (114.0248377 22.5312399, 114.025251 22.5311421, 114.0253561 22.5311133, 114.0254512 22.5310776, 114.0258772 22.5308993, 114.0259843 22.5308615, 114.0261 22.5308297, 114.0274194 22.5305246)",,
498877595,498867885,0,135913061,True,,滨河大道辅路,primary,False,152.995,"LINESTRING (114.0239888 22.531968, 114.0234964 22.53209, 114.023182 22.5321652, 114.0229475 22.5322125, 114.0227394 22.5322491, 114.022539 22.5322801)",1,
498877610,499237384,0,328724256,True,S550,滨河大道,trunk,False,787.968,"LINESTRING (114.0232259 22.5317494, 114.0281732 22.530545, 114.0289038 22.5303859, 114.0292214 22.5303308, 114.0296445 22.5302573, 114.0306843 22.5301136)",,
498877610,6020564649,0,1050532705,True,,滨河大道辅路,primary,False,97.395,"LINESTRING (114.0232259 22.5317494, 114.0234705 22.5316683, 114.0239138 22.5314953, 114.0241068 22.5314258)",,
498877613,6020564601,0,40954715,True,,滨河大道辅路,primary,False,67.875,"LINESTRING (114.029379 22.5300921, 114.0300334 22.530007)",,
498882122,498882128,0,25465074,True,,,primary_link,False,49.531,"LINESTRING (114.0201625 22.5387775, 114.0206443 22.5387576)",,
498882128,8020077971,0,837565287,True,,深南大道辅路,secondary,False,101.83999999999999,"LINESTRING (114.0206443 22.5387576, 114.0213683 22.5388875, 114.0215731 22.5389209, 114.0216185 22.5389283)",2,
499237159,9730051941,0,25423077,True,S550,滨河大道,trunk,False,330.632,"LINESTRING (114.03998 22.5309887, 114.0367848 22.5306267)",,
499237230,9671934765,0,25423077,True,S550,滨河大道,trunk,False,433.461,"LINESTRING (114.029682 22.5304322, 114.0288939 22.5305659, 114.0282099 22.53072, 114.0276015 22.5308696, 114.0255845 22.5313589)",,
