u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,access,bridge
269920080,8109971648,0,640465232,True,2,trunk_link,False,260.429,"LINESTRING (114.0671931 22.5318095, 114.0668773 22.5318287, 114.0664481 22.5318637, 114.0662916 22.531873, 114.0653458 22.5318722, 114.0646606 22.5318959)",,,,,
277933349,7609471566,0,41019786,True,3,trunk,False,60.387,"LINESTRING (114.068191 22.5360075, 114.0681815 22.5365505)",皇岗路,,,,
295803575,295803578,0,27104957,False,,residential,False,83.37,"LINESTRING (114.0748683 22.5313879, 114.0748854 22.5306383)",,,,,
295803575,2784308454,0,27104957,False,,residential,True,28.962,"LINESTRING (114.0748683 22.5313879, 114.0748624 22.5316483)",,,,,
295803575,2784308462,0,273594961,False,,residential,False,147.76000000000002,"LINESTRING (114.0748683 22.5313879, 114.0753709 22.5313935, 114.0756071 22.5310783, 114.075713 22.5309229, 114.0758068 22.530763, 114.0758548 22.5306561)",,,,,
295803578,295803575,0,27104957,False,,residential,True,83.37,"LINESTRING (114.0748854 22.5306383, 114.0748683 22.5313879)",,,,,
295803578,2876870762,0,273594957,False,,residential,False,14.608,"LINESTRING (114.0748854 22.5306383, 114.0747432 22.5306356)",,,,,
295803578,2876870724,0,273594957,False,,residential,True,47.769,"LINESTRING (114.0748854 22.5306383, 114.0753504 22.5306468)",,,,,
295803665,295803668,0,564113280,True,1,tertiary_link,False,52.434,"LINESTRING (114.0721434 22.5312788, 114.0721193 22.5313572, 114.0721033 22.5313894, 114.0720779 22.5314156, 114.0720454 22.5314337, 114.0720033 22.5314425, 114.0719605 22.5314378, 114.0719232 22.5314211, 114.0718936 22.5313942, 114.0718749 22.5313597, 114.0718531 22.5312725)",,,,,
295803665,2653614528,0,1036811488,True,,primary_link,False,64.144,"LINESTRING (114.0721434 22.5312788, 114.0721447 22.5313996, 114.0721577 22.5314587, 114.0721862 22.5315109, 114.0722382 22.5315569, 114.0723035 22.531588, 114.072384 22.5316121, 114.0725166 22.5316358)",福田南路,,,,
295803668,5435820799,0,27104970,True,,tertiary,False,64.34,"LINESTRING (114.0718531 22.5312725, 114.0718582 22.5306939)",福田南路,,,,
295803669,2784846003,0,229396276,True,,tertiary,False,138.961,"LINESTRING (114.071861 22.5303866, 114.0717656 22.5303857, 114.0705081 22.5303738)",百合七路,,,,
295803678,5435820809,0,259898789,True,,tertiary,False,12.339,"LINESTRING (114.072176 22.5305884, 114.0721484 22.5306964)",福田南路,,,,
295803678,2876869755,0,273594957,False,,residential,True,65.726,"LINESTRING (114.072176 22.5305884, 114.0728158 22.5306002)",,,,,
