u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes,maxspeed
267601452,528737856,0,25423077,True,S550,滨河大道,trunk,False,580.1310000000001,"LINESTRING (114.0937728 22.5381585, 114.0921808 22.5381995, 114.0918834 22.5382031, 114.091633 22.5381959, 114.0913465 22.5381804, 114.0910837 22.5381506, 114.0908662 22.5381176, 114.0906629 22.5380779, 114.0903059 22.5380048, 114.0893257 22.5377998, 114.0888323 22.5377017, 114.0881945 22.5375735)",,,
267601452,528737787,0,"[996207964, 672979245]",True,,滨河大道辅路,"['primary', 'trunk_link']",False,179.883,"LINESTRING (114.0937728 22.5381585, 114.0935275 22.5381946, 114.0929405 22.5383007, 114.0926406 22.5383331, 114.0920376 22.5383379)",,,
278657148,1123418230,0,996519965,True,S550,滨河大道,trunk,False,313.343,"LINESTRING (114.0983276 22.5382074, 114.0952773 22.5381481)",,,
297134377,5568977817,0,260313743,True,,,trunk_link,False,42.11,"LINESTRING (114.0881992 22.5374461, 114.0886092 22.5374423)",,,
297134377,8230674925,0,1054407532,True,S550,滨河大道,trunk,False,789.1179999999999,"LINESTRING (114.0881992 22.5374461, 114.0888257 22.5375617, 114.0893672 22.5376737, 114.0903321 22.5378753, 114.0909872 22.5380086, 114.091169 22.5380375, 114.0913253 22.5380584, 114.0915139 22.538072, 114.0917928 22.5380745, 114.0920689 22.538072, 114.0937585 22.5380336, 114.0949593 22.5380258, 114.0958113 22.5380369)",,,
513658804,513658809,0,"[41724968, 997152264]",True,,,primary_link,False,90.27100000000002,"LINESTRING (114.0804019 22.5364716, 114.0805265 22.5365304, 114.0806326 22.5365608, 114.0807207 22.5365652, 114.0808094 22.5365517, 114.080885 22.5365192, 114.081113 22.5363988, 114.0812013 22.5363484)",yes,,
513658804,3521475527,0,997152263,True,,滨河大道辅路,primary,False,98.834,"LINESTRING (114.0804019 22.5364716, 114.0805389 22.5365743, 114.0807089 22.5366844, 114.0809058 22.5367903, 114.0810988 22.5368793, 114.0812205 22.5369326)",,,
513658809,513658816,0,41724969,True,,,primary_link,False,108.715,"LINESTRING (114.0812013 22.5363484, 114.081283 22.5363159, 114.0813517 22.5362989, 114.0814185 22.5362912, 114.0815026 22.5362953, 114.0815662 22.5363063, 114.0816359 22.5363334, 114.0817099 22.5363829, 114.081758 22.5364275, 114.081799 22.5364815, 114.0818289 22.5365454, 114.0818471 22.5366071, 114.0818563 22.5366699, 114.0818616 22.5367351, 114.081859 22.5368197)",yes,,
513658809,513658815,0,"[643059298, 643059299]",True,,,primary_link,False,177.076,"LINESTRING (114.0812013 22.5363484, 114.0815323 22.5361676, 114.081593 22.5361273, 114.0816404 22.536087, 114.081682 22.5360411, 114.0817169 22.5359848, 114.0817426 22.5359283, 114.0817596 22.5358776, 114.0817737 22.5358127, 114.0818276 22.5354028, 114.0818332 22.5353691, 114.0818409 22.5353382, 114.0819387 22.5351068, 114.0819642 22.5350342)",yes,,
513658815,8025306537,0,41724978,True,,华强南路,secondary,False,93.433,"LINESTRING (114.0819642 22.5350342, 114.0820589 22.5341985)",,,
513658816,6052448212,0,"[996207947, 41724991]",True,,华强南路,secondary,False,353.249,"LINESTRING (114.081859 22.5368197, 114.0817725 22.5387434, 114.0817566 22.5399948)",yes,2,40
513658823,513658816,0,"[997152265, 25530053]",True,,华强南路,secondary,False,239.666,"LINESTRING (114.0820716 22.5346733, 114.0819815 22.5355548, 114.081859 22.5368197)",yes,,
513658823,8230664709,0,41724972,True,,,primary_link,False,303.15299999999985,"LINESTRING (114.0820716 22.5346733, 114.082102 22.5347581, 114.0821181 22.5348139, 114.082131 22.5348779, 114.0821396 22.5349323, 114.0821422 22.5349754, 114.082142 22.5350269, 114.0821367 22.5350803, 114.082003 22.5362856, 114.0819535 22.5367319, 114.0819526 22.5367813, 114.0819595 22.5368306, 114.0819711 22.5368747, 114.0819912 22.5369188, 114.0820167 22.5369628, 114.0820445 22.5370004, 114.0820761 22.5370373, 114.0821155 22.5370745, 114.0821595 22.5371081, 114.0822028 22.5371349, 114.082244 22.5371536, 114.0822855 22.5371692, 114.0823152 22.5371777, 114.0823418 22.5371843, 114.0823682 22.5371895)",,,
513658823,8230664666,0,"[996657800, 885068874]",True,,滨河大道辅路,"['primary', 'primary_link']",False,411.38200000000006,"LINESTRING (114.0820716 22.5346733, 114.0821098 22.5347083, 114.0821413 22.5347395, 114.0821763 22.5347913, 114.0822032 22.5348517, 114.0822195 22.5349196, 114.082223 22.5349789, 114.0822184 22.5350512, 114.0820748 22.5362905, 114.0820305 22.5366721, 114.0820277 22.5367347, 114.0820292 22.5367754, 114.0820342 22.5368108, 114.0820442 22.5368502, 114.0820556 22.5368804, 114.0820705 22.5369122, 114.0820898 22.5369449, 114.0821127 22.5369765, 114.082136 22.5370038, 114.0821626 22.5370298, 114.0821863 22.5370479, 114.0822111 22.5370657, 114.0822385 22.5370812, 114.0822643 22.5370934, 114.0822966 22.5371068, 114.0823267 22.5371151, 114.0823602 22.5371222, 114.0823956 22.5371269, 114.0824321 22.5371294, 114.0834964 22.5371499)",,2,
513658860,513658873,0,157211652,True,,,primary_link,False,106.37700000000001,"LINESTRING (114.0815521 22.5379771, 114.0815416 22.5378722, 114.081524 22.537781, 114.0814891 22.5376884, 114.081448 22.5376111, 114.0813955 22.5375337, 114.081333 22.537462, 114.0812505 22.5373879, 114.0811579 22.537319, 114.0810037 22.5372173)",,,
513658860,513659512,0,867633472,True,,,primary_link,False,96.062,"LINESTRING (114.0815521 22.5379771, 114.0815574 22.5378312, 114.0815688 22.5377933, 114.0815912 22.5377614, 114.0816196 22.5377351, 114.0816582 22.5377144, 114.0816938 22.5377004, 114.0817416 22.5376928, 114.0817822 22.5376928, 114.0818119 22.5376966, 114.081841 22.5377047, 114.0818644 22.5377176, 114.0818842 22.5377408, 114.0819018 22.5377665, 114.0819119 22.5378069, 114.0819117 22.5378174, 114.0819081 22.5380687)",,,
513658873,513659367,0,41724999,True,,滨河大道辅路,primary,False,35.272000000000006,"LINESTRING (114.0810037 22.5372173, 114.0809225 22.5371818, 114.0806886 22.5370913)",,2,
513658946,513658804,0,260313741,True,,滨河大道辅路,primary,False,25.693,"LINESTRING (114.0802131 22.53632, 114.0804019 22.5364716)",,,
513659014,528738400,0,328724256,True,S550,滨河大道,trunk,False,403.735,"LINESTRING (114.0840868 22.5373273, 114.0866045 22.5373549, 114.0872035 22.5373613, 114.0876076 22.5373778, 114.0877951 22.5373953, 114.0880148 22.5374192)",,,
513659287,513659780,0,25423077,True,S550,滨河大道,trunk,False,437.75,"LINESTRING (114.084047 22.5374608, 114.0827319 22.5374314, 114.0824545 22.5374211, 114.0821857 22.5373974, 114.0818998 22.5373593, 114.081664 22.5373125, 114.0814263 22.5372474, 114.0811716 22.5371631, 114.0809162 22.5370547, 114.0806686 22.5369359, 114.0803882 22.5367777, 114.0802116 22.5366629, 114.0800199 22.5365205)",,,
513659287,513659291,0,672979246,True,,,trunk_link,False,117.966,"LINESTRING (114.084047 22.5374608, 114.083118 22.537534, 114.0829021 22.5375451)",,,
513659291,513659302,0,157650268,True,,滨河大道辅路,primary,False,26.628,"LINESTRING (114.0829021 22.5375451, 114.0826431 22.5375341)",,2,
513659302,513659512,0,25530042,True,,,primary_link,False,109.72200000000001,"LINESTRING (114.0826431 22.5375341, 114.0825002 22.5375415, 114.0823788 22.5375553, 114.0822761 22.5375801, 114.0821813 22.5376142, 114.0821105 22.5376526, 114.0820488 22.5376983, 114.0820046 22.537745, 114.0819657 22.5378182, 114.0819385 22.5378911, 114.0819199 22.5379721, 114.0819081 22.5380687)",,,
513659302,513658873,0,41724999,True,,滨河大道辅路,primary,False,172.89100000000002,"LINESTRING (114.0826431 22.5375341, 114.0823295 22.5375102, 114.0820882 22.5374859, 114.0818815 22.5374585, 114.0816659 22.537415, 114.0814768 22.5373703, 114.081302 22.5373173, 114.0810037 22.5372173)",,2,
513659367,513659780,0,259898784,True,,,trunk_link,False,93.656,"LINESTRING (114.0806886 22.5370913, 114.080531 22.5369741, 114.0803227 22.5368085, 114.0801894 22.5366876, 114.0800199 22.5365205)",,,
513659512,3082204984,0,25530042,True,,,primary_link,False,117.85300000000001,"LINESTRING (114.0819081 22.5380687, 114.0819028 22.5381838, 114.0818703 22.539128)",,,
528737347,2474730078,0,996207964,True,,滨河大道辅路,primary,False,137.023,"LINESTRING (114.090817 22.5382229, 114.090656 22.5381889, 114.0902422 22.5381142, 114.0895097 22.5379771)",,,
528737484,2657830322,0,314324653,True,,滨河大道辅路,primary,False,225.36200000000002,"LINESTRING (114.0868191 22.5371963, 114.0872896 22.5372244, 114.0877422 22.5372699, 114.0886473 22.5373549, 114.0889999 22.5374109)",,2,
528737484,528738400,0,638406330,True,,,trunk_link,False,125.392,"LINESTRING (114.0868191 22.5371963, 114.0871437 22.5372352, 114.087602 22.5373303, 114.0880148 22.5374192)",,1,
528737787,8128067429,0,996207938,True,,上步南路,primary_link,False,84.25000000000001,"LINESTRING (114.0920376 22.5383379, 114.0919671 22.5383437, 114.0919081 22.5383504, 114.0918565 22.538358, 114.0918039 22.5383689, 114.0917522 22.5383843, 114.0916997 22.5384045, 114.0916566 22.5384268, 114.0916141 22.5384552, 114.0915787 22.5384831, 114.091545 22.5385145, 114.0915135 22.5385495, 114.0914895 22.5385837, 114.0914677 22.5386185, 114.0914515 22.5386564, 114.0914415 22.5386952, 114.091435 22.5387431)",,2,
528737787,528737347,0,996207964,True,,滨河大道辅路,primary,False,126.564,"LINESTRING (114.0920376 22.5383379, 114.0916084 22.5383379, 114.0912417 22.538308, 114.0911375 22.5382948, 114.0910067 22.5382671, 114.090817 22.5382229)",,,
528737844,528737856,0,681165420,True,,,trunk_link,False,104.697,"LINESTRING (114.0891469 22.5379068, 114.0889657 22.5378542, 114.0884377 22.537648, 114.0881945 22.5375735)",,,
528737844,1123404387,0,996207964,True,,滨河大道辅路,primary,False,259.116,"LINESTRING (114.0891469 22.5379068, 114.0887014 22.5378378, 114.0883891 22.537786, 114.0879761 22.5377357, 114.0876296 22.5376988, 114.0872492 22.5376705, 114.0866425 22.5376543)",,,
528737856,513659287,0,25423077,True,S550,滨河大道,trunk,False,426.30100000000004,"LINESTRING (114.0881945 22.5375735, 114.0877978 22.5375326, 114.0875272 22.537523, 114.084047 22.5374608)",,,
528738400,297134377,0,1054407532,True,S550,滨河大道,trunk,False,19.173,"LINESTRING (114.0880148 22.5374192, 114.0881992 22.5374461)",,,
564001616,278657148,0,570491406,True,,,trunk_link,False,78.602,"LINESTRING (114.0990676 22.5383803, 114.0987962 22.5382912, 114.0983276 22.5382074)",,,
564001792,5827544425,0,239697661,True,,,tertiary_link,False,119.708,"LINESTRING (114.0996451 22.5382416, 114.0996751 22.53819, 114.0996939 22.5381492, 114.0997085 22.5381051, 114.0997197 22.5380661, 114.0997267 22.5380281, 114.0997308 22.5379875, 114.0997406 22.5371797)",yes,,
564002106,3203749876,0,44376702,True,,,trunk_link,False,72.289,"LINESTRING (114.0986191 22.5380748, 114.0988711 22.5380446, 114.0990242 22.538016, 114.0993126 22.5379654)",,,
1123404387,1699066607,0,157650268,True,,滨河大道辅路,primary,False,244.741,"LINESTRING (114.0866425 22.5376543, 114.0842601 22.5376048)",,2,
1123418230,267601452,0,996519965,True,S550,滨河大道,trunk,False,154.52,"LINESTRING (114.0952773 22.5381481, 114.0937728 22.5381585)",,,
1123418230,6016938890,0,616351230,False,,同心南路,secondary,True,188.572,"LINESTRING (114.0952773 22.5381481, 114.0952727 22.538334, 114.0952449 22.5398437)",,,
1694292883,1992906474,0,157211652,True,,,primary_link,False,49.208,"LINESTRING (114.0816198 22.539343, 114.0815949 22.5391956, 114.0815846 22.539113, 114.0815756 22.5390179, 114.0815674 22.5389034)",,,
1694292883,3521475527,0,"[643059297, 996207949, 25465190]",True,,华强南路,secondary,False,439.94399999999996,"LINESTRING (114.0816198 22.539343, 114.0816411 22.5390508, 114.0816581 22.5387362, 114.0817639 22.5367345, 114.0817682 22.5366632, 114.0817653 22.5366066, 114.0817503 22.5365515, 114.0817153 22.5364912, 114.0816708 22.536444, 114.0816322 22.5364136, 114.0815795 22.5363865, 114.0815185 22.5363686, 114.0814496 22.5363639, 114.081388 22.536369, 114.081321 22.5363839, 114.0812483 22.5364142, 114.0811829 22.5364594, 114.0811343 22.5365168, 114.0811047 22.5365749, 114.0810887 22.5366373, 114.0810884 22.536713, 114.0811073 22.5367848, 114.0811379 22.5368413, 114.0811774 22.5368917, 114.0812205 22.5369326)",yes,,
1699066607,513659291,0,157650268,True,,滨河大道辅路,primary,False,139.628,"LINESTRING (114.0842601 22.5376048, 114.0829021 22.5375451)",,2,
1699066607,3082204994,0,157650278,False,,华发南路,secondary,False,62.536,"LINESTRING (114.0842601 22.5376048, 114.0842417 22.5381289, 114.0842404 22.5381669)",,,
1992906474,513658860,0,157211652,True,,,primary_link,False,103.012,"LINESTRING (114.0815674 22.5389034, 114.0815521 22.5379771)",,,
1992906484,513658823,0,25530053,True,,华强南路,secondary,False,194.824,"LINESTRING (114.0822319 22.5329321, 114.0822557 22.5331045, 114.0822556 22.5331571, 114.0820716 22.5346733)",,,
1992906484,1992906508,0,188664794,False,,,residential,True,58.189,"LINESTRING (114.0822319 22.5329321, 114.08234 22.5325098, 114.0823643 22.5324233)",,,
1992906484,2880459814,0,"[188664792, 996207965]",False,,,residential,False,220.601,"LINESTRING (114.0822319 22.5329321, 114.0821179 22.5329026, 114.0812094 22.532668, 114.0806532 22.5325093, 114.0802221 22.5322681)",,,
1992906508,1992906484,0,188664794,False,,,residential,False,58.189,"LINESTRING (114.0823643 22.5324233, 114.08234 22.5325098, 114.0822319 22.5329321)",,,
2474730078,528737844,0,996207964,True,,滨河大道辅路,primary,False,38.072,"LINESTRING (114.0895097 22.5379771, 114.0891469 22.5379068)",,,
2657830322,8230674921,0,314324653,True,,滨河大道辅路,primary,False,651.2170000000001,"LINESTRING (114.0889999 22.5374109, 114.0907499 22.5377819, 114.0908871 22.5378106, 114.0909794 22.5378277, 114.0910505 22.5378383, 114.0912863 22.5378593, 114.0915496 22.537876, 114.0916704 22.53788, 114.0918252 22.5378815, 114.0935228 22.5378536, 114.0946508 22.5378551, 114.0950195 22.5378545, 114.0952867 22.5378633)",,2,
2789249146,2789249156,0,274153391,False,,,residential,True,174.695,"LINESTRING (114.0866804 22.5356395, 114.0866434 22.5372102)",,,
2789249156,2789249146,0,274153391,False,,,residential,False,174.695,"LINESTRING (114.0866434 22.5372102, 114.0866804 22.5356395)",,,
2789249156,528737484,0,1054407531,True,,滨河大道辅路,primary,False,18.111,"LINESTRING (114.0866434 22.5372102, 114.0868191 22.5371963)",,2,
2880459689,2880459814,0,284305909,False,,,residential,False,29.438,"LINESTRING (114.0800305 22.532465, 114.0802221 22.5322681)",,,
2880459689,2880459813,0,284305578,False,,,residential,False,237.874,"LINESTRING (114.0800305 22.532465, 114.0815296 22.5337497, 114.081674 22.5338233, 114.0816819 22.5339211)",,,
