u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes,access,tunnel
349120495,5110322026,0,525273368,True,tertiary,False,28.663999999999998,"LINESTRING (114.1166543 22.5398379, 114.1166612 22.539798, 114.1166619 22.5397727, 114.1166582 22.5397486, 114.1166506 22.539725, 114.1166389 22.5397039, 114.1166199 22.5396854, 114.1165955 22.5396701, 114.1165657 22.5396563, 114.1165299 22.5396424)",,,,,,
564002092,6302206170,0,996657801,True,trunk,False,15.068,"LINESTRING (114.1020497 22.5381203, 114.1021964 22.538122)",S550,滨河大道,,,,
564009215,2278225058,0,218587476,True,primary,False,31.456999999999997,"LINESTRING (114.105393 22.5374404, 114.1053263 22.5374987, 114.1052293 22.5375903, 114.1051778 22.5376416)",,滨河大道辅路,yes,,,
564009215,8244748175,0,"[996519944, 705776323]",True,trunk,False,556.529,"LINESTRING (114.105393 22.5374404, 114.1051102 22.5375748, 114.1044452 22.5379295, 114.1041635 22.5380566, 114.1039469 22.5381389, 114.1037279 22.5382082, 114.103508 22.5382487, 114.1032825 22.5382693, 114.1030942 22.5382713, 114.1030681 22.5382716, 114.10018 22.5382325)",S550,"['春风路高架桥布吉河桥', '滨河大道']",yes,,,
564713502,564713573,0,"[705776332, 27082893, 742812237]",True,trunk,False,750.7929999999999,"LINESTRING (114.1139086 22.5383704, 114.1146635 22.5386275, 114.1162735 22.5392418, 114.1163491 22.5392658, 114.1164418 22.5392788, 114.1165432 22.5392815, 114.1166274 22.5392717, 114.1167395 22.539239, 114.1168323 22.5392008, 114.1169146 22.5391522, 114.1169971 22.5390821, 114.1170574 22.5390142, 114.1171082 22.5389446, 114.1171658 22.5388549, 114.1176654 22.5380587, 114.1177326 22.5379633, 114.1177986 22.5378863, 114.1179045 22.5377994, 114.1179965 22.5377394, 114.1180894 22.5376892, 114.1181795 22.5376595, 114.1182782 22.5376363, 114.1183826 22.5376233, 114.1184852 22.537618, 114.1185844 22.5376213, 114.118675 22.5376338, 114.1187748 22.5376549, 114.1188715 22.5376909, 114.1189587 22.5377282, 114.1190773 22.5377927, 114.119948 22.5383369)",S550,"['沿河路高架桥', '春风路高架桥']",yes,,,
564713502,5110322037,0,633816645,True,trunk_link,False,261.349,"LINESTRING (114.1139086 22.5383704, 114.1141314 22.5384232, 114.1145903 22.5385278, 114.1146692 22.5385455, 114.114746 22.5385665, 114.1163076 22.5391406)",,,yes,,,
564716924,5982557561,0,44425601,True,trunk_link,False,16.17,"LINESTRING (114.1175823 22.5367739, 114.1177142 22.5368533)",,,,,,
564716924,5982557560,0,1050674547,True,secondary,False,49.179,"LINESTRING (114.1175823 22.5367739, 114.1179549 22.5370517)",,沿河南路,,,,
564716926,564716961,0,"[27082889, 705776333]",True,trunk,False,575.1149999999999,"LINESTRING (114.1190589 22.5397245, 114.1189632 22.539853, 114.1188832 22.5399336, 114.1188064 22.539987, 114.1187269 22.5400305, 114.1186155 22.5400693, 114.1184785 22.5400908, 114.1183616 22.5400941, 114.1182694 22.5400827, 114.1181703 22.5400579, 114.1166806 22.5395074, 114.1162371 22.5393321, 114.11523 22.5389446, 114.1146324 22.5387184, 114.1139475 22.538486)",S550,"['沿河路高架桥', '春风路高架桥']",yes,2,,
564716961,564717012,0,"[27082888, 705776333]",True,trunk,False,450.025,"LINESTRING (114.1139475 22.538486, 114.1136317 22.5383878, 114.1134017 22.5383248, 114.1131625 22.5382687, 114.1129612 22.5382277, 114.1127544 22.5381892, 114.112502 22.5381445, 114.1121619 22.5380928, 114.1102279 22.5378291, 114.1096447 22.5377585)",S550,春风路高架桥,yes,2,,
