u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge
4449431635,4449431813,0,447880868,False,1,unclassified,False,125.18299999999999,"LINESTRING (114.1521778 22.5333221, 114.152043 22.5332616, 114.1518466 22.5332224, 114.1516484 22.5331799, 114.1516132 22.5331819, 114.1513918 22.5331946, 114.1513138 22.5331954, 114.1512307 22.5331962, 114.1511531 22.5331799, 114.1509905 22.5331456)",
4449431643,4449431647,0,"[447880868, 447880869, 447880870]",False,1,unclassified,False,71.922,"LINESTRING (114.1502085 22.5330587, 114.1501764 22.5330162, 114.1501546 22.5329577, 114.1501344 22.5329336, 114.1500451 22.5328277, 114.1500024 22.5327935, 114.149912 22.5327212, 114.1497437 22.5325864)",yes
4449431643,4449431813,0,447880868,False,1,unclassified,True,81.132,"LINESTRING (114.1502085 22.5330587, 114.1503392 22.5330583, 114.1504273 22.5330581, 114.150975 22.5331423, 114.1509905 22.5331456)",
4449431643,4449431772,0,"[447880877, 447880878, 447880879]",False,,unclassified,False,172.138,"LINESTRING (114.1502085 22.5330587, 114.1501119 22.5330659, 114.1500716 22.5330718, 114.1500103 22.5330885, 114.1499642 22.5330955, 114.1499525 22.5331025, 114.1499303 22.5331279, 114.1499251 22.5331635, 114.1499368 22.5332686, 114.1499315 22.5333398, 114.1498807 22.5335802, 114.1498373 22.5336598, 114.1498232 22.5336856, 114.1497312 22.5337583, 114.1496525 22.5337975, 114.1496307 22.5338018, 114.149556 22.5338163, 114.1494932 22.5338163, 114.1494313 22.5338531, 114.1494231 22.5338691, 114.1494055 22.5339036, 114.149387 22.5339397, 114.1493817 22.5340362, 114.1493903 22.5341292)",yes
4449431647,4449431643,0,"[447880868, 447880869, 447880870]",False,1,unclassified,True,71.92200000000001,"LINESTRING (114.1497437 22.5325864, 114.149912 22.5327212, 114.1500024 22.5327935, 114.1500451 22.5328277, 114.1501344 22.5329336, 114.1501546 22.5329577, 114.1501764 22.5330162, 114.1502085 22.5330587)",yes
4449431647,4449431805,0,447880885,False,,residential,False,155.00099999999998,"LINESTRING (114.1497437 22.5325864, 114.1498844 22.532495, 114.149985 22.5323822, 114.1499958 22.5323511, 114.1500614 22.5321617, 114.1500818 22.5320112, 114.1500869 22.5319735, 114.1501472 22.5318236, 114.15028 22.5316613, 114.1503913 22.5316068, 114.1505643 22.5315077)",
4449431647,4449431810,0,447880886,False,,residential,False,84.01400000000001,"LINESTRING (114.1497437 22.5325864, 114.1497107 22.5326007, 114.1495516 22.53267, 114.1493548 22.5327096, 114.1492807 22.5327245, 114.1492501 22.5327442, 114.1492019 22.5327754, 114.1491486 22.5328283, 114.1490333 22.5329226)",
4449431759,6515856473,0,897564157,False,,residential,False,37.093,"LINESTRING (114.1485788 22.534865, 114.1485101 22.5347063, 114.148454 22.5345521)",
4449431759,8342129802,0,897564158,False,,residential,False,133.199,"LINESTRING (114.1485788 22.534865, 114.1485497 22.5348996, 114.1484377 22.5349263, 114.1482899 22.534957, 114.1482065 22.535074, 114.1481295 22.535253, 114.1481316 22.5355463, 114.1480583 22.5355467, 114.1480421 22.5356068, 114.1480255 22.5357577)",
4449431759,4449431762,0,897564163,False,,unclassified,True,63.00900000000001,"LINESTRING (114.1485788 22.534865, 114.1486218 22.5348553, 114.1486482 22.5348518, 114.1487048 22.5348722, 114.1487862 22.5348894, 114.1488146 22.5348927, 114.1491269 22.5348534, 114.1491748 22.5348294)",
4449431762,4449431772,0,447880879,False,,unclassified,True,84.36,"LINESTRING (114.1491748 22.5348294, 114.1491968 22.5348183, 114.1492543 22.5347464, 114.1492817 22.5346818, 114.1493003 22.5345404, 114.1493215 22.5344799, 114.1493746 22.5344007, 114.1494047 22.5343222, 114.1494083 22.5342536, 114.1493941 22.5341702, 114.1493903 22.5341292)",
4449431762,4449431771,0,447880880,False,,residential,False,52.79800000000001,"LINESTRING (114.1491748 22.5348294, 114.1491508 22.5349057, 114.1491189 22.5351092, 114.1490729 22.535258, 114.1490484 22.5352847)",
4449431762,4449431759,0,897564163,False,,unclassified,False,63.009,"LINESTRING (114.1491748 22.5348294, 114.1491269 22.5348534, 114.1488146 22.5348927, 114.1487862 22.5348894, 114.1487048 22.5348722, 114.1486482 22.5348518, 114.1486218 22.5348553, 114.1485788 22.534865)",
4449431771,8342129760,0,447880880,False,,residential,False,7.958,"LINESTRING (114.1490484 22.5352847, 114.1490287 22.5353062, 114.1489821 22.5353118)",
4449431771,4449431762,0,447880880,False,,residential,True,52.798,"LINESTRING (114.1490484 22.5352847, 114.1490729 22.535258, 114.1491189 22.5351092, 114.1491508 22.5349057, 114.1491748 22.5348294)",
4449431771,4995202728,0,"[447880881, 510523215]",False,,residential,"[False, True]",69.708,"LINESTRING (114.1490484 22.5352847, 114.1491137 22.5353164, 114.1491818 22.5353205, 114.1492637 22.5353279, 114.1492992 22.5353635, 114.1493212 22.5354306, 114.1493225 22.5356647, 114.1493229 22.5357318)",
4449431772,4449431762,0,447880879,False,,unclassified,False,84.36,"LINESTRING (114.1493903 22.5341292, 114.1493941 22.5341702, 114.1494083 22.5342536, 114.1494047 22.5343222, 114.1493746 22.5344007, 114.1493215 22.5344799, 114.1493003 22.5345404, 114.1492817 22.5346818, 114.1492543 22.5347464, 114.1491968 22.5348183, 114.1491748 22.5348294)",
4449431772,4449431643,0,"[447880877, 447880878, 447880879]",False,,unclassified,True,172.13799999999998,"LINESTRING (114.1493903 22.5341292, 114.1493817 22.5340362, 114.149387 22.5339397, 114.1494055 22.5339036, 114.1494231 22.5338691, 114.1494313 22.5338531, 114.1494932 22.5338163, 114.149556 22.5338163, 114.1496307 22.5338018, 114.1496525 22.5337975, 114.1497312 22.5337583, 114.1498232 22.5336856, 114.1498373 22.5336598, 114.1498807 22.5335802, 114.1499315 22.5333398, 114.1499368 22.5332686, 114.1499251 22.5331635, 114.1499303 22.5331279, 114.1499525 22.5331025, 114.1499642 22.5330955, 114.1500103 22.5330885, 114.1500716 22.5330718, 114.1501119 22.5330659, 114.1502085 22.5330587)",yes
4449431772,4449431775,0,447880882,False,,residential,False,38.223,"LINESTRING (114.1493903 22.5341292, 114.1493467 22.5341615, 114.149243 22.5341887, 114.1490478 22.5342563)",
4449431775,4449431772,0,447880882,False,,residential,True,38.223000000000006,"LINESTRING (114.1490478 22.5342563, 114.149243 22.5341887, 114.1493467 22.5341615, 114.1493903 22.5341292)",
4449431805,4449431647,0,447880885,False,,residential,True,155.001,"LINESTRING (114.1505643 22.5315077, 114.1503913 22.5316068, 114.15028 22.5316613, 114.1501472 22.5318236, 114.1500869 22.5319735, 114.1500818 22.5320112, 114.1500614 22.5321617, 114.1499958 22.5323511, 114.149985 22.5323822, 114.1498844 22.532495, 114.1497437 22.5325864)",
4449431810,4449431647,0,447880886,False,,residential,True,84.01400000000001,"LINESTRING (114.1490333 22.5329226, 114.1491486 22.5328283, 114.1492019 22.5327754, 114.1492501 22.5327442, 114.1492807 22.5327245, 114.1493548 22.5327096, 114.1495516 22.53267, 114.1497107 22.5326007, 114.1497437 22.5325864)",
4449431813,4449431643,0,447880868,False,1,unclassified,False,81.132,"LINESTRING (114.1509905 22.5331456, 114.150975 22.5331423, 114.1504273 22.5330581, 114.1503392 22.5330583, 114.1502085 22.5330587)",
