u,v,key,osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,ref,tunnel
499559058,1116534625,0,"[1052425739, 517912099, 412448773]",True,2,香蜜湖路,primary,False,683.2909999999999,yes,"LINESTRING (114.0151071 22.5579789, 114.0153877 22.5565146, 114.0155576 22.5557279, 114.0155858 22.555621, 114.015623 22.5554933, 114.0156664 22.5553484, 114.0157199 22.5552003, 114.0157755 22.5550574, 114.0158303 22.5549187, 114.0158778 22.5548094, 114.0159262 22.554705, 114.0159869 22.5545851, 114.0160516 22.5544629, 114.0161243 22.5543366, 114.0162216 22.5541835, 114.0163418 22.5540072, 114.016899 22.5532186, 114.0175106 22.5523486)",,
499559058,1116534558,0,545681213,True,1,香蜜湖路辅路,secondary,False,90.31599999999999,,"LINESTRING (114.0151071 22.5579789, 114.0151116 22.5578326, 114.0151082 22.5577109, 114.0150531 22.5572841, 114.0150414 22.5571703)",,
582492767,3969348511,0,245743602,False,,安托山九路,tertiary,False,306.214,,"LINESTRING (114.010794 22.5554258, 114.010794 22.5555407, 114.0107704 22.5566578, 114.0107567 22.5567723, 114.0107264 22.5568615, 114.0099943 22.557987)",,
582492767,582492774,0,1067522789,True,,侨香路,primary,False,287.382,,"LINESTRING (114.010794 22.5554258, 114.0105218 22.5553817, 114.0103609 22.5553223, 114.0101893 22.5552133, 114.0100498 22.5550548, 114.0099425 22.5548467, 114.0096421 22.5540045, 114.0094044 22.5533869)",,
582492774,7283556629,0,780036973,True,1,,primary_link,False,62.84700000000001,,"LINESTRING (114.0094044 22.5533869, 114.009309 22.5532871, 114.0092436 22.5532413, 114.0091834 22.5532119, 114.0091144 22.5531858, 114.0090277 22.5531694, 114.0089587 22.5531727, 114.0088747 22.5531875)",,
582492774,1116534892,0,1067522789,True,,侨香路,primary,False,54.647,,"LINESTRING (114.0094044 22.5533869, 114.0093036 22.5531286, 114.0092551 22.5530249, 114.0092038 22.5529324)",,
582493129,8000064235,0,996207981,True,,侨香路,primary,False,413.587,,"LINESTRING (114.0095536 22.5532911, 114.0098352 22.5540739, 114.0101034 22.5547996, 114.0101893 22.5549581, 114.0102858 22.5550572, 114.0104253 22.5551464, 114.0105969 22.5552157, 114.0108335 22.5552436, 114.0122055 22.5552701)",,
1116534501,1476460437,0,96336937,True,,北环大道辅路,primary,False,211.197,,"LINESTRING (114.0077891 22.5575101, 114.0085466 22.5577642, 114.008637 22.5577908, 114.0097008 22.5582083)",,
1116534522,1116534892,0,393889262,False,,农园路,secondary,True,19.392,,"LINESTRING (114.0093603 22.5528348, 114.0092038 22.5529324)",,
1116534522,582493129,0,996207981,True,,侨香路,primary,False,54.532,,"LINESTRING (114.0093603 22.5528348, 114.0094322 22.552978, 114.0094841 22.55311, 114.0095536 22.5532911)",,
1116534522,7987093016,0,1080860971,True,2,农园路,secondary,False,53.70100000000001,,"LINESTRING (114.0093603 22.5528348, 114.0095398 22.5527332, 114.009836 22.5526415)",,
1116534532,1116534703,0,96336941,True,,,primary_link,False,187.389,,"LINESTRING (114.015472 22.5592041, 114.0154192 22.5594637, 114.0153869 22.5595617, 114.0153515 22.5596264, 114.0153054 22.5596817, 114.0152523 22.5597253, 114.0151986 22.5597538, 114.0151284 22.5597737, 114.0150508 22.5597761, 114.0149827 22.5597669, 114.0149068 22.5597475, 114.0148395 22.5597129, 114.0147854 22.5596634, 114.0147475 22.5596005, 114.0147265 22.5595111, 114.014726 22.5594252, 114.0147372 22.5593005, 114.0147694 22.5590404)",,
1116534532,1116534680,0,245744495,True,,,primary_link,False,148.139,,"LINESTRING (114.015472 22.5592041, 114.0154939 22.5593481, 114.0155157 22.5594336, 114.0155517 22.5595244, 114.0156031 22.5596051, 114.0156658 22.5596673, 114.0157408 22.5597173, 114.0158219 22.5597564, 114.015913 22.5597842, 114.0160093 22.5597992, 114.016113 22.5598059, 114.0162257 22.5598063, 114.0165234 22.5598053)",,
1116534558,5273698163,0,996207982,True,,香蜜湖路辅路,secondary,False,54.763999999999996,,"LINESTRING (114.0150414 22.5571703, 114.0151025 22.5567754, 114.0151103 22.5567277, 114.0151198 22.5566832)",,
1116534575,1116534511,0,96336952,True,,香蜜湖路辅路,primary_link,False,45.548,,"LINESTRING (114.0181629 22.5514244, 114.0182529 22.5510233)",,
1116534581,1116534705,0,545681211,True,2,香蜜湖路,secondary,False,93.26,,"LINESTRING (114.0173785 22.5529946, 114.0168869 22.5536998)",,
1116534624,499559058,0,996207980,True,2,香蜜湖路,primary,False,84.207,,"LINESTRING (114.014973 22.558726, 114.0151071 22.5579789)",,
1116534625,1116534575,0,1052425739,True,2,香蜜湖路,primary,False,122.671,,"LINESTRING (114.0175106 22.5523486, 114.0181629 22.5514244)",,
1116534644,1116534646,0,96336937,True,,北环大道辅路,primary,False,171.251,,"LINESTRING (114.0115995 22.5589047, 114.0121161 22.5590653, 114.0131817 22.5593915)",,
1116534644,1116534624,0,"[545681208, 545681210, 545681207]",True,1,,primary_link,False,428.79999999999995,yes,"LINESTRING (114.0115995 22.5589047, 114.0123242 22.5591937, 114.0131006 22.5594896, 114.01323 22.5595295, 114.0133531 22.5595643, 114.0139171 22.5596916, 114.0140465 22.5597087, 114.0141574 22.5597087, 114.0143268 22.5596831, 114.0144347 22.5596433, 114.0145456 22.5595835, 114.014635 22.5595124, 114.0146966 22.5594469, 114.0147736 22.5593161, 114.0148383 22.5591541, 114.014973 22.558726)",,
1116534646,5273698084,0,96336937,True,,北环大道辅路,primary,False,44.219,,"LINESTRING (114.0131817 22.5593915, 114.0135894 22.5595195)",,
1116534680,2429850304,0,1052079671,True,,北环大道辅路,primary,False,218.48899999999998,,"LINESTRING (114.0165234 22.5598053, 114.017293 22.5597871, 114.0177759 22.5597872, 114.0184127 22.5597786, 114.0186505 22.5597673)",,
1116534703,1116534558,0,96336942,True,,,primary_link,False,209.838,,"LINESTRING (114.0147694 22.5590404, 114.0149012 22.5580892, 114.0149911 22.5574402, 114.0150414 22.5571703)",,
1116534705,5273698182,0,545681211,True,2,香蜜湖路,secondary,False,101.13300000000001,,"LINESTRING (114.0168869 22.5536998, 114.0165496 22.5541811, 114.0164894 22.5542739, 114.0164337 22.5543635, 114.0163681 22.5544725)",,
1116534740,3811078865,0,377719590,True,,,primary_link,False,46.379,,"LINESTRING (114.0151336 22.5587629, 114.0151341 22.55918)",,
