u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
277667938,8046350931,0,25482149,新洲路,unclassified,False,True,78.923,"LINESTRING (114.0704258 22.5518402, 114.0703604 22.551133)",,,,
277667938,277667939,0,285221698,,unclassified,False,False,42.721,"LINESTRING (114.0704258 22.5518402, 114.0700098 22.5518383)",,,,
277667938,2889056089,0,285221677,,unclassified,False,False,111.786,"LINESTRING (114.0704258 22.5518402, 114.0704851 22.5523051, 114.0705191 22.5525283, 114.0706031 22.5528303)",,,,
277667938,2889056083,0,285221698,,unclassified,False,True,178.24099999999999,"LINESTRING (114.0704258 22.5518402, 114.0712173 22.5518508, 114.0718262 22.551862, 114.0720909 22.5518669, 114.0721606 22.5518583)",,,,
277667939,2889056918,0,285221687,,unclassified,False,False,102.895,"LINESTRING (114.0700098 22.5518383, 114.0699862 22.5527634)",,,,
277667939,2889056915,0,285221698,,unclassified,False,False,23.168,"LINESTRING (114.0700098 22.5518383, 114.0697842 22.5518372)",,,,
277667939,277667938,0,285221698,,unclassified,False,True,42.721,"LINESTRING (114.0700098 22.5518383, 114.0704258 22.5518402)",,,,
279077966,8624031140,0,44380090,彩田路,primary,True,False,555.5440000000001,"LINESTRING (114.0624934 22.5568907, 114.0625165 22.5557793, 114.0625129 22.5557495, 114.0625338 22.5545877, 114.0625823 22.5518955)",2,,,
504634913,504716082,0,"[996188207, 44379639]","['莲花路', '笋岗西路']",primary,True,False,193.58700000000002,"LINESTRING (114.0633434 22.5582075, 114.0630987 22.5582644, 114.0628502 22.558347, 114.0625796 22.5584637, 114.062322 22.5585838, 114.0620456 22.5587463, 114.0616734 22.5589862)",,,,
504716061,279077966,0,25603977,莲花立交,primary_link,True,False,323.21599999999995,"LINESTRING (114.0609989 22.5593867, 114.0613332 22.5590396, 114.0616889 22.5586087, 114.0618214 22.5584515, 114.0619534 22.5582871, 114.0620593 22.5581347, 114.0621458 22.5579838, 114.0622249 22.5578233, 114.0622864 22.5576822, 114.0623404 22.5575387, 114.0623811 22.5574221, 114.062418 22.5572874, 114.0624491 22.5571517, 114.0624696 22.5570363, 114.0624934 22.5568907)",,,,
504716061,564055529,0,"[996755155, 1057874092]","['莲花路', '笋岗西路']",primary,True,False,384.4239999999999,"LINESTRING (114.0609989 22.5593867, 114.0614104 22.5590554, 114.061625 22.5588731, 114.0618653 22.5586987, 114.0620885 22.5585561, 114.0622457 22.5584603, 114.0624073 22.5583695, 114.0625862 22.5582872, 114.062797 22.5582075, 114.0630249 22.5581366, 114.0632811 22.5580536, 114.0634327 22.5580179, 114.0635937 22.5579898, 114.0637599 22.5579695, 114.0639416 22.557954, 114.0641042 22.5579463, 114.0642829 22.5579435)",5,,,
504716082,564055368,0,44380074,莲花立交,primary_link,True,False,175.244,"LINESTRING (114.0616734 22.5589862, 114.0616523 22.5590133, 114.0616372 22.5590368, 114.0616209 22.559068, 114.0616073 22.5590979, 114.061593 22.5591398, 114.0615839 22.5591867, 114.0615797 22.5592236, 114.0615771 22.5592769, 114.0615789 22.5593242, 114.0615837 22.5593721, 114.0615912 22.5594132, 114.0616 22.5594484, 114.0616116 22.559481, 114.0616273 22.5595133, 114.0616483 22.5595481, 114.0616742 22.5595793, 114.0617085 22.559613, 114.0617435 22.5596354, 114.0617811 22.5596539, 114.061824 22.5596689, 114.061867 22.5596812, 114.0619118 22.559689, 114.0619565 22.5596933, 114.0619951 22.5596939, 114.0620364 22.5596918, 114.0620786 22.5596859, 114.0621204 22.5596744, 114.0621656 22.5596567, 114.0622022 22.5596392, 114.0622371 22.5596168, 114.0622697 22.5595927, 114.0623013 22.5595657, 114.062332 22.5595365, 114.0623609 22.5595032, 114.0623853 22.5594698, 114.0624044 22.5594371, 114.0624224 22.5593997, 114.0624356 22.5593647, 114.0624499 22.5593079)",,,,
564015697,8046356986,0,996647540,华富路,primary,True,False,126.588,"LINESTRING (114.0769986 22.5529015, 114.0762624 22.5519884)",,40,,
564015697,8046357058,0,627687966,华富路,primary,True,False,68.357,"LINESTRING (114.0769986 22.5529015, 114.0769669 22.5528128, 114.0769307 22.5527392, 114.0768359 22.5526, 114.0768083 22.5525578, 114.0767801 22.5525088, 114.0767583 22.5524664, 114.0767053 22.5523521)",,40,,
564015792,8046357084,0,891126143,红荔路,primary,True,False,24.154,"LINESTRING (114.0760187 22.5516261, 114.0757849 22.5516024)",,,,
