u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,access,bridge
277057799,564055511,0,996647553,True,笋岗西路,primary,60,False,14.048,,"LINESTRING (114.0909021 22.5583722, 114.0910389 22.5583712)",,
277057799,2885153112,0,771790236,True,上步中路,primary,40,False,66.409,2,"LINESTRING (114.0909021 22.5583722, 114.0909247 22.5582304, 114.0909228 22.5577765)",,
277668607,7205081101,0,284811742,True,,primary_link,,False,91.649,,"LINESTRING (114.0910491 22.5577881, 114.0910588 22.5578792, 114.091083 22.557968, 114.0911212 22.5580525, 114.0911726 22.5581309, 114.091236 22.5582013, 114.09131 22.5582622, 114.091393 22.5583124, 114.0914831 22.5583506, 114.0915784 22.558376)",,
277668607,564055511,0,771790237,True,上步中路,primary,40,False,64.895,2,"LINESTRING (114.0910491 22.5577881, 114.0910497 22.5582111, 114.09105 22.5582669, 114.0910389 22.5583712)",,
278217284,278217366,0,643527680,False,百花二路,tertiary,,True,256.68,,"LINESTRING (114.0909169 22.5562888, 114.0903073 22.5562904, 114.0902006 22.5562826, 114.0900906 22.5562591, 114.0899932 22.5562224, 114.0899106 22.5561781, 114.089837 22.5561209, 114.0888855 22.5552066)",,
278217284,1123369098,0,771790236,True,上步中路,primary,40,False,242.19400000000002,2,"LINESTRING (114.0909169 22.5562888, 114.0909312 22.5546214, 114.0909446 22.5541109)",,
278217359,3002384330,0,25529061,False,百花三路,tertiary,20,False,89.09,2,"LINESTRING (114.0864861 22.5573691, 114.0871054 22.556808)",,
278217359,1123370194,0,643527678,False,百花四路,tertiary,20,True,251.792,2,"LINESTRING (114.0864861 22.5573691, 114.0847965 22.5557281)",,
278217359,8046357208,0,888593240,False,百花四路,tertiary,,False,55.846000000000004,,"LINESTRING (114.0864861 22.5573691, 114.0864813 22.5578003, 114.0864801 22.5578713)",,
278217366,1123369099,0,643527680,False,百花二路,tertiary,,True,84.584,,"LINESTRING (114.0888855 22.5552066, 114.0883148 22.5546581)",,
278217366,3002384330,0,25529061,False,百花三路,tertiary,20,True,255.192,2,"LINESTRING (114.0888855 22.5552066, 114.0882008 22.5558235, 114.0871054 22.556808)",,
278217366,278217284,0,643527680,False,百花二路,tertiary,,False,256.67999999999995,,"LINESTRING (114.0888855 22.5552066, 114.089837 22.5561209, 114.0899106 22.5561781, 114.0899932 22.5562224, 114.0900906 22.5562591, 114.0902006 22.5562826, 114.0903073 22.5562904, 114.0909169 22.5562888)",,
564001303,8201901219,0,31354939,False,松园路,tertiary,,False,21.935,2,"LINESTRING (114.0994713 22.5551025, 114.0992577 22.5551012)",,
564001303,2885180245,0,996519905,True,红岭中路,primary,,False,320.265,4,"LINESTRING (114.0994713 22.5551025, 114.0994074 22.5579821)",,
564002613,564055566,0,1049508299,True,笋岗西路,primary,,False,14.798,,"LINESTRING (114.0910105 22.5584871, 114.0908664 22.558488)",,
564002613,9557025614,0,1049508298,True,上步北路,primary,,False,53.4,2,"LINESTRING (114.0910105 22.5584871, 114.0909122 22.5586865, 114.0907882 22.5589212)",,
564015673,6280023592,0,1058988279,True,笋岗西路,primary,,False,83.94,,"LINESTRING (114.0817323 22.5583733, 114.0813248 22.5583633, 114.0811834 22.558361, 114.0809202 22.5584094)",,
564055511,564002613,0,771790237,True,上步中路,primary,40,False,13.213,2,"LINESTRING (114.0910389 22.5583712, 114.0910105 22.5584871)",,
564055511,8602557884,0,996647553,True,笋岗西路,primary,60,False,44.907,,"LINESTRING (114.0910389 22.5583712, 114.0914762 22.5583751)",,
564055566,2885151954,0,1049508299,True,笋岗西路,primary,,False,77.825,,"LINESTRING (114.0908664 22.558488, 114.0901087 22.5584728)",,
