u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,maxspeed
278935261,2367037758,0,25588787,True,深云立交桥,trunk_link,False,279.028,"LINESTRING (113.983475 22.5611423, 113.9835386 22.5613204, 113.9835951 22.5614152, 113.9836833 22.5614987, 113.9838079 22.5615621, 113.9839495 22.5615908, 113.9841271 22.5615836, 113.9842732 22.561534, 113.9843896 22.561437, 113.9844717 22.5613221, 113.9845217 22.5612126, 113.9845487 22.5610736, 113.9845435 22.5609628, 113.9844964 22.5608152, 113.9844305 22.5607146, 113.9843533 22.5606455, 113.984246 22.5605959, 113.9841173 22.5605587, 113.9839832 22.5605414, 113.9838328 22.5605519)",,,
278935261,1116448642,0,96327292,True,南坪快速路,trunk,False,193.911,"LINESTRING (113.983475 22.5611423, 113.9835358 22.5621034, 113.9835632 22.5623603, 113.9836079 22.5626074, 113.983683 22.5628709)",2,,
664103765,2367037750,0,671753464,True,龙珠大道辅路,secondary,False,35.541,"LINESTRING (113.985245 22.5601539, 113.9849147 22.5602494)",,,
664103765,6388671809,0,682205829,True,,primary_link,False,42.711,"LINESTRING (113.985245 22.5601539, 113.9848293 22.5601668)",,,
1116448445,2550463337,0,96327311,True,南坪快速路,trunk,False,48.198,"LINESTRING (113.9872371 22.5690626, 113.9873475 22.5686413)",3,,
1116448489,1116449012,0,96327311,True,南坪快速路,trunk,False,286.82,"LINESTRING (113.9872325 22.5663873, 113.9870701 22.5661324, 113.9868762 22.5658914, 113.9866377 22.5656438, 113.9863939 22.5654483, 113.9852216 22.5646352)",3,,
1116448642,1116449041,0,"[1058122728, 248224196, 248224204]",True,南坪快速路,trunk,False,886.5380000000001,"LINESTRING (113.983683 22.5628709, 113.9837898 22.5631224, 113.9839179 22.5633428, 113.9840546 22.5635297, 113.9842596 22.5637678, 113.9844764 22.563965, 113.9846961 22.564133, 113.9865213 22.565398, 113.9868297 22.5656209, 113.9870945 22.5658451, 113.9873233 22.5660972, 113.9875083 22.5663436, 113.9876633 22.56664, 113.9877756 22.5669216, 113.9878458 22.567174, 113.9878918 22.5674421, 113.9879062 22.5676858, 113.9878934 22.5679112, 113.9878578 22.5681512, 113.9877919 22.5683976, 113.9875566 22.5691901)",3,yes,
1116449012,1116449051,0,"[248224208, 1058122730, 96327311]",True,南坪快速路,trunk,False,251.15099999999995,"LINESTRING (113.9852216 22.5646352, 113.9849294 22.5644333, 113.9846197 22.5642099, 113.9843834 22.5640273, 113.9841977 22.5638563, 113.9840105 22.5636597, 113.9838201 22.5634062, 113.9836863 22.5632013, 113.9835824 22.5630006)",3,yes,
1116449051,1116457477,0,96328140,True,深云立交桥,trunk_link,False,402.99799999999993,"LINESTRING (113.9835824 22.5630006, 113.9834887 22.562872, 113.9834222 22.5627203, 113.983373 22.562537, 113.9833505 22.5623668, 113.9833144 22.5617308, 113.9832929 22.5614715, 113.9832576 22.5613471, 113.9831817 22.5612439, 113.9830804 22.5611557, 113.9829304 22.5610733, 113.9827581 22.5610347, 113.9825904 22.5610246, 113.9824147 22.561043, 113.9817342 22.5612061, 113.9815342 22.5612495, 113.9813371 22.5612769)",1,,
1116457477,1116457712,0,96328140,True,深云立交桥,trunk_link,False,27.451,"LINESTRING (113.9813371 22.5612769, 113.9810708 22.5612986)",1,,
