u,v,key,osmid,oneway,highway,reversed,length,name,geometry,bridge,ref,lanes,tunnel,access,maxspeed
297383406,8248021580,0,"[364733588, 996597653]",True,"['secondary', 'primary_link']",False,113.23,梅华路,"LINESTRING (114.0390344 22.5657402, 114.039032 22.565758, 114.0390332 22.565778, 114.0390385 22.5658017, 114.0390466 22.5658227, 114.0390572 22.5658432, 114.0390706 22.5658594, 114.0390869 22.5658755, 114.0391068 22.5658906, 114.0391307 22.5659026, 114.0391611 22.5659149, 114.0392222 22.5659394, 114.0399432 22.5662329)",,,,,,
297383406,3687802030,0,364733589,True,primary,False,33.662,新洲路,"LINESTRING (114.0390344 22.5657402, 114.0389848 22.5658319, 114.038934 22.5658852, 114.0388733 22.565917, 114.0388038 22.5659258)",,,,,,
549760033,8248021578,0,43545422,True,primary,False,158.683,新洲路,"LINESTRING (114.0398525 22.564041, 114.0392247 22.565345)",,,,,,
549760035,4899192479,0,672979232,True,trunk_link,False,146.731,,"LINESTRING (114.036026 22.5627031, 114.0368227 22.5627584, 114.0368757 22.562764, 114.0374404 22.5628719)",,,,,,
549760038,549760039,0,43545423,True,primary,False,159.995,北环大道辅路,"LINESTRING (114.0381103 22.5629833, 114.0396321 22.5632922)",,,,,,
549760142,549760029,0,25565486,True,primary,False,111.74,新洲路,"LINESTRING (114.039297 22.5649224, 114.0397145 22.5639944)",,,,,,
549760142,2528818909,0,"[43545427, 545681197, 545681198]",True,primary_link,False,348.841,,"LINESTRING (114.039297 22.5649224, 114.0393532 22.5646724, 114.0393583 22.5646169, 114.039351 22.5645597, 114.039333 22.5645063, 114.039308 22.5644595, 114.0392652 22.5644054, 114.0392117 22.5643566, 114.038238 22.5636188, 114.0381297 22.5635621, 114.0380175 22.5635271, 114.0379053 22.5635033, 114.03776 22.5634813, 114.0370458 22.5633879, 114.0368015 22.5633537)",yes,,,,,
549760239,1342323047,0,1049968035,True,primary,False,144.421,,"LINESTRING (114.039452 22.5636081, 114.0380711 22.5633616)",,,,,,
549760239,549760029,0,27164805,True,primary_link,False,164.767,,"LINESTRING (114.039452 22.5636081, 114.039228 22.5636515, 114.0391422 22.563707, 114.0390564 22.5638021, 114.0390221 22.5638893, 114.0390306 22.5640003, 114.039065 22.5640954, 114.0391422 22.5641747, 114.0392452 22.5642301, 114.039374 22.5642381, 114.0394855 22.564207, 114.0396064 22.5641208, 114.0397145 22.5639944)",,,,,,
549760263,549760265,0,393911167,True,trunk,False,41.74,北环大道,"LINESTRING (114.0359702 22.5628719, 114.0355697 22.5628077)",,G107,,,,
549760265,549760714,0,393911167,True,trunk,False,868.904,北环大道,"LINESTRING (114.0355697 22.5628077, 114.0328757 22.5623274, 114.0316252 22.5621362, 114.0294262 22.5617889, 114.0288254 22.5616938, 114.0272441 22.5614138)",,G107,,,,
549760265,4899192521,0,498524807,True,trunk_link,False,213.77,,"LINESTRING (114.0355697 22.5628077, 114.0347043 22.5627458, 114.0345472 22.5627446, 114.034084 22.562781, 114.0339648 22.5627941, 114.0338492 22.5627953, 114.0334932 22.562784)",,,,,,
549760714,1476460505,0,393911167,True,trunk,False,358.659,北环大道,"LINESTRING (114.0272441 22.5614138, 114.0257501 22.5611231, 114.0242333 22.5608079, 114.0238373 22.5607054)",,G107,,,,
549760799,4899192475,0,45569111,True,trunk,False,417.005,北环大道,"LINESTRING (114.0223347 22.5602733, 114.023408 22.5604615, 114.0242935 22.5606396, 114.0257948 22.560965, 114.0263041 22.5610626)",,G107,,,,
549760799,1116534846,0,96336948,True,trunk_link,False,206.364,,"LINESTRING (114.0223347 22.5602733, 114.0228161 22.56029, 114.0229717 22.5602896, 114.0238366 22.5602863, 114.0239401 22.5602819, 114.024343 22.5603069)",,,,,,
549760818,4899192478,0,45569111,True,trunk,False,290.15099999999995,北环大道,"LINESTRING (114.0322062 22.562047, 114.0329882 22.5621694, 114.0349847 22.5625211)",,G107,,,,
1116534561,7979925037,0,245925468,True,residential,False,126.204,,"LINESTRING (114.036498 22.5624041, 114.037696 22.5626576)",,,,,,
1116534561,4899192479,0,545681203,True,primary,False,110.30000000000001,北环大道辅路,"LINESTRING (114.036498 22.5624041, 114.0365865 22.5624264, 114.036675 22.5624635, 114.0370773 22.5626988, 114.037154 22.5627421, 114.0372307 22.5627804, 114.0374404 22.5628719)",,,,,,
1116534795,7983583661,0,545681203,True,primary,False,189.366,北环大道辅路,"LINESTRING (114.0279001 22.5609893, 114.0297153 22.5612898)",,,,,,
1116534840,549760818,0,545681196,True,trunk_link,False,193.808,,"LINESTRING (114.0304508 22.5614116, 114.0305934 22.5614427, 114.0306927 22.5614725, 114.0307798 22.5615023, 114.03089 22.5615471, 114.0322062 22.562047)",,,,,,
1116534840,7983583686,0,545681203,True,primary,False,60.458,北环大道辅路,"LINESTRING (114.0304508 22.5614116, 114.0305547 22.56142, 114.0306523 22.5614255, 114.0307648 22.5614344, 114.0308706 22.5614483, 114.0310349 22.5614755)",,,,,,
1116534846,3687655988,0,1052079671,True,primary,False,53.41,北环大道辅路,"LINESTRING (114.024343 22.5603069, 114.0248525 22.5604035)",,,,,,
1342322956,8248021579,0,119460292,False,residential,False,64.963,,"LINESTRING (114.0396442 22.5668218, 114.0399127 22.5662928)",,,2,,,
1342323047,549760263,0,672979231,True,trunk_link,False,222.726,,"LINESTRING (114.0380711 22.5633616, 114.037005 22.5631601, 114.0359702 22.5628719)",,,,,,
1342323047,2528818909,0,1052240250,True,primary,False,130.45000000000002,北环大道辅路,"LINESTRING (114.0380711 22.5633616, 114.037728 22.5633444, 114.0376506 22.5633426, 114.0371075 22.5633576, 114.0370491 22.5633573, 114.0368015 22.5633537)",,,1,,,
1342323056,5273698027,0,119460305,False,tertiary,False,97.537,,"LINESTRING (114.0355062 22.5642736, 114.0357226 22.5634195)",,,2,,,
1342323056,8889975138,0,119460305,False,tertiary,True,174.559,,"LINESTRING (114.0355062 22.5642736, 114.0354952 22.564369, 114.0354953 22.5644649, 114.0355078 22.5645389, 114.03553 22.5646266, 114.0355663 22.5646882, 114.0356406 22.564769, 114.0364068 22.565527)",,,2,,,
1342323056,8889975157,0,961016501,False,residential,False,275.54799999999994,,"LINESTRING (114.0355062 22.5642736, 114.0349028 22.5641304, 114.0344805 22.5640302, 114.0342649 22.5639852, 114.0340416 22.5639387, 114.0338771 22.5639092, 114.0336699 22.5638879, 114.0335267 22.5638782, 114.0330642 22.5638684, 114.0329471 22.5638698, 114.032872 22.563872)",,,,,,
1476460478,549760799,0,45569111,True,trunk,False,93.9,北环大道,"LINESTRING (114.0214276 22.5601667, 114.0219675 22.5602274, 114.0223347 22.5602733)",,G107,,,,
1476460505,5273698041,0,25680279,True,trunk_link,False,131.94,,"LINESTRING (114.0238373 22.5607054, 114.0225639 22.5605471)",,,1,,,
1719396409,2529006349,0,245770381,False,residential,True,111.94300000000001,梅亭路,"LINESTRING (114.0271189 22.5685259, 114.0270662 22.5684112, 114.0270082 22.5681972, 114.0269653 22.567895, 114.026976 22.5675384)",,,,,,
1719396409,2535929907,0,246568355,False,residential,True,191.60399999999998,,"LINESTRING (114.0271189 22.5685259, 114.0265812 22.5686826, 114.0264173 22.5687362, 114.0260555 22.5677493)",,,,,,
1719396409,2529006297,0,"[1050511770, 1050511771, 868320846]",True,tertiary,False,125.23,梅山街,"LINESTRING (114.0271189 22.5685259, 114.0272795 22.5684782, 114.0276495 22.5683561, 114.0277142 22.5683347, 114.0281388 22.5681946, 114.0282691 22.5681516)",,,2,,,
2528818909,8324496464,0,996207974,True,primary,False,51.497,北环大道辅路,"LINESTRING (114.0368015 22.5633537, 114.036306 22.5632822)",,,1,,,
2528818941,7979925037,0,"[245746035, 245746036, 245746030]",False,residential,"[False, True]",100.008,,"LINESTRING (114.0375128 22.5635409, 114.0375227 22.5634945, 114.0376701 22.5627978, 114.037696 22.5626576)",,,,yes,,
2528818941,8324496464,0,245746033,True,residential,False,128.014,,"LINESTRING (114.0375128 22.5635409, 114.0365577 22.5633766, 114.0364974 22.5633657, 114.0364374 22.5633501, 114.0363845 22.563329, 114.0363454 22.5633099, 114.036306 22.5632822)",,,,,,
2529006269,8095426122,0,1052079689,True,primary,False,135.588,北环大道辅路,"LINESTRING (114.0269029 22.5617206, 114.0256094 22.5614756)",,,1,,,
