u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,ref,tunnel
503313295,503313313,0,44380098,True,彩田路,primary,False,206.48,,"LINESTRING (114.0624843 22.564346, 114.0624419 22.5662025)",,,
503313295,8889245610,0,34900302,False,彩田工业区一号路,residential,True,481.868,2,"LINESTRING (114.0624843 22.564346, 114.0626654 22.5643483, 114.0628615 22.5643509, 114.0641391 22.5643678, 114.0655567 22.5643865, 114.0671766 22.5644078)",,,
503313313,564638925,0,44419695,True,,trunk_link,False,314.774,,"LINESTRING (114.0624419 22.5662025, 114.0624716 22.5663658, 114.0624902 22.5664887, 114.0625085 22.5666586, 114.0625402 22.5670806, 114.0625444 22.5671963, 114.0625442 22.5673151, 114.0625429 22.5677438, 114.0625498 22.5678072, 114.0625631 22.5678616, 114.0625846 22.567915, 114.0626176 22.5679774, 114.0626614 22.5680374, 114.0627134 22.5680942, 114.0627675 22.5681449, 114.0628367 22.5681984, 114.0629162 22.5682488, 114.0630109 22.5682997, 114.0631052 22.5683396, 114.0632062 22.5683733, 114.0633323 22.5684042, 114.0635758 22.5684585)",,,
503313313,564638912,0,"[1039311779, 44419749, 44419741]",True,彩田路,primary,False,351.2689999999999,,"LINESTRING (114.0624419 22.5662025, 114.0624418 22.566422, 114.0624457 22.5665531, 114.0624532 22.5666834, 114.0624685 22.566986, 114.0624719 22.5671181, 114.0624736 22.5672592, 114.0624536 22.5676714, 114.0624175 22.5681283, 114.0623769 22.5685237, 114.0623546 22.5686358, 114.0623277 22.5687399, 114.0622868 22.5688512, 114.0622453 22.5689607, 114.0622084 22.5690779, 114.0621593 22.5693311)",yes,,
504637174,875924264,0,1055004290,True,北环大道,trunk,False,243.276,,"LINESTRING (114.0712346 22.5696774, 114.0688988 22.5693109)",,G107,
504637181,6043430510,0,"[377728596, 41275559]",True,,trunk_link,False,317.76300000000003,,"LINESTRING (114.0669434 22.5690239, 114.0668026 22.569025, 114.0666944 22.5690421, 114.0665931 22.5690792, 114.0664817 22.5691309, 114.0663885 22.5691984, 114.0663169 22.5692757, 114.0662652 22.5693677, 114.0662346 22.5694635, 114.0662236 22.5695498, 114.0662319 22.5696356, 114.0662639 22.5697306, 114.0663246 22.569837, 114.0663836 22.5699029, 114.0664693 22.5699637, 114.0665737 22.570008, 114.0666831 22.5700353, 114.0667883 22.5700439, 114.0669145 22.5700316, 114.0670202 22.5700044, 114.0671167 22.569959, 114.0671892 22.5699101, 114.0672658 22.5698357, 114.0673219 22.5697617, 114.0673585 22.5696423, 114.0673792 22.5695704, 114.0674002 22.5694682, 114.0674262 22.5692569)",yes,,
504637181,504640877,0,1055004290,True,北环大道,trunk,False,212.35399999999998,,"LINESTRING (114.0669434 22.5690239, 114.0667159 22.5689978, 114.0648902 22.5687949)",,G107,
504637193,8887740833,0,393911167,True,北环大道,trunk,False,197.91099999999997,,"LINESTRING (114.0631458 22.5685928, 114.0629093 22.5685543, 114.0626666 22.5685102, 114.0624416 22.5684622, 114.062278 22.5684184, 114.0621337 22.5683736, 114.0619605 22.5683158, 114.0617486 22.5682327, 114.0615131 22.5681328, 114.0613217 22.5680467)",,G107,
504640691,504640707,0,41275539,True,,trunk_link,False,174.904,,"LINESTRING (114.0676903 22.5680836, 114.06772 22.5681974, 114.0677565 22.5682991, 114.067801 22.5683935, 114.0678538 22.5684985, 114.0679156 22.5685951, 114.0679815 22.5686793, 114.0680638 22.5687655, 114.0681481 22.5688391, 114.0682283 22.5688928, 114.0683197 22.5689387, 114.0684117 22.5689758, 114.0685198 22.5690142, 114.068625 22.5690467, 114.0688347 22.5691051)",,,
504640707,2787061089,0,1055004296,True,北环大道,trunk,False,92.949,,"LINESTRING (114.0688347 22.5691051, 114.0691458 22.5691584, 114.0697252 22.5692553)",,G107,
504640818,504640847,0,41275554,True,,trunk_link,False,311.5909999999999,,"LINESTRING (114.0650622 22.5686188, 114.0655082 22.5686325, 114.0658915 22.5686443, 114.0663415 22.5686816, 114.0664771 22.5686779, 114.0666065 22.5686502, 114.0667588 22.5685925, 114.0668737 22.5685382, 114.0669662 22.568477, 114.0670511 22.5684092, 114.067139 22.5683165, 114.0672157 22.5682254, 114.0672833 22.5681121, 114.0673434 22.5680012, 114.067381 22.567894, 114.0674121 22.5677996, 114.06745 22.5676153)",,,
504640818,504640707,0,1055004296,True,北环大道,trunk,False,391.218,,"LINESTRING (114.0650622 22.5686188, 114.0666062 22.5687841, 114.0678148 22.5689414, 114.0688347 22.5691051)",,G107,
504640847,2377771325,0,1057874093,True,皇岗路,trunk,False,87.083,3,"LINESTRING (114.06745 22.5676153, 114.0674671 22.5668323)",,,
