u,v,key,osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,bridge,access,ref,maxspeed
513668844,7891594504,0,499854776,True,2,新田交匯處 San Tin Interchange,primary,roundabout,False,35.152,"LINESTRING (114.0814884 22.5017685, 114.0815333 22.5018271, 114.0815885 22.5018775, 114.0816526 22.5019181, 114.0817233 22.5019477, 114.0817531 22.5019572)",,,,
513668884,513668844,0,499854773,True,3,新田交匯處 San Tin Interchange,primary,roundabout,False,18.793,"LINESTRING (114.08142 22.5016146, 114.0814284 22.5016696, 114.0814546 22.5017173, 114.0814884 22.5017685)",,,,
513668891,513675558,0,669298123,True,1,落馬洲路 Lok Ma Chau Road,primary,,False,32.804,"LINESTRING (114.0817985 22.5019654, 114.0820493 22.502148)",,,,
513668891,513668908,0,"[41725394, 832252988, 41725390]",True,2,新田交匯處 San Tin Interchange,primary,roundabout,False,101.195,"LINESTRING (114.0817985 22.5019654, 114.081866 22.5019707, 114.0819335 22.5019664, 114.0819995 22.5019525, 114.0820625 22.5019295, 114.0821293 22.5018937, 114.0821878 22.501847, 114.0822365 22.5017915, 114.0822738 22.501729, 114.0822987 22.5016613, 114.0823103 22.5016017, 114.0823122 22.5015412, 114.0823043 22.5014811, 114.0822869 22.5014227, 114.0822604 22.5013673)",yes,,,
513668908,513668910,0,41725394,True,2,新田交匯處 San Tin Interchange,primary,roundabout,False,21.930999999999997,"LINESTRING (114.0822604 22.5013673, 114.082199 22.5012866, 114.0821184 22.501222)",,,,
513668910,513675417,0,168838613,True,1,,primary,,False,118.899,"LINESTRING (114.0821184 22.501222, 114.0820337 22.5010674, 114.0816008 22.5007015, 114.0813147 22.5004661)",,,,
513668910,513668884,0,"[41725392, 837569414, 41725391]",True,2,新田交匯處 San Tin Interchange,primary,roundabout,False,104.38099999999999,"LINESTRING (114.0821184 22.501222, 114.0820485 22.5011864, 114.0819729 22.501163, 114.0818939 22.5011527, 114.0818141 22.5011556, 114.0817363 22.5011718, 114.0816718 22.5011956, 114.0816122 22.5012287, 114.0815591 22.5012701, 114.0815136 22.5013186, 114.0814769 22.5013732, 114.08145 22.5014324, 114.0814406 22.5014614, 114.0814331 22.5014951, 114.0814292 22.5015145, 114.0814273 22.5015421, 114.08142 22.5016146)",yes,,,
513669016,513675558,0,272790967,True,1,,primary_link,,False,65.42099999999999,"LINESTRING (114.0814442 22.5021052, 114.0815592 22.502063, 114.0816477 22.5020458, 114.0817228 22.5020458, 114.0817435 22.5020483, 114.0817831 22.502052, 114.0818622 22.5020693, 114.0820493 22.502148)",,no,,
513669016,7891594504,0,499854760,True,2,新深路 San Sham Road,primary,,False,36.38,"LINESTRING (114.0814442 22.5021052, 114.0815916 22.5020042, 114.0816499 22.5019774, 114.0817531 22.5019572)",,no,,
513675386,598503118,0,"[845874656, 277509393]",True,3,粉嶺公路 Fanling Highway,motorway,,False,945.8990000000001,"LINESTRING (114.0858264 22.5037281, 114.086324 22.503869, 114.086797 22.5039914, 114.0872669 22.5040886, 114.0877258 22.5041792, 114.0877731 22.5041857, 114.0878794 22.5041954, 114.0882666 22.5042305, 114.0888751 22.5042846, 114.0891544 22.5042904, 114.0893764 22.5042951, 114.0894883 22.5042974, 114.0898809 22.5042912, 114.0901245 22.5042874, 114.0905048 22.5042691, 114.090737 22.504258, 114.090867 22.5042518, 114.0913334 22.5042151, 114.0920266 22.5041605, 114.0925748 22.5041173, 114.0929115 22.5040907, 114.0933121 22.5040592, 114.0934849 22.5040455, 114.0937919 22.5040214, 114.0949494 22.5039302)",,,9,100
513675390,1492216085,0,"[157803704, 832252989]",True,"['1', '2']",落馬洲路 Lok Ma Chau Road,primary_link,,False,114.84,"LINESTRING (114.0826618 22.5025678, 114.0829663 22.5027474, 114.0829957 22.5027712, 114.0830358 22.5028448, 114.0830346 22.5028887, 114.0830062 22.5029683, 114.0829249 22.5030755, 114.0828829 22.5031293, 114.0827586 22.5033576)",,,,
513675390,513675386,0,"[272790968, 845874661]",True,1,,motorway_link,,False,350.22999999999996,"LINESTRING (114.0826618 22.5025678, 114.083062 22.5027437, 114.0835168 22.5029301, 114.0837932 22.5030417, 114.0840825 22.5031585, 114.0844543 22.5032925, 114.0850626 22.5035149, 114.0858264 22.5037281)",,,,
513675401,513675501,0,"[168838632, 845874628, 845874660]",True,"['1', '2']",,motorway_link,,False,274.443,"LINESTRING (114.0857309 22.5035644, 114.0853485 22.503385, 114.0852579 22.5033441, 114.0850769 22.5032549, 114.0848458 22.5031379, 114.0847036 22.5030621, 114.0842776 22.502804, 114.0838483 22.5024638, 114.0835021 22.5022221)",,,,
513675501,513668908,0,157803696,True,1,,primary,,False,160.17399999999998,"LINESTRING (114.0835021 22.5022221, 114.0834025 22.5021545, 114.0833606 22.5021227, 114.083098 22.5019235, 114.0827499 22.501625, 114.082566 22.5014965, 114.0822604 22.5013673)",,,,
513675558,513675390,0,845874646,True,2,落馬洲路 Lok Ma Chau Road,primary,,False,78.36,"LINESTRING (114.0820493 22.502148, 114.082573 22.5025011, 114.0826618 22.5025678)",,,,
598503081,1492216100,0,"[782352929, 848445069, 848445071, 848445074, 442562239]",True,"['1', '2']",青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,235.45999999999998,"LINESTRING (114.0805465 22.5022967, 114.0805914 22.5023352, 114.0806142 22.5023547, 114.0809344 22.5026495, 114.081012 22.5027209, 114.0810379 22.5027441, 114.0811091 22.5028079, 114.0812015 22.502881, 114.0813116 22.5029532, 114.0815053 22.5030803, 114.0819173 22.5033101, 114.0821803 22.5034449, 114.0823859 22.5035329)",,,,
598503086,1700554352,0,157803650,True,,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,intersection,False,7.875,"LINESTRING (114.0826851 22.5036461, 114.0827571 22.5036704)",,,,
598503086,1492216128,0,157803661,True,1,落馬洲路 Lok Ma Chau Road,tertiary,intersection,False,31.299999999999997,"LINESTRING (114.0826851 22.5036461, 114.082664 22.5036897, 114.0826464 22.5037155, 114.0825383 22.5038925)",,,,
598503087,1492216125,0,848445067,True,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,24.129,"LINESTRING (114.0831001 22.5037651, 114.0833339 22.5037859)",,,,
598503103,7591257482,0,"[1120836832, 1120836833, 46875079, 46875080, 46875081]",False,2,白石凹交匯處 Pak Shek Au Interchange,tertiary,,False,119.63,"LINESTRING (114.0913655 22.5048544, 114.0913543 22.5046802, 114.0913474 22.5045723, 114.0913409 22.5044709, 114.0913277 22.5043199, 114.0913055 22.5040055, 114.0912926 22.5038691, 114.0912879 22.503781)",yes,,,
598503118,598503342,0,277509396,True,3,粉嶺公路 Fanling Highway,motorway,,False,247.719,"LINESTRING (114.0949494 22.5039302, 114.0951523 22.5039138, 114.0964293 22.5038171, 114.0973526 22.5037466)",,,9,100
598503143,598503145,0,1004100319,False,2,古洞路 Kwu Tung Road,tertiary,,False,115.712,"LINESTRING (114.0829566 22.5014869, 114.0839034 22.5020506)",,,,
598503145,598503143,0,1004100319,False,2,古洞路 Kwu Tung Road,tertiary,,True,115.712,"LINESTRING (114.0839034 22.5020506, 114.0829566 22.5014869)",,,,
598503145,513675501,0,168838611,True,1,,primary_link,,False,50.301,"LINESTRING (114.0839034 22.5020506, 114.0837962 22.502179, 114.0837397 22.5022178, 114.0836625 22.5022423, 114.0835866 22.5022366, 114.0835021 22.5022221)",,,,
598503145,1700554314,0,1004100319,False,2,古洞路 Kwu Tung Road,tertiary,,False,193.906,"LINESTRING (114.0839034 22.5020506, 114.0844479 22.5023616, 114.0847242 22.5025041, 114.0850689 22.5026553, 114.0855812 22.5028386)",,,,
598503263,598503291,0,"[845874658, 277509418, 845874654, 845874655]",True,3,粉嶺公路 Fanling Highway,motorway,,False,705.523,"LINESTRING (114.0951425 22.5037779, 114.0937886 22.5038853, 114.0934747 22.5039102, 114.0933007 22.503923, 114.0928925 22.503953, 114.0925583 22.5039775, 114.0920177 22.5040173, 114.0908575 22.5041025, 114.0907288 22.504112, 114.0904973 22.504129, 114.0901271 22.5041465, 114.0898706 22.5041587, 114.0894826 22.5041695, 114.0893778 22.5041724, 114.089163 22.504159, 114.0888857 22.5041416, 114.0882937 22.5041045)",,,9,100
598503263,7591257482,0,"[845874659, 46875083]",True,1,,motorway_link,,False,396.2150000000001,"LINESTRING (114.0951425 22.5037779, 114.0937831 22.5037268, 114.0934522 22.503727, 114.0927649 22.5037342, 114.0922932 22.5037368, 114.0917155 22.5037614, 114.0916127 22.5037657, 114.0913829 22.5037755, 114.0912879 22.503781)",,,,
598503284,598503263,0,315897113,True,3,粉嶺公路 Fanling Highway,motorway,,False,234.127,"LINESTRING (114.0974151 22.5036193, 114.0964295 22.5036929, 114.0951425 22.5037779)",,,9,100
598503291,6062651144,0,"[135960929, 845874652, 782352913]",True,"['1', '2']",,motorway_link,,False,334.12,"LINESTRING (114.0882937 22.5041045, 114.0879195 22.5039948, 114.0878251 22.5039729, 114.0877721 22.5039625, 114.0873214 22.5038494, 114.0868615 22.5037299, 114.0856485 22.503324, 114.0855357 22.5032749, 114.085397 22.503211, 114.0852217 22.5031347)",,no,,50
598503291,513675401,0,"[277509400, 845874653]",True,2,粉嶺公路 Fanling Highway,motorway,,False,270.952,"LINESTRING (114.0882937 22.5041045, 114.087887 22.5040773, 114.087795 22.5040677, 114.0877409 22.50406, 114.0872738 22.5039765, 114.0868156 22.5038631, 114.0863649 22.5037543, 114.0858918 22.5036154, 114.0857309 22.5035644)",,,9,100
