u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes
2529006271,2529006398,0,246568777,residential,False,True,164.915,,"LINESTRING (114.0343172 22.571787, 114.0348495 22.5703877)",
2529006271,2529006369,0,245770381,residential,False,False,172.21200000000002,梅亭路,"LINESTRING (114.0343172 22.571787, 114.0346844 22.57187, 114.0350545 22.5719146, 114.0354998 22.5719146, 114.035973 22.5718368)",
2529006271,8090185989,0,245770381,residential,False,True,179.445,梅亭路,"LINESTRING (114.0343172 22.571787, 114.0340192 22.5716768, 114.0334988 22.5714292, 114.0328601 22.571021, 114.0328071 22.5709871)",
2529006287,2529006369,0,245770381,residential,False,True,122.256,梅亭路,"LINESTRING (114.0370557 22.5713923, 114.0367017 22.5715805, 114.0363313 22.5717412, 114.035973 22.5718368)",
2529006287,8090185870,0,246568335,residential,False,False,202.08399999999997,,"LINESTRING (114.0370557 22.5713923, 114.0371125 22.5715168, 114.03738 22.5718771, 114.0374431 22.5719582, 114.037517 22.5720483, 114.0375843 22.5721206, 114.0376493 22.5721822, 114.0377192 22.5722399, 114.0377958 22.572297, 114.0378812 22.5723545, 114.0380027 22.5724326, 114.0382888 22.5726175, 114.0383922 22.5726851)",
2529006363,2535936958,0,245770381,residential,False,False,68.499,梅亭路,"LINESTRING (114.0314559 22.5702406, 114.0318251 22.570379, 114.0320576 22.5705033)",
2529006369,2535937018,0,246568767,residential,False,True,163.195,,"LINESTRING (114.035973 22.5718368, 114.0355391 22.5704249)",
2529006369,2529006287,0,245770381,residential,False,False,122.256,梅亭路,"LINESTRING (114.035973 22.5718368, 114.0363313 22.5717412, 114.0367017 22.5715805, 114.0370557 22.5713923)",
2529006369,2529006271,0,245770381,residential,False,True,172.21200000000002,梅亭路,"LINESTRING (114.035973 22.5718368, 114.0354998 22.5719146, 114.0350545 22.5719146, 114.0346844 22.57187, 114.0343172 22.571787)",
2529006398,2529006271,0,246568777,residential,False,False,164.915,,"LINESTRING (114.0348495 22.5703877, 114.0343172 22.571787)",
2529006398,2535937018,0,245770386,residential,False,False,71.624,,"LINESTRING (114.0348495 22.5703877, 114.0351672 22.5704434, 114.0353706 22.5704499, 114.0355391 22.5704249)",
2535936958,8090185988,0,245770381,residential,False,False,86.7,梅亭路,"LINESTRING (114.0320576 22.5705033, 114.0327496 22.5709501)",
2535936958,2529006363,0,245770381,residential,False,True,68.499,梅亭路,"LINESTRING (114.0320576 22.5705033, 114.0318251 22.570379, 114.0314559 22.5702406)",
2535936958,2535936986,0,246568766,residential,False,True,110.596,,"LINESTRING (114.0320576 22.5705033, 114.0317612 22.5709317, 114.0317362 22.5714174)",
2535936972,8090185939,0,246568765,residential,False,False,7.433,,"LINESTRING (114.0323635 22.5714267, 114.0324352 22.5714359)",
2535936972,2535936986,0,246568765,residential,False,True,64.418,,"LINESTRING (114.0323635 22.5714267, 114.0317362 22.5714174)",
2535936972,8090185988,0,"[27104763, 867935350]","['residential', 'tertiary']",True,False,66.187,梅丽路,"LINESTRING (114.0323635 22.5714267, 114.0323836 22.5713993, 114.0326333 22.5710929, 114.0326731 22.571044, 114.0327496 22.5709501)",
2535936986,2535936972,0,246568765,residential,False,False,64.418,,"LINESTRING (114.0317362 22.5714174, 114.0323635 22.5714267)",
2535936986,2535936958,0,246568766,residential,False,False,110.596,,"LINESTRING (114.0317362 22.5714174, 114.0317612 22.5709317, 114.0320576 22.5705033)",
2535936994,2535936994,0,246568762,unclassified,True,False,61.094,,"LINESTRING (114.028709 22.5714089, 114.0287363 22.5714266, 114.0287527 22.5714469, 114.0287631 22.5714759, 114.0287621 22.5715063, 114.0287549 22.5715264, 114.0287359 22.5715511, 114.0286937 22.5715735, 114.0286612 22.5715763, 114.0286239 22.5715661, 114.0285981 22.5715474, 114.0285807 22.5715216, 114.0285755 22.5715056, 114.0285749 22.571475, 114.0285832 22.5714504, 114.0286028 22.5714254, 114.0286262 22.5714101, 114.0286583 22.5714013, 114.0286917 22.5714033, 114.028709 22.5714089)",
2535936994,2535937080,0,246568770,unclassified,False,True,495.87899999999996,,"LINESTRING (114.028709 22.5714089, 114.0286837 22.5713269, 114.0282072 22.570954, 114.0281178 22.5708712, 114.0280722 22.5707994, 114.0280758 22.5707361, 114.0281214 22.5706717, 114.0281885 22.5706296, 114.0282555 22.5706147, 114.0292184 22.5710011, 114.0293257 22.571068, 114.0293901 22.5711324, 114.0296395 22.5716624, 114.0297254 22.5718308, 114.0298478 22.5720452, 114.0300302 22.5721764, 114.0301911 22.5722532, 114.0304084 22.5722829, 114.031006 22.5722828)",
2535937018,2529006369,0,246568767,residential,False,False,163.195,,"LINESTRING (114.0355391 22.5704249, 114.035973 22.5718368)",
2535937018,2529006398,0,245770386,residential,False,True,71.624,,"LINESTRING (114.0355391 22.5704249, 114.0353706 22.5704499, 114.0351672 22.5704434, 114.0348495 22.5703877)",
2535937080,8090185940,0,72241845,residential,False,True,560.759,,"LINESTRING (114.031006 22.5722828, 114.030876 22.5723683, 114.0308358 22.5724252, 114.0308197 22.5725119, 114.0308295 22.5725727, 114.0308671 22.5726396, 114.0316932 22.5736823, 114.0317334 22.5737046, 114.031796 22.5737156, 114.031847 22.5737057, 114.0318953 22.5736785, 114.0321286 22.5735249, 114.0322788 22.5734481, 114.0324585 22.5733862, 114.0326731 22.5733367, 114.0328823 22.5733144, 114.0331371 22.5732995, 114.0329682 22.5722419, 114.0322708 22.5717593)",
2535937080,2535936994,0,246568770,unclassified,False,False,495.8789999999999,,"LINESTRING (114.031006 22.5722828, 114.0304084 22.5722829, 114.0301911 22.5722532, 114.0300302 22.5721764, 114.0298478 22.5720452, 114.0297254 22.5718308, 114.0296395 22.5716624, 114.0293901 22.5711324, 114.0293257 22.571068, 114.0292184 22.5710011, 114.0282555 22.5706147, 114.0281885 22.5706296, 114.0281214 22.5706717, 114.0280758 22.5707361, 114.0280722 22.5707994, 114.0281178 22.5708712, 114.0282072 22.570954, 114.0286837 22.5713269, 114.028709 22.5714089)",
2535937080,8090186011,0,867935350,residential,True,False,160.21999999999994,,"LINESTRING (114.031006 22.5722828, 114.0310279 22.572231, 114.0319551 22.5717905, 114.0320181 22.571758, 114.0320601 22.5717338, 114.0320998 22.5717117, 114.0321371 22.5716869, 114.0321722 22.5716594, 114.0321967 22.5716373, 114.0322276 22.5716066, 114.0322596 22.5715691, 114.0322966 22.5715185)",
8090185853,8090185854,0,996247157,tertiary,False,False,6.615,梅北三路,"LINESTRING (114.0375152 22.5745462, 114.0374509 22.5745425)",2
8090185853,8090185854,1,"[867935339, 996247158, 996247159]","['tertiary_link', 'tertiary']",True,False,240.84199999999993,龙尾路,"LINESTRING (114.0375152 22.5745462, 114.0374767 22.5746374, 114.0374573 22.5746835, 114.0374299 22.574755, 114.0374095 22.5748122, 114.0373939 22.5748629, 114.0373844 22.5749009, 114.0373781 22.5749328, 114.0373736 22.5749636, 114.0373709 22.5750015, 114.0373688 22.5750402, 114.0373542 22.5755475, 114.0373262 22.5755998, 114.0372983 22.5755478, 114.0373066 22.5750394, 114.0373101 22.574992, 114.0373154 22.5749373, 114.0373234 22.5748809, 114.037334 22.5748335, 114.037349 22.5747853, 114.0373703 22.5747314, 114.0373986 22.5746642, 114.0374184 22.5746182, 114.0374509 22.5745425)",2
8090185854,8090185853,0,996247157,tertiary,False,True,6.615,梅北三路,"LINESTRING (114.0374509 22.5745425, 114.0375152 22.5745462)",2
8090185854,8090185870,0,867935340,tertiary,True,False,229.22899999999998,龙尾路,"LINESTRING (114.0374509 22.5745425, 114.0375157 22.5743915, 114.03754 22.5743347, 114.0380367 22.5731925, 114.038055 22.5731497, 114.0380749 22.5731072, 114.0380986 22.5730652, 114.0381203 22.57303, 114.0381463 22.5729901, 114.0381755 22.5729486, 114.0382094 22.572904, 114.0382453 22.5728607, 114.0382809 22.5728174, 114.0383922 22.5726851)",2
8090185869,8090185870,0,246568335,residential,False,True,5.683,,"LINESTRING (114.0384374 22.5727146, 114.0383922 22.5726851)",
8090185869,8090185853,0,996247165,tertiary,True,False,225.82100000000003,龙尾路,"LINESTRING (114.0384374 22.5727146, 114.0383275 22.5728438, 114.0382829 22.5728988, 114.038245 22.5729467, 114.0381938 22.5730153, 114.0381681 22.5730535, 114.0381452 22.573093, 114.0381262 22.5731301, 114.0381044 22.5731756, 114.0380836 22.5732195, 114.0375974 22.5743514, 114.0375724 22.5744106, 114.0375152 22.5745462)",2
8090185870,8090185869,0,246568335,residential,False,False,5.683,,"LINESTRING (114.0383922 22.5726851, 114.0384374 22.5727146)",
8090185870,2529006287,0,246568335,residential,False,True,202.084,,"LINESTRING (114.0383922 22.5726851, 114.0382888 22.5726175, 114.0380027 22.5724326, 114.0378812 22.5723545, 114.0377958 22.572297, 114.0377192 22.5722399, 114.0376493 22.5721822, 114.0375843 22.5721206, 114.037517 22.5720483, 114.0374431 22.5719582, 114.03738 22.5718771, 114.0371125 22.5715168, 114.0370557 22.5713923)",
