u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name
858569092,8090185912,0,867935343,True,1,tertiary_link,False,31.090000000000003,"LINESTRING (114.0420587 22.5705142, 114.0421233 22.5704933, 114.042176 22.5704637, 114.0422182 22.5704285, 114.0422543 22.5703923, 114.0422885 22.570344)",
858569092,8090185697,0,996597650,True,2,secondary,False,20.381999999999998,"LINESTRING (114.0420587 22.5705142, 114.0421557 22.5705183, 114.0421963 22.570518, 114.0422571 22.5705175)",梅林路
1342323016,7321496975,0,783847425,False,2,tertiary,False,128.90200000000002,"LINESTRING (114.0482636 22.5724889, 114.0481729 22.5725397, 114.0481152 22.572561, 114.0477957 22.5726174, 114.047426 22.5726197, 114.0471306 22.5726194, 114.047054 22.5726207, 114.0470338 22.5726205)",公安街
1342323016,7311273906,0,996247154,True,2,tertiary,False,26.424999999999997,"LINESTRING (114.0482636 22.5724889, 114.0482753 22.5723834, 114.04828 22.5723411, 114.0482927 22.5722528)",梅村路
2311661612,2311661716,0,222184259,False,,residential,True,323.31100000000004,"LINESTRING (114.0599404 22.5766383, 114.0599725 22.5767027, 114.0599886 22.5767522, 114.0599779 22.5768216, 114.0591357 22.5775794, 114.0587334 22.5776785, 114.0573855 22.5776891)",
2311661612,9199405623,0,996247183,False,2,tertiary,False,158.75,"LINESTRING (114.0599404 22.5766383, 114.059876 22.5765987, 114.059755 22.5765377, 114.0596531 22.5764585, 114.059181 22.5760424, 114.0590684 22.575983, 114.0589318 22.57593, 114.0588085 22.575925, 114.0586647 22.575925)",梅坳八路
2311661673,2311661728,0,996247169,False,2,tertiary,True,89.898,"LINESTRING (114.0550739 22.5766577, 114.0559492 22.5766779)",梅坳八路
2311661673,2311661679,0,222184262,False,,residential,False,121.327,"LINESTRING (114.0550739 22.5766577, 114.0550118 22.5767879, 114.0545977 22.5776563)",梅坳三路
2311661673,8099260704,0,375685620,False,2,tertiary,False,121.03300000000002,"LINESTRING (114.0550739 22.5766577, 114.0546279 22.5766406, 114.054572 22.5766358, 114.0545275 22.5766287, 114.0544839 22.5766191, 114.0544367 22.5766067, 114.0543962 22.5765919, 114.054353 22.5765739, 114.054121 22.5764566, 114.0540946 22.5764432, 114.0539615 22.5763761)",梅坳八路
2311661679,2311661750,0,222184262,False,,residential,False,136.347,"LINESTRING (114.0545977 22.5776563, 114.0540593 22.5787772)",梅坳三路
2311661679,2311661673,0,222184262,False,,residential,True,121.327,"LINESTRING (114.0545977 22.5776563, 114.0550118 22.5767879, 114.0550739 22.5766577)",梅坳三路
2311661679,8099260726,0,456981391,False,,residential,True,117.176,"LINESTRING (114.0545977 22.5776563, 114.0544392 22.5775902, 114.0537116 22.5772868, 114.0535576 22.5772226)",梅坳七路
2311661712,8099260708,0,996247168,False,,residential,True,6.53,"LINESTRING (114.0523316 22.5795776, 114.0523893 22.5796023)",梅坳五路
2311661712,8099260731,0,34900290,True,2,tertiary,False,155.783,"LINESTRING (114.0523316 22.5795776, 114.0524128 22.5794139, 114.0524364 22.5793664, 114.0528578 22.5785033, 114.0528817 22.5784543, 114.0529566 22.578301)",梅坳二路
2311661712,2311661737,0,"[996247168, 456981393]",False,,residential,False,245.042,"LINESTRING (114.0523316 22.5795776, 114.052132 22.5794924, 114.0515367 22.5792323, 114.0521525 22.5779611)","['梅坳五路', '梅坳一路']"
2311661716,2311661612,0,222184259,False,,residential,False,323.311,"LINESTRING (114.0573855 22.5776891, 114.0587334 22.5776785, 114.0591357 22.5775794, 114.0599779 22.5768216, 114.0599886 22.5767522, 114.0599725 22.5767027, 114.0599404 22.5766383)",
2311661728,2311680454,0,222186293,False,,residential,False,138.154,"LINESTRING (114.0559492 22.5766779, 114.0562121 22.5778964)",
2311661728,2311661673,0,996247169,False,2,tertiary,False,89.898,"LINESTRING (114.0559492 22.5766779, 114.0550739 22.5766577)",梅坳八路
2311661728,9199405623,0,996247169,False,2,tertiary,True,294.64700000000005,"LINESTRING (114.0559492 22.5766779, 114.0569524 22.5762321, 114.0578077 22.5759879, 114.0579984 22.5759547, 114.0586647 22.575925)",梅坳八路
2311661737,8099260731,0,222184260,False,,residential,False,90.80000000000001,"LINESTRING (114.0521525 22.5779611, 114.0522506 22.5780014, 114.0528077 22.5782378, 114.0529566 22.578301)",梅坳六路
2311661737,8099260725,0,"[456981393, 456981391]",False,,residential,False,225.23999999999998,"LINESTRING (114.0521525 22.5779611, 114.0525233 22.5771957, 114.0526877 22.5768599, 114.0533183 22.5771228, 114.0534957 22.5771968)","['梅坳一路', '梅坳七路']"
2311661737,2311661712,0,"[996247168, 456981393]",False,,residential,True,245.042,"LINESTRING (114.0521525 22.5779611, 114.0515367 22.5792323, 114.052132 22.5794924, 114.0523316 22.5795776)","['梅坳五路', '梅坳一路']"
2311661750,2311661679,0,222184262,False,,residential,True,136.347,"LINESTRING (114.0540593 22.5787772, 114.0545977 22.5776563)",梅坳三路
2311661750,8099260732,0,222184260,False,,residential,True,118.20899999999999,"LINESTRING (114.0540593 22.5787772, 114.0538916 22.5786993, 114.0538531 22.5786815, 114.0531544 22.578385, 114.0530167 22.5783265)",梅坳六路
2311661750,2311667568,0,"[456981392, 222184262]",False,,residential,False,237.536,"LINESTRING (114.0540593 22.5787772, 114.0534411 22.5800645, 114.0527284 22.5797531)","['梅坳三路', '梅坳五路']"
2311667555,8099260627,0,535832116,False,2,residential,True,7.62,"LINESTRING (114.0539684 22.5740165, 114.0540426 22.5740177)",八一路
2311667555,2311680450,0,222184850,False,,residential,False,208.716,"LINESTRING (114.0539684 22.5740165, 114.0539021 22.5740162, 114.0538582 22.574016, 114.0527857 22.5740067, 114.0527285 22.5739955, 114.0526806 22.5739694, 114.0526534 22.5739329, 114.0526369 22.5738928, 114.0525241 22.5733097)",广康路
2311667555,8099260653,0,"[996247149, 996247150]",True,,secondary,False,289.33299999999997,"LINESTRING (114.0539684 22.5740165, 114.0539711 22.5738617, 114.0539968 22.5723877, 114.0540022 22.5720773, 114.0540116 22.5715381, 114.0540137 22.5714148)",中康路
2311667568,8099260708,0,456981392,False,,residential,False,38.644,"LINESTRING (114.0527284 22.5797531, 114.0523893 22.5796023)",梅坳五路
2311667568,2311661750,0,"[456981392, 222184262]",False,,residential,True,237.536,"LINESTRING (114.0527284 22.5797531, 114.0534411 22.5800645, 114.0540593 22.5787772)","['梅坳五路', '梅坳三路']"
2311674629,7308603972,0,784080762,False,2,tertiary,True,29.048000000000002,"LINESTRING (114.0451014 22.5753133, 114.0450993 22.5752321, 114.0450983 22.5751521, 114.0450986 22.5750521)",公安街
2311674629,3790313146,0,996247156,False,,residential,False,269.821,"LINESTRING (114.0451014 22.5753133, 114.0450222 22.5753146, 114.0444763 22.5753234, 114.0442711 22.5753441, 114.0425191 22.5757102)",
2311674629,8099260693,0,"[1077210496, 375685620]",False,2,"['residential', 'tertiary']",True,1252.1740000000004,"LINESTRING (114.0451014 22.5753133, 114.0451808 22.5753118, 114.0451927 22.5753116, 114.0452103 22.5753113, 114.0460196 22.5752963, 114.0460297 22.5752961, 114.0460806 22.5752952, 114.0474071 22.5752705, 114.0477443 22.5751709, 114.0479115 22.5750865, 114.0480689 22.5750018, 114.048214 22.5748921, 114.0483304 22.5747647, 114.048454 22.5745348, 114.0486053 22.5742533, 114.0488215 22.5738184, 114.0490857 22.5733132, 114.0491832 22.5731747, 114.0492815 22.5730581, 114.0493547 22.5729875, 114.0494357 22.5729219, 114.049472 22.5729047, 114.0495777 22.5728565, 114.0496216 22.57284, 114.0497034 22.572811, 114.0497988 22.5727803, 114.0498407 22.5727682, 114.0498941 22.5727542, 114.0500282 22.5727215, 114.0501785 22.5727078, 114.0504306 22.5727103, 114.0506838 22.5727979, 114.0510968 22.5729862, 114.0512983 22.5731164, 114.0514616 22.5733577, 114.0518937 22.5743598, 114.0520225 22.5745777, 114.0523443 22.574974, 114.0524731 22.5751325, 114.0526394 22.5754297, 114.0527842 22.5756476, 114.0531436 22.575925, 114.0532041 22.5759635, 114.0537017 22.5762444, 114.0537365 22.5762621, 114.0538985 22.5763443)",梅坳八路
2311680450,2311667555,0,222184850,False,,residential,True,208.716,"LINESTRING (114.0525241 22.5733097, 114.0526369 22.5738928, 114.0526534 22.5739329, 114.0526806 22.5739694, 114.0527285 22.5739955, 114.0527857 22.5740067, 114.0538582 22.574016, 114.0539021 22.5740162, 114.0539684 22.5740165)",广康路
2311680454,2311661728,0,222186293,False,,residential,True,138.154,"LINESTRING (114.0562121 22.5778964, 114.0559492 22.5766779)",
2311680467,8099204890,0,782915633,False,,tertiary,False,131.461,"LINESTRING (114.0524658 22.5723511, 114.0524784 22.5722808, 114.052482 22.5712316, 114.0524822 22.5711698)",环林街
2311680467,9053077341,0,782915633,False,,tertiary,True,426.01700000000005,"LINESTRING (114.0524658 22.5723511, 114.0523984 22.5723994, 114.0523209 22.5724359, 114.0519565 22.5724905, 114.0502515 22.5723845, 114.0491626 22.5723168, 114.0490595 22.5723095, 114.0488265 22.572293, 114.0484302 22.5722647, 114.0483577 22.5722584)",环林街
2311680467,2311680483,0,868929620,False,,residential,True,101.412,"LINESTRING (114.0524658 22.5723511, 114.0524087 22.5724477, 114.0521351 22.5726508, 114.0521351 22.5727202, 114.0522877 22.5729168, 114.0523121 22.5730818)",
2311680483,2311680467,0,868929620,False,,residential,False,101.41199999999999,"LINESTRING (114.0523121 22.5730818, 114.0522877 22.5729168, 114.0521351 22.5727202, 114.0521351 22.5726508, 114.0524087 22.5724477, 114.0524658 22.5723511)",
3790313146,2311674629,0,996247156,False,,residential,True,269.82099999999997,"LINESTRING (114.0425191 22.5757102, 114.0442711 22.5753441, 114.0444763 22.5753234, 114.0450222 22.5753146, 114.0451014 22.5753133)",
4315573151,4315573153,0,"[1059172715, 868923078]",False,,residential,"[False, True]",79.795,"LINESTRING (114.0524552 22.5700575, 114.0519518 22.5699829, 114.0519009 22.5702252)",
4315573153,8099212736,0,246568339,False,,residential,False,73.928,"LINESTRING (114.0519009 22.5702252, 114.0526097 22.570342)",
4315573153,4315573151,0,"[1059172715, 868923078]",False,,residential,"[False, True]",79.795,"LINESTRING (114.0519009 22.5702252, 114.0519518 22.5699829, 114.0524552 22.5700575)",
4315573156,8099212736,0,246568339,False,,residential,True,86.227,"LINESTRING (114.0534493 22.5703579, 114.0526097 22.570342)",
4315573161,9053077337,0,432550533,False,,residential,False,81.716,"LINESTRING (114.0494071 22.5704599, 114.0494071 22.5704084, 114.0493693 22.5703763, 114.0486806 22.5703723)",
4315573161,8099204905,0,432550533,False,,residential,True,68.753,"LINESTRING (114.0494071 22.5704599, 114.0494033 22.5709811, 114.0494026 22.5710782)",
4315573161,8099212726,0,432550538,False,,residential,False,139.094,"LINESTRING (114.0494071 22.5704599, 114.0500387 22.5704648, 114.0500387 22.5706233, 114.0505899 22.5706369)",
5192417567,8099260775,0,868929622,False,2,residential,True,38.232,"LINESTRING (114.0557723 22.5725676, 114.0557774 22.5722238)",梅康路
5192417567,5192417582,0,868929622,False,2,residential,False,82.27,"LINESTRING (114.0557723 22.5725676, 114.0557627 22.573212, 114.0557613 22.5733074)",梅康路
5192417574,8099308370,0,535832114,False,2,residential,False,82.076,"LINESTRING (114.0574871 22.5740733, 114.0574895 22.5739545, 114.0574906 22.5738987, 114.0574991 22.5734697, 114.0574999 22.57343, 114.0575017 22.5733353)",梅丰路
5192417574,8099308373,0,535832116,False,2,residential,False,78.231,"LINESTRING (114.0574871 22.5740733, 114.056814 22.5740624, 114.0567253 22.574061)",八一路
5192417574,8099316491,0,535832116,False,2,residential,True,92.80199999999999,"LINESTRING (114.0574871 22.5740733, 114.0582558 22.5740857, 114.0583001 22.5740862, 114.0583908 22.5740874)",八一路
5192417582,8099308390,0,535832112,True,2,residential,False,84.033,"LINESTRING (114.0557613 22.5733074, 114.0558618 22.573309, 114.0559074 22.5733098, 114.0564804 22.5733189, 114.0565796 22.5733205)",林康路
5192417582,8099260628,0,868929622,False,2,residential,False,82.047,"LINESTRING (114.0557613 22.5733074, 114.05576 22.5733979, 114.0557526 22.5738964, 114.0557504 22.5740452)",梅康路
5192417582,5192417567,0,868929622,False,2,residential,True,82.27,"LINESTRING (114.0557613 22.5733074, 114.0557627 22.573212, 114.0557723 22.5725676)",梅康路
7308603972,7324152547,0,784080761,True,1,tertiary,False,31.773,"LINESTRING (114.0450986 22.5750521, 114.0450892 22.5750181, 114.0450912 22.5749345, 114.0451207 22.5748116, 114.0451522 22.5747825)",公安街
7308603972,2311674629,0,784080762,False,2,tertiary,False,29.048,"LINESTRING (114.0450986 22.5750521, 114.0450983 22.5751521, 114.0450993 22.5752321, 114.0451014 22.5753133)",公安街
7308603974,7317057627,0,783463609,True,1,tertiary,False,131.375,"LINESTRING (114.0453871 22.5741398, 114.0453839 22.5740898, 114.0454005 22.5739764, 114.0454128 22.5738285, 114.0454123 22.5737927, 114.0454233 22.57302, 114.0454385 22.5729616)",公安街
7308603974,7324152557,0,784080769,False,2,tertiary,False,15.51,"LINESTRING (114.0453871 22.5741398, 114.0453754 22.5741736, 114.045338 22.5742717)",公安街
7311273906,9053077341,0,782915633,False,,tertiary,False,6.703,"LINESTRING (114.0482927 22.5722528, 114.0483577 22.5722584)",环林街
7311273906,9053077304,0,996247154,True,2,tertiary,False,97.339,"LINESTRING (114.0482927 22.5722528, 114.0483628 22.5717665, 114.0484197 22.5713853)",梅村路
7317055362,7317055367,0,"[996597650, 783463646, 783463647]",True,"['3', '2', '4']",secondary,False,175.31099999999998,"LINESTRING (114.0464511 22.5712917, 114.046788 22.5712573, 114.0470083 22.5712227, 114.0474027 22.5711977, 114.048149 22.5711324)",梅林路
7317055367,9053077336,0,783463633,True,1,secondary_link,False,52.679,"LINESTRING (114.048149 22.5711324, 114.0483904 22.5710078, 114.0484294 22.570978, 114.0484662 22.5709452, 114.0484898 22.5709124, 114.0485076 22.5708801, 114.0485239 22.5708337)",
7317055367,9053077321,0,996247153,True,3,secondary,False,33.471,"LINESTRING (114.048149 22.5711324, 114.048368 22.5711102, 114.048396 22.5711072, 114.0484727 22.5710971)",梅林路
7317055370,9053077312,0,228225912,True,2,tertiary,False,7.664,"LINESTRING (114.0485472 22.571091, 114.0485332 22.5711587)",梅村路
7317055370,8099204894,0,996247166,True,3,secondary,False,28.995,"LINESTRING (114.0485472 22.571091, 114.0486296 22.571075, 114.0486568 22.5710732, 114.0488277 22.5710751)",梅林路
7317057611,7321496976,0,783847420,False,2,tertiary,True,6.130000000000001,"LINESTRING (114.0463754 22.5726144, 114.0464033 22.5726141, 114.0464351 22.5726144)",公安街
7317057611,7317057614,0,783847424,True,1,tertiary,False,33.483000000000004,"LINESTRING (114.0463754 22.5726144, 114.0463515 22.5726301, 114.0461248 22.5726296, 114.0460576 22.5726113)",公安街
7317057614,7317057627,0,782915632,False,2,tertiary,False,89.76199999999999,"LINESTRING (114.0460576 22.5726113, 114.0459665 22.5726134, 114.0457031 22.5726179, 114.0456171 22.5726385, 114.0455361 22.5726734, 114.0454876 22.5727231, 114.0454484 22.572787, 114.045439 22.5729065, 114.0454385 22.5729616)",公安街
7317057614,7317057611,0,783847423,True,1,tertiary,False,33.595,"LINESTRING (114.0460576 22.5726113, 114.0461269 22.5725935, 114.046349 22.5725959, 114.0463754 22.5726144)",公安街
7317057624,7324152547,0,784080763,False,2,tertiary,False,10.007000000000001,"LINESTRING (114.0451822 22.574697, 114.0451627 22.5747451, 114.0451522 22.5747825)",公安街
7317057624,7324152551,0,784080764,True,1,tertiary,False,12.559000000000001,"LINESTRING (114.0451822 22.574697, 114.0451731 22.574679, 114.0451982 22.574611, 114.0452182 22.5746005)",公安街
7317057627,7317057614,0,782915632,False,2,tertiary,True,89.762,"LINESTRING (114.0454385 22.5729616, 114.045439 22.5729065, 114.0454484 22.572787, 114.0454876 22.5727231, 114.0455361 22.5726734, 114.0456171 22.5726385, 114.0457031 22.5726179, 114.0459665 22.5726134, 114.0460576 22.5726113)",公安街
7317057627,7308603974,0,783463608,True,1,tertiary,False,132.42200000000003,"LINESTRING (114.0454385 22.5729616, 114.0454578 22.5730205, 114.0454477 22.5737907, 114.0454472 22.5738281, 114.0454391 22.5739809, 114.045417 22.5740963, 114.0453871 22.5741398)",公安街
7321496975,7321496976,0,783847421,True,1,tertiary,False,62.175999999999995,"LINESTRING (114.0470338 22.5726205, 114.0470028 22.5726348, 114.046483 22.5726308, 114.0464351 22.5726144)",公安街
7321496975,1342323016,0,783847425,False,2,tertiary,True,128.902,"LINESTRING (114.0470338 22.5726205, 114.047054 22.5726207, 114.0471306 22.5726194, 114.047426 22.5726197, 114.0477957 22.5726174, 114.0481152 22.572561, 114.0481729 22.5725397, 114.0482636 22.5724889)",公安街
7321496976,7321496975,0,783847419,True,1,tertiary,False,62.37500000000001,"LINESTRING (114.0464351 22.5726144, 114.0464842 22.5725955, 114.0470019 22.5726041, 114.0470338 22.5726205)",公安街
7321496976,7317057611,0,783847420,False,2,tertiary,False,6.130000000000001,"LINESTRING (114.0464351 22.5726144, 114.0464033 22.5726141, 114.0463754 22.5726144)",公安街
7324152547,7308603972,0,783463610,True,1,tertiary,False,30.784,"LINESTRING (114.0451522 22.5747825, 114.0451539 22.5748159, 114.0451446 22.5748431, 114.0451217 22.574937, 114.0451153 22.5750178, 114.0450986 22.5750521)",公安街
7324152547,7317057624,0,784080763,False,2,tertiary,True,10.007000000000001,"LINESTRING (114.0451522 22.5747825, 114.0451627 22.5747451, 114.0451822 22.574697)",公安街
7324152551,7324152554,0,784080766,False,2,tertiary,True,4.881,"LINESTRING (114.0452182 22.5746005, 114.0452337 22.574559)",公安街
7324152551,7317057624,0,784080765,True,1,tertiary,False,12.913,"LINESTRING (114.0452182 22.5746005, 114.0452283 22.574624, 114.0452038 22.5746899, 114.0451822 22.574697)",公安街
7324152554,7324152551,0,784080766,False,2,tertiary,False,4.881,"LINESTRING (114.0452337 22.574559, 114.0452182 22.5746005)",公安街
7324152554,7324152557,0,784080767,True,1,tertiary,False,34.522,"LINESTRING (114.0452337 22.574559, 114.0452264 22.5745347, 114.0453163 22.5742911, 114.045338 22.5742717)",公安街
7324152557,7324152554,0,784080768,True,1,tertiary,False,34.903,"LINESTRING (114.045338 22.5742717, 114.0453453 22.5743011, 114.0452588 22.574545, 114.0452337 22.574559)",公安街
7324152557,7308603974,0,784080769,False,2,tertiary,True,15.51,"LINESTRING (114.045338 22.5742717, 114.0453754 22.5741736, 114.0453871 22.5741398)",公安街
8090185697,8090185702,0,996597650,True,2,secondary,False,5.103,"LINESTRING (114.0422571 22.5705175, 114.0423068 22.5705171)",梅林路
8090185697,8090185912,0,996597651,True,,tertiary,False,19.756999999999998,"LINESTRING (114.0422571 22.5705175, 114.0422552 22.5704998, 114.0422548 22.570482, 114.0422562 22.5704605, 114.0422582 22.5704425, 114.0422631 22.5704213, 114.0422885 22.570344)",梅秀路
8090185701,8090185697,0,996597651,True,,tertiary,False,5.776999999999999,"LINESTRING (114.0422816 22.5705632, 114.0422686 22.5705478, 114.0422606 22.5705336, 114.0422571 22.5705175)",梅秀路
8090185702,8090185701,0,867935336,True,,tertiary,False,5.785,"LINESTRING (114.0423068 22.5705171, 114.0422968 22.5705424, 114.0422816 22.5705632)",梅秀路
8090185702,8090185934,0,996597650,True,2,secondary,False,26.995000000000005,"LINESTRING (114.0423068 22.5705171, 114.0424033 22.5705163, 114.0424476 22.570516, 114.0425697 22.5705151)",梅林路
8090185915,8090185702,0,867935336,True,,tertiary,False,57.806,"LINESTRING (114.0424687 22.5700192, 114.0423397 22.5704139, 114.0423244 22.5704619, 114.0423068 22.5705171)",梅秀路
8090185915,8090185934,0,867935344,True,1,tertiary_link,False,61.70499999999999,"LINESTRING (114.0424687 22.5700192, 114.0424536 22.5700828, 114.042444 22.570132, 114.0424347 22.5701882, 114.042428 22.5702464, 114.0424246 22.5703077, 114.042426 22.5703362, 114.042429 22.5703547, 114.0424339 22.5703719, 114.042441 22.5703886, 114.0424507 22.5704066, 114.0424609 22.5704238, 114.0424751 22.5704471, 114.0424883 22.5704638, 114.0425012 22.5704769, 114.0425144 22.5704883, 114.0425299 22.5705002, 114.0425427 22.5705071, 114.0425556 22.570512, 114.0425697 22.5705151)",
8090185934,7317055362,0,996597650,True,2,secondary,False,417.294,"LINESTRING (114.0425697 22.5705151, 114.0431054 22.5705109, 114.0431967 22.5705112, 114.0432835 22.5705137, 114.0433639 22.5705182, 114.0434443 22.5705263, 114.0435245 22.5705402, 114.04361 22.5705599, 114.0436889 22.5705826, 114.0437717 22.5706081, 114.0438554 22.5706358, 114.0439336 22.5706643, 114.0440074 22.5706949, 114.0440833 22.5707308, 114.0447713 22.5710727, 114.044847 22.5711081, 114.044922 22.5711402, 114.0449959 22.5711707, 114.0450741 22.5711989, 114.0451511 22.5712242, 114.0452307 22.5712469, 114.0452825 22.571261, 114.0453327 22.5712746, 114.0454049 22.5712902, 114.0454696 22.5713016, 114.0455251 22.5713091, 114.0456054 22.5713044, 114.045807 22.5713217, 114.0459908 22.5713264, 114.0461865 22.5713177, 114.0464511 22.5712917)",梅林路
8099204887,8099260620,0,996247151,True,2,secondary,False,179.464,"LINESTRING (114.0575411 22.5711996, 114.0557933 22.5711893)",梅林路
8099204887,8099308378,0,996247179,False,2,residential,True,155.664,"LINESTRING (114.0575411 22.5711996, 114.0575411 22.571299, 114.0575411 22.5713531, 114.0575184 22.5724983, 114.0575164 22.5725993)",梅丰路
8099204888,8099316393,0,783463649,True,3,secondary,False,236.371,"LINESTRING (114.0558228 22.5711204, 114.0581248 22.5711356)",梅林路
8099204889,8099212736,0,868923077,False,,residential,True,85.691,"LINESTRING (114.0524656 22.5710983, 114.0524672 22.5710377, 114.0524688 22.570977, 114.0524702 22.5709241, 114.0524796 22.5708651, 114.0525821 22.5704426, 114.0526097 22.570342)",黄祠街
8099204889,8099260756,0,996247166,True,3,secondary,False,133.875,"LINESTRING (114.0524656 22.5710983, 114.0525418 22.5710988, 114.0537694 22.5711069)",梅林路
