u,v,key,osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge
8105505280,8105505322,0,362117115,True,secondary_link,False,59.549,"LINESTRING (114.0614635 22.5740343, 114.0614762 22.5741322, 114.0614794 22.5742243, 114.061477 22.5743135, 114.0614698 22.5743897, 114.0614569 22.5744596, 114.0614469 22.5745074, 114.0614331 22.5745655)",,,
8105505280,8105505320,0,641035029,True,secondary_link,False,83.407,"LINESTRING (114.0614635 22.5740343, 114.061497 22.5741431, 114.0615179 22.574205, 114.0615364 22.5742562, 114.0615543 22.5743053, 114.0615701 22.574347, 114.0615845 22.5743772, 114.0616019 22.5744102, 114.0616226 22.5744436, 114.0616457 22.5744733, 114.0616732 22.5745021, 114.0617089 22.5745333, 114.0617416 22.5745564, 114.0617734 22.5745744, 114.0618055 22.5745891, 114.0618382 22.5745997, 114.0618679 22.5746062, 114.0618979 22.5746098)",,,
1722057347,1722057351,0,44419696,True,secondary,False,102.026,"LINESTRING (114.0609484 22.5741586, 114.0610898 22.5732504)",彩田路辅路,,
1722057351,6043430741,0,44419696,True,secondary,False,189.88,"LINESTRING (114.0610898 22.5732504, 114.0614463 22.5715748)",彩田路辅路,,
8099204878,6043430743,0,1039311781,True,secondary,False,25.04,"LINESTRING (114.0618026 22.5712328, 114.0617933 22.5712783, 114.0617575 22.5714541)",彩田路辅路,,
8099204879,8099204878,0,1049968041,True,secondary,False,28.517,"LINESTRING (114.0615474 22.5711581, 114.06164 22.5711623, 114.0617057 22.5711717, 114.0617554 22.5711936, 114.0618026 22.5712328)",梅林路,3,
8099204879,8324496457,0,1049968042,True,secondary,False,16.18,"LINESTRING (114.0615474 22.5711581, 114.0615613 22.5711005, 114.0615818 22.5710161)",彩田路辅路,,
504640660,504640752,0,41275562,True,trunk_link,False,151.27100000000002,"LINESTRING (114.0674002 22.5709588, 114.0673808 22.5708393, 114.0673334 22.5707508, 114.0673032 22.5707035, 114.0672647 22.5706543, 114.0672205 22.5706115, 114.0663928 22.5700206)",,,
8099204885,8099316400,0,1049968041,True,secondary,False,72.801,"LINESTRING (114.0602289 22.5711494, 114.0609379 22.5711541)",梅林路,3,
8099204885,8099316395,0,160131329,False,residential,True,104.695,"LINESTRING (114.0602289 22.5711494, 114.0602314 22.5710489, 114.0602377 22.5702079)",,,
2889086236,2889086265,0,285224624,True,secondary,False,95.022,"LINESTRING (114.061519 22.5725126, 114.0613501 22.5733528)",彩田路辅路,,
2889086236,8624023667,0,285224627,False,tertiary,True,242.591,"LINESTRING (114.061519 22.5725126, 114.0638811 22.5725603)",梅东一路,,
2889086238,6043430762,0,1055004291,True,secondary,False,16.021,"LINESTRING (114.0619394 22.5706076, 114.0619089 22.5707489)",彩田路辅路,,
8099204897,8099316437,0,285295927,False,tertiary,False,6.874,"LINESTRING (114.0664266 22.5711903, 114.0664249 22.5712521)",梅东三路,,
8099204898,8099316435,0,285224627,False,tertiary,False,6.95,"LINESTRING (114.0655231 22.5711843, 114.0655224 22.5712468)",梅东一路,,
8099204898,8099204897,0,868936129,True,secondary,False,92.771,"LINESTRING (114.0655231 22.5711843, 114.0656613 22.5711852, 114.0663121 22.5711895, 114.0664266 22.5711903)",梅林路,,
8105505320,8624023668,0,869955071,True,tertiary,False,225.00399999999993,"LINESTRING (114.0618979 22.5746098, 114.0619249 22.5746093, 114.0619759 22.5746071, 114.0620305 22.5746009, 114.062086 22.5745917, 114.0621457 22.5745796, 114.06221 22.5745654, 114.0622689 22.5745512, 114.0623485 22.5745297, 114.0624354 22.5745033, 114.0625125 22.5744769, 114.062603 22.5744413, 114.0626904 22.5744021, 114.0627716 22.5743587, 114.0628654 22.5743005, 114.0629358 22.5742537, 114.0630042 22.5742023, 114.0630713 22.5741497, 114.0631356 22.5740958, 114.063192 22.5740469, 114.0632494 22.5740053, 114.0633101 22.5739676, 114.0633791 22.573932, 114.0634422 22.5739034, 114.0635164 22.5738758, 114.0635923 22.573851, 114.0636496 22.5738365, 114.063701 22.5738257, 114.0637682 22.5738138, 114.0638196 22.5738073, 114.0638588 22.573805)",梅东二路,2,
8105505322,8105505323,0,362117115,True,secondary_link,False,6.354,"LINESTRING (114.0614331 22.5745655, 114.0614193 22.5746212)",,,
8105505322,8105505320,0,869955071,True,tertiary,False,48.102000000000004,"LINESTRING (114.0614331 22.5745655, 114.0615039 22.5745777, 114.0615527 22.5745861, 114.0615958 22.5745932, 114.0616396 22.5745991, 114.0616816 22.5746034, 114.0617254 22.5746061, 114.061775 22.5746088, 114.061824 22.5746104, 114.0618756 22.5746102, 114.0618979 22.5746098)",梅东二路,2,
8105505323,3664891197,0,681487202,True,primary_link,False,39.269,"LINESTRING (114.0614193 22.5746212, 114.0614022 22.5746989, 114.0613961 22.5747272, 114.0613814 22.5747752, 114.0613611 22.5748234, 114.0613358 22.57487, 114.0612848 22.5749482)",,,
8105505323,8105505346,0,996247177,True,tertiary,False,87.02699999999999,"LINESTRING (114.0614193 22.5746212, 114.061244 22.5745911, 114.060586 22.5744781)",梅东二路,2,
277057452,1722057347,0,"[44419873, 1049968044, 1049968045]",True,primary,False,259.348,"LINESTRING (114.0604666 22.5764479, 114.0608238 22.5748325, 114.0609239 22.5742917, 114.0609484 22.5741586)",彩田路,,yes
8099316395,8099204885,0,160131329,False,residential,False,104.695,"LINESTRING (114.0602377 22.5702079, 114.0602314 22.5710489, 114.0602289 22.5711494)",,,
2889086253,8624023669,0,996247174,False,tertiary,True,7.073,"LINESTRING (114.0639057 22.5711737, 114.0639045 22.5712373)",梅东五路,,
2889086253,8099204898,0,868936129,True,secondary,False,166.076,"LINESTRING (114.0639057 22.5711737, 114.0640419 22.5711746, 114.0640875 22.5711749, 114.0654285 22.5711837, 114.0655231 22.5711843)",梅林路,,
8099316400,6043430725,0,641794234,True,secondary_link,False,85.248,"LINESTRING (114.0609379 22.5711541, 114.0610034 22.5711465, 114.0610695 22.5711367, 114.0611439 22.5711221, 114.061214 22.5711068, 114.0612913 22.5710844, 114.0613607 22.5710573, 114.06143 22.5710219, 114.0614842 22.5709906, 114.0615365 22.5709522, 114.0615754 22.5709107, 114.0616035 22.5708717, 114.0616319 22.5708099)",,,
8099316400,8099204879,0,1049968041,True,secondary,False,62.584,"LINESTRING (114.0609379 22.5711541, 114.0612788 22.5711564, 114.0613407 22.5711568, 114.0614399 22.5711574, 114.0615474 22.5711581)",梅林路,3,
2889086261,504640660,0,74033690,True,trunk,False,24.407,"LINESTRING (114.0673999 22.5711783, 114.0674002 22.5709588)",皇岗路,,
2889086261,8099204897,0,1039311783,True,secondary,False,100.046,"LINESTRING (114.0673999 22.5711783, 114.0672318 22.5711956, 114.0665328 22.571191, 114.0664266 22.5711903)",梅林路,,
8105505334,8624023668,0,996247172,False,tertiary,False,8.463,"LINESTRING (114.0638573 22.5738811, 114.0638588 22.573805)",梅东五路,,
