u,v,key,osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,tunnel
598512061,6502331583,0,"[46875851, 46875852, 185460582]",2,古洞路 Kwu Tung Road,tertiary,False,True,401.041,yes,"LINESTRING (114.1070249 22.5031277, 114.1070337 22.5032018, 114.1070567 22.5035792, 114.1070429 22.503677, 114.1070078 22.5037575, 114.1069655 22.5038095, 114.1069327 22.503845, 114.1068658 22.5038859, 114.1067906 22.5039235, 114.1067122 22.5039351, 114.1066441 22.5039397, 114.1065798 22.503938, 114.1064884 22.5039113, 114.1064192 22.5038797, 114.1063488 22.5038411, 114.1062763 22.5037854, 114.1062118 22.5037184, 114.1060454 22.5034093, 114.1056739 22.5026924, 114.1055127 22.5023656, 114.1054509 22.5022728, 114.1053215 22.5021295, 114.1051834 22.5019963, 114.1050935 22.5019146)",
598512061,7649330606,0,241102578,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,False,347.43300000000005,,"LINESTRING (114.1070249 22.5031277, 114.1072408 22.5031136, 114.1081127 22.5030549, 114.1088322 22.5029959, 114.1099482 22.5028999, 114.1101531 22.5028719, 114.1103916 22.5028392)",
598512061,1362226350,0,"[241102577, 241102578, 197983923]",2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,True,716.4770000000001,yes,"LINESTRING (114.1070249 22.5031277, 114.1057021 22.5032405, 114.1051197 22.5032835, 114.1049938 22.5032877, 114.1042163 22.5033458, 114.1037756 22.5033787, 114.1036754 22.5033862, 114.1029974 22.5034407, 114.1029132 22.5034469, 114.1024394 22.5034819, 114.102361 22.5034872, 114.1013943 22.5035527, 114.1013268 22.5035573, 114.1011731 22.5035692, 114.1010852 22.503576, 114.1008644 22.5035931, 114.1006476 22.5036099, 114.100074 22.5036543)",
1362224339,1362226357,0,121774185,2,河上鄉路 Ho Sheung Heung Road,unclassified,False,True,379.81399999999996,,"LINESTRING (114.1022536 22.5078788, 114.1021971 22.5077704, 114.1020097 22.5075169, 114.1017825 22.5071249, 114.1017205 22.5070256, 114.1014903 22.5066568, 114.1012154 22.5063337, 114.101074 22.5061676, 114.1005899 22.5056172, 114.1004233 22.5054278, 114.1002441 22.5052004, 114.1001754 22.5050682)",
1362226350,598512061,0,"[241102577, 241102578, 197983923]",2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,False,716.477,yes,"LINESTRING (114.100074 22.5036543, 114.1006476 22.5036099, 114.1008644 22.5035931, 114.1010852 22.503576, 114.1011731 22.5035692, 114.1013268 22.5035573, 114.1013943 22.5035527, 114.102361 22.5034872, 114.1024394 22.5034819, 114.1029132 22.5034469, 114.1029974 22.5034407, 114.1036754 22.5033862, 114.1037756 22.5033787, 114.1042163 22.5033458, 114.1049938 22.5032877, 114.1051197 22.5032835, 114.1057021 22.5032405, 114.1070249 22.5031277)",
1362226357,1362224339,0,121774185,2,河上鄉路 Ho Sheung Heung Road,unclassified,False,False,379.8140000000001,,"LINESTRING (114.1001754 22.5050682, 114.1002441 22.5052004, 114.1004233 22.5054278, 114.1005899 22.5056172, 114.101074 22.5061676, 114.1012154 22.5063337, 114.1014903 22.5066568, 114.1017205 22.5070256, 114.1017825 22.5071249, 114.1020097 22.5075169, 114.1021971 22.5077704, 114.1022536 22.5078788)",
1362226357,1362226350,0,1028820682,2,河上鄉路 Ho Sheung Heung Road,unclassified,True,False,157.738,,"LINESTRING (114.1001754 22.5050682, 114.1001691 22.5050436, 114.1001611 22.5049872, 114.1001625 22.5048664, 114.1001626 22.5048601, 114.1001641 22.5046655, 114.1001407 22.5043492, 114.1000807 22.5037356, 114.1000801 22.5037172, 114.100074 22.5036543)",
1381151862,1652496965,0,152431637,,金錢路 Kam Tsin Road,unclassified,False,True,19.285,,"LINESTRING (114.110507 22.5006948, 114.1103197 22.5006831)",
1381151862,1381152017,0,"[876493440, 152431637]",2,金錢路 Kam Tsin Road,unclassified,False,False,816.1209999999999,,"LINESTRING (114.110507 22.5006948, 114.1107745 22.5009122, 114.110837 22.5009458, 114.1109248 22.500974, 114.1110398 22.5009973, 114.1111632 22.5010264, 114.1112367 22.5010437, 114.1114034 22.5010854, 114.1114507 22.5011146, 114.1114887 22.5011627, 114.1115009 22.5012005, 114.1115036 22.5012584, 114.1114586 22.5012863, 114.111378 22.5016139, 114.1113592 22.5017838, 114.1113212 22.501976, 114.111266 22.5020792, 114.1112568 22.502223, 114.1112593 22.5023221, 114.1114268 22.5023008, 114.1114843 22.5022932, 114.11152 22.5022852, 114.1116175 22.5022233, 114.1116388 22.5022131, 114.1117168 22.5022024, 114.1118033 22.5021925, 114.1120306 22.5021651, 114.1120658 22.5021687, 114.112135 22.5022051, 114.1121547 22.5022101, 114.1124688 22.5021701, 114.1127304 22.5021253, 114.1129914 22.502067, 114.1130353 22.5020519, 114.1141041 22.501807, 114.1141324 22.5018024, 114.1141564 22.5017986, 114.1147502 22.5017031, 114.1147992 22.5016991, 114.1148429 22.5016955, 114.1151708 22.5016862, 114.1151887 22.5016847, 114.1152226 22.5016847, 114.1154708 22.5016843, 114.1157045 22.5016663, 114.115989 22.5016285, 114.1162538 22.5015821, 114.116366 22.5016015, 114.1164497 22.5016479, 114.1165456 22.5017185, 114.1165799 22.5017651)",
1381152017,7572497228,0,845593333,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,False,106.851,,"LINESTRING (114.1165799 22.5017651, 114.1169391 22.5014868, 114.1173149 22.501205, 114.1173822 22.5011536)",
1381152017,6739112282,0,"[241102578, 845593333, 845593334]",2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,True,106.673,,"LINESTRING (114.1165799 22.5017651, 114.1162419 22.5020244, 114.115914 22.5022759, 114.1158855 22.5022978, 114.1157752 22.502371)",yes
1381152017,1381151862,0,"[876493440, 152431637]",2,金錢路 Kam Tsin Road,unclassified,False,True,816.1209999999999,,"LINESTRING (114.1165799 22.5017651, 114.1165456 22.5017185, 114.1164497 22.5016479, 114.116366 22.5016015, 114.1162538 22.5015821, 114.115989 22.5016285, 114.1157045 22.5016663, 114.1154708 22.5016843, 114.1152226 22.5016847, 114.1151887 22.5016847, 114.1151708 22.5016862, 114.1148429 22.5016955, 114.1147992 22.5016991, 114.1147502 22.5017031, 114.1141564 22.5017986, 114.1141324 22.5018024, 114.1141041 22.501807, 114.1130353 22.5020519, 114.1129914 22.502067, 114.1127304 22.5021253, 114.1124688 22.5021701, 114.1121547 22.5022101, 114.112135 22.5022051, 114.1120658 22.5021687, 114.1120306 22.5021651, 114.1118033 22.5021925, 114.1117168 22.5022024, 114.1116388 22.5022131, 114.1116175 22.5022233, 114.11152 22.5022852, 114.1114843 22.5022932, 114.1114268 22.5023008, 114.1112593 22.5023221, 114.1112568 22.502223, 114.111266 22.5020792, 114.1113212 22.501976, 114.1113592 22.5017838, 114.111378 22.5016139, 114.1114586 22.5012863, 114.1115036 22.5012584, 114.1115009 22.5012005, 114.1114887 22.5011627, 114.1114507 22.5011146, 114.1114034 22.5010854, 114.1112367 22.5010437, 114.1111632 22.5010264, 114.1110398 22.5009973, 114.1109248 22.500974, 114.110837 22.5009458, 114.1107745 22.5009122, 114.110507 22.5006948)",
1652496965,1381151862,0,152431637,,金錢路 Kam Tsin Road,unclassified,False,False,19.285,,"LINESTRING (114.1103197 22.5006831, 114.110507 22.5006948)",
1652496965,4427388574,0,103624536,2,金坑路 Kam Hang Road,unclassified,False,True,130.71099999999998,,"LINESTRING (114.1103197 22.5006831, 114.1097156 22.5006768, 114.1091853 22.5006692, 114.1090477 22.5006611)",
3971771863,4427383322,0,103624536,2,金坑路 Kam Hang Road,unclassified,False,False,198.80700000000002,,"LINESTRING (114.1052661 22.5015822, 114.1052811 22.5015602, 114.105327 22.5015005, 114.1054773 22.5013053, 114.1055858 22.5012119, 114.1056932 22.5011203, 114.1057502 22.5010758, 114.1061468 22.5008379, 114.1064897 22.5006492, 114.1067666 22.5004877)",
