u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge,tunnel
581064766,581064767,0,497068346,True,G107,泥岗路,trunk,False,145.54,"LINESTRING (114.1043293 22.5733174, 114.1031273 22.5726237)",,,
581064767,8264164797,0,669220268,True,,,trunk_link,False,170.69899999999998,"LINESTRING (114.1031273 22.5726237, 114.1029642 22.5725438, 114.1026298 22.5723913, 114.1024232 22.5722731, 114.1018486 22.5719263, 114.1016895 22.5718581)",,,
581260603,2286399043,0,219489364,True,,,trunk_link,False,33.318,"LINESTRING (114.1115713 22.5765959, 114.1112794 22.5767268)",1,,
581260603,2286399037,0,996519939,True,G107,泥岗路,trunk,False,26.669,"LINESTRING (114.1115713 22.5765959, 114.1113116 22.5765913)",,,
581260667,581267106,0,996519938,True,G205,文锦北路,trunk,False,168.421,"LINESTRING (114.1155362 22.5787712, 114.1162629 22.5774133)",,,
581260667,581267131,0,45586095,True,,,trunk_link,False,237.52299999999994,"LINESTRING (114.1155362 22.5787712, 114.1156152 22.578399, 114.1156232 22.5782331, 114.1155159 22.5775446, 114.1154531 22.5770366, 114.1154221 22.5769304, 114.1153282 22.5768487, 114.1151801 22.5767763)",,,
581260668,2286439708,0,45586094,True,,,trunk_link,False,263.452,"LINESTRING (114.116957 22.5761306, 114.1169952 22.575863, 114.1169751 22.5757354, 114.1169254 22.5756401, 114.1168074 22.5755397, 114.11668 22.575484, 114.1165298 22.5754679, 114.116362 22.5755239, 114.1162509 22.5756153, 114.1160068 22.5759013, 114.1159518 22.5759979, 114.1159384 22.5761081, 114.1159679 22.5761924, 114.1160418 22.5762482, 114.1161186 22.5762818, 114.1164409 22.5763493)",,,
581260668,581260675,0,1055004302,True,G205,文锦北路,trunk,False,237.161,"LINESTRING (114.116957 22.5761306, 114.1175685 22.5749913, 114.1176865 22.5746743, 114.1177616 22.5744167, 114.1177938 22.5741591)",,,
581260675,2081768540,0,45586091,True,G205,文锦北路,trunk,False,401.684,"LINESTRING (114.1177938 22.5741591, 114.1178153 22.5739016, 114.1177938 22.5732576, 114.1176865 22.571306, 114.1176785 22.5705503)",,,
581260735,2286399030,0,45585235,True,G107,泥岗路,trunk,False,120.102,"LINESTRING (114.1091152 22.5759494, 114.1094575 22.576091, 114.1097794 22.5761999, 114.1102137 22.576315)",,,
