u,v,key,osmid,oneway,highway,reversed,length,ref,name,geometry,bridge,lanes,maxspeed
581260722,6376505179,0,680959818,True,trunk_link,False,93.559,,,"LINESTRING (114.1246962 22.5770335, 114.1237923 22.57714)",,,
581260722,6798209320,0,558274286,True,trunk,False,484.201,G107,布心路,"LINESTRING (114.1246962 22.5770335, 114.1236957 22.5768701, 114.1231431 22.5768031, 114.1225853 22.576766, 114.1200024 22.5767242)",,,
588490693,7281496997,0,"[939606672, 968944278, 968944276, 46156446]",True,trunk,False,588.604,,爱国路高架桥,"LINESTRING (114.1383375 22.5722063, 114.1384838 22.572888, 114.1385049 22.5730355, 114.1385195 22.5732001, 114.138528 22.5733442, 114.1385274 22.5734773, 114.1385192 22.5735876, 114.1385058 22.5736881, 114.1384802 22.5738183, 114.1384388 22.574003, 114.1383969 22.5741453, 114.1383446 22.5743033, 114.1382957 22.5744274, 114.1382372 22.5745561, 114.1381734 22.5746786, 114.1380993 22.5748033, 114.1380225 22.5749231, 114.1379374 22.5750394, 114.1378458 22.5751532, 114.1377781 22.5752288, 114.1376915 22.5753181, 114.1376068 22.5753989, 114.1375138 22.5754784, 114.1374032 22.5755654, 114.1372935 22.5756434, 114.1371701 22.5757214, 114.1370353 22.5757971, 114.1368861 22.5758704, 114.1367834 22.5759144, 114.1366674 22.5759589, 114.1365832 22.5759888, 114.1364362 22.5760387, 114.1358303 22.5762348)",yes,,
588490693,6514994933,0,542049638,True,trunk_link,False,441.7,,,"LINESTRING (114.1383375 22.5722063, 114.1385831 22.5728491, 114.1386411 22.5730452, 114.138679 22.5732288, 114.1387043 22.5733814, 114.1387207 22.5735727, 114.1387527 22.5741789, 114.1387694 22.5743644, 114.138799 22.5745267, 114.1388381 22.5746952, 114.1388929 22.5748703, 114.138946 22.5750332, 114.1390099 22.5752237, 114.1393105 22.5760508)",yes,1,30
1145385244,6080309364,0,558274283,True,primary,False,205.909,,布心路辅路,"LINESTRING (114.1305639 22.5780237, 114.1302752 22.5780454, 114.1300044 22.5780326, 114.1285766 22.5778293)",,,
1145385244,8549666320,0,"[1054407536, 920874817]",False,tertiary,False,177.83100000000002,,东昌路,"LINESTRING (114.1305639 22.5780237, 114.1305742 22.5780983, 114.1305644 22.578693, 114.130552 22.5794549, 114.1305513 22.5794964, 114.1305493 22.5796222)",,,
1145405680,6798161776,0,724860405,True,tertiary,False,125.745,,水贝二路,"LINESTRING (114.124049 22.5739252, 114.1240097 22.5739083, 114.1239628 22.5738972, 114.1239109 22.5738932, 114.1228302 22.573877)",,,
1145405680,8218242177,0,1050747496,True,secondary,False,183.24399999999997,,翠竹路,"LINESTRING (114.124049 22.5739252, 114.1240752 22.5738386, 114.1241001 22.5737355, 114.1241238 22.5736256, 114.1241465 22.5735158, 114.1243672 22.5725472, 114.1243793 22.5724929, 114.1244191 22.5723133)",,,
1145406058,9592075780,0,99004016,False,tertiary,True,34.21,,贝丽北路,"LINESTRING (114.1213605 22.576331, 114.1214103 22.5760268)",,,
1145406058,2286514642,0,219493671,True,primary,False,145.748,,布心路辅路,"LINESTRING (114.1213605 22.576331, 114.1221502 22.5763574, 114.1225742 22.5763822, 114.1227783 22.5763933)",,,
1145406817,2883507425,0,219498390,False,tertiary,False,185.327,,太安路,"LINESTRING (114.1283506 22.5749688, 114.130153 22.5748797)",,,
1145406817,2286555688,0,219498390,False,tertiary,True,129.62800000000001,,太安路,"LINESTRING (114.1283506 22.5749688, 114.1280717 22.5749093, 114.1277713 22.5748301, 114.1272744 22.5744236)",,,
