u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes
2534284040,9199948634,0,1051307480,True,S360,沙湾路,primary,False,17.133000000000003,"LINESTRING (114.1404324 22.5790484, 114.1403993 22.5790052, 114.1403547 22.5789725, 114.1403071 22.5789518)",
9199948629,7183271475,0,996309272,True,S360,沙湾路,primary,False,22.134,"LINESTRING (114.1401916 22.5789043, 114.1401437 22.5788847, 114.1400947 22.5788536, 114.1400552 22.5788147, 114.1400347 22.5787767)",
9199948629,9199948640,0,996309275,True,,太白路,tertiary,False,23.058,"LINESTRING (114.1401916 22.5789043, 114.1403056 22.5788891, 114.1403606 22.5788904, 114.1404118 22.5789073)",2
9199948634,9199948629,0,996309272,True,S360,沙湾路,primary,False,12.982,"LINESTRING (114.1403071 22.5789518, 114.1401916 22.5789043)",
9199948639,9199948640,0,996309273,True,S360,沙湾路,primary,False,19.912,"LINESTRING (114.140395 22.5787289, 114.1404118 22.5789073)",
9199948639,7183271475,0,996309271,True,,,primary_link,False,45.771,"LINESTRING (114.140395 22.5787289, 114.1403569 22.5787865, 114.1403269 22.5788177, 114.1402848 22.5788403, 114.1402362 22.578853, 114.1401848 22.5788551, 114.1401347 22.5788449, 114.1400877 22.5788228, 114.1400347 22.5787767)",1
9199948640,2534284040,0,996519958,True,S360,沙湾路,primary,False,15.832,"LINESTRING (114.1404118 22.5789073, 114.1404324 22.5790484)",
9199948640,9199948634,0,1051307479,True,,太白路,tertiary,False,11.926,"LINESTRING (114.1404118 22.5789073, 114.1403669 22.5789337, 114.1403071 22.5789518)",2
9199948651,7183271475,0,996309274,True,,,primary_link,False,23.96,"LINESTRING (114.1400074 22.5789841, 114.1400283 22.5789493, 114.1400404 22.5789175, 114.1400461 22.578875, 114.140045 22.5788304, 114.1400347 22.5787767)",1
9199948651,9199948629,0,996309275,True,,太白路,tertiary,False,21.146,"LINESTRING (114.1400074 22.5789841, 114.1400998 22.5789287, 114.1401464 22.5789129, 114.1401916 22.5789043)",2
