u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge,name,tunnel
1116449019,1824576252,0,860549496,True,3,trunk_link,False,341.434,"LINESTRING (113.983282 22.5875452, 113.9833711 22.5863383, 113.9833796 22.5861115, 113.9833864 22.5858651, 113.9834148 22.5850402, 113.9834138 22.5848205, 113.9834109 22.584635, 113.9834039 22.5844782)",,,
1824576228,1824576230,0,171423736,True,1,trunk_link,False,257.904,"LINESTRING (113.9857812 22.5866652, 113.9838748 22.5863885, 113.9837748 22.5863861, 113.9836759 22.5863966, 113.9835961 22.5864321, 113.9835384 22.5864812, 113.9834899 22.5865703, 113.9834541 22.586664)",,,
1824576228,1824576252,0,"[249534273, 249534268, 682810879]",True,2,trunk_link,False,480.907,"LINESTRING (113.9857812 22.5866652, 113.9847594 22.5866793, 113.9843516 22.5867022, 113.984208 22.5867061, 113.9840745 22.5867024, 113.9839384 22.5866876, 113.9838206 22.5866675, 113.9837057 22.5866334, 113.983607 22.5865905, 113.9834875 22.5865198, 113.9833779 22.5864264, 113.9832765 22.5863073, 113.9832132 22.5861988, 113.983172 22.5860949, 113.9831447 22.5859693, 113.9831353 22.5858333, 113.9831407 22.5857012, 113.9831624 22.5855324, 113.9832011 22.5853336, 113.9832988 22.5848511, 113.9833476 22.5846663, 113.9834039 22.5844782)",yes,,
1824576230,9722598873,0,1058122727,True,4,trunk_link,False,22.648,"LINESTRING (113.9834541 22.586664, 113.9834361 22.586867)",,,
1824576240,2300712922,0,146466775,True,2,trunk_link,False,690.328,"LINESTRING (113.9837267 22.5848151, 113.9837432 22.5850645, 113.9837709 22.585264, 113.9838253 22.5854575, 113.9839301 22.5856396, 113.9840654 22.5857886, 113.9842681 22.5859101, 113.9844965 22.585995, 113.9847701 22.586056, 113.9879963 22.5864836, 113.988442 22.586553, 113.988796 22.5866231, 113.9890637 22.5866903, 113.9895039 22.5868286)",,,
1824576240,1824576230,0,495113719,True,2,trunk_link,False,207.566,"LINESTRING (113.9837267 22.5848151, 113.9835092 22.5861139, 113.9834773 22.5864226, 113.9834541 22.586664)",,,
1824576252,9722598882,0,"[495113720, 96327293]",True,3,trunk,False,237.507,"LINESTRING (113.9834039 22.5844782, 113.9834502 22.5841682, 113.98368 22.5829416, 113.983801 22.5823743)",,"['塘朗山隧道', '南坪快速路']",yes
1824576273,1824576228,0,171423739,True,2,trunk_link,False,357.34200000000004,"LINESTRING (113.9892472 22.5869475, 113.9888773 22.5869123, 113.9878647 22.5868584, 113.9874566 22.5868372, 113.9861771 22.5867085, 113.9857812 22.5866652)",,,
1943410829,5808595802,0,292352271,True,,primary,False,283.075,"LINESTRING (113.9801736 22.5871259, 113.9806753 22.5872074, 113.9813026 22.5873282, 113.9818439 22.5874744, 113.9823472 22.5876369, 113.9828193 22.5878147)",,留仙大道,
1943410903,1943410909,0,292352271,True,,primary,False,10.854,"LINESTRING (113.983247 22.5879759, 113.9833442 22.5880143)",,留仙大道,
1943410903,1116449019,0,860549496,True,3,trunk_link,False,48.025999999999996,"LINESTRING (113.983247 22.5879759, 113.9832559 22.587866, 113.9832609 22.5878046, 113.983282 22.5875452)",,,
1943410909,5808595801,0,292352271,True,,primary,False,67.908,"LINESTRING (113.9833442 22.5880143, 113.9839558 22.5882469)",,留仙大道,
1943410909,1943410914,0,1058122727,True,4,trunk_link,False,19.128,"LINESTRING (113.9833442 22.5880143, 113.9833195 22.5881848)",,,
1943410914,1943410903,0,860549496,True,3,trunk_link,False,24.392,"LINESTRING (113.9833195 22.5881848, 113.983247 22.5879759)",,,
1943410914,9204756032,0,860549497,True,,secondary,False,30.767,"LINESTRING (113.9833195 22.5881848, 113.9833173 22.588245, 113.9833083 22.5884613)",,塘朗九号路,
1943410930,9196855390,0,860549495,False,,unclassified,False,6.994,"LINESTRING (113.9832416 22.588667, 113.9832418 22.5887299)",,塘朗九号路,
2561225149,1824576240,0,"[96327299, 96327303]",True,3,trunk,False,189.719,"LINESTRING (113.9839979 22.5831294, 113.9838676 22.5836907, 113.9837943 22.5841753, 113.9837267 22.5848151)",,"['塘朗山隧道', '南坪快速路']",yes
2561225173,9722598873,0,581971314,False,,unclassified,True,1349.997,"LINESTRING (113.9958599 22.5899816, 113.9951483 22.5895044, 113.9944544 22.5891421, 113.9940414 22.5889564, 113.9933601 22.5887013, 113.9920638 22.5881771, 113.9914048 22.5879014, 113.9905403 22.5875183, 113.9902702 22.5874136, 113.9890927 22.5871214, 113.9887432 22.5870726, 113.9876998 22.5870057, 113.9867297 22.587, 113.9857955 22.5870057, 113.9845168 22.586953, 113.9834361 22.586867)",,绿坪一路,
5189735883,9204756027,0,753281470,True,4,primary,False,209.17700000000002,"LINESTRING (113.985554 22.589045, 113.9844683 22.588627, 113.9836747 22.5883183)",,留仙大道,
5808595801,5808598578,0,292352271,True,,primary,False,479.007,"LINESTRING (113.9839558 22.5882469, 113.9882718 22.5898833)",,留仙大道,
5808595802,1943410903,0,292352271,True,,primary,False,47.427,"LINESTRING (113.9828193 22.5878147, 113.9831202 22.5879281, 113.983247 22.5879759)",,留仙大道,
5808595802,1116449019,0,614006550,True,1,trunk_link,False,66.615,"LINESTRING (113.9828193 22.5878147, 113.9829211 22.5878325, 113.9830014 22.5878338, 113.9830906 22.5878193, 113.9831642 22.5877862, 113.9832112 22.5877423, 113.9832472 22.5876679, 113.983282 22.5875452)",,,
5808598578,5808598735,0,614006562,False,,unclassified,False,14.314,"LINESTRING (113.9882718 22.5898833, 113.9883231 22.5897636)",,,
5808598636,5808598638,0,614006563,False,,residential,False,30.621,"LINESTRING (113.991161 22.5883723, 113.9914355 22.58848)",,,
