u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes
2789096578,2789096605,0,274137584,清水河二路,unclassified,False,True,199.257,"LINESTRING (114.1057994 22.5843146, 114.1038588 22.5842899)",
2789096578,8571950352,0,274137586,清水河四路,unclassified,False,False,310.767,"LINESTRING (114.1057994 22.5843146, 114.1058242 22.5815199)",
2789096578,2789096517,0,274137584,清水河二路,unclassified,False,False,184.269,"LINESTRING (114.1057994 22.5843146, 114.1066656 22.5843229, 114.1075941 22.5843319)",
2789096578,2789096523,0,274137586,清水河四路,unclassified,False,True,281.451,"LINESTRING (114.1057994 22.5843146, 114.1057731 22.5851993, 114.1057243 22.5868448)",
8571950338,3969580064,0,923403609,,residential,True,False,208.07299999999998,"LINESTRING (114.1046614 22.589245, 114.104497 22.5890389, 114.1044378 22.5889742, 114.1043739 22.5889089, 114.1042894 22.5888329, 114.104206 22.5887697, 114.1041261 22.5887149, 114.1040313 22.58866, 114.1039244 22.5886075, 114.1037955 22.5885508, 114.1032468 22.5883494, 114.1031508 22.5883103, 114.1030833 22.5882815, 114.1030036 22.58824)",1
8571950212,8571950213,0,923403581,清水河一路,tertiary,True,False,10.321,"LINESTRING (114.1039255 22.5814321, 114.1040259 22.5814367)",2
8571950213,8571950205,0,297367959,清水河三路,tertiary,True,False,7.814,"LINESTRING (114.1040259 22.5814367, 114.1040067 22.5815047)",
8571950213,8571950107,0,923403581,清水河一路,tertiary,True,False,184.726,"LINESTRING (114.1040259 22.5814367, 114.1042545 22.5814473, 114.1048375 22.5814506, 114.1058248 22.5814561)",2
2789096453,9613224698,0,923403587,清水河一路,tertiary,False,False,21.223,"LINESTRING (114.1086652 22.5815136, 114.1088718 22.5815199)",
2789096453,8571950110,0,495598824,清水河一路,tertiary,True,False,105.878,"LINESTRING (114.1086652 22.5815136, 114.1083664 22.5815353, 114.1076349 22.5815309)",2
2789096585,8571950203,0,"[923403596, 274137583]",,residential,False,False,569.503,"LINESTRING (114.1108213 22.581547, 114.1115253 22.5816554, 114.1114019 22.5825876, 114.1113689 22.5831792, 114.1112945 22.5836393, 114.1110737 22.5842871, 114.1106523 22.5850291, 114.1102708 22.5859103)",
2789096585,9613224698,0,"[923403587, 274137587]",清水河一路,"['unclassified', 'tertiary']",False,True,206.281,"LINESTRING (114.1108213 22.581547, 114.1106256 22.5816594, 114.1100004 22.5816661, 114.1098021 22.5815807, 114.1095747 22.5815414, 114.1088718 22.5815199)",
2789096585,2789096601,0,"[1044769938, 274137582]","['清水河一路', '广清路']",residential,False,True,978.0600000000002,"LINESTRING (114.1108213 22.581547, 114.1107305 22.5824556, 114.1106932 22.5826417, 114.1103213 22.5835335, 114.1101897 22.5839091, 114.1100764 22.5840902, 114.1099798 22.5842313, 114.1099316 22.5843428, 114.1099262 22.5844196, 114.1099637 22.5845186, 114.1104439 22.5850362, 114.11046 22.5850833, 114.110299 22.5854597, 114.1096955 22.5867673, 114.1093773 22.5874623, 114.1086656 22.5889837, 114.1085556 22.5891893, 114.1084081 22.5893577, 114.108282 22.5894617, 114.1081983 22.589517)",
8571950352,8571950107,0,274137586,清水河四路,unclassified,False,False,7.095,"LINESTRING (114.1058242 22.5815199, 114.1058248 22.5814561)",
8571950352,2789096578,0,274137586,清水河四路,unclassified,False,True,310.767,"LINESTRING (114.1058242 22.5815199, 114.1057994 22.5843146)",
8571950352,8571950205,0,495598824,清水河一路,tertiary,True,False,186.614,"LINESTRING (114.1058242 22.5815199, 114.1042611 22.5815105, 114.1040067 22.5815047)",2
8571950353,8571950104,0,495598824,清水河一路,tertiary,True,False,9.025,"LINESTRING (114.1009345 22.5814797, 114.1008466 22.5814798)",2
8571950353,8571923507,0,"[1050682042, 1050682043, 45569590]",红岗路,secondary,True,False,189.091,"LINESTRING (114.1009345 22.5814797, 114.1009832 22.5816276, 114.1009925 22.5816557, 114.1010221 22.5817408, 114.1010576 22.5818359, 114.1010862 22.5819078, 114.1012875 22.5824138, 114.1013104 22.5824758, 114.1013349 22.5825498, 114.1013597 22.582632, 114.1013805 22.5827113, 114.1013928 22.5827729, 114.1014013 22.5828353, 114.1014063 22.5829021, 114.101409 22.5829756, 114.1014086 22.5831107)",2
3969579154,2789096605,0,274137581,清水河三路,unclassified,False,True,171.488,"LINESTRING (114.1037559 22.5858177, 114.1037992 22.5857207, 114.1038388 22.5856192, 114.1038588 22.5842899)",
3969579154,2789096523,0,652157923,环仓路,unclassified,False,False,232.739,"LINESTRING (114.1037559 22.5858177, 114.1039074 22.5858908, 114.1040333 22.5859523, 114.1052535 22.5866615, 114.1055242 22.5867809, 114.1057243 22.5868448)",
3969579154,2789096559,0,652157923,环仓路,unclassified,False,True,271.576,"LINESTRING (114.1037559 22.5858177, 114.1035391 22.5858112, 114.102668 22.5856381, 114.1024893 22.5854962, 114.1024084 22.5852142, 114.1022744 22.5847451, 114.1022479 22.584611, 114.1022568 22.5844931, 114.1023528 22.5843476)",
2789096593,2789096549,0,274137589,,residential,False,False,35.257999999999996,"LINESTRING (114.1071066 22.5899304, 114.1071035 22.5898017, 114.1070988 22.5896134)",
2789096593,2789096601,0,1044769937,章輋路,residential,False,False,121.52699999999999,"LINESTRING (114.1071066 22.5899304, 114.1074781 22.5897749, 114.1080685 22.5895919, 114.1081983 22.589517)",
2789096596,2789096508,0,274137578,,residential,False,True,53.066,"LINESTRING (114.1054781 22.5897074, 114.1059673 22.5895533)",
2789096598,8571950258,0,45569590,红岗路,secondary,True,False,19.218,"LINESTRING (114.1014485 22.5859819, 114.1015382 22.5861336)",2
