u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry
1145386240,8549666415,0,184030475,False,2,东湖路,tertiary,False,246.263,"LINESTRING (114.1353492 22.5844333, 114.135262 22.5844551, 114.1351645 22.5844717, 114.1350733 22.5844814, 114.1349908 22.5844848, 114.1330981 22.5844712, 114.1329573 22.5844542)"
1145386240,9199902910,0,184030475,False,2,东湖路,tertiary,True,485.026,"LINESTRING (114.1353492 22.5844333, 114.1354407 22.5844065, 114.1355267 22.5843753, 114.1356025 22.5843415, 114.1356813 22.5843033, 114.1357501 22.584265, 114.1358115 22.5842226, 114.1358718 22.5841762, 114.135927 22.5841252, 114.1359808 22.5840698, 114.1360251 22.5840189, 114.1360706 22.5839636, 114.1361085 22.5839147, 114.1361457 22.5838623, 114.1361815 22.5838047, 114.1362053 22.5837611, 114.1362284 22.5837126, 114.1362477 22.5836658, 114.1367157 22.5823316, 114.1372655 22.5807859, 114.1372813 22.5807427, 114.1373206 22.5806353)"
1145386240,8549666192,0,920874814,False,,仁心路,residential,False,87.375,"LINESTRING (114.1353492 22.5844333, 114.1353088 22.5843607, 114.1352734 22.5843038, 114.1352378 22.5842488, 114.1350774 22.5840482, 114.1350211 22.583995, 114.1349514 22.5839386, 114.1348803 22.5838971, 114.1347951 22.5838588)"
2320152524,2320152540,0,223073293,False,,翠荫路,tertiary,False,226.99699999999999,"LINESTRING (114.1399079 22.5875279, 114.1395161 22.58756, 114.1390548 22.5875352, 114.1385417 22.5874414, 114.1384347 22.5873945, 114.1383294 22.5872825, 114.1382836 22.5871897, 114.1381589 22.5867972)"
2320152524,2766495567,0,271702544,False,,,residential,False,273.964,"LINESTRING (114.1399079 22.5875279, 114.1399618 22.5879921, 114.1399833 22.5881011, 114.1402059 22.5891858, 114.140214 22.5892551, 114.1402059 22.5892972, 114.1401708 22.5893256, 114.1401198 22.5893528, 114.1400554 22.5893702, 114.1395029 22.5893825)"
2320152527,3960696604,0,390446846,False,,金洲路,tertiary,True,253.217,"LINESTRING (114.1281347 22.5876461, 114.1298614 22.5892722)"
2320152527,8549666419,0,223073293,False,,翠荫路,tertiary,True,410.3520000000001,"LINESTRING (114.1281347 22.5876461, 114.1285 22.5874673, 114.1297314 22.5868468, 114.1301458 22.5867044, 114.1306072 22.5866639, 114.1307048 22.5866509, 114.1308113 22.5866443, 114.1318806 22.5866196)"
2320152527,9196975057,0,532106268,False,2,金洲路,tertiary,False,93.554,"LINESTRING (114.1281347 22.5876461, 114.128049 22.5875732, 114.1279885 22.5875065, 114.1279458 22.5874258, 114.1279295 22.587347, 114.1279242 22.5868703)"
2320152540,8549666473,0,223073293,False,,翠荫路,tertiary,False,499.94600000000014,"LINESTRING (114.1381589 22.5867972, 114.1379466 22.586545, 114.1378365 22.5864268, 114.1377479 22.5862921, 114.1375224 22.5861368, 114.1374654 22.5861027, 114.1374036 22.5860681, 114.1373301 22.58603, 114.1372469 22.58599, 114.1361542 22.585468, 114.1360988 22.5854449, 114.1360528 22.5854273, 114.1360065 22.5854112, 114.1359537 22.585396, 114.1358954 22.5853845, 114.135842 22.5853769, 114.135776 22.5853725, 114.1354154 22.5853724, 114.1353359 22.5853744, 114.1352567 22.58538, 114.1351748 22.585389, 114.1351025 22.5853983, 114.1350304 22.5854111, 114.1349356 22.585432, 114.1348401 22.5854585, 114.1347584 22.585486, 114.1346704 22.58552, 114.1346008 22.5855505, 114.1345352 22.5855844, 114.1344512 22.5856344, 114.1343679 22.5856945, 114.1342748 22.5857705, 114.1340166 22.5859871)"
2320152540,2320152524,0,223073293,False,,翠荫路,tertiary,True,226.997,"LINESTRING (114.1381589 22.5867972, 114.1382836 22.5871897, 114.1383294 22.5872825, 114.1384347 22.5873945, 114.1385417 22.5874414, 114.1390548 22.5875352, 114.1395161 22.58756, 114.1399079 22.5875279)"
2320152540,2766495505,0,271702538,False,,,residential,False,248.296,"LINESTRING (114.1381589 22.5867972, 114.13795 22.5868417, 114.1378937 22.5868739, 114.1378374 22.586916, 114.1377892 22.5869867, 114.1376659 22.5872665, 114.1376471 22.587378, 114.1376389 22.5875178, 114.1376578 22.5876306, 114.1377006 22.5877605, 114.1377408 22.5878298, 114.1378912 22.5880541, 114.1379393 22.5881518, 114.1379743 22.5882497, 114.1380644 22.588708)"
