u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,junction
358334722,1599358867,0,146667533,True,2,粉嶺樓路 Fan Leng Lau Road,tertiary,False,11.308,"LINESTRING (114.1400822 22.502459, 114.1400276 22.5023707)",,
358334722,1599358824,0,146667591,True,2,馬適路 Ma Sik Road,secondary,False,195.01200000000003,"LINESTRING (114.1400822 22.502459, 114.1401771 22.5024088, 114.1406044 22.5021917, 114.1407679 22.502125, 114.1408973 22.5020785, 114.1410117 22.502042, 114.1411303 22.5020143, 114.1412569 22.5019891, 114.1413857 22.5019717, 114.1415328 22.5019598, 114.1417079 22.5019572, 114.1417339 22.5019568, 114.1417815 22.5019588, 114.1418656 22.5019637)",,
394175236,1802128325,0,146667593,True,,馬適路 Ma Sik Road,secondary,False,14.496,"LINESTRING (114.1469785 22.5014225, 114.1470874 22.5013396)",,
394175236,9671538016,0,146667649,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,12.581,"LINESTRING (114.1469785 22.5014225, 114.1470429 22.5014855, 114.1470632 22.5015042)",,
1111289416,1409234072,0,"[146667832, 146667860, 785326462]",False,2,,unclassified,True,139.031,"LINESTRING (114.1481535 22.5076218, 114.1481443 22.5076407, 114.1480434 22.5078247, 114.1480043 22.5078704, 114.1479116 22.5079097, 114.1477453 22.5079941, 114.147689 22.5080307, 114.1472398 22.5084396, 114.1472002 22.5084728)",yes,
1111289416,1409233949,0,"[510256608, 127285238]",False,1,,unclassified,False,614.6249999999999,"LINESTRING (114.1481535 22.5076218, 114.1483549 22.5076844, 114.1491957 22.5079423, 114.1492404 22.5079423, 114.1492822 22.5079269, 114.1493128 22.5079108, 114.1494212 22.5077749, 114.1494483 22.5077174, 114.1496056 22.5072752, 114.1496697 22.5071244, 114.1497741 22.5070332, 114.1502297 22.5066354, 114.1505665 22.5060979, 114.1505902 22.5060761, 114.1506087 22.5060714, 114.1506611 22.5060807, 114.1512 22.5061929, 114.1513783 22.506194, 114.1525615 22.506119, 114.1527225 22.5061088, 114.1527666 22.5061044, 114.1529244 22.5060886)",,
1111289416,5043510593,0,804132105,False,1,,unclassified,False,36.93999999999999,"LINESTRING (114.1481535 22.5076218, 114.1480558 22.5075766, 114.1480281 22.5075581, 114.147995 22.5075061, 114.1479703 22.5074442, 114.1479634 22.5073994, 114.1479651 22.5073713)",,
1409233949,1111289416,0,"[510256608, 127285238]",False,1,,unclassified,True,614.625,"LINESTRING (114.1529244 22.5060886, 114.1527666 22.5061044, 114.1527225 22.5061088, 114.1525615 22.506119, 114.1513783 22.506194, 114.1512 22.5061929, 114.1506611 22.5060807, 114.1506087 22.5060714, 114.1505902 22.5060761, 114.1505665 22.5060979, 114.1502297 22.5066354, 114.1497741 22.5070332, 114.1496697 22.5071244, 114.1496056 22.5072752, 114.1494483 22.5077174, 114.1494212 22.5077749, 114.1493128 22.5079108, 114.1492822 22.5079269, 114.1492404 22.5079423, 114.1491957 22.5079423, 114.1483549 22.5076844, 114.1481535 22.5076218)",,
1409233949,1599358989,0,146667646,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,89.658,"LINESTRING (114.1529244 22.5060886, 114.1532729 22.5062629, 114.1533805 22.5063286, 114.153471 22.5063992, 114.1535374 22.5064746, 114.1535958 22.5065755)",,
1409234072,1409255745,0,146667999,False,1,,unclassified,True,72.206,"LINESTRING (114.1472002 22.5084728, 114.1471281 22.5085383, 114.1470666 22.5086073, 114.14704 22.5086589, 114.1469972 22.5088174, 114.1469621 22.5089189, 114.146926 22.5089946, 114.1468912 22.5090414)",,
1409234072,1111289416,0,"[146667832, 146667860, 785326462]",False,2,,unclassified,False,139.031,"LINESTRING (114.1472002 22.5084728, 114.1472398 22.5084396, 114.147689 22.5080307, 114.1477453 22.5079941, 114.1479116 22.5079097, 114.1480043 22.5078704, 114.1480434 22.5078247, 114.1481443 22.5076407, 114.1481535 22.5076218)",yes,
1409255745,7972746940,0,146667944,False,1,,residential,False,75.38,"LINESTRING (114.1468912 22.5090414, 114.1471467 22.5091266, 114.1471699 22.5091371, 114.1473456 22.5092315, 114.1473768 22.5092629, 114.1473838 22.509291, 114.1473616 22.5094334)",,
1409255745,1409234072,0,146667999,False,1,,unclassified,False,72.206,"LINESTRING (114.1468912 22.5090414, 114.146926 22.5089946, 114.1469621 22.5089189, 114.1469972 22.5088174, 114.14704 22.5086589, 114.1470666 22.5086073, 114.1471281 22.5085383, 114.1472002 22.5084728)",,
1599358612,6452216724,0,929950165,True,,和泰街 Wo Tai Street,unclassified,False,10.856,"LINESTRING (114.1428968 22.5003516, 114.1429521 22.5004348)",,
1599358612,5343126849,0,"[553567066, 146667731]",True,,和睦路 Wo Muk Road,tertiary,False,111.02799999999999,"LINESTRING (114.1428968 22.5003516, 114.1428054 22.5004336, 114.1427727 22.500463, 114.142724 22.5005067, 114.1425362 22.5006677, 114.1424556 22.5007368, 114.1423054 22.5008502, 114.1421874 22.5008855, 114.1420593 22.5008967, 114.1420323 22.5008958)",,
1599358804,1599358839,0,146667750,False,2,和泰街 Wo Tai Street,unclassified,False,63.153,"LINESTRING (114.1441163 22.5015853, 114.1441794 22.5016666, 114.1442107 22.5017236, 114.1442323 22.5018045, 114.144241 22.5018654, 114.1442378 22.5019543, 114.1442357 22.5019671, 114.1442341 22.5019773, 114.1442296 22.5020049, 114.1442105 22.5021227)",,
1599358804,6452216725,0,"[688169155, 800619187]",True,,和泰街 Wo Tai Street,unclassified,False,175.751,"LINESTRING (114.1441163 22.5015853, 114.1440657 22.5014971, 114.1433455 22.5007799, 114.1431216 22.500557, 114.1430972 22.5005327, 114.1430491 22.5004848, 114.142974 22.500413)",,
1599358807,1599358824,0,146667565,False,2,聯捷街 Luen Chit Street,residential,True,11.463,"LINESTRING (114.1418702 22.5018607, 114.1418656 22.5019637)",,
1599358807,5343126848,0,"[146667564, 796753932]",False,2,聯捷街 Luen Chit Street,residential,False,83.44,"LINESTRING (114.1418702 22.5018607, 114.1418758 22.5017258, 114.1418771 22.5016895, 114.1418999 22.5013399, 114.1419086 22.5011112)",,
1599358807,1599358867,0,146667595,True,2,馬適路 Ma Sik Road,secondary,False,201.609,"LINESTRING (114.1418702 22.5018607, 114.1417771 22.5018559, 114.1417393 22.5018569, 114.1417126 22.5018574, 114.1415371 22.5018599, 114.1413944 22.5018689, 114.141256 22.5018848, 114.1411219 22.5019068, 114.1410008 22.5019358, 114.1408483 22.5019797, 114.1407067 22.5020277, 114.1405434 22.5020936, 114.1401824 22.502286, 114.1401199 22.50232, 114.1400276 22.5023707)",,
1599358824,1599358807,0,146667565,False,2,聯捷街 Luen Chit Street,residential,False,11.463,"LINESTRING (114.1418656 22.5019637, 114.1418702 22.5018607)",,
1599358824,1599358848,0,146667591,True,2,馬適路 Ma Sik Road,secondary,False,240.85399999999998,"LINESTRING (114.1418656 22.5019637, 114.1420237 22.5019761, 114.1420475 22.5019787, 114.1421048 22.5019857, 114.1439601 22.5022033, 114.1440106 22.5022092, 114.1440187 22.5022101, 114.1440331 22.5022121, 114.1440874 22.5022196, 114.1441923 22.5022291)",,
1599358839,1599358848,0,169037462,False,2,和泰街 Wo Tai Street,unclassified,True,11.978,"LINESTRING (114.1442105 22.5021227, 114.1441923 22.5022291)",,
1599358839,1599358804,0,146667750,False,2,和泰街 Wo Tai Street,unclassified,True,63.153000000000006,"LINESTRING (114.1442105 22.5021227, 114.1442296 22.5020049, 114.1442341 22.5019773, 114.1442357 22.5019671, 114.1442378 22.5019543, 114.144241 22.5018654, 114.1442323 22.5018045, 114.1442107 22.5017236, 114.1441794 22.5016666, 114.1441163 22.5015853)",,
1599358839,1599358807,0,169037461,True,2,馬適路 Ma Sik Road,secondary,False,242.20999999999998,"LINESTRING (114.1442105 22.5021227, 114.144111 22.5021097, 114.1440474 22.5021029, 114.1440354 22.5021016, 114.1440273 22.5021007, 114.1421193 22.5018795, 114.1420609 22.5018724, 114.1420342 22.50187, 114.1418702 22.5018607)",,
1599358848,1599358839,0,169037462,False,2,和泰街 Wo Tai Street,unclassified,False,11.978,"LINESTRING (114.1441923 22.5022291, 114.1442105 22.5021227)",,
1599358848,9671538010,0,146667591,True,2,馬適路 Ma Sik Road,secondary,False,294.32399999999996,"LINESTRING (114.1441923 22.5022291, 114.1442763 22.5022383, 114.1443166 22.5022419, 114.144357 22.5022456, 114.1444123 22.502253, 114.1449822 22.5023185, 114.1450003 22.5023206, 114.1453489 22.5023607, 114.1454991 22.5023546, 114.1456225 22.5023374, 114.1457695 22.5022984, 114.1458641 22.5022594, 114.1459807 22.5021922, 114.1461063 22.5021056, 114.1467727 22.5015834)",,
1599358982,4991374455,0,146667645,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,7.49,"LINESTRING (114.1538775 22.5064137, 114.1538408 22.5064054, 114.1538059 22.5064017)",,roundabout
1599358988,1599358982,0,146667645,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,16.69,"LINESTRING (114.1539975 22.5065099, 114.153967 22.5064685, 114.1539261 22.5064358, 114.1538775 22.5064137)",,roundabout
