u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,tunnel
598723917,598723937,0,875261251,红花路,tertiary,False,False,123.925,"LINESTRING (114.0388198 22.5116665, 114.03999 22.5113955)",,,
598723917,598724152,0,"[875261252, 46898405]","['红花路', '金葵道']",unclassified,True,False,250.168,"LINESTRING (114.0388198 22.5116665, 114.0375628 22.5119699, 114.0375004 22.5119737, 114.037456 22.5119551, 114.0374231 22.5119235, 114.0369441 22.5111364)",,,
598723917,8453450298,0,910437384,香樟道,unclassified,True,False,29.79,"LINESTRING (114.0388198 22.5116665, 114.03887 22.5117204, 114.0389096 22.5118402, 114.038897 22.5119108)",,,
598723919,598724193,0,46898411,,residential,False,True,124.701,"LINESTRING (114.0390929 22.5124401, 114.037914 22.5127077)",,,
598723919,8453450280,0,875261250,香樟道,residential,False,False,119.206,"LINESTRING (114.0390929 22.5124401, 114.0394683 22.5134545)",3,,
598723919,8453450298,0,875261250,香樟道,residential,False,True,62.201,"LINESTRING (114.0390929 22.5124401, 114.038897 22.5119108)",3,,
598723922,8453450279,0,875261250,香樟道,residential,False,False,9.554,"LINESTRING (114.0395396 22.5136469, 114.0395697 22.5137282)",3,,
598723922,8453450280,0,875261250,香樟道,residential,False,True,22.612000000000002,"LINESTRING (114.0395396 22.5136469, 114.0395118 22.513572, 114.0395051 22.5135537, 114.0394683 22.5134545)",3,,
598723922,8453450287,0,1054407528,桂花路,tertiary,True,False,24.534,"LINESTRING (114.0395396 22.5136469, 114.039609 22.5136102, 114.0397422 22.5135302)",2,,
598723937,598723917,0,875261251,红花路,tertiary,False,True,123.925,"LINESTRING (114.03999 22.5113955, 114.0388198 22.5116665)",,,
598723937,8482605802,0,46898392,广兰道,unclassified,True,False,104.23899999999999,"LINESTRING (114.03999 22.5113955, 114.0397792 22.5105929, 114.0397507 22.5104845)",,,
598724152,8482608338,0,910437367,市花路,tertiary,True,False,165.42100000000002,"LINESTRING (114.0369441 22.5111364, 114.037031 22.5110657, 114.0382866 22.5107395, 114.0383558 22.5107237, 114.0384713 22.5106973)",2,,
598724193,598723919,0,46898411,,residential,False,False,124.701,"LINESTRING (114.037914 22.5127077, 114.0390929 22.5124401)",,,
1783922296,8453450353,0,910437388,,unclassified,False,True,450.352,"LINESTRING (114.0359167 22.5106411, 114.0362215 22.511071, 114.0378917 22.5136883, 114.0379687 22.5139035, 114.0379821 22.5139573, 114.0379849 22.5140111, 114.0379692 22.5141727)",,,
1783922441,8453450312,0,910437401,桂花路,tertiary,True,False,15.84,"LINESTRING (114.0377834 22.514484, 114.0378763 22.5143703)",2,,
1783922441,8453450317,0,1044172922,,tertiary,False,True,10.135,"LINESTRING (114.0377834 22.514484, 114.0376988 22.5145309)",,,
2269583662,2399038487,0,231534962,沙嘴东路,residential,False,False,28.092,"LINESTRING (114.0346152 22.5191764, 114.0345135 22.5190487, 114.0344281 22.5189974)",,,
2269583674,2399038476,0,231534933,,residential,False,True,149.495,"LINESTRING (114.0337518 22.5186126, 114.0329273 22.5197205)",,,
2269583674,8071647051,0,231534962,沙嘴东路,residential,False,False,17.481,"LINESTRING (114.0337518 22.5186126, 114.0336839 22.5185535, 114.0336458 22.5184918)",,,
2269583674,2399038487,0,231534962,沙嘴东路,residential,False,True,81.613,"LINESTRING (114.0337518 22.5186126, 114.0340844 22.518791, 114.0344281 22.5189974)",,,
2399038447,8185629262,0,217649987,金地一路,tertiary,False,True,183.606,"LINESTRING (114.0362543 22.5194806, 114.0363273 22.5194481, 114.0364258 22.5194121, 114.0378023 22.5186577)",,,
2399038447,8071647057,0,231534960,金地七路,unclassified,False,True,229.57299999999998,"LINESTRING (114.0362543 22.5194806, 114.0362244 22.519409, 114.0361714 22.5193171, 114.0352619 22.5176311)",,,
2399038454,2399038476,0,231534941,,residential,False,False,89.461,"LINESTRING (114.0322017 22.5192755, 114.0329273 22.5197205)",,,
2399038454,8071647047,0,231534941,,residential,False,True,13.524,"LINESTRING (114.0322017 22.5192755, 114.0321122 22.5191863)",,,
2399038454,2399038461,0,231534947,,residential,False,True,82.129,"LINESTRING (114.0322017 22.5192755, 114.0317568 22.5198892)",,,
2399038461,2399038454,0,231534947,,residential,False,False,82.129,"LINESTRING (114.0317568 22.5198892, 114.0322017 22.5192755)",,,
2399038461,8071647061,0,231534954,,residential,False,True,56.477,"LINESTRING (114.0317568 22.5198892, 114.031345 22.5196467, 114.0312937 22.5196154)",,,
2399038476,2269583674,0,231534933,,residential,False,False,149.495,"LINESTRING (114.0329273 22.5197205, 114.0337518 22.5186126)",,,
2399038476,2399038454,0,231534941,,residential,False,True,89.461,"LINESTRING (114.0329273 22.5197205, 114.0322017 22.5192755)",,,
2399038487,2269583674,0,231534962,沙嘴东路,residential,False,False,81.613,"LINESTRING (114.0344281 22.5189974, 114.0340844 22.518791, 114.0337518 22.5186126)",,,
2399038487,2269583662,0,231534962,沙嘴东路,residential,False,True,28.092,"LINESTRING (114.0344281 22.5189974, 114.0345135 22.5190487, 114.0346152 22.5191764)",,,
2399038492,8071647050,0,231534962,沙嘴东路,residential,False,True,7.913,"LINESTRING (114.033509 22.5182707, 114.0335472 22.5183325)",,,
2399038492,8071642695,0,223456776,福荣路,tertiary,True,False,192.935,"LINESTRING (114.033509 22.5182707, 114.0335773 22.5182344, 114.035136 22.5174037)",2,,
7701171911,10050110835,0,824751296,福荣路,tertiary,True,False,8.7,"LINESTRING (114.038494 22.5157149, 114.0384182 22.5157498)",2,,
7701171911,8185629232,0,996181391,新洲路,secondary,True,False,44.656,"LINESTRING (114.038494 22.5157149, 114.0385551 22.5158157, 114.038707 22.516065)",3,,
8071642695,8071647055,0,231534960,金地七路,unclassified,False,False,7.882,"LINESTRING (114.035136 22.5174037, 114.035172 22.5174663)",,,
8071642695,8071642709,0,223456776,福荣路,tertiary,True,False,165.119,"LINESTRING (114.035136 22.5174037, 114.0364425 22.516708, 114.0365288 22.5166623)",2,,
8071642705,8071647061,0,231534954,,residential,False,False,8.774,"LINESTRING (114.0312225 22.5195718, 114.0312937 22.5196154)",,,
8071642709,8071647039,0,217649929,金地十路,unclassified,False,True,7.837,"LINESTRING (114.0365288 22.5166623, 114.036563 22.5167253)",,,
8071642709,8169270312,0,223456776,福荣路,tertiary,True,False,218.986,"LINESTRING (114.0365288 22.5166623, 114.0366581 22.5165933, 114.0367368 22.5165511, 114.038199 22.5157743, 114.0382564 22.5157475, 114.0383799 22.5156856)",2,,
8071647039,8071642709,0,217649929,金地十路,unclassified,False,False,7.837,"LINESTRING (114.036563 22.5167253, 114.0365288 22.5166623)",,,
8071647039,8071647053,0,217649929,金地十路,unclassified,False,True,20.174,"LINESTRING (114.036563 22.5167253, 114.0366527 22.5168867)",,,
8071647039,8071647055,0,824751296,福荣路,tertiary,True,False,164.937,"LINESTRING (114.036563 22.5167253, 114.03648 22.5167695, 114.035172 22.5174663)",2,,
8071647047,2399038454,0,231534941,,residential,False,False,13.524,"LINESTRING (114.0321122 22.5191863, 114.0322017 22.5192755)",,,
8071647047,8071647061,0,223456775,,residential,True,False,96.67,"LINESTRING (114.0321122 22.5191863, 114.0314562 22.5195302, 114.0312937 22.5196154)",,,
8071647050,2399038492,0,231534962,沙嘴东路,residential,False,False,7.913,"LINESTRING (114.0335472 22.5183325, 114.033509 22.5182707)",,,
8071647050,8071647051,0,231534962,沙嘴东路,residential,False,True,20.404,"LINESTRING (114.0335472 22.5183325, 114.0336458 22.5184918)",,,
8071647050,8071642705,0,824751296,福荣路,tertiary,True,False,275.697,"LINESTRING (114.0335472 22.5183325, 114.0325451 22.5188667, 114.0322811 22.5190075, 114.0314207 22.5194661, 114.0312225 22.5195718)",2,,
8071647051,8071647050,0,231534962,沙嘴东路,residential,False,False,20.404,"LINESTRING (114.0336458 22.5184918, 114.0335472 22.5183325)",,,
8071647051,8071647047,0,223456775,,residential,True,False,176.15300000000002,"LINESTRING (114.0336458 22.5184918, 114.0331185 22.5187727, 114.0330646 22.5187986, 114.0330228 22.5188166, 114.0329774 22.5188336, 114.0329275 22.5188503, 114.0328717 22.518866, 114.032783 22.5188884, 114.0327074 22.5189085, 114.0326396 22.5189295, 114.0325903 22.5189474, 114.0325327 22.518971, 114.0324714 22.5189994, 114.0323964 22.5190373, 114.0321122 22.5191863)",,,
