u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,name
1441786444,3084645101,0,238039987,unclassified,False,False,71.23599999999999,"LINESTRING (114.0659286 22.5191016, 114.0659322 22.5190507, 114.065954 22.5187394, 114.0659735 22.5184623)",,
1441786444,5435914393,0,564122757,tertiary,True,False,150.273,"LINESTRING (114.0659286 22.5191016, 114.0671056 22.5192526, 114.06737 22.5193214)",2,裕亨路
1492216674,9198650558,0,1051282790,tertiary,True,False,12.349,"LINESTRING (114.0633548 22.5191619, 114.0632567 22.5192261)",,国花路
1492216674,5435914390,0,222976657,tertiary,True,False,57.489000000000004,"LINESTRING (114.0633548 22.5191619, 114.063559 22.5190355, 114.0636572 22.5189966, 114.0637523 22.5189789, 114.0638205 22.5189683, 114.0638612 22.518965)",2,裕亨路
1492216750,7656278440,0,816544582,residential,True,False,18.38,"LINESTRING (114.0615625 22.5196051, 114.0614275 22.5194966)",2,菩提路
1492216788,5435914359,0,135960986,tertiary,True,False,101.93200000000002,"LINESTRING (114.0626776 22.5195805, 114.0627762 22.5194525, 114.0628236 22.5193825, 114.062855 22.5193247, 114.0628715 22.519271, 114.0628798 22.5192145, 114.0628777 22.5191543, 114.0628669 22.5190942, 114.0628486 22.5190428, 114.0628181 22.5189902, 114.0627748 22.5189393, 114.0627328 22.5188995, 114.0626165 22.5188032)",,
1492216788,7701169497,0,1051282792,tertiary,True,False,69.62,"LINESTRING (114.0626776 22.5195805, 114.0630081 22.5193284, 114.0632002 22.5191818)",,国花路
2459078139,2459078153,0,238039984,residential,True,False,36.075,"LINESTRING (114.0641284 22.5193918, 114.0638881 22.5196284)",,
2459078139,5435914402,0,996181417,residential,True,False,41.861,"LINESTRING (114.0641284 22.5193918, 114.0638639 22.5191744, 114.0638268 22.5191388)",,
2459078153,5435914522,0,564122750,residential,True,False,51.706,"LINESTRING (114.0638881 22.5196284, 114.063717 22.5194825, 114.0635224 22.5193089)",,
3084645101,1441786444,0,238039987,unclassified,False,True,71.23599999999999,"LINESTRING (114.0659735 22.5184623, 114.065954 22.5187394, 114.0659322 22.5190507, 114.0659286 22.5191016)",,
3084657054,1441786444,0,564122757,tertiary,True,False,253.725,"LINESTRING (114.0634924 22.5189758, 114.0635953 22.5189244, 114.0636756 22.518899, 114.0637524 22.5188862, 114.063816 22.5188827, 114.0639037 22.5188829, 114.0640033 22.5188887, 114.0659286 22.5191016)",2,裕亨路
