u,v,key,osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,bridge,tunnel
267005524,496532844,0,40828707,True,trunk_link,False,204.87,"LINESTRING (113.9979691 22.5295521, 113.9975952 22.529478, 113.9973354 22.5294123, 113.9971039 22.5293444, 113.9968624 22.5292751, 113.9966679 22.5292271, 113.9965034 22.529177, 113.9963531 22.5291274, 113.9960618 22.5290217)",,,,,
267005524,496532819,0,357768082,True,trunk,False,918.219,"LINESTRING (113.9979691 22.5295521, 113.9974035 22.5293401, 113.9969947 22.5291735, 113.9966785 22.5290276, 113.9963337 22.5288503, 113.9960168 22.5286778, 113.9957814 22.5285521, 113.9937203 22.5273179, 113.9924403 22.5265278, 113.9915274 22.5259985, 113.9908787 22.5256629, 113.9902818 22.5253665)",5,S550,滨海大道,,
496532788,496532792,0,40828702,True,trunk_link,False,159.923,"LINESTRING (113.983356 22.523361, 113.983017 22.5233679, 113.9817998 22.523406)",,,,,
496532792,2460056059,0,974891659,True,primary,False,63.236,"LINESTRING (113.9817998 22.523406, 113.9811861 22.5233607)",3,,滨海大道辅路,,
496532806,496532810,0,974891659,True,primary,False,131.861,"LINESTRING (113.992745 22.5270424, 113.992103 22.5266445, 113.9916688 22.5263962)",3,,滨海大道辅路,,
496532810,496532819,0,40828705,True,trunk_link,False,183.01700000000002,"LINESTRING (113.9916688 22.5263962, 113.991268 22.5260684, 113.9908885 22.525763, 113.9906469 22.5256023, 113.9902818 22.5253665)",,,,,
496532810,496532959,0,974891659,True,primary,False,247.828,"LINESTRING (113.9916688 22.5263962, 113.9912961 22.5261937, 113.9905623 22.5258059, 113.9902801 22.5256742, 113.9900807 22.5255812, 113.9895429 22.525345)",3,,滨海大道辅路,,
496532819,496532788,0,357768082,True,trunk,False,749.025,"LINESTRING (113.9902818 22.5253665, 113.9900936 22.5252747, 113.9898722 22.5251828, 113.9894524 22.5250085, 113.9884052 22.524581, 113.9876352 22.5243136, 113.9870455 22.524129, 113.9862172 22.5239033, 113.9852338 22.5236737, 113.9843504 22.5235071, 113.983356 22.523361)",5,S550,滨海大道,,
496532821,496532806,0,974891659,True,primary,False,331.99699999999996,"LINESTRING (113.9954478 22.5286799, 113.99495 22.5283705, 113.992745 22.5270424)",3,,滨海大道辅路,,
496532844,496532821,0,996247126,True,primary,False,73.631,"LINESTRING (113.9960618 22.5290217, 113.9954478 22.5286799)",3,,滨海大道辅路,,
496532959,5255299471,0,357479528,True,tertiary,False,80.785,"LINESTRING (113.9895429 22.525345, 113.9894934 22.5253636, 113.9894562 22.5253818, 113.9894289 22.525401, 113.9893972 22.5254348, 113.9893789 22.5254629, 113.9893624 22.5255025, 113.989349 22.5255482, 113.9893377 22.5256099, 113.9892838 22.5259833)",,,海园一路,,
496532959,3433940364,0,974891659,True,primary,False,146.69299999999998,"LINESTRING (113.9895429 22.525345, 113.9885908 22.5249649, 113.988229 22.524828)",3,,滨海大道辅路,,
2363414851,7257298403,0,227699545,True,tertiary,False,41.357,"LINESTRING (113.9874362 22.5298992, 113.9874609 22.5297457, 113.9874953 22.5295313)",,,海园二路,,
2363414917,3433940364,0,227699545,True,tertiary,False,116.607,"LINESTRING (113.988084 22.5258661, 113.9881504 22.5254951, 113.9882184 22.5250733, 113.9882343 22.5249348, 113.988229 22.524828)",,,海园二路,,
2363414917,5255299471,0,"[548404953, 548404954, 543636795]",True,tertiary,False,148.48300000000003,"LINESTRING (113.988084 22.5258661, 113.9881348 22.5257777, 113.9881682 22.5257291, 113.9882073 22.5256907, 113.9882461 22.5256728, 113.9882973 22.5256659, 113.9883533 22.5256676, 113.9884129 22.5256741, 113.9890087 22.5257655, 113.9891542 22.5257919, 113.9891871 22.5258075, 113.9892137 22.5258302, 113.9892403 22.5258685, 113.9892634 22.5259162, 113.9892838 22.5259833)",,,同轩二路,yes,
2460056059,3627937204,0,549186294,False,residential,False,20.125,"LINESTRING (113.9811861 22.5233607, 113.9811799 22.5235416)",,,,,
3433940364,496532792,0,974891659,True,primary,False,681.3770000000001,"LINESTRING (113.988229 22.524828, 113.9878188 22.5246831, 113.9876526 22.5246243, 113.9874894 22.524569, 113.9873592 22.5245264, 113.9866492 22.5243044, 113.9864753 22.5242544, 113.9863288 22.524214, 113.9853368 22.5239569, 113.9851865 22.5239193, 113.9850293 22.5238825, 113.9847754 22.5238495, 113.9839389 22.5236985, 113.9831962 22.523577, 113.982498 22.5234779, 113.9817998 22.523406)",3,,滨海大道辅路,,
3627937204,2460056059,0,549186294,False,residential,True,20.125,"LINESTRING (113.9811799 22.5235416, 113.9811861 22.5233607)",,,,,
