u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry
2323527396,2323527404,0,223456781,2,下沙大道,residential,False,False,91.055,"LINESTRING (114.0188993 22.5290601, 114.0197676 22.5292253)"
2323527396,8068348850,0,223456781,2,下沙大道,residential,False,True,17.265,"LINESTRING (114.0188993 22.5290601, 114.0188491 22.5290417, 114.0188042 22.5290123, 114.0187655 22.5289711)"
2323527399,7701171825,0,865609641,4,下沙中心路,residential,False,False,7.618,"LINESTRING (114.0171272 22.5286821, 114.0171944 22.5287111)"
2323527399,6004023951,0,223456776,2,福荣路,tertiary,True,False,161.24800000000002,"LINESTRING (114.0171272 22.5286821, 114.0171532 22.5286344, 114.0171834 22.5285758, 114.0172251 22.5285009, 114.017275 22.5284153, 114.0173566 22.5282792, 114.0174102 22.5281888, 114.0174622 22.5281056, 114.017524 22.5280154, 114.0175924 22.527921, 114.0176586 22.5278308, 114.0177263 22.5277388, 114.0177918 22.5276551, 114.0178823 22.5275373, 114.0179485 22.527449)"
2323527402,6178116911,0,231532384,2,福沙路,residential,False,False,20.086000000000002,"LINESTRING (114.0189645 22.5280021, 114.01894 22.5280472, 114.0189253 22.5280814, 114.0189122 22.5281161, 114.0189017 22.5281496, 114.0188964 22.5281708)"
2323527402,6178116912,0,231532384,2,福沙路,residential,False,True,119.115,"LINESTRING (114.0189645 22.5280021, 114.0191962 22.5276149, 114.0192323 22.5275731, 114.0192671 22.527541, 114.0193115 22.5275089, 114.0193627 22.5274746, 114.0197401 22.5272414)"
2323527402,8064199191,0,865609642,2,下沙小学路,residential,False,False,93.91499999999999,"LINESTRING (114.0189645 22.5280021, 114.0189033 22.527973, 114.0188377 22.5279432, 114.0182602 22.527626, 114.0182361 22.5276135, 114.0181725 22.5275806)"
2323527404,2323527396,0,223456781,2,下沙大道,residential,False,True,91.055,"LINESTRING (114.0197676 22.5292253, 114.0188993 22.5290601)"
2323527404,8068348852,0,231532379,2,大围路,residential,False,True,234.062,"LINESTRING (114.0197676 22.5292253, 114.0201814 22.528931, 114.020337 22.528817, 114.0203754 22.528774, 114.0204356 22.5286944, 114.0204715 22.5286385, 114.0204972 22.5285793, 114.0205129 22.5285072, 114.020509 22.5284548, 114.020493 22.5283982, 114.0204717 22.5283459, 114.0204455 22.5282964, 114.0204354 22.5282812, 114.0203236 22.5281138, 114.0199557 22.5275627)"
6004023951,8064199278,0,865609642,2,下沙小学路,residential,False,True,7.441000000000001,"LINESTRING (114.0179485 22.527449, 114.0179668 22.5274623, 114.0180074 22.5274879)"
6178116911,8068348850,0,231532384,2,福沙路,residential,False,False,91.27000000000001,"LINESTRING (114.0188964 22.5281708, 114.0187885 22.528618, 114.018737 22.5288105, 114.0187357 22.5288559, 114.0187413 22.5288978, 114.0187511 22.5289338, 114.0187655 22.5289711)"
