u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
394175906,394175907,0,733035927,2,坪輋路 Ping Che Road,tertiary,False,False,11.456,"LINESTRING (114.158686 22.5280089, 114.1586417 22.5280484, 114.1586031 22.5280777)",
394175907,5143480860,0,733035926,2,坪輋路 Ping Che Road,tertiary,False,False,16.149,"LINESTRING (114.1586031 22.5280777, 114.158524 22.5281228, 114.1584656 22.5281476)",
394175907,394175906,0,733035927,2,坪輋路 Ping Che Road,tertiary,False,True,11.456,"LINESTRING (114.1586031 22.5280777, 114.1586417 22.5280484, 114.158686 22.5280089)",
1480657691,1480657699,0,134712898,,,residential,False,False,186.694,"LINESTRING (114.1532324 22.527369, 114.1530896 22.5274269, 114.1528746 22.5273664, 114.1528391 22.527368, 114.1527935 22.5274148, 114.1527452 22.5275087, 114.1527124 22.5275724, 114.1526499 22.5277051, 114.1525992 22.5278112, 114.1525688 22.5278487, 114.1525006 22.5278813, 114.1524285 22.5278815, 114.1521514 22.5278409, 114.1517797 22.5277597)",
1480657691,1480662784,0,134712903,1,,unclassified,False,True,520.899,"LINESTRING (114.1532324 22.527369, 114.1532227 22.5271729, 114.1533038 22.5268295, 114.1533849 22.5266625, 114.1533832 22.5265423, 114.1533579 22.5264768, 114.1532852 22.5264081, 114.1531724 22.5263258, 114.1531213 22.5262817, 114.1530894 22.5262216, 114.1530788 22.526139, 114.1530532 22.5260446, 114.1530277 22.5259502, 114.1529851 22.5258932, 114.152917 22.5258263, 114.1528574 22.5257418, 114.1528105 22.5256572, 114.1527126 22.5255687, 114.1526168 22.5254979, 114.1525593 22.5254232, 114.1525146 22.5253288, 114.1524869 22.5251617, 114.1524146 22.5249867, 114.1523569 22.5249059, 114.1522826 22.5248018, 114.1521987 22.5246351, 114.15217 22.5244899, 114.1521059 22.524265, 114.151993 22.5239759, 114.1519334 22.5238717, 114.1518743 22.5237969, 114.1517202 22.523657, 114.1512799 22.5234115)",
1480657691,1480662722,0,"[956553064, 510029316, 956553063]",1,,unclassified,False,False,370.92,"LINESTRING (114.1532324 22.527369, 114.1533265 22.5273917, 114.1534611 22.5274502, 114.1536216 22.5274165, 114.1538258 22.527475, 114.1542053 22.5276642, 114.1542198 22.5276842, 114.1543086 22.527807, 114.1543625 22.527838, 114.1543965 22.5278891, 114.154372 22.5279567, 114.1543793 22.5280195, 114.1543865 22.5280896, 114.1545583 22.5281703, 114.1547563 22.5282175, 114.1549458 22.5282883, 114.1551105 22.5284486, 114.1551854 22.5285308, 114.1553804 22.5288663, 114.1557075 22.5293852)",yes
1480657699,1480657691,0,134712898,,,residential,False,True,186.69400000000002,"LINESTRING (114.1517797 22.5277597, 114.1521514 22.5278409, 114.1524285 22.5278815, 114.1525006 22.5278813, 114.1525688 22.5278487, 114.1525992 22.5278112, 114.1526499 22.5277051, 114.1527124 22.5275724, 114.1527452 22.5275087, 114.1527935 22.5274148, 114.1528391 22.527368, 114.1528746 22.5273664, 114.1530896 22.5274269, 114.1532324 22.527369)",
1480662722,5143480860,0,733035929,2,坪輋路 Ping Che Road,tertiary,False,True,314.962,"LINESTRING (114.1557075 22.5293852, 114.1570656 22.5287857, 114.157675 22.5284992, 114.1583415 22.5281991, 114.1584656 22.5281476)",
1480662722,1480657691,0,"[956553064, 510029316, 956553063]",1,,unclassified,False,True,370.91999999999996,"LINESTRING (114.1557075 22.5293852, 114.1553804 22.5288663, 114.1551854 22.5285308, 114.1551105 22.5284486, 114.1549458 22.5282883, 114.1547563 22.5282175, 114.1545583 22.5281703, 114.1543865 22.5280896, 114.1543793 22.5280195, 114.154372 22.5279567, 114.1543965 22.5278891, 114.1543625 22.527838, 114.1543086 22.527807, 114.1542198 22.5276842, 114.1542053 22.5276642, 114.1538258 22.527475, 114.1536216 22.5274165, 114.1534611 22.5274502, 114.1533265 22.5273917, 114.1532324 22.527369)",yes
1480662784,1480657691,0,134712903,1,,unclassified,False,False,520.8990000000001,"LINESTRING (114.1512799 22.5234115, 114.1517202 22.523657, 114.1518743 22.5237969, 114.1519334 22.5238717, 114.151993 22.5239759, 114.1521059 22.524265, 114.15217 22.5244899, 114.1521987 22.5246351, 114.1522826 22.5248018, 114.1523569 22.5249059, 114.1524146 22.5249867, 114.1524869 22.5251617, 114.1525146 22.5253288, 114.1525593 22.5254232, 114.1526168 22.5254979, 114.1527126 22.5255687, 114.1528105 22.5256572, 114.1528574 22.5257418, 114.152917 22.5258263, 114.1529851 22.5258932, 114.1530277 22.5259502, 114.1530532 22.5260446, 114.1530788 22.526139, 114.1530894 22.5262216, 114.1531213 22.5262817, 114.1531724 22.5263258, 114.1532852 22.5264081, 114.1533579 22.5264768, 114.1533832 22.5265423, 114.1533849 22.5266625, 114.1533038 22.5268295, 114.1532227 22.5271729, 114.1532324 22.527369)",
