u,v,key,osmid,oneway,highway,reversed,length,name,geometry,bridge,lanes
277183586,9649087635,0,996263615,True,primary_link,False,19.715,,"LINESTRING (113.992758 22.535601, 113.9925687 22.5356304)",,
277183586,9649087671,0,25435061,True,primary,False,29.613999999999997,侨城东路,"LINESTRING (113.992758 22.535601, 113.9927482 22.5356653, 113.9927176 22.5358647)",,
277183713,2458960419,0,238026495,True,secondary,False,164.531,,"LINESTRING (113.9908385 22.5357254, 113.9897925 22.5360017, 113.9897262 22.5360192, 113.9893878 22.536109, 113.9892983 22.5361324)",,
277183820,2458960419,0,238026687,True,primary_link,False,40.62,,"LINESTRING (113.9896287 22.5359316, 113.9892983 22.5361324)",,
277183820,2458960427,0,1049950449,True,primary,False,163.361,深南大道,"LINESTRING (113.9896287 22.5359316, 113.9885267 22.536214, 113.9880919 22.5363097)",,
496532836,8511710819,0,1049950443,True,primary,False,51.806,侨城东路,"LINESTRING (113.993588 22.5301848, 113.9935173 22.5306461)",,
1116415356,6942404996,0,208124043,False,tertiary,True,130.787,汕头街,"LINESTRING (113.9864589 22.5384042, 113.9865637 22.537232)",,
1116415356,5169912143,0,208124043,False,tertiary,False,36.984,汕头街,"LINESTRING (113.9864589 22.5384042, 113.9864574 22.5384727, 113.9864601 22.5385392, 113.9864731 22.5385921, 113.986497 22.5386354, 113.9865274 22.5386681, 113.9865723 22.5386988)",,
1116415356,1116415533,0,609577958,False,tertiary_link,True,40.887,侨城东街,"LINESTRING (113.9864589 22.5384042, 113.9864394 22.5384796, 113.9864212 22.5385223, 113.9864047 22.5385512, 113.9863783 22.5385863, 113.9863436 22.5386199, 113.986311 22.5386396, 113.9862676 22.5386553, 113.9862209 22.5386603)",,
1116415377,5778992584,0,610188507,False,secondary_link,True,45.41,,"LINESTRING (113.9822732 22.5369265, 113.9824852 22.5368306, 113.9826631 22.5367345)",,
1116415377,5773763124,0,694439502,False,unclassified,False,151.084,光侨街,"LINESTRING (113.9822732 22.5369265, 113.9823051 22.5369672, 113.9823268 22.5370114, 113.9823433 22.5370782, 113.9823526 22.5371587, 113.9823827 22.537706, 113.9824144 22.5382677)",,
1116415381,1116415470,0,895941563,True,primary,False,16.386,白石路,"LINESTRING (113.9933064 22.5309761, 113.9934614 22.531011)",,
1116415381,8328137606,0,572963454,True,primary,False,49.098,侨城东路,"LINESTRING (113.9933064 22.5309761, 113.9933248 22.5308595, 113.9933756 22.5305392)",,
1116415470,2402263604,0,1049950443,True,primary,False,18.284,侨城东路,"LINESTRING (113.9934614 22.531011, 113.9934364 22.5311738)",,
1116415470,8511710826,0,25543382,True,secondary,False,33.769999999999996,白石路,"LINESTRING (113.9934614 22.531011, 113.9935567 22.5310381, 113.993778 22.5310928)",,
1116415533,5169912143,0,96326125,False,tertiary,False,36.386,侨城东街,"LINESTRING (113.9862209 22.5386603, 113.9863532 22.5386689, 113.9864126 22.5386738, 113.986484 22.5386832, 113.9865723 22.5386988)",,
1116415533,5773763126,0,96326125,False,tertiary,True,435.193,侨城东街,"LINESTRING (113.9862209 22.5386603, 113.9847934 22.5385881, 113.984694 22.5385897, 113.9846174 22.5386084, 113.9845453 22.5386463, 113.9844938 22.5386974, 113.9844566 22.5387654, 113.9843061 22.5392206, 113.9842731 22.5392813, 113.9842268 22.5393252, 113.9841757 22.5393526, 113.9841201 22.5393702, 113.9840287 22.5393824, 113.9825081 22.5394565)",,
1116415533,1116415356,0,609577958,False,tertiary_link,False,40.88699999999999,侨城东街,"LINESTRING (113.9862209 22.5386603, 113.9862676 22.5386553, 113.986311 22.5386396, 113.9863436 22.5386199, 113.9863783 22.5385863, 113.9864047 22.5385512, 113.9864212 22.5385223, 113.9864394 22.5384796, 113.9864589 22.5384042)",,
1916783429,2184437884,0,600648170,True,primary,False,180.197,深南大道,"LINESTRING (113.9871198 22.536144, 113.9875709 22.5361414, 113.9880296 22.5360891, 113.9884318 22.5360181, 113.9888487 22.5359144)",,
1916783463,5710824459,0,600648162,False,residential,False,11.058,,"LINESTRING (113.9819099 22.536496, 113.9819067 22.5363966)",,
1916783463,2458960421,0,740785651,True,primary_link,False,43.02,,"LINESTRING (113.9819099 22.536496, 113.9815124 22.536618)",,
2184437836,2184437843,0,895941567,True,primary_link,False,94.05099999999999,,"LINESTRING (113.9930214 22.533882, 113.9930381 22.5339952, 113.9930686 22.5340809, 113.9931126 22.5341582, 113.993174 22.5342263, 113.9932497 22.5342768, 113.9933175 22.5343043, 113.9934149 22.5343281, 113.9936503 22.534339)",,
2184437836,2184437847,0,1049950443,True,primary,False,65.372,侨城东路,"LINESTRING (113.9930214 22.533882, 113.9929549 22.5343163, 113.9929451 22.5343802, 113.9929322 22.5344641)",,
2184437837,3851543173,0,572963451,True,primary,False,88.904,侨城东路,"LINESTRING (113.9928033 22.5341501, 113.9929287 22.533359)",,
2184437843,2184437851,0,208124044,True,primary_link,False,213.03599999999997,,"LINESTRING (113.9936503 22.534339, 113.994123 22.5342911, 113.9944701 22.5343038, 113.9949005 22.5343912, 113.9952476 22.534483, 113.9956794 22.5345987)",,
2184437847,277183586,0,25435061,True,primary,False,127.678,侨城东路,"LINESTRING (113.9929322 22.5344641, 113.992896 22.5347006, 113.9927919 22.5353799, 113.992758 22.535601)",,
2184437847,2184437843,0,1049950444,True,primary_link,False,75.101,,"LINESTRING (113.9929322 22.5344641, 113.9931333 22.5344242, 113.9934091 22.5343695, 113.9936503 22.534339)",,
2184437851,2184437857,0,238157316,True,secondary,False,157.281,,"LINESTRING (113.9956794 22.5345987, 113.9961295 22.5346325, 113.9967933 22.5347118, 113.9971993 22.5347676)",,
2184437853,2184437837,0,208124055,True,primary_link,False,73.035,,"LINESTRING (113.9923238 22.5345989, 113.9924789 22.5345341, 113.9925773 22.534473, 113.9926594 22.5344006, 113.992721 22.5343218, 113.992767 22.5342381, 113.9928033 22.5341501)",,
2184437853,9649087649,0,572963455,True,primary_link,False,44.642,,"LINESTRING (113.9923238 22.5345989, 113.9925596 22.5345494, 113.9925945 22.5345414, 113.9927468 22.5345066)",,
2184437857,2184437863,0,238026674,True,primary_link,False,77.208,,"LINESTRING (113.9971993 22.5347676, 113.9973589 22.5348129, 113.9977305 22.5349478, 113.9979056 22.5350044)",,
2184437866,9649087666,0,208124056,True,primary_link,False,238.35899999999998,,"LINESTRING (113.9953754 22.5350791, 113.9949453 22.5351997, 113.9945573 22.5352926, 113.9931121 22.5355435)",,
2184437866,277183713,0,"[238026494, 1049968051, 985389862]",True,secondary,False,474.425,,"LINESTRING (113.9953754 22.5350791, 113.9949455 22.5350555, 113.9946583 22.5350611, 113.9942654 22.5350765, 113.9938322 22.5351106, 113.9933904 22.5351508, 113.9929648 22.5352117, 113.9925205 22.5352976, 113.992205 22.5353681, 113.9915234 22.5355488, 113.9908385 22.5357254)",yes,
2184437867,2184437866,0,985389862,True,secondary,False,22.121,,"LINESTRING (113.9955898 22.5350981, 113.9953754 22.5350791)",,
2184437883,2217490320,0,208124057,True,secondary,False,193.44799999999998,,"LINESTRING (113.9893283 22.5356471, 113.9895552 22.5355942, 113.9896049 22.5355826, 113.99059 22.5353252, 113.9911384 22.5351671)",,
2184437884,2184437883,0,672979259,True,primary_link,False,57.53,,"LINESTRING (113.9888487 22.5359144, 113.9893283 22.5356471)",,
2184437884,2184437863,0,"[572963457, 51190861, 633620761]",True,primary,False,949.9849999999999,深南大道,"LINESTRING (113.9888487 22.5359144, 113.989585 22.5357185, 113.9896387 22.5357042, 113.9918691 22.5350938, 113.992242 22.5350028, 113.992582 22.534928, 113.9930072 22.5348523, 113.9934538 22.5347903, 113.9939056 22.5347385, 113.9947639 22.534689, 113.9957188 22.5347088, 113.9968239 22.5348277, 113.9979056 22.5350044)",yes,3
2184437887,9021794178,0,1049950448,True,secondary,False,6.5,,"LINESTRING (113.9889058 22.5362392, 113.9888449 22.5362551)",,
2184437887,2184437898,0,741581539,True,residential,False,321.182,恩平街,"LINESTRING (113.9889058 22.5362392, 113.9889015 22.53628, 113.9888974 22.5363193, 113.9888758 22.5366177, 113.9886984 22.5390722, 113.9886773 22.5391171)",,1
2184437892,6942404996,0,208124043,False,tertiary,False,76.417,汕头街,"LINESTRING (113.986625 22.5365471, 113.9865637 22.537232)",,
2184437892,2458958739,0,985389866,True,secondary,False,40.559,,"LINESTRING (113.986625 22.5365471, 113.9862301 22.5365442)",,
2184437898,2184437902,0,208124054,False,unclassified,True,89.028,恩平街,"LINESTRING (113.9886773 22.5391171, 113.987812 22.5390691)",,
2184437898,2184437899,0,996263611,False,residential,False,68.906,锦绣北街,"LINESTRING (113.9886773 22.5391171, 113.9893472 22.5391515)",,
2184437898,9021794178,0,974891658,True,residential,False,319.25200000000007,恩平街,"LINESTRING (113.9886773 22.5391171, 113.9886557 22.5390641, 113.9888227 22.5366152, 113.9888426 22.5363246, 113.9888437 22.5362918, 113.9888449 22.5362551)",,1
2184437899,2184437898,0,996263611,False,residential,True,68.906,锦绣北街,"LINESTRING (113.9893472 22.5391515, 113.9886773 22.5391171)",,
