u,v,key,osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes,maxspeed
498489655,498489656,0,1051282768,True,滨河大道辅路,primary,False,79.92,"LINESTRING (114.0142641 22.5308715, 114.0140936 22.5308479, 114.013491 22.5307911)",,,,
498489656,498491704,0,1051282768,True,滨河大道辅路,primary,False,109.826,"LINESTRING (114.013491 22.5307911, 114.0133481 22.5307668, 114.0124529 22.5305554)",,,,
498489684,267005521,0,231542499,True,,trunk_link,False,137.368,"LINESTRING (114.0033714 22.5303466, 114.0031215 22.5303366, 114.0020403 22.5302302)",,,,
498491704,498497596,0,40932390,True,滨河大道辅路,primary,False,201.46800000000002,"LINESTRING (114.0124529 22.5305554, 114.0118826 22.5304316, 114.0113934 22.5303282, 114.0110364 22.5302499, 114.0105404 22.5301531)",,,,
498491704,498493255,0,"[40933272, 40932540, 40933271]",True,竹子林立交桥,motorway_link,False,219.692,"LINESTRING (114.0124529 22.5305554, 114.0121736 22.5305498, 114.0120746 22.5305664, 114.0119881 22.5306007, 114.0119029 22.5306592, 114.011844 22.5307233, 114.0118021 22.5307953, 114.0117759 22.5308788, 114.0117709 22.530978, 114.0117926 22.5310753, 114.0118269 22.5311453, 114.0118997 22.531232, 114.0119965 22.5312976, 114.012073 22.5313271, 114.0121673 22.5313437, 114.0122772 22.5313385, 114.0123906 22.531304, 114.0124803 22.5312494, 114.012565 22.5311588, 114.0126238 22.5310811)",yes,,,
498491723,498489655,0,1051282767,True,滨河大道,trunk,False,235.543,"LINESTRING (114.0164887 22.5313862, 114.0142641 22.5308715)",,S550,,
498491723,498491733,0,"[40953705, 40953706, 40932541]",True,福田立交,motorway_link,False,208.20499999999998,"LINESTRING (114.0164887 22.5313862, 114.0157301 22.531304, 114.0154939 22.5312509, 114.0154301 22.5312393, 114.0153663 22.5312357, 114.0152964 22.5312438, 114.015243 22.5312654, 114.0151945 22.5312985, 114.015158 22.5313431, 114.0151324 22.5313884, 114.0151174 22.5314353, 114.0151113 22.5314871, 114.0151154 22.531561, 114.0151267 22.5316757, 114.0151616 22.5319251)",yes,,,
498491733,6003859411,0,40932542,True,福田立交,motorway_link,False,28.157,"LINESTRING (114.0151616 22.5319251, 114.0151921 22.5320601, 114.0152175 22.532173)",,,,
498491735,498497533,0,40932389,True,竹子林立交桥,motorway_link,False,80.833,"LINESTRING (114.0119804 22.5332197, 114.0120291 22.5331213, 114.0120781 22.5330134, 114.0121178 22.5329105, 114.0121913 22.5326928, 114.0122388 22.5325343)",,,,
498491735,498491736,0,40932542,True,福田立交,motorway_link,False,137.615,"LINESTRING (114.0119804 22.5332197, 114.0122369 22.5329476, 114.0125251 22.532658, 114.0128856 22.5323075)",,,,
