u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,maxspeed,access,bridge,tunnel
499236929,499264828,0,40971702,True,primary_link,False,59.363,"LINESTRING (114.0444655 22.5328324, 114.0444143 22.5327226, 114.0443955 22.5326539, 114.0443829 22.5325977, 114.0443764 22.5325438, 114.0443726 22.532312)",,,,,,,
499237442,499256522,0,684241517,True,trunk_link,False,177.073,"LINESTRING (114.0456007 22.5312996, 114.0473224 22.5312165)",,,,,,,
499237442,7232025523,0,328724256,True,trunk,False,478.78099999999995,"LINESTRING (114.0456007 22.5312996, 114.0475796 22.531348, 114.0502614 22.5313787)",S550,滨河大道,,,,,
499256255,1116467143,0,40971705,True,primary,False,106.961,"LINESTRING (114.0498822 22.5316881, 114.0488408 22.5316941)",,滨河大道辅路,4,40,yes,,
499256522,499374765,0,40971700,True,primary,False,173.993,"LINESTRING (114.0473224 22.5312165, 114.0490164 22.5312294)",,滨河大道辅路,,,,,
499256749,499281585,0,40971703,True,primary_link,False,57.26,"LINESTRING (114.0448629 22.530287, 114.0448086 22.5307995)",,,,,,,
499256749,499281680,0,40971879,True,primary_link,False,241.059,"LINESTRING (114.0448629 22.530287, 114.0448715 22.5303279, 114.044881 22.5303558, 114.0448927 22.5303809, 114.0449058 22.5304016, 114.0449222 22.5304247, 114.044942 22.5304472, 114.0449636 22.5304671, 114.0449891 22.5304836, 114.0450159 22.530494, 114.0450426 22.5305002, 114.0450716 22.5305036, 114.0451012 22.5305048, 114.0455397 22.5305066, 114.0455714 22.5305083, 114.045602 22.5305122, 114.0456306 22.5305198, 114.0456576 22.5305286, 114.0456864 22.5305401, 114.0457159 22.5305551, 114.045747 22.5305733, 114.0463966 22.5310863, 114.0464231 22.5311049, 114.0464527 22.5311234, 114.0464846 22.5311402, 114.0465164 22.5311546, 114.0465494 22.5311668, 114.0466311 22.5311731, 114.0467078 22.5311842, 114.0468308 22.5311981)",,,,,,,
499256805,1982884398,0,1050511755,True,primary,False,21.752,"LINESTRING (114.0446224 22.5328612, 114.044615 22.5330567)",,新洲路,,,,,
499264828,499264853,0,996208020,True,primary_link,False,50.705,"LINESTRING (114.0443726 22.532312, 114.0443906 22.5318563)",,,,,,,
499264828,6410193821,0,40971762,True,primary_link,False,226.80400000000003,"LINESTRING (114.0443726 22.532312, 114.0443599 22.5322736, 114.044345 22.5322498, 114.044325 22.5322248, 114.0443016 22.5322029, 114.0442731 22.5321819, 114.0442457 22.5321673, 114.0442135 22.5321549, 114.0441719 22.5321461, 114.0441363 22.5321428, 114.043647 22.5321358, 114.0435842 22.532133, 114.0435308 22.5321269, 114.0434894 22.5321176, 114.0434465 22.5321024, 114.0434048 22.5320841, 114.0433599 22.5320535, 114.0433153 22.5320197, 114.0428247 22.5315083, 114.0427763 22.5314669, 114.0427204 22.5314267, 114.0426587 22.5313953, 114.0425797 22.5313654)",,,,,,,
499264853,6410193883,0,40971928,True,primary_link,False,122.077,"LINESTRING (114.0443906 22.5318563, 114.0444635 22.5307605)",,,,,,yes,
499264939,6410193821,0,1051517012,True,primary,False,102.378,"LINESTRING (114.0435699 22.5314711, 114.0425797 22.5313654)",,滨河大道辅路,4,40,yes,,
