u,v,key,osmid,oneway,highway,reversed,length,lanes,name,geometry
278659728,5194055713,0,536079052,True,primary_link,False,45.254,,,"LINESTRING (113.9847278 22.5463916, 113.9848681 22.5460058)"
278659728,9199555713,0,633620718,True,primary,False,173.09,3,侨香路,"LINESTRING (113.9847278 22.5463916, 113.9855752 22.5457007, 113.9858196 22.5454993, 113.9858689 22.5454587, 113.9859894 22.5453594)"
278659737,2528997023,0,977035183,True,primary_link,False,71.647,,,"LINESTRING (113.9900346 22.5438231, 113.9901194 22.5437951, 113.9901897 22.5437627, 113.9904832 22.5435809, 113.9905548 22.5435447, 113.9906432 22.5435152)"
278659737,582493057,0,996263628,True,primary,False,125.381,,侨香路,"LINESTRING (113.9900346 22.5438231, 113.9908217 22.543746, 113.9909603 22.5437319, 113.9910537 22.5437273, 113.9912498 22.5437176)"
582492791,8285753040,0,45730641,True,primary,False,630.906,,侨香路,"LINESTRING (113.9988691 22.5464135, 113.9982051 22.5463353, 113.9977653 22.546256, 113.9973576 22.5461272, 113.9953513 22.5453444, 113.9939792 22.5448097, 113.9938997 22.5447787, 113.9931244 22.5444766)"
582492791,1342323039,0,245769073,True,primary_link,False,70.768,,,"LINESTRING (113.9988691 22.5464135, 113.9987743 22.5464299, 113.9986902 22.5464589, 113.9984477 22.5466171, 113.9983763 22.5466449, 113.9982515 22.5466732)"
582492799,582493057,0,977035187,True,primary,False,22.916,,侨城东路,"LINESTRING (113.9913932 22.5438755, 113.9912498 22.5437176)"
582492799,2184437924,0,1093609943,False,primary,True,33.299,,侨城东路,"LINESTRING (113.9913932 22.5438755, 113.9913772 22.5441746)"
582492799,2528997022,0,1049950445,True,primary,False,70.114,3,侨香路,"LINESTRING (113.9913932 22.5438755, 113.9912236 22.5438689, 113.9910866 22.5438723, 113.990815 22.5438925, 113.9907119 22.5439002)"
582493057,1116415170,0,633620716,True,primary,False,32.833,,侨香路,"LINESTRING (113.9912498 22.5437176, 113.9913862 22.5437216, 113.991473 22.5437317, 113.9915666 22.5437503)"
582493057,5169911635,0,996263613,True,primary,False,28.026999999999997,,侨城东路,"LINESTRING (113.9912498 22.5437176, 113.9912398 22.5436302, 113.9912432 22.5435423, 113.9912552 22.5434669)"
1116415170,582492799,0,996247128,True,primary,False,22.604,,侨城东路,"LINESTRING (113.9915666 22.5437503, 113.9913932 22.5438755)"
1116415170,2528997136,0,633620712,True,primary,False,900.796,,侨香路,"LINESTRING (113.9915666 22.5437503, 113.9917081 22.5437904, 113.9917597 22.543805, 113.9925081 22.544086, 113.9938514 22.5446113, 113.9939474 22.5446488, 113.9963598 22.5455921, 113.9973468 22.5459786, 113.9977009 22.5461074, 113.9981086 22.5461966, 113.9985807 22.546256, 113.9998044 22.5463776)"
1116415170,2184437920,0,996247129,True,secondary,False,82.136,,,"LINESTRING (113.9915666 22.5437503, 113.9917136 22.5437467, 113.9919915 22.5437398, 113.9921254 22.5437427, 113.992365 22.5437648)"
1116415199,2528997023,0,532810254,True,secondary,False,193.875,,,"LINESTRING (113.9887736 22.5437544, 113.9892962 22.5436722, 113.9906432 22.5435152)"
1116415199,2699550405,0,977035184,True,primary_link,False,76.97000000000001,,,"LINESTRING (113.9887736 22.5437544, 113.9889948 22.543764, 113.9890994 22.5437937, 113.9891973 22.5438271, 113.9892898 22.543842, 113.989508 22.5438703)"
1116415219,1116415308,0,532810254,True,secondary,False,210.49199999999996,,,"LINESTRING (113.9805443 22.5493303, 113.9810771 22.5490285, 113.9817141 22.5486074, 113.982021 22.5483692, 113.9822023 22.5482234)"
1116415308,5194055690,0,532810254,True,secondary,False,86.053,,,"LINESTRING (113.9822023 22.5482234, 113.9824897 22.5479923, 113.9828314 22.5477122)"
1116415308,1116415551,0,609577992,False,tertiary,True,144.503,,香山中街,"LINESTRING (113.9822023 22.5482234, 113.9820936 22.548102, 113.9816322 22.5475878, 113.9815936 22.5475379, 113.9815456 22.5474685, 113.9815086 22.547406, 113.9814702 22.5473421, 113.9814409 22.547296, 113.9814157 22.5472644, 113.9813814 22.5472314, 113.9813379 22.5472056)"
1116415365,1116415528,0,609577977,False,tertiary,False,67.578,,香山东街,"LINESTRING (113.9877001 22.5414088, 113.988356 22.5414575)"
1116415365,1116415481,0,609577977,False,tertiary,True,76.823,,香山东街,"LINESTRING (113.9877001 22.5414088, 113.9870911 22.5415128, 113.9869657 22.5415396)"
1116415399,2537781875,0,246780204,False,residential,False,43.5,,,"LINESTRING (113.9828767 22.5456404, 113.9827417 22.5452696)"
1116415399,5195247203,0,609577977,False,tertiary,False,203.267,,香山东街,"LINESTRING (113.9828767 22.5456404, 113.9838917 22.5453125, 113.9840034 22.5452726, 113.9840959 22.5452372, 113.9841886 22.5451967, 113.9842789 22.5451517, 113.9843732 22.5450971, 113.9844578 22.5450425, 113.9846706 22.5448975)"
1116415399,1116415551,0,609577977,False,tertiary,True,258.638,,香山东街,"LINESTRING (113.9828767 22.5456404, 113.9821067 22.5458855, 113.9819906 22.545936, 113.9819122 22.5459797, 113.9818214 22.5460438, 113.9817412 22.5461197, 113.9816822 22.54619, 113.9816289 22.5462676, 113.9815806 22.5463593, 113.9815414 22.546458, 113.9815055 22.546563, 113.9813991 22.5469873, 113.9813379 22.5472056)"
1116415419,5169909909,0,996263612,False,tertiary,True,108.594,2,香山东街,"LINESTRING (113.991388 22.5416826, 113.990334 22.5416044)"
1116415419,1116415190,0,532810253,True,tertiary,False,35.905,1,香山东街,"LINESTRING (113.991388 22.5416826, 113.991466 22.5416679, 113.9915228 22.5416462, 113.9915765 22.5416078, 113.9916096 22.5415665, 113.9916394 22.541493)"
1116415431,2184437913,0,25435061,True,primary,False,30.788,,侨城东路,"LINESTRING (113.9917141 22.5429168, 113.9916902 22.5431928)"
1116415431,2184437907,0,208124059,True,primary_link,False,73.099,1,,"LINESTRING (113.9917141 22.5429168, 113.9916743 22.5430518, 113.9916592 22.5430993, 113.991638 22.543135, 113.9916065 22.5431635, 113.9915675 22.5431824, 113.991521 22.5431902, 113.9914741 22.5431844, 113.991429 22.543164, 113.9913937 22.543131, 113.9913743 22.5430958, 113.9913418 22.5429732)"
1116415479,1116415219,0,96326119,True,primary_link,False,54.479,,,"LINESTRING (113.9803006 22.5497561, 113.9803486 22.5497112, 113.9803717 22.5496787, 113.980388 22.5496397, 113.9804567 22.5494516, 113.9804761 22.5494076, 113.9804981 22.5493756, 113.9805443 22.5493303)"
1116415479,5194055689,0,633620718,True,primary,False,407.83799999999997,3,侨香路,"LINESTRING (113.9803006 22.5497561, 113.9810566 22.5492968, 113.981817 22.5487831, 113.9824678 22.5482824, 113.983415 22.547491)"
1116415481,1116415365,0,609577977,False,tertiary,False,76.823,,香山东街,"LINESTRING (113.9869657 22.5415396, 113.9870911 22.5415128, 113.9877001 22.5414088)"
1116415481,4337209490,0,609577977,False,tertiary,True,189.28999999999996,,香山东街,"LINESTRING (113.9869657 22.5415396, 113.9868445 22.5415699, 113.9867415 22.5416002, 113.9864899 22.5416853, 113.9864129 22.5417181, 113.9863571 22.5417482, 113.9863084 22.5417822, 113.9862727 22.5418155, 113.9862343 22.5418673, 113.9862107 22.5419201, 113.986198 22.5419669, 113.9861886 22.5420169, 113.986183 22.5420705, 113.986127 22.5427937)"
1116415528,2184437904,0,609577977,False,tertiary,False,89.009,,香山东街,"LINESTRING (113.988356 22.5414575, 113.9892199 22.5415217)"
1116415528,1116415365,0,609577977,False,tertiary,True,67.578,,香山东街,"LINESTRING (113.988356 22.5414575, 113.9877001 22.5414088)"
1116415528,4337209511,0,435827458,False,unclassified,False,59.982,,文昌南街,"LINESTRING (113.988356 22.5414575, 113.9883494 22.5415297, 113.9883054 22.5419949)"
1116415551,1116415399,0,609577977,False,tertiary,False,258.63800000000003,,香山东街,"LINESTRING (113.9813379 22.5472056, 113.9813991 22.5469873, 113.9815055 22.546563, 113.9815414 22.546458, 113.9815806 22.5463593, 113.9816289 22.5462676, 113.9816822 22.54619, 113.9817412 22.5461197, 113.9818214 22.5460438, 113.9819122 22.5459797, 113.9819906 22.545936, 113.9821067 22.5458855, 113.9828767 22.5456404)"
1116415551,1116415308,0,609577992,False,tertiary,False,144.50300000000001,,香山中街,"LINESTRING (113.9813379 22.5472056, 113.9813814 22.5472314, 113.9814157 22.5472644, 113.9814409 22.547296, 113.9814702 22.5473421, 113.9815086 22.547406, 113.9815456 22.5474685, 113.9815936 22.5475379, 113.9816322 22.5475878, 113.9820936 22.548102, 113.9822023 22.5482234)"
1116448672,9702061118,0,1055869364,True,primary_link,False,48.686,,,"LINESTRING (113.9824809 22.548469, 113.9823861 22.548898)"
1116448672,1116448523,0,1049950445,True,primary,False,222.396,3,侨香路,"LINESTRING (113.9824809 22.548469, 113.9818747 22.5489195, 113.9811435 22.5494014, 113.980747 22.5496661)"
1116448892,9199555713,0,996263626,False,residential,False,15.122,,,"LINESTRING (113.9860892 22.5454594, 113.9859894 22.5453594)"
1116448892,1117085022,0,996263626,False,residential,True,32.016000000000005,,,"LINESTRING (113.9860892 22.5454594, 113.9861522 22.5455225, 113.9863005 22.5456711)"
1116448892,2699550321,0,1049950445,True,primary,False,59.4,3,侨香路,"LINESTRING (113.9860892 22.5454594, 113.9859601 22.5455671, 113.9859049 22.5456131, 113.98566 22.5458175)"
1117084952,1116448523,0,264256481,True,primary_link,False,40.824,,,"LINESTRING (113.9811243 22.5497619, 113.9810935 22.5497548, 113.9810396 22.549736, 113.9808766 22.5496735, 113.9808317 22.5496617, 113.9807911 22.5496614, 113.980747 22.5496661)"
1117085022,2699550329,0,996263627,True,secondary,False,19.012,,,"LINESTRING (113.9863005 22.5456711, 113.9861647 22.5457873)"
1117085022,1116448892,0,996263626,False,residential,False,32.016000000000005,,,"LINESTRING (113.9863005 22.5456711, 113.9861522 22.5455225, 113.9860892 22.5454594)"
1117085058,2699550413,0,996263627,True,secondary,False,11.433,,,"LINESTRING (113.9855838 22.546277, 113.9855003 22.546345)"
1342323039,1342323081,0,633620723,True,secondary,False,62.601,,,"LINESTRING (113.9982515 22.5466732, 113.9978739 22.5466206, 113.9976509 22.5465781)"
1342323081,5194055702,0,633620725,False,residential,True,28.469,,安托山一路,"LINESTRING (113.9976509 22.5465781, 113.9976091 22.5468312)"
1342323081,8285753033,0,633620721,True,secondary,False,470.83600000000007,,,"LINESTRING (113.9976509 22.5465781, 113.9974394 22.5465089, 113.9972618 22.5464198, 113.9971314 22.5463115, 113.9969911 22.5461665, 113.9968649 22.5460731, 113.9967183 22.5460062, 113.9960238 22.5457495, 113.9958798 22.5457202, 113.9955833 22.5457129, 113.9954279 22.5456995, 113.9952486 22.5456566, 113.9938571 22.5451116, 113.9937889 22.5450849, 113.9934868 22.5449666)"
2184437904,1116415528,0,609577977,False,tertiary,True,89.009,,香山东街,"LINESTRING (113.9892199 22.5415217, 113.988356 22.5414575)"
2184437904,5169909909,0,996263612,False,tertiary,False,114.787,2,香山东街,"LINESTRING (113.9892199 22.5415217, 113.990334 22.5416044)"
2184437907,5169911631,0,996263613,True,primary,False,121.28,,侨城东路,"LINESTRING (113.9913418 22.5429732, 113.9913762 22.5427996, 113.9914464 22.5424812, 113.9915303 22.5421263, 113.9915739 22.5419039)"
2184437913,2184437920,0,633620715,True,primary_link,False,101.892,,,"LINESTRING (113.9916902 22.5431928, 113.9917415 22.5433842, 113.9917733 22.5434536, 113.9918101 22.54351, 113.991841 22.5435418, 113.9918755 22.5435679, 113.9919166 22.5435937, 113.9919655 22.5436143, 113.992365 22.5437648)"
2184437913,1116415170,0,996247128,True,primary,False,63.775,,侨城东路,"LINESTRING (113.9916902 22.5431928, 113.9916471 22.5435253, 113.9916393 22.5435854, 113.9916126 22.5436537, 113.9915666 22.5437503)"
2184437920,8285753051,0,996247105,True,secondary,False,205.36499999999998,,,"LINESTRING (113.992365 22.5437648, 113.9927317 22.5439084, 113.9927352 22.5439098, 113.9939338 22.544379, 113.9940464 22.5444231, 113.9942061 22.5444856)"
2184437923,582492799,0,1049950447,True,primary,False,81.479,,侨香路,"LINESTRING (113.9921458 22.5441006, 113.9919288 22.544019, 113.9917142 22.5439472, 113.9916636 22.5439332, 113.9915401 22.5438991, 113.9913932 22.5438755)"
2184437924,582492799,0,1093609943,False,primary,False,33.299,,侨城东路,"LINESTRING (113.9913772 22.5441746, 113.9913932 22.5438755)"
2184437924,2528997104,0,96395032,True,secondary,False,115.631,,,"LINESTRING (113.9913772 22.5441746, 113.9912172 22.5441778, 113.9908604 22.5442091, 113.9905494 22.5442324, 113.9902564 22.5442675)"
2184437924,9909537897,0,1081152922,False,unclassified,True,146.703,,,"LINESTRING (113.9913772 22.5441746, 113.9913704 22.5443009, 113.991367 22.5443636, 113.9913443 22.5454935)"
2184437929,2184437924,0,96395032,True,secondary,False,123.27499999999999,,,"LINESTRING (113.9924905 22.5445763, 113.9916902 22.5442413, 113.9915833 22.5442106, 113.9913772 22.5441746)"
2184437929,2184437923,0,208124050,True,primary_link,False,64.32,,,"LINESTRING (113.9924905 22.5445763, 113.9923246 22.5442894, 113.9922545 22.5441892, 113.9921458 22.5441006)"
2184437943,2528997136,0,245769079,True,primary_link,False,46.989,,,"LINESTRING (113.9994703 22.5460947, 113.9995453 22.546152, 113.9996874 22.5463056, 113.9997357 22.546344, 113.9998044 22.5463776)"
2528997022,2528997104,0,245769068,True,primary_link,False,63.32900000000001,,,"LINESTRING (113.9907119 22.5439002, 113.9906206 22.5439331, 113.9905855 22.5439527, 113.9905524 22.5439791, 113.9903687 22.5441885, 113.9903183 22.5442334, 113.9902564 22.5442675)"
2528997022,2699550351,0,1049950445,True,primary,False,449.26099999999997,3,侨香路,"LINESTRING (113.9907119 22.5439002, 113.9897505 22.5439952, 113.98838 22.5441543, 113.988106 22.5442041, 113.9878478 22.5442737, 113.9876545 22.5443388, 113.9874231 22.5444419, 113.9871867 22.5445782, 113.986976 22.5447142, 113.9866124 22.5450033)"
2528997023,5169911635,0,532810254,True,secondary,False,63.094,,,"LINESTRING (113.9906432 22.5435152, 113.9911762 22.543477, 113.9912552 22.5434669)"
2528997104,2699550407,0,96395032,True,secondary,False,333.295,,,"LINESTRING (113.9902564 22.5442675, 113.9896975 22.54431, 113.9896635 22.544314, 113.9884184 22.544462, 113.9879039 22.5445698, 113.9874726 22.5447462, 113.9871603 22.5449706)"
2528997130,582492791,0,45730641,True,primary,False,92.33,,侨香路,"LINESTRING (113.9997622 22.5465089, 113.9988691 22.5464135)"
2532185227,2532185267,0,246141480,False,residential,True,30.164,,,"LINESTRING (113.9999908 22.5478957, 113.9996989 22.5478655)"
2532185227,2532185322,0,1080952219,False,residential,False,33.34,,,"LINESTRING (113.9999908 22.5478957, 113.9999455 22.5481926)"
2532185235,2532185312,0,1080952218,False,residential,False,32.154,,,"LINESTRING (113.9991213 22.5480978, 113.9991645 22.5478114)"
2532185238,7510707059,0,802925014,False,residential,False,68.77,,,"LINESTRING (113.9992723 22.5468854, 113.9999358 22.546969)"
2532185238,2532185316,0,1080952218,False,residential,True,30.162,,,"LINESTRING (113.9992723 22.5468854, 113.9992535 22.5471561)"
2532185238,7510707069,0,1080952218,False,residential,False,15.195,,,"LINESTRING (113.9992723 22.5468854, 113.9992313 22.5468509, 113.9991441 22.5468224)"
2532185247,2532185337,0,246141473,False,residential,True,54.543,,,"LINESTRING (113.999739 22.5475431, 113.9992119 22.5474829)"
2532185247,2532185303,0,246141494,False,residential,False,36.639,,,"LINESTRING (113.999739 22.5475431, 113.9997854 22.5472164)"
2532185247,2532185267,0,246141494,False,residential,True,36.085,,,"LINESTRING (113.999739 22.5475431, 113.9996989 22.5478655)"
2532185267,2532185227,0,246141480,False,residential,False,30.164,,,"LINESTRING (113.9996989 22.5478655, 113.9999908 22.5478957)"
2532185267,7510707052,0,246141480,False,residential,True,24.764,,,"LINESTRING (113.9996989 22.5478655, 113.9994592 22.5478412)"
2532185267,2532185247,0,246141494,False,residential,False,36.085,,,"LINESTRING (113.9996989 22.5478655, 113.999739 22.5475431)"
2532185303,2532185247,0,246141494,False,residential,True,36.639,,,"LINESTRING (113.9997854 22.5472164, 113.999739 22.5475431)"
2532185303,2532185316,0,802925013,False,residential,False,55.034,,,"LINESTRING (113.9997854 22.5472164, 113.9992535 22.5471561)"
2532185303,7510707056,0,802925012,False,residential,False,9.968,,,"LINESTRING (113.9997854 22.5472164, 113.9998242 22.5472115, 113.9998552 22.5472019, 113.9998736 22.547186)"
2532185312,7510707052,0,246141480,False,residential,False,30.445,,,"LINESTRING (113.9991645 22.5478114, 113.9994592 22.5478412)"
2532185312,2532185337,0,1080952218,False,residential,False,36.851,,,"LINESTRING (113.9991645 22.5478114, 113.9992119 22.5474829)"
2532185312,2532185235,0,1080952218,False,residential,True,32.154,,,"LINESTRING (113.9991645 22.5478114, 113.9991213 22.5480978)"
2532185316,2532185303,0,802925013,False,residential,True,55.034,,,"LINESTRING (113.9992535 22.5471561, 113.9997854 22.5472164)"
2532185316,2532185238,0,1080952218,False,residential,False,30.162,,,"LINESTRING (113.9992535 22.5471561, 113.9992723 22.5468854)"
2532185316,2532185337,0,1080952218,False,residential,True,36.589,,,"LINESTRING (113.9992535 22.5471561, 113.9992119 22.5474829)"
2532185322,2532185227,0,1080952219,False,residential,True,33.34,,,"LINESTRING (113.9999455 22.5481926, 113.9999908 22.5478957)"
2532185337,2532185247,0,246141473,False,residential,False,54.543,,,"LINESTRING (113.9992119 22.5474829, 113.999739 22.5475431)"
2532185337,2532185316,0,1080952218,False,residential,False,36.589,,,"LINESTRING (113.9992119 22.5474829, 113.9992535 22.5471561)"
2532185337,2532185312,0,1080952218,False,residential,True,36.851,,,"LINESTRING (113.9992119 22.5474829, 113.9991645 22.5478114)"
2537781805,2537781875,0,246780204,False,residential,True,23.239,,,"LINESTRING (113.9826696 22.5450715, 113.9827417 22.5452696)"
2537781849,2537781875,0,246780195,False,residential,True,78.919,,,"LINESTRING (113.9834678 22.5450372, 113.9827417 22.5452696)"
2537781875,2537781849,0,246780195,False,residential,False,78.919,,,"LINESTRING (113.9827417 22.5452696, 113.9834678 22.5450372)"
2537781875,2537781805,0,246780204,False,residential,False,23.239,,,"LINESTRING (113.9827417 22.5452696, 113.9826696 22.5450715)"
2537781875,1116415399,0,246780204,False,residential,True,43.5,,,"LINESTRING (113.9827417 22.5452696, 113.9828767 22.5456404)"
2537781875,2537781887,0,246780195,False,residential,True,87.415,,,"LINESTRING (113.9827417 22.5452696, 113.9822209 22.545436, 113.9821511 22.5454435, 113.9820948 22.5454311, 113.9820224 22.5453667, 113.9819939 22.5453062)"
2537781887,2537781875,0,246780195,False,residential,False,87.41499999999999,,,"LINESTRING (113.9819939 22.5453062, 113.9820224 22.5453667, 113.9820948 22.5454311, 113.9821511 22.5454435, 113.9822209 22.545436, 113.9827417 22.5452696)"
2699550321,1117085058,0,264256483,True,primary_link,False,51.69,,,"LINESTRING (113.98566 22.5458175, 113.9855838 22.546277)"
2699550321,1116448672,0,1049950445,True,primary,False,439.93500000000006,3,侨香路,"LINESTRING (113.98566 22.5458175, 113.9840429 22.5471733, 113.9836208 22.5475046, 113.9829148 22.5481031, 113.9824809 22.548469)"
2699550329,2699550441,0,264256482,False,unclassified,True,280.777,,,"LINESTRING (113.9861647 22.5457873, 113.9880011 22.547658)"
2699550329,1117085058,0,996263627,True,secondary,False,80.771,,,"LINESTRING (113.9861647 22.5457873, 113.9855838 22.546277)"
2699550351,1116448892,0,1049950445,True,primary,False,73.886,3,侨香路,"LINESTRING (113.9866124 22.5450033, 113.986157 22.5454003, 113.9860892 22.5454594)"
2699550382,2699550413,0,264256476,False,unclassified,False,271.098,,,"LINESTRING (113.9872796 22.548146, 113.9855003 22.546345)"
2699550405,278659737,0,996263628,True,primary,False,54.335,,侨香路,"LINESTRING (113.989508 22.5438703, 113.9900346 22.5438231)"
2699550407,2699550351,0,264256475,True,primary_link,False,56.385,,,"LINESTRING (113.9871603 22.5449706, 113.9866124 22.5450033)"
2699550407,1117085022,0,96395032,True,secondary,False,117.886,,,"LINESTRING (113.9871603 22.5449706, 113.986811 22.5452216, 113.9863005 22.5456711)"
2699550413,2699550382,0,264256476,False,unclassified,True,271.098,,,"LINESTRING (113.9855003 22.546345, 113.9872796 22.548146)"
2699550413,9702061118,0,"[996263617, 996263618, 996263627]",True,secondary,False,427.683,2,,"LINESTRING (113.9855003 22.546345, 113.9841842 22.5474171, 113.9841201 22.5474714, 113.9831256 22.548314, 113.9825657 22.5487642, 113.9823861 22.548898)"
2699550441,2699550329,0,264256482,False,unclassified,False,280.777,,,"LINESTRING (113.9880011 22.547658, 113.9861647 22.5457873)"
4337209489,4337209511,0,435827458,False,unclassified,True,93.012,,文昌南街,"LINESTRING (113.9882266 22.5428282, 113.9883006 22.5420453, 113.9883054 22.5419949)"
4337209489,4337209492,0,435827459,False,unclassified,False,195.66799999999998,,文昌街,"LINESTRING (113.9882266 22.5428282, 113.9886521 22.5428677, 113.988935 22.542894, 113.9894969 22.5429462, 113.9895564 22.5429517, 113.9901244 22.5429786)"
4337209489,4337209490,0,435827459,False,unclassified,True,217.53900000000002,,文昌街,"LINESTRING (113.9882266 22.5428282, 113.9878466 22.5429211, 113.9873638 22.5428853, 113.9862503 22.5428028, 113.9862239 22.5428009, 113.986127 22.5427937)"
4337209490,4337209489,0,435827459,False,unclassified,False,217.53900000000002,,文昌街,"LINESTRING (113.986127 22.5427937, 113.9862239 22.5428009, 113.9862503 22.5428028, 113.9873638 22.5428853, 113.9878466 22.5429211, 113.9882266 22.5428282)"
