u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel
582492781,2528997154,0,45730641,True,侨香路,primary,False,147.043,"LINESTRING (114.006174 22.5489483, 114.0058759 22.5486486, 114.0051905 22.5479873)",,
582492781,1342322984,0,119460304,True,,primary_link,False,52.051,"LINESTRING (114.006174 22.5489483, 114.0060985 22.5489265, 114.0060148 22.5489128, 114.0057492 22.5488943, 114.0056742 22.5488809)",,
582492790,2528997116,0,245769069,True,,primary_link,False,54.418,"LINESTRING (114.0026989 22.5468345, 114.0026137 22.5468617, 114.0025507 22.5469001, 114.0023844 22.5470166, 114.0023267 22.5470488, 114.0022432 22.5470748)",,
582493112,2528997127,0,245769078,True,,primary_link,False,67.909,"LINESTRING (114.0063656 22.548897, 114.006539 22.5489751, 114.0066749 22.5490131, 114.0068288 22.5490327, 114.0069998 22.5490326)",,
582493112,9906911296,0,996657791,True,侨香路,primary,False,59.768,"LINESTRING (114.0063656 22.548897, 114.0066463 22.5491823, 114.0067109 22.549245, 114.0067585 22.5492935)",,
1116503122,9906912250,0,1080866848,False,泽田路,residential,False,13.578,"LINESTRING (114.0092662 22.5478267, 114.0093984 22.547825)",2,
1116503122,9906911297,0,1080863508,True,农林路,secondary,False,351.33500000000004,"LINESTRING (114.0092662 22.5478267, 114.0095142 22.547605, 114.0095604 22.5475637, 114.0098267 22.5473043, 114.0100471 22.5470627, 114.0102379 22.5468265, 114.0110022 22.5457442, 114.0112021 22.545448, 114.0112908 22.5452965)",4,
1116503150,9906911275,0,1080860985,False,丰田路,residential,True,7.86,"LINESTRING (114.011699 22.5444134, 114.0117718 22.5444352)",2,
1116503150,2532185269,0,856642332,False,,living_street,False,49.906,"LINESTRING (114.011699 22.5444134, 114.0114397 22.544395, 114.011214 22.5443866)",,
1116503150,9906911251,0,1080863508,True,农林路,secondary,False,174.782,"LINESTRING (114.011699 22.5444134, 114.0117346 22.5443086, 114.0117536 22.5442527, 114.0121101 22.5432019, 114.0121336 22.5431328, 114.012208 22.5429135)",4,
1342322984,1342323040,0,633620723,True,,secondary,False,147.62099999999998,"LINESTRING (114.0056742 22.5488809, 114.0048534 22.5480904, 114.0046576 22.5479445)",,
1342323040,8986992910,0,633620723,True,,secondary,False,55.971,"LINESTRING (114.0046576 22.5479445, 114.0043159 22.5477248, 114.0042056 22.5476636)",,
1342323042,8986992876,0,245744485,True,,primary_link,False,78.357,"LINESTRING (114.0069775 22.5498331, 114.0068772 22.549772, 114.0067908 22.5497305, 114.0067016 22.5496927, 114.0066377 22.5496771, 114.0065735 22.5496675, 114.0065031 22.5496624, 114.0064322 22.5496624, 114.0063675 22.5496667, 114.0063175 22.5496738, 114.0062607 22.5496893)",,
1342323042,8986992871,0,1067522789,True,侨香路,primary,False,54.126999999999995,"LINESTRING (114.0069775 22.5498331, 114.0068124 22.5496154, 114.0066623 22.5494433)",,
1342323044,2528997084,0,245769072,True,,primary_link,False,53.96,"LINESTRING (114.0031659 22.5472425, 114.0031327 22.5472184, 114.0031005 22.5471776, 114.0029919 22.5469831, 114.0029423 22.5469212, 114.0028592 22.5468572)",,
1342323044,2528997116,0,633620723,True,,secondary,False,96.625,"LINESTRING (114.0031659 22.5472425, 114.0026969 22.5471429, 114.0022432 22.5470748)",,
2528818858,2528818921,0,1080294593,False,,living_street,True,12.355,"LINESTRING (114.0111195 22.5409483, 114.0110973 22.5410575)",,
2528818863,6562269869,0,245746016,False,红荔西路,secondary,True,44.105,"LINESTRING (114.0114837 22.5426653, 114.0110743 22.5425455)",,
2528818863,6562282577,0,698827749,False,,living_street,False,37.473,"LINESTRING (114.0114837 22.5426653, 114.0115715 22.5423382)",,
2528818863,9906911251,0,245746016,False,红荔西路,secondary,False,79.607,"LINESTRING (114.0114837 22.5426653, 114.0120305 22.5428253, 114.0120748 22.5428474, 114.012208 22.5429135)",,
2528818901,6562269867,0,698827751,False,建业二街,residential,False,21.333,"LINESTRING (114.0121202 22.5413685, 114.0119229 22.5413085)",,
2528818901,6562269874,0,698827751,False,建业二街,residential,True,37.757,"LINESTRING (114.0121202 22.5413685, 114.0124694 22.5414747)",,
2528818913,6562282554,0,698827753,False,,living_street,False,86.935,"LINESTRING (114.0105809 22.5402257, 114.0114066 22.5403979)",,
2528818913,6562269879,0,1083453778,False,建业一街,residential,True,23.097,"LINESTRING (114.0105809 22.5402257, 114.0105576 22.5404323)",,
2528818913,6562269880,0,1080294603,False,竹香六路,residential,True,31.319,"LINESTRING (114.0105809 22.5402257, 114.0103732 22.5401748, 114.0103071 22.5401183)",,
2528818921,6562269875,0,698827751,False,建业二街,residential,False,72.563,"LINESTRING (114.0110973 22.5410575, 114.0104262 22.5408534)",,
2528818921,6562269870,0,698827751,False,建业二街,residential,True,44.783,"LINESTRING (114.0110973 22.5410575, 114.0115115 22.5411834)",,
2528818921,2528818858,0,1080294593,False,,living_street,False,12.355,"LINESTRING (114.0110973 22.5410575, 114.0111195 22.5409483)",,
2528818921,6562282569,0,1080294601,False,竹香三路,residential,True,27.847,"LINESTRING (114.0110973 22.5410575, 114.0110296 22.5413)",,
2528818944,6562269869,0,245746016,False,红荔西路,secondary,False,45.626,"LINESTRING (114.0106508 22.5424215, 114.0110743 22.5425455)",,
2528818944,2528818956,0,245746016,False,红荔西路,secondary,True,69.95,"LINESTRING (114.0106508 22.5424215, 114.0100015 22.5422315)",,
2528818944,6562282563,0,1080294601,False,竹香三路,residential,False,39.695,"LINESTRING (114.0106508 22.5424215, 114.0107655 22.5420806)",,
2528818944,2528818970,0,245746020,False,竹香三路,residential,True,218.59,"LINESTRING (114.0106508 22.5424215, 114.0101566 22.5438284, 114.0100164 22.5442976)",,
2528818954,9903471998,0,245746016,False,红荔西路,secondary,False,30.121,"LINESTRING (114.0082654 22.5417233, 114.008545 22.5418051)",,
2528818954,6562269871,0,245746025,False,建业街,residential,False,188.052,"LINESTRING (114.0082654 22.5417233, 114.0096511 22.5406178)",,
2528818954,5187498614,0,"[1080294609, 1080294610, 1080294605]",False,"['竹香二路', '建业街']",residential,"[False, True]",648.7720000000002,"LINESTRING (114.0082654 22.5417233, 114.0074486 22.5423495, 114.0064761 22.5429649, 114.0056751 22.5435241, 114.0060973 22.544086, 114.0061503 22.544133, 114.0062103 22.5441454, 114.0062777 22.5441498, 114.0071935 22.5441789, 114.0079047 22.5442199, 114.0084013 22.5442794)",,
2528818956,2528818944,0,245746016,False,红荔西路,secondary,False,69.95,"LINESTRING (114.0100015 22.5422315, 114.0106508 22.5424215)",,
2528818956,6824083306,0,245746016,False,红荔西路,secondary,True,86.061,"LINESTRING (114.0100015 22.5422315, 114.0092027 22.5419976)",,
2528818956,6562269875,0,245746031,False,建业一街,residential,False,159.324,"LINESTRING (114.0100015 22.5422315, 114.0104262 22.5408534)",,
2528818970,2528818944,0,245746020,False,竹香三路,residential,False,218.59,"LINESTRING (114.0100164 22.5442976, 114.0101566 22.5438284, 114.0106508 22.5424215)",,
2528818970,5187498614,0,246141467,False,竹香二路,residential,False,165.88,"LINESTRING (114.0100164 22.5442976, 114.0098486 22.5442957, 114.0084013 22.5442794)",,
2528818970,2532185266,0,1080461022,False,竹香二路,residential,True,150.19,"LINESTRING (114.0100164 22.5442976, 114.0103421 22.5443039, 114.0103936 22.544316, 114.01045 22.5443374, 114.010492 22.5443607, 114.0105199 22.544393, 114.01053 22.544427, 114.0105281 22.5444765, 114.0105178 22.544521, 114.0105021 22.5445655, 114.0102117 22.5451912)",,
2528997027,2528997044,0,246141469,True,,primary_link,False,54.82,"LINESTRING (114.0059065 22.548099, 114.005945 22.5481945, 114.0059598 22.5482626, 114.0059732 22.548384, 114.0059906 22.5484756, 114.0060095 22.5485288, 114.0060342 22.548574)",,
2528997027,2528997127,0,674563578,True,,secondary,False,153.81,"LINESTRING (114.0059065 22.548099, 114.0067724 22.5489137, 114.0068748 22.5489741, 114.0069998 22.5490326)",,
2528997044,582493112,0,633620711,True,侨香路,primary,False,49.479,"LINESTRING (114.0060342 22.548574, 114.0063656 22.548897)",,
2528997084,582492790,0,45730641,True,侨香路,primary,False,16.655,"LINESTRING (114.0028592 22.5468572, 114.0026989 22.5468345)",,
2528997110,5981068147,0,208124045,True,,secondary,False,433.0550000000001,"LINESTRING (114.001135 22.5462827, 114.002573 22.5464463, 114.0029968 22.5465256, 114.0034366 22.5466396, 114.0037097 22.5467226, 114.0039037 22.5467901, 114.004134 22.5468922, 114.0047456 22.5471994, 114.0049955 22.547346, 114.0051064 22.5474191)",,
2528997116,5198341348,0,633620723,True,,secondary,False,16.502,"LINESTRING (114.0022432 22.5470748, 114.0020834 22.5470592)",,
2528997127,9906911299,0,245769078,True,,primary_link,False,53.038,"LINESTRING (114.0069998 22.5490326, 114.0071593 22.5490086, 114.0073106 22.5489685, 114.0074966 22.5489073)",,
2528997154,2528997084,0,45730641,True,侨香路,primary,False,274.08,"LINESTRING (114.0051905 22.5479873, 114.0050501 22.5478612, 114.0048034 22.547673, 114.0045244 22.5475045, 114.0042133 22.5473262, 114.0038914 22.5471676, 114.0035691 22.5470366, 114.0031655 22.5469207, 114.0028592 22.5468572)",,
2528997154,1342323040,0,245769080,True,,primary_link,False,55.364999999999995,"LINESTRING (114.0051905 22.5479873, 114.0051001 22.5479591, 114.005025 22.5479505, 114.0047488 22.5479542, 114.0046576 22.5479445)",,
2528997166,2528997110,0,245769071,True,,primary_link,False,43.65299999999999,"LINESTRING (114.0007653 22.5464659, 114.0008173 22.546453, 114.0008602 22.5464369, 114.0008958 22.5464165, 114.0010379 22.5463167, 114.0010815 22.5462957, 114.001135 22.5462827)",,
2528997166,5981068144,0,633620712,True,侨香路,primary,False,511.3090000000001,"LINESTRING (114.0007653 22.5464659, 114.0023787 22.5466325, 114.0028829 22.5467118, 114.0032273 22.5467868, 114.0035357 22.5468739, 114.00383 22.5469898, 114.0041859 22.5471504, 114.0044251 22.5472724, 114.0046318 22.5474039, 114.0049119 22.5475884, 114.0051438 22.5477591, 114.0053555 22.5479377)",,
2528997197,7510707057,0,802925008,False,,residential,False,15.468,"LINESTRING (114.0001166 22.5468502, 114.0000893 22.546987)",,
2528997197,7510707064,0,802925011,False,,residential,True,17.102,"LINESTRING (114.0001166 22.5468502, 114.0000283 22.5469806)",,
2532185224,9906912248,0,246141499,False,,living_street,True,117.37,"LINESTRING (114.0111806 22.5479382, 114.0107002 22.547776, 114.0103589 22.5482666)",,
2532185255,9906912248,0,246141499,False,,living_street,False,7.256,"LINESTRING (114.0103207 22.5483215, 114.0103589 22.5482666)",,
2532185255,9906912250,0,856642328,True,泽田路,residential,False,110.14400000000002,"LINESTRING (114.0103207 22.5483215, 114.0096418 22.5479102, 114.0095857 22.5478875, 114.0095296 22.5478648, 114.0093984 22.547825)",2,
2532185256,4182043134,0,246141470,False,,living_street,True,138.77200000000002,"LINESTRING (114.0109607 22.5476384, 114.0111142 22.547166, 114.0112778 22.5469307, 114.0114224 22.5464747)",,
2532185266,5187499064,0,246141484,False,竹香一路,residential,False,217.29,"LINESTRING (114.0102117 22.5451912, 114.0080964 22.5451474)",,
2532185266,2532185343,0,246141484,False,竹香一路,residential,True,66.868,"LINESTRING (114.0102117 22.5451912, 114.0108626 22.5452068)",,
2532185266,2528818970,0,1080461022,False,竹香二路,residential,False,150.19,"LINESTRING (114.0102117 22.5451912, 114.0105021 22.5445655, 114.0105178 22.544521, 114.0105281 22.5444765, 114.01053 22.544427, 114.0105199 22.544393, 114.010492 22.5443607, 114.01045 22.5443374, 114.0103936 22.544316, 114.0103421 22.5443039, 114.0100164 22.5442976)",,
2532185269,7987093241,0,246141479,False,,living_street,True,85.144,"LINESTRING (114.011214 22.5443866, 114.0109065 22.5450977)",,
2532185269,7987093241,1,856642332,False,,living_street,False,187.10200000000003,"LINESTRING (114.011214 22.5443866, 114.01077 22.5443775, 114.0107299 22.5443778, 114.0106962 22.5443828, 114.0106644 22.5443955, 114.0106443 22.5444131, 114.0106252 22.5444392, 114.0103799 22.5449404, 114.0103775 22.5449649, 114.0103796 22.544986, 114.0103916 22.545006, 114.010409 22.5450215, 114.0104312 22.545032, 114.0104552 22.5450376, 114.0108132 22.5450559, 114.0108426 22.5450625, 114.0108703 22.5450753, 114.0109065 22.5450977)",,
2532185269,1116503150,0,856642332,False,,living_street,True,49.906,"LINESTRING (114.011214 22.5443866, 114.0114397 22.544395, 114.011699 22.5444134)",,
2532185279,7510707047,0,246141476,False,,residential,True,95.478,"LINESTRING (114.0006173 22.548292, 114.0007328 22.54744)",,
2532185283,4182043134,0,417707145,False,,living_street,True,106.46699999999998,"LINESTRING (114.0123534 22.5465492, 114.012275 22.5466748, 114.0119531 22.5465955, 114.0114224 22.5464747)",,
2532185283,2532185284,0,856642330,False,,living_street,False,107.926,"LINESTRING (114.0123534 22.5465492, 114.0123474 22.5464642, 114.0123588 22.5463659, 114.0123796 22.5462933, 114.0124225 22.546214, 114.0124707 22.5461645, 114.0125331 22.5461405, 114.0126102 22.5461645, 114.0127041 22.5462091, 114.0130105 22.5463609)",,
2532185283,2532185287,0,856642330,False,,living_street,True,100.852,"LINESTRING (114.0123534 22.5465492, 114.0124017 22.546626, 114.0130686 22.5470185, 114.0131505 22.5470631)",,
2532185284,2532185290,0,246141498,False,,living_street,True,30.158,"LINESTRING (114.0130105 22.5463609, 114.0128892 22.5466079)",,
2532185284,7987093225,0,246141498,False,,living_street,False,167.048,"LINESTRING (114.0130105 22.5463609, 114.0132003 22.545835, 114.0132895 22.5457887, 114.0135703 22.5449756)",,
2532185284,2532185283,0,856642330,False,,living_street,True,107.92599999999999,"LINESTRING (114.0130105 22.5463609, 114.0127041 22.5462091, 114.0126102 22.5461645, 114.0125331 22.5461405, 114.0124707 22.5461645, 114.0124225 22.546214, 114.0123796 22.5462933, 114.0123588 22.5463659, 114.0123474 22.5464642, 114.0123534 22.5465492)",,
2532185287,9906912237,0,246141489,False,春田路,residential,True,7.191,"LINESTRING (114.0131505 22.5470631, 114.0132111 22.5470955)",,
2532185287,9906911248,0,856642329,True,农轩路,tertiary,False,239.391,"LINESTRING (114.0131505 22.5470631, 114.0132344 22.5469439, 114.0132687 22.5468952, 114.0137092 22.5462691, 114.0138769 22.5460195, 114.0139796 22.5458487, 114.0140743 22.5456489, 114.014178 22.5453745, 114.0141999 22.5453109, 114.0142463 22.5451762)",2,
