u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,bridge
278659481,1116501296,0,1050921367,True,景田路,secondary,40,False,7.041,"LINESTRING (114.0397861 22.5444302, 114.0398376 22.5443884)",,,
278659481,7975286429,0,855206669,True,新闻路,tertiary,,False,63.337,"LINESTRING (114.0397861 22.5444302, 114.0392495 22.5444216, 114.0391695 22.544419)",,,
498882100,5187499101,0,545681211,True,香蜜湖路,secondary,,False,273.81500000000005,"LINESTRING (114.0228801 22.5420115, 114.0228483 22.5422802, 114.0225443 22.5434117, 114.0222679 22.5444058)",2,,
498882100,9906792546,0,1080854232,True,,primary_link,,False,71.201,"LINESTRING (114.0228801 22.5420115, 114.0227275 22.5423903, 114.0226638 22.5425162, 114.0226089 22.5425991)",1,,
498882102,9906792546,0,854903608,True,香蜜湖路,primary,,False,193.33,"LINESTRING (114.0230635 22.5409119, 114.0226089 22.5425991)",3,,
499559076,5771508247,0,609310237,True,,primary_link,,False,70.708,"LINESTRING (114.0203209 22.5483653, 114.0205742 22.547774)",1,,
499559076,8894937257,0,"[961590247, 961590244, 535064406, 545681215]",True,香蜜湖路,primary,,False,661.765,"LINESTRING (114.0203209 22.5483653, 114.020514 22.54809, 114.0207004 22.5477961, 114.0208706 22.5475092, 114.0210495 22.5471636, 114.0211892 22.5468743, 114.0213039 22.5466163, 114.0214223 22.5463135, 114.0215274 22.546021, 114.0216361 22.545676, 114.0220267 22.5442674, 114.0223128 22.5431627, 114.0224162 22.5427768)","['3', '2', '4']",yes,
1116501196,9906876136,0,96334021,True,,secondary_link,,False,49.42600000000001,"LINESTRING (114.0212662 22.5446642, 114.0213218 22.5447187, 114.0213558 22.5447815, 114.0213587 22.5448497, 114.021329 22.5449213, 114.0212686 22.54497, 114.0211868 22.5449976)",1,,
1116501196,1116501259,0,609310231,True,,secondary_link,,False,74.508,"LINESTRING (114.0212662 22.5446642, 114.0214173 22.5446546, 114.021529 22.5446288, 114.0216225 22.5445879, 114.0217135 22.5445233, 114.021788 22.5444449, 114.021852 22.5443428)",,,
1116501196,9906876184,0,1080860982,True,红荔西路,secondary,,False,50.349,"LINESTRING (114.0212662 22.5446642, 114.0216004 22.5447205, 114.0216467 22.5447283, 114.0217485 22.5447455)",3,,
1116501199,7986471593,0,96334004,False,香蜜南二街,residential,,True,22.588,"LINESTRING (114.0322088 22.5476141, 114.0322448 22.5474137)",,,
1116501199,1116501321,0,223463853,False,,residential,,True,45.078,"LINESTRING (114.0322088 22.5476141, 114.032185 22.5477216, 114.0321107 22.5480092)",,,
1116501199,6581380413,0,891126142,True,红荔路,primary,,False,296.963,"LINESTRING (114.0322088 22.5476141, 114.0319259 22.5475283, 114.0296786 22.546805, 114.0294752 22.5467434)",,,
1116501212,7986450909,0,1080860974,True,红荔西路,secondary,,False,259.981,"LINESTRING (114.0250277 22.5455392, 114.0240389 22.5454762, 114.0237423 22.5454434, 114.0225222 22.5452306)",3,,
1116501229,1116501325,0,96334030,False,香蜜南一街,residential,,True,89.56,"LINESTRING (114.029604 22.5463909, 114.0298678 22.5456232)",,,
1116501229,7986450971,0,245816195,True,,residential,,False,36.17,"LINESTRING (114.029604 22.5463909, 114.0296051 22.5464201, 114.0296116 22.5464498, 114.0296222 22.5464833, 114.0296343 22.5465124, 114.029653 22.5465434, 114.0296702 22.5465684, 114.0296907 22.5465947, 114.0297106 22.5466175, 114.0297327 22.5466398, 114.0297508 22.5466547, 114.0297688 22.5466663)",,,
1116501229,7986450946,0,700812190,True,,residential,,False,23.828,"LINESTRING (114.029604 22.5463909, 114.0295739 22.5464768, 114.0295326 22.5465948)",,,
1116501259,9906899041,0,1080867508,True,香蜜湖路,secondary,,False,158.613,"LINESTRING (114.021852 22.5443428, 114.0222063 22.5429544)",2,,
1116501260,9906876169,0,227873763,False,,unclassified,,False,411.0809999999999,"LINESTRING (114.0266298 22.5458828, 114.0264854 22.5463081, 114.026447 22.5463844, 114.0263872 22.546441, 114.0257451 22.546754, 114.0255208 22.5468795, 114.025383 22.5470141, 114.025258 22.5471866, 114.0251603 22.5473956, 114.025089 22.5476251, 114.0250033 22.5478692, 114.0243999 22.5487702)",,,
