u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed,tunnel
277052169,499543273,0,616351220,True,4,深南大道,primary,False,284.32099999999997,"LINESTRING (114.0560157 22.5430254, 114.0554075 22.5431537, 114.0552252 22.5431898, 114.0550612 22.5432166, 114.0548951 22.5432359, 114.054723 22.5432475, 114.0545686 22.5432508, 114.0544133 22.5432468, 114.0542341 22.5432298, 114.0540351 22.5432008, 114.0538304 22.5431656, 114.053624 22.5431291, 114.05345 22.5430963, 114.0532901 22.5430613)",,,,
277052181,277052169,0,25482589,True,,深南大道,primary_link,False,111.83299999999998,"LINESTRING (114.0559309 22.5422349, 114.0561695 22.5424214, 114.0561961 22.5424503, 114.0562203 22.5424835, 114.0562394 22.5425169, 114.056255 22.5425514, 114.0562654 22.5425859, 114.0562705 22.5426188, 114.0562714 22.5426556, 114.0562687 22.542694, 114.056263 22.5427333, 114.0562528 22.5427705, 114.0562367 22.542806, 114.0562167 22.5428388, 114.0561888 22.5428761, 114.0561482 22.542923, 114.056097 22.5429705, 114.0560157 22.5430254)",,,,
277052181,2750593322,0,1050725174,True,4,深南大道,primary,False,120.64299999999999,"LINESTRING (114.0559309 22.5422349, 114.0564108 22.5423596, 114.0566135 22.5424101, 114.0567704 22.5424467, 114.0569223 22.5424798, 114.0570669 22.5425104)",,,,
277673161,277052181,0,1050725174,True,4,深南大道,primary,False,271.409,"LINESTRING (114.0533359 22.5421526, 114.0537855 22.5420628, 114.0539449 22.5420341, 114.0540988 22.5420117, 114.0542493 22.5419963, 114.0544011 22.5419883, 114.0545505 22.5419866, 114.0546957 22.5419908, 114.0548438 22.5419992, 114.054982 22.542015, 114.0551172 22.5420387, 114.0552814 22.5420728, 114.0554618 22.542114, 114.0557048 22.5421747, 114.0559309 22.5422349)",,,,
499478446,2750252798,0,245389538,True,,,primary_link,False,55.461,"LINESTRING (114.044498 22.5450355, 114.0444757 22.5453415, 114.044466 22.5454227, 114.0444518 22.5455323)",,,,
499478446,7961542917,0,"[616988561, 853566732]",True,,福中三路,tertiary,False,243.814,"LINESTRING (114.044498 22.5450355, 114.0445033 22.5450705, 114.0445085 22.5450933, 114.044516 22.5451165, 114.0445252 22.5451389, 114.0445362 22.5451568, 114.0445513 22.5451747, 114.0445683 22.5451908, 114.0445885 22.5452041, 114.0446081 22.5452141, 114.0446311 22.5452228, 114.0446561 22.5452277, 114.0446858 22.5452296, 114.0447835 22.5452307, 114.0465677 22.5452622, 114.0466425 22.5452635, 114.0467453 22.5452653)",,,,
499478538,7973099538,0,"[1050511761, 996625934]",True,"['3', '2']",深南大道,primary,False,169.38600000000002,"LINESTRING (114.0433672 22.5425617, 114.0430489 22.5425564, 114.0417185 22.5425197)",yes,,,
499478697,499478798,0,1050511756,True,,新洲路,primary,False,229.366,"LINESTRING (114.0444531 22.5413973, 114.044413 22.5434597)",,,,
499478765,1116501237,0,996625935,True,2,深南大道,primary,False,67.691,"LINESTRING (114.0432427 22.5422791, 114.0439017 22.5422908)",yes,,,
499478798,7961465962,0,245389547,True,,新洲路,primary,False,261.276,"LINESTRING (114.044413 22.5434597, 114.0444064 22.5458094)",,,,
499478798,2525990702,0,"[545784773, 25508277]",True,,,primary_link,False,219.33,"LINESTRING (114.044413 22.5434597, 114.0444756 22.5435894, 114.0444956 22.5436226, 114.0445245 22.5436592, 114.0445574 22.5436933, 114.0445953 22.543722, 114.0446332 22.5437461, 114.0446749 22.5437623, 114.044716 22.5437701, 114.0447562 22.5437767, 114.0447953 22.5437771, 114.044837 22.5437743, 114.0448786 22.5437658, 114.0449182 22.5437518, 114.0449587 22.5437265, 114.0449911 22.5436979, 114.0450238 22.5436601, 114.0450445 22.5436177, 114.0450572 22.5435734, 114.0450629 22.543526, 114.0450718 22.5428216, 114.0450714 22.5427838, 114.0450661 22.5427518, 114.0450507 22.5427207, 114.0450296 22.5426891, 114.0450005 22.5426563, 114.0449716 22.5426342, 114.0449396 22.5426159, 114.0448954 22.5426025, 114.0448248 22.5425892)",yes,,,
499542312,5832657742,0,996208011,True,3,金田路,secondary,False,77.88,"LINESTRING (114.0580539 22.5444604, 114.0580417 22.5451607)",,,,
499542538,8076307458,0,40988589,True,,,primary_link,False,225.88899999999992,"LINESTRING (114.0580979 22.5406656, 114.0582119 22.5414762, 114.0582226 22.5415914, 114.0582429 22.5416938, 114.0582732 22.541786, 114.0583098 22.5418577, 114.0583791 22.5419207, 114.0584821 22.5419762, 114.0585937 22.5420079, 114.0587119 22.5420143, 114.0588097 22.5420041, 114.0589065 22.5419828, 114.0590029 22.5419546, 114.0591377 22.54194)",,,,
499542538,499542312,0,"[996208008, 996208011, 40988591]",True,3,金田路,secondary,False,421.994,"LINESTRING (114.0580979 22.5406656, 114.0580865 22.5413091, 114.0580533 22.5437908, 114.0580539 22.5444604)",yes,,,
499542953,5834799144,0,996208002,True,3,金田路,secondary,False,71.404,"LINESTRING (114.0579364 22.5406586, 114.0579448 22.5400165)",,,,
499542965,5192661986,0,"[1050725169, 25529693, 996625943]",True,3,益田路,secondary,False,536.452,"LINESTRING (114.0512964 22.540007, 114.0512723 22.5404483, 114.0511899 22.5443087, 114.0512016 22.54483)",yes,,,
499542965,5271707993,0,"[1050725170, 40988604, 1050725172]",True,,,primary_link,False,286.13500000000005,"LINESTRING (114.0512964 22.540007, 114.0513504 22.5402208, 114.0513606 22.5402857, 114.0513653 22.5403533, 114.0513702 22.5416309, 114.0513738 22.5416973, 114.0513801 22.5417601, 114.051391 22.5418294, 114.0513903 22.5421234, 114.0513956 22.5421621, 114.0514119 22.5422064, 114.0514302 22.5422408, 114.0514586 22.542278, 114.0514976 22.5423125, 114.0515411 22.5423414, 114.0515927 22.5423668, 114.0516506 22.5423879, 114.0517209 22.5424104)",,,,
499543059,499543065,0,40988609,True,,,primary_link,False,138.111,"LINESTRING (114.0510865 22.5448152, 114.0510097 22.5446489, 114.0509862 22.5445381, 114.0509788 22.5444104, 114.0509487 22.5435904)",,,,
499543065,7961467090,0,545243417,True,,,primary_link,False,126.872,"LINESTRING (114.0509487 22.5435904, 114.0509364 22.5435378, 114.0509269 22.5435083, 114.0509094 22.5434703, 114.0508896 22.5434368, 114.0508659 22.5434051, 114.050837 22.5433757, 114.0508015 22.5433461, 114.050768 22.5433224, 114.0507338 22.5433042, 114.0506928 22.5432894, 114.0506524 22.5432802, 114.0506117 22.5432765, 114.0498947 22.5432713)",,,,
499543065,5192662017,0,672979254,True,,,primary_link,False,98.842,"LINESTRING (114.0509487 22.5435904, 114.0509504 22.542815, 114.0509518 22.5427015)",,no,,
499543123,499543137,0,40988612,True,,,primary_link,False,47.07000000000001,"LINESTRING (114.04614 22.5423534, 114.0462649 22.5423093, 114.0463284 22.5422861, 114.0463884 22.5422563, 114.046546 22.5421613)",,,,
499543123,5834799167,0,"[996625938, 996625939, 1050725173]",True,4,深南大道,primary,False,392.432,"LINESTRING (114.04614 22.5423534, 114.0464798 22.5423638, 114.0470971 22.5423743, 114.0476797 22.5423842, 114.0493545 22.5424128, 114.0499604 22.5424231)",,,,
499543137,499543176,0,"[40988612, 1050511759]",True,,,primary_link,False,135.898,"LINESTRING (114.046546 22.5421613, 114.04692 22.5419156, 114.0470147 22.5418564, 114.0470842 22.5418181, 114.0471405 22.5417981, 114.0471971 22.5417863, 114.0472558 22.5417786, 114.0473051 22.5417752, 114.0473933 22.5417745, 114.0476059 22.5417774, 114.047747 22.5417794)",,,,
499543137,2526412031,0,"[245930174, 245906190]",True,,兴融七路,"['unclassified', 'primary_link']",False,118.64500000000001,"LINESTRING (114.046546 22.5421613, 114.0465927 22.5420848, 114.0466156 22.5420416, 114.0466309 22.542004, 114.0466413 22.5419634, 114.0466455 22.5419242, 114.0466522 22.5417025, 114.046657 22.5411145)",,,,
499543165,7965680795,0,1050725173,True,4,深南大道,primary,False,36.223,"LINESTRING (114.0506454 22.5424182, 114.0509981 22.5424156)",,,,
499543165,5271707996,0,535867201,True,,,primary_link,False,56.648999999999994,"LINESTRING (114.0506454 22.5424182, 114.0507554 22.542373, 114.0508381 22.5423189, 114.0509097 22.5422543, 114.0509701 22.542167, 114.0510064 22.5420637)",,,,
499543176,7958753235,0,672979256,True,,,primary_link,False,7.817,"LINESTRING (114.047747 22.5417794, 114.0478231 22.5417807)",,,,
499543176,2488193951,0,996321294,True,2,民田路,tertiary,False,90.411,"LINESTRING (114.047747 22.5417794, 114.0477596 22.5409664)",,,,
499543273,499543276,0,616351220,True,4,深南大道,primary,False,12.694,"LINESTRING (114.0532901 22.5430613, 114.0531703 22.5430332)",,,,
499543273,277673161,0,25482595,True,,深南大道,primary_link,False,145.32,"LINESTRING (114.0532901 22.5430613, 114.0530656 22.5429377, 114.0530041 22.5428914, 114.052958 22.5428424, 114.0529199 22.5427983, 114.0528977 22.5427629, 114.0528786 22.5427229, 114.0528681 22.5426992, 114.0528622 22.5426788, 114.0528587 22.5426524, 114.0528556 22.5426258, 114.0528549 22.5425941, 114.0528566 22.5425652, 114.052864 22.5425311, 114.0528749 22.5424997, 114.0528901 22.542469, 114.0529112 22.5424384, 114.0529392 22.5424069, 114.0529696 22.5423787, 114.0530033 22.5423522, 114.0533359 22.5421526)",,,,
499543276,5271707997,0,616351220,True,4,深南大道,primary,False,142.91,"LINESTRING (114.0531703 22.5430332, 114.0522099 22.5428013, 114.0521121 22.5427791, 114.0520214 22.542762, 114.051941 22.5427503, 114.0518184 22.542732)",,,,
499543283,6467166907,0,"[996625933, 1050511757]",True,"['2', '4']",深南大道,primary,False,85.096,"LINESTRING (114.0461947 22.5426145, 114.0456916 22.5426079, 114.0453662 22.542603)",yes,,,
499543341,7961542817,0,672979257,True,,,primary_link,False,60.305,"LINESTRING (114.0473622 22.5432235, 114.046775 22.5432234)",,,,
499543341,499543283,0,25421054,True,,,primary_link,False,138.80299999999997,"LINESTRING (114.0473622 22.5432235, 114.0472549 22.5431997, 114.047207 22.5431816, 114.0471612 22.5431637, 114.0471189 22.5431429, 114.0468382 22.5429817, 114.0463661 22.5426768, 114.0463199 22.5426517, 114.046266 22.5426336, 114.0461947 22.5426145)",,,,
499543343,7961467144,0,996625931,True,,,primary_link,False,171.336,"LINESTRING (114.0494728 22.5432701, 114.0479158 22.543229, 114.0478051 22.5432298)",,,,
1116492705,7975286454,0,96334013,True,,新闻路,tertiary,False,7.053,"LINESTRING (114.0437902 22.5446822, 114.0437221 22.544674)",,,,
1116492705,7977056128,0,96333000,True,,商报东一路,tertiary,False,276.755,"LINESTRING (114.0437902 22.5446822, 114.0437883 22.5447359, 114.0437685 22.5459044, 114.0437571 22.5465763, 114.0437471 22.5471708)",,,,
1116492767,7973099541,0,854903582,True,,,primary_link,False,42.212,"LINESTRING (114.0408619 22.5424961, 114.0404594 22.542573)",,,,
1116492767,7973099584,0,96334031,True,3,深南大道,primary,False,82.576,"LINESTRING (114.0408619 22.5424961, 114.0406826 22.5424849, 114.0404928 22.5424696, 114.0403005 22.5424496, 114.0401427 22.5424315, 114.0400626 22.5424186)",,,,
1116501237,2525990704,0,245389549,True,2,深南大道,primary,False,96.39,"LINESTRING (114.0439017 22.5422908, 114.04484 22.5423113)",yes,,,
