u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,junction
277486655,8002408178,0,996762387,True,振华西路,secondary,False,24.201999999999998,"LINESTRING (114.0677872 22.5475773, 114.0679025 22.5475916, 114.0680203 22.5476092)",,,,,
277486655,6413071038,0,1057874094,True,皇岗路,trunk,False,169.58300000000003,"LINESTRING (114.0677872 22.5475773, 114.0677888 22.5474828, 114.0678136 22.5460524)",3,,,,
277665082,1992853849,0,996321300,True,深南大道,primary,False,70.963,"LINESTRING (114.074178 22.5429582, 114.0748689 22.5429486)",4,,,,
277665082,7953724239,0,684494935,True,福启街,residential,False,179.20999999999992,"LINESTRING (114.074178 22.5429582, 114.0742493 22.5429338, 114.0742956 22.5429103, 114.0743274 22.5428869, 114.0743536 22.5428617, 114.074378 22.5428349, 114.074399 22.5428056, 114.0744165 22.5427751, 114.07443 22.5427438, 114.0744391 22.5427149, 114.0744448 22.5426814, 114.074447 22.5426511, 114.0744469 22.5424441, 114.074447 22.5423452, 114.0744462 22.5420159, 114.0744551 22.5419519, 114.0744723 22.5419029, 114.0744966 22.5418615, 114.0745219 22.5418275, 114.0745554 22.5417982, 114.0746026 22.5417758, 114.0746493 22.5417617, 114.0747132 22.5417523, 114.0747646 22.5417486, 114.0748766 22.5417476)",2,30,,,
277665237,5827544505,0,26920155,False,中航路,secondary,False,111.131,"LINESTRING (114.0792369 22.5454144, 114.0792299 22.5464138)",,30,,,
277665237,8791690466,0,25482041,False,中航路,secondary,False,76.88300000000001,"LINESTRING (114.0792369 22.5454144, 114.079225 22.5452717, 114.0792364 22.5447235)",,30,,,
297121024,1123272086,0,27082122,False,中航路,tertiary,False,230.642,"LINESTRING (114.0785962 22.5470592, 114.0785889 22.5491334)",,,,,
297121024,297121027,0,157205174,True,振华路,secondary,False,64.618,"LINESTRING (114.0785962 22.5470592, 114.0787006 22.5470599, 114.0789312 22.5470613, 114.0792254 22.5470632)",,,,,
297121027,5827544505,0,26920155,False,中航路,secondary,True,72.212,"LINESTRING (114.0792254 22.5470632, 114.0792299 22.5464138)",,30,,,
500015586,5836889220,0,545243419,True,,primary,False,54.644,"LINESTRING (114.0708089 22.5428346, 114.0710299 22.5428163, 114.0711999 22.5428072, 114.0713396 22.5428002)",,,,,
500015586,5269889123,0,1050532721,True,深南大道,primary,False,238.74099999999999,"LINESTRING (114.0708089 22.5428346, 114.0713027 22.5428493, 114.0716513 22.5428677, 114.0719601 22.5428927, 114.072196 22.5429112, 114.072413 22.5429246, 114.0731301 22.5429375)",4,,,,
500015592,2319202440,0,41018948,True,彩田路,primary,False,13.768,"LINESTRING (114.0628273 22.5474701, 114.0628251 22.5475939)",2,,,,
500015592,8002408176,0,228119764,True,福中路,secondary,False,178.987,"LINESTRING (114.0628273 22.5474701, 114.0629646 22.5474757, 114.0630224 22.547478, 114.0645696 22.5475106)",2,,,,
500015594,7962005469,0,41018950,True,,primary_link,False,233.122,"LINESTRING (114.0627037 22.5451525, 114.0624391 22.5444601, 114.0624001 22.5443461, 114.0623742 22.5442362, 114.0623618 22.5441337, 114.0623495 22.5438066, 114.0623444 22.5437512, 114.0623346 22.5437022, 114.0623225 22.5436624, 114.062306 22.5436253, 114.0622848 22.5435932, 114.062262 22.5435716, 114.0622421 22.5435577, 114.0622151 22.5435456, 114.0621896 22.5435369, 114.062156 22.5435313, 114.0621195 22.5435294, 114.0617904 22.5435241)",,,,,
500015611,500015592,0,853601614,True,福中路,secondary,False,16.988,"LINESTRING (114.0626622 22.5474606, 114.0628273 22.5474701)",3,40,,,
500015611,8878665913,0,996207990,True,彩田路,primary,False,51.821,"LINESTRING (114.0626622 22.5474606, 114.0626646 22.5473654, 114.0626657 22.5473208, 114.062674 22.5469947)",2,,,,
500016482,500016487,0,41019081,True,皇岗路,trunk,False,200.64199999999997,"LINESTRING (114.0689546 22.5426745, 114.0689567 22.5428031, 114.0689506 22.543056, 114.0689411 22.5432164, 114.0689314 22.5433442, 114.0689164 22.5434937, 114.0688961 22.5436427, 114.0688715 22.5437618, 114.0688413 22.5438786, 114.0688025 22.5439989, 114.0687587 22.5441162, 114.0687258 22.5441901, 114.0686677 22.5442954, 114.0685902 22.5444212)",3,,yes,,
500016487,2367574792,0,"[996762388, 996762415]",True,皇岗路,trunk,False,169.20799999999997,"LINESTRING (114.0685902 22.5444212, 114.0684455 22.5446252, 114.0683678 22.5447404, 114.0683087 22.5448335, 114.0682606 22.5449381, 114.0682187 22.5450377, 114.0681757 22.5451481, 114.068137 22.5452733, 114.0681092 22.5453789, 114.0680889 22.5454929, 114.0680779 22.5456224, 114.0680691 22.5458343)",3,,yes,,
500016501,500017668,0,"[777201504, 25481953]",True,,trunk_link,False,208.053,"LINESTRING (114.068714 22.5414705, 114.068919 22.5417294, 114.0690003 22.5418445, 114.0690916 22.5419613, 114.0694089 22.5423575, 114.0695703 22.542567, 114.0696145 22.5426103, 114.0696613 22.5426469, 114.0697232 22.5426872, 114.0697925 22.5427158, 114.0700507 22.542826)",,,yes,,
500016501,500016482,0,41019081,True,皇岗路,trunk,False,137.36999999999998,"LINESTRING (114.068714 22.5414705, 114.0687684 22.5415914, 114.0688226 22.5417297, 114.068866 22.5418667, 114.0688978 22.5419873, 114.068921 22.5421062, 114.0689386 22.5422277, 114.0689468 22.5423702, 114.0689528 22.5425088, 114.0689546 22.5426745)",3,,yes,,
500016507,8431769852,0,"[777201497, 41019228]",True,,trunk_link,False,159.80100000000002,"LINESTRING (114.0676022 22.5441764, 114.0675373 22.5440774, 114.0674724 22.5439911, 114.0669351 22.5433596, 114.0668795 22.5433001, 114.0668294 22.5432643, 114.0667888 22.5432453, 114.0667413 22.5432311, 114.0665658 22.543136)",,,yes,,
500016507,9200052964,0,996321288,True,皇岗路,trunk,False,111.518,"LINESTRING (114.0676022 22.5441764, 114.0675593 22.5440509, 114.0675329 22.5439528, 114.0675072 22.5438234, 114.0674838 22.5436846, 114.0674719 22.5435863, 114.067464 22.5434916, 114.0674594 22.5434004, 114.0674455 22.5431878)",3,,yes,,
500016887,500017668,0,41018946,True,,trunk_link,False,171.094,"LINESTRING (114.0684022 22.5426397, 114.069048 22.5426566, 114.0692398 22.5426764, 114.0700507 22.542826)",,,,,
500016892,500016968,0,777201517,True,,trunk_link,False,113.659,"LINESTRING (114.0691374 22.5431347, 114.0680309 22.5431551)",,,,,
500016892,9200052964,0,"[41019158, 41019159]",True,,trunk_link,False,260.26899999999995,"LINESTRING (114.0691374 22.5431347, 114.0689387 22.5431832, 114.0688623 22.543208, 114.0687913 22.5432402, 114.0687477 22.5432691, 114.0687036 22.5433097, 114.0686564 22.5433699, 114.0684228 22.5437053, 114.0683756 22.5437624, 114.0683226 22.5438108, 114.068263 22.5438518, 114.0681955 22.5438813, 114.068122 22.5439015, 114.0680631 22.54391, 114.0680008 22.5439122, 114.0679365 22.543907, 114.0678708 22.5438914, 114.0678022 22.5438634, 114.0677489 22.5438279, 114.0677025 22.5437874, 114.0676618 22.5437403, 114.0676291 22.5436902, 114.0675987 22.5436333, 114.0675722 22.5435713, 114.0675494 22.543507, 114.0675252 22.5434308, 114.0674455 22.5431878)",1,,yes,,
500016968,9655569174,0,777201517,True,,trunk_link,False,55.66,"LINESTRING (114.0680309 22.5431551, 114.067489 22.5431468)",,,,,
500016970,500016887,0,41018946,True,,trunk_link,False,93.511,"LINESTRING (114.0674918 22.5426252, 114.0684022 22.5426397)",,,,,
500016970,500016482,0,"[41019173, 41019174]",True,,trunk_link,False,247.08800000000002,"LINESTRING (114.0674918 22.5426252, 114.0675577 22.5426022, 114.067615 22.5425751, 114.0676475 22.5425502, 114.0676817 22.542527, 114.0677072 22.5425042, 114.0677365 22.5424677, 114.0677657 22.542424, 114.0680132 22.5420569, 114.0680497 22.5420118, 114.0680985 22.5419683, 114.0681473 22.5419341, 114.0682067 22.5419032, 114.0682699 22.5418813, 114.068334 22.5418699, 114.0683999 22.5418697, 114.0684655 22.5418791, 114.0685328 22.5419018, 114.0685921 22.5419282, 114.0686575 22.5419649, 114.0687172 22.5420123, 114.0687637 22.5420677, 114.0687991 22.5421377, 114.0688202 22.5422012, 114.0688394 22.542268, 114.0689027 22.5425351, 114.0689546 22.5426745)",,,yes,,
500017000,500016887,0,"[41019156, 777201501, 41019175]",True,,trunk_link,False,561.559,"LINESTRING (114.06791 22.5455276, 114.0679667 22.5453559, 114.0680155 22.5452153, 114.0680552 22.5451129, 114.0681045 22.5449991, 114.0681614 22.5448866, 114.06823 22.5447621, 114.0683146 22.5446294, 114.0684044 22.5445064, 114.0684653 22.5444118, 114.0685127 22.5443377, 114.0685657 22.5442378, 114.0686144 22.54413, 114.0686593 22.5440246, 114.0686937 22.5439215, 114.0687312 22.5437962, 114.0687592 22.5436606, 114.0687797 22.5435305, 114.0687967 22.5434078, 114.0688111 22.5432713, 114.0688232 22.5430865, 114.068827 22.5429226, 114.0688243 22.5427511, 114.0688176 22.5426279, 114.068802 22.5424998, 114.0687825 22.5423883, 114.0687621 22.5422884, 114.0687441 22.5422254, 114.0687259 22.5421739, 114.0686943 22.5421125, 114.0686591 22.5420647, 114.0686186 22.5420268, 114.0685676 22.5419906, 114.0685083 22.5419666, 114.0684341 22.5419491, 114.0683595 22.5419468, 114.0682876 22.5419576, 114.0682135 22.5419801, 114.0681507 22.5420185, 114.0680958 22.5420658, 114.068055 22.5421258, 114.0680303 22.5421758, 114.0680169 22.5422503, 114.0680196 22.5423274, 114.0680362 22.5424086, 114.0680689 22.5424738, 114.0681127 22.542528, 114.068175 22.5425743, 114.0682462 22.5426101, 114.0683278 22.5426317, 114.0684022 22.5426397)",1,,yes,,
500017000,500016507,0,"[996321288, 1057874094]",True,皇岗路,trunk,False,155.26,"LINESTRING (114.06791 22.5455276, 114.0679077 22.5452885, 114.0679003 22.5451448, 114.0678865 22.5450048, 114.0678687 22.54489, 114.0678358 22.5447462, 114.0677962 22.5446231, 114.0677356 22.5444731, 114.0676726 22.5443346, 114.0676022 22.5441764)",3,,yes,,
500017649,500016892,0,996762386,True,,trunk_link,False,76.679,"LINESTRING (114.069884 22.5431421, 114.0691374 22.5431347)",,,,,
500017649,500016487,0,"[777201499, 41019230]",True,,trunk_link,False,197.837,"LINESTRING (114.069884 22.5431421, 114.0698029 22.5431657, 114.069746 22.5431855, 114.0696849 22.5432095, 114.0696316 22.5432395, 114.0695854 22.543278, 114.0695392 22.5433269, 114.0688223 22.5441865, 114.0687104 22.544309, 114.0685902 22.5444212)",,,yes,,
500017668,6261187076,0,1050725188,True,深南大道,primary,False,70.466,"LINESTRING (114.0700507 22.542826, 114.0707368 22.5428326)",4,,,,
558849716,5827543922,0,996321287,True,深南大道,primary,False,8.476,"LINESTRING (114.0760885 22.5431318, 114.076006 22.5431297)",4,,,,
558849716,3372801276,0,891126153,True,华富路,secondary,False,21.506,"LINESTRING (114.0760885 22.5431318, 114.0760958 22.5431097, 114.0761099 22.5430725, 114.0761248 22.5430422, 114.0761415 22.5430188, 114.0761587 22.5429986, 114.0761761 22.5429856, 114.076198 22.5429742)",,40,,,
558849727,558849716,0,891126155,True,深南中路,primary,False,13.361,"LINESTRING (114.0762186 22.5431318, 114.0760885 22.5431318)",4,,,,
558849727,8044291601,0,996762391,True,华富路,secondary,False,66.237,"LINESTRING (114.0762186 22.5431318, 114.0762164 22.5432538, 114.0762078 22.5437274)",,40,,,
726579157,8431765803,0,616351228,True,深南中路,primary,False,6.307,"LINESTRING (114.0786611 22.5430503, 114.0787225 22.5430512)",4,60,,,
726579157,1992853839,0,58640447,True,福虹路,tertiary,False,209.54700000000003,"LINESTRING (114.0786611 22.5430503, 114.0786636 22.5429133, 114.0786668 22.5427421, 114.0786874 22.541622, 114.0786972 22.5411661)",2,,,,
1123272086,297121024,0,27082122,False,中航路,tertiary,True,230.642,"LINESTRING (114.0785889 22.5491334, 114.0785962 22.5470592)",,,,,
1123272086,1123341617,0,223876513,True,振兴路,tertiary,False,116.928,"LINESTRING (114.0785889 22.5491334, 114.0774503 22.5491304)",3,30,,,
1123341617,5619242023,0,223876513,True,振兴路,tertiary,False,137.656,"LINESTRING (114.0774503 22.5491304, 114.0764472 22.5491225, 114.0761099 22.5491199)",3,30,,,
1123344024,1123272086,0,223876513,True,振兴路,tertiary,False,84.944,"LINESTRING (114.079416 22.549142, 114.0785889 22.5491334)",3,30,,,
1722075265,5827544504,0,616351235,False,,unclassified,False,110.995,"LINESTRING (114.0782891 22.5454071, 114.0782859 22.5464053)",,,,,
1722075265,277665237,0,26920821,True,振中路,tertiary,False,97.339,"LINESTRING (114.0782891 22.5454071, 114.0791494 22.5454137, 114.0792369 22.5454144)",2,30,,,
1722075265,5827544497,0,"[616351235, 616351236, 160135915]",False,,unclassified,True,77.49600000000001,"LINESTRING (114.0782891 22.5454071, 114.078287 22.545289, 114.0782904 22.5448174, 114.0782917 22.5447102)",,,,building_passage,
1783922945,500015594,0,996207990,True,彩田路,primary,False,13.501,"LINESTRING (114.0627015 22.5452739, 114.0627037 22.5451525)",2,,,,
1783923055,1783922945,0,996207990,True,彩田路,primary,False,101.68,"LINESTRING (114.0626851 22.5461882, 114.0627015 22.5452739)",2,,,,
1783923055,7962005430,0,"[25445890, 996207995]",True,福中三路,tertiary,False,285.354,"LINESTRING (114.0626851 22.5461882, 114.0626296 22.5459967, 114.062619 22.5459526, 114.0626045 22.5458115, 114.0625939 22.5457626, 114.0625795 22.5457218, 114.0625469 22.5456783, 114.062511 22.5456393, 114.0624686 22.5456102, 114.0624605 22.545607, 114.0624195 22.5455904, 114.0623654 22.5455847, 114.0606019 22.5455585, 114.0603781 22.5455551)",,,,,
1933843909,7962005426,0,858090825,True,福中一路,tertiary,False,206.887,"LINESTRING (114.0623257 22.5495498, 114.0608259 22.5495303, 114.0605248 22.5495264, 114.0604461 22.5495253, 114.0603113 22.5495236)",2,,,,
