u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access
277323272,2327294756,0,25465109,True,2,振华路,secondary,False,14.482,"LINESTRING (114.0910876 22.5472531, 114.0912286 22.5472554)",,
277323272,294988378,0,330224598,True,4,上步中路,primary,False,199.389,"LINESTRING (114.0910876 22.5472531, 114.0910921 22.5469829, 114.0911208 22.5465957, 114.0911303 22.5458192, 114.0910868 22.5454632)",,
277328663,3311151798,0,25448306,True,,甘泉路,tertiary,False,98.76,"LINESTRING (114.0888418 22.5492502, 114.0888535 22.5483621)",,
277328663,7949552675,0,223876513,True,3,振兴路,tertiary,False,96.243,"LINESTRING (114.0888418 22.5492502, 114.0879047 22.5492386)",30,
277667381,277323272,0,25465109,True,2,振华路,secondary,False,227.856,"LINESTRING (114.0888692 22.5472169, 114.0910876 22.5472531)",,
278224666,1694292881,0,922779291,True,,福华路,secondary,False,13.885,"LINESTRING (114.0817385 22.5407434, 114.0816054 22.5407215)",,
278224666,3498891343,0,223874829,True,2,华强南路,secondary,False,215.793,"LINESTRING (114.0817385 22.5407434, 114.0817043 22.5426075, 114.0817039 22.5426838)",40,
278242187,2319185555,0,893910557,True,,南园路,secondary,False,15.384,"LINESTRING (114.091143 22.5414692, 114.0912928 22.5414694)",,
278242187,8128067434,0,330224599,True,2,上步南路,secondary,False,151.791,"LINESTRING (114.091143 22.5414692, 114.0911226 22.5414331, 114.0911138 22.541416, 114.0911021 22.5413928, 114.0910922 22.5413558, 114.0910887 22.5413043, 114.0911139 22.5401144)",,
278657762,564001256,0,996625955,True,3,深南中路,primary,False,16.935,"LINESTRING (114.099483 22.543433, 114.0996479 22.5434331)",,
278657762,3498882492,0,1050682015,True,4,红岭南路,primary,False,40.442,"LINESTRING (114.099483 22.543433, 114.0994889 22.5432565, 114.0994918 22.5430694)",,
294986739,1699111513,0,157653809,False,,华发路,unclassified,False,247.75,"LINESTRING (114.0854945 22.5455674, 114.0855157 22.5454528, 114.085531 22.5451411, 114.0854908 22.5433417)",,
294986739,1699111521,0,157653809,False,,华发路,unclassified,True,177.112,"LINESTRING (114.0854945 22.5455674, 114.0854802 22.5456306, 114.0854744 22.5456851, 114.0854577 22.5471585)",,
294986739,294986741,0,177228961,True,2,振中路,tertiary,False,144.123,"LINESTRING (114.0854945 22.5455674, 114.0855827 22.5455562, 114.086298 22.5454368, 114.086401 22.5454235, 114.0864961 22.5454151, 114.0868836 22.5453983)",30,
294986741,1699111522,0,157653805,False,,,unclassified,True,198.568,"LINESTRING (114.0868836 22.5453983, 114.0868573 22.5471839)",,
294986741,6413070060,0,177228961,True,2,振中路,tertiary,False,104.97900000000001,"LINESTRING (114.0868836 22.5453983, 114.0877994 22.5454093, 114.0879052 22.5453994)",30,
294988378,294988379,0,177228961,True,2,振中路,tertiary,False,17.798,"LINESTRING (114.0910868 22.5454632, 114.0912601 22.5454639)",30,
294988378,2324193504,0,330224598,True,4,上步中路,primary,False,183.666,"LINESTRING (114.0910868 22.5454632, 114.0910899 22.5453965, 114.0910966 22.5449773, 114.091105 22.5444576, 114.0911154 22.5438117)",,
294988379,3498849832,0,893910561,True,2,上步中路,primary,False,175.548,"LINESTRING (114.0912601 22.5454639, 114.0912301 22.5470424)",,
294988857,1699111537,0,25531349,True,1,华发北路,secondary,False,169.31,"LINESTRING (114.0841393 22.5456178, 114.0841173 22.5471403)",40,yes
294988857,294986739,0,177228961,True,2,振中路,tertiary,False,139.39,"LINESTRING (114.0841393 22.5456178, 114.0842204 22.5456058, 114.0847599 22.5456018, 114.084879 22.5455972, 114.0853953 22.5455758, 114.0854945 22.5455674)",30,
528737551,3498891346,0,996207951,True,3,深南中路,primary,False,57.041,"LINESTRING (114.0816919 22.543092, 114.0822472 22.5431027)",60,
528737551,8791690462,0,616351224,True,2,华强南路,secondary,False,17.751,"LINESTRING (114.0816919 22.543092, 114.0816877 22.5431745, 114.0816835 22.5431902, 114.0816752 22.5432112, 114.0816652 22.543225, 114.0816475 22.5432396)",40,
528737557,2324193482,0,893910559,True,3,深南中路,primary,False,15.204,"LINESTRING (114.0911236 22.5432713, 114.0912716 22.5432746)",,
528737557,8128067474,0,996207953,True,4,上步南路,primary,False,42.245,"LINESTRING (114.0911236 22.5432713, 114.0911277 22.5428914)",,
528758839,8128067425,0,893910553,True,,南园路,secondary,False,15.375,"LINESTRING (114.0912918 22.5415556, 114.0911421 22.5415546)",,
528758839,8128067451,0,893910554,True,4,上步南路,primary,False,149.49900000000002,"LINESTRING (114.0912918 22.5415556, 114.091291 22.5416175, 114.091276 22.5429)",,
528758861,528759090,0,996519951,False,,爱华路,tertiary,False,11.62,"LINESTRING (114.0865741 22.5406552, 114.086575 22.5407597)",,
528758861,9198897069,0,222975319,True,,南园路,secondary,False,227.37300000000002,"LINESTRING (114.0865741 22.5406552, 114.0884102 22.5412885, 114.0886538 22.5413549)",,
528759072,9198897069,0,223531874,False,2,松岭路,tertiary,True,8.597,"LINESTRING (114.0886521 22.5414322, 114.0886538 22.5413549)",30,
528759072,9198897067,0,223531874,False,2,松岭路,tertiary,False,146.684,"LINESTRING (114.0886521 22.5414322, 114.0886511 22.5415392, 114.0886152 22.5427509)",30,
528759072,3580607194,0,893910556,True,,南园路,secondary,False,201.22899999999998,"LINESTRING (114.0886521 22.5414322, 114.0884924 22.5413884, 114.0877203 22.5411363, 114.0868032 22.5408337)",,
528759090,1123335679,0,996207963,True,,南园路,secondary,False,246.253,"LINESTRING (114.086575 22.5407597, 114.0841778 22.5407113)",,
528759090,528758861,0,996519951,False,,爱华路,tertiary,True,11.62,"LINESTRING (114.086575 22.5407597, 114.0865741 22.5406552)",,
564001256,564001265,0,1050682016,True,,红岭中路,primary,False,19.726,"LINESTRING (114.0996479 22.5434331, 114.0996482 22.5436105)",,
564001265,8201901229,0,996519943,True,3,深南中路,primary,False,17.685,"LINESTRING (114.0996482 22.5436105, 114.099476 22.5436109)",,
564001265,3498882483,0,996625961,True,,红岭中路,primary,False,72.529,"LINESTRING (114.0996482 22.5436105, 114.0996382 22.5442627)",,
564001283,8201901227,0,31354891,False,,红宝路,tertiary,True,19.575,"LINESTRING (114.0995915 22.5474704, 114.0994014 22.5474575)",,
564001283,7236140425,0,44376675,True,,红岭中路,primary,False,110.593,"LINESTRING (114.0995915 22.5474704, 114.0995776 22.5484649)",,
564001727,9198897071,0,376614234,False,,东园路,tertiary,True,139.312,"LINESTRING (114.0995352 22.540253, 114.09938 22.5402202, 114.0981828 22.5402081)",,
564275681,277328663,0,223876513,True,3,振兴路,tertiary,False,226.718,"LINESTRING (114.0910494 22.5492693, 114.0888418 22.5492502)",30,
564275681,277323272,0,330224598,True,4,上步中路,primary,False,224.22699999999998,"LINESTRING (114.0910494 22.5492693, 114.0910625 22.5486557, 114.091066 22.548368, 114.0910876 22.5472531)",,
1123335679,3842512046,0,157650278,False,,华发南路,secondary,True,6.861,"LINESTRING (114.0841778 22.5407113, 114.0841773 22.5406496)",,
1123335679,3842512044,0,157650279,True,,华发南路,secondary,False,212.339,"LINESTRING (114.0841778 22.5407113, 114.0841705 22.5418769, 114.0841577 22.5426208)",,
1123335688,3580607193,0,330319638,True,3,深南中路,primary,False,268.336,"LINESTRING (114.0841464 22.5431402, 114.0867587 22.5431894)",60,
1123347201,1722075257,0,96935799,False,,,tertiary,True,166.063,"LINESTRING (114.080344 22.547085, 114.0803784 22.5455919)",20,
1123347201,1123352168,0,157205174,True,,振华路,secondary,False,247.118,"LINESTRING (114.080344 22.547085, 114.0809591 22.5470936, 114.0811004 22.5470956, 114.0812486 22.5470977, 114.0815909 22.5471049, 114.0818395 22.5471062, 114.081999 22.5471085, 114.08275 22.5471194)",,
1123352168,2042203555,0,157205174,True,,振华路,secondary,False,7.734,"LINESTRING (114.08275 22.5471194, 114.0828253 22.5471204)",,
1123352168,2324186926,0,96936218,False,,,tertiary,True,167.52100000000002,"LINESTRING (114.08275 22.5471194, 114.0827512 22.5470508, 114.08276 22.5460677, 114.0827607 22.5456129)",,
1123408678,1123409444,0,96942762,False,,松岭路,tertiary,True,152.56,"LINESTRING (114.0894632 22.5414661, 114.0894792 22.5402672, 114.0894815 22.5400942)",,
1123408678,278242187,0,222975319,True,,南园路,secondary,False,172.518,"LINESTRING (114.0894632 22.5414661, 114.0896429 22.5414692, 114.089947 22.5414686, 114.0908695 22.541469, 114.0909278 22.5414691, 114.091143 22.5414692)",,
1123409436,6482739655,0,996207957,False,,东园路,tertiary,False,54.781,"LINESTRING (114.0913991 22.5401165, 114.0919325 22.5401178)",,
1123409436,8128067432,0,222975323,True,2,上步南路,secondary,False,150.617,"LINESTRING (114.0913991 22.5401165, 114.0913684 22.5413582, 114.0913637 22.5414137, 114.091352 22.5414695)",,
1123409444,1123408678,0,96942762,False,,松岭路,tertiary,False,152.56,"LINESTRING (114.0894815 22.5400942, 114.0894792 22.5402672, 114.0894632 22.5414661)",,
1123409444,8128067434,0,96942986,False,,东园路,tertiary,False,167.66500000000002,"LINESTRING (114.0894815 22.5400942, 114.0909757 22.5401139, 114.0911139 22.5401144)",,
1123413058,9198897067,0,223531874,False,2,松岭路,tertiary,True,52.437,"LINESTRING (114.0886013 22.5432223, 114.0886152 22.5427509)",30,
1123413058,8128067479,0,330319638,True,3,深南中路,primary,False,220.82,"LINESTRING (114.0886013 22.5432223, 114.090751 22.5432639)",60,
1123418298,3842512040,0,893910560,True,3,深南中路,primary,False,192.82,"LINESTRING (114.09518 22.543358, 114.097057 22.5433994)",,
1123418298,2324213768,0,996207954,False,,同心南路,secondary,False,212.135,"LINESTRING (114.09518 22.543358, 114.0951824 22.5432303, 114.0951882 22.5429225, 114.0951966 22.5424703, 114.0952148 22.5414505)",,
1123424752,2548150015,0,96944884,False,,同心路,tertiary,True,135.419,"LINESTRING (114.0929681 22.5491699, 114.0937536 22.5481917)",,
1123424752,2327294750,0,96944599,False,,同福路,tertiary,True,183.038,"LINESTRING (114.0929681 22.5491699, 114.0913803 22.54915, 114.0911859 22.5491519)",,
1123427053,2548150044,0,96944884,False,,同心路,tertiary,False,137.971,"LINESTRING (114.095158 22.5435092, 114.0951569 22.54475)",,
1123427053,8128082130,0,42351690,True,3,深南中路,primary,False,140.438,"LINESTRING (114.095158 22.5435092, 114.0939016 22.5434901, 114.0937907 22.5434892)",,
1123427065,2548150044,0,96944884,False,,同心路,tertiary,True,186.308,"LINESTRING (114.095151 22.5464255, 114.0951569 22.54475)",,
1123427065,2548150015,0,96944884,False,,同心路,tertiary,False,271.091,"LINESTRING (114.095151 22.5464255, 114.0951678 22.5471394, 114.0948864 22.5473273, 114.0943115 22.5475389, 114.0937536 22.5481917)",,
1123427065,2473522818,0,239574718,False,,,unclassified,False,422.639,"LINESTRING (114.095151 22.5464255, 114.0971636 22.5459147, 114.0974436 22.5458084, 114.0976233 22.5457093, 114.0977629 22.5455879, 114.0978596 22.5454442, 114.0979063 22.5453112, 114.0979382 22.5451695, 114.0979639 22.5444004)",,
1123427065,2548150002,0,239574718,False,,,unclassified,True,73.234,"LINESTRING (114.095151 22.5464255, 114.0945116 22.5466078, 114.0944697 22.54662)",,
1123427484,9084081450,0,893910561,True,2,上步中路,primary,False,146.72,"LINESTRING (114.0912025 22.5477526, 114.0911868 22.549072)",,
1123427484,2548150015,0,96944975,False,,益民路,tertiary,False,276.20799999999997,"LINESTRING (114.0912025 22.5477526, 114.0929218 22.5477542, 114.0930737 22.547782, 114.0932587 22.547857, 114.0937536 22.5481917)",,
1123427486,2548150015,0,393911187,False,,益民路,residential,True,93.777,"LINESTRING (114.0945024 22.5486744, 114.0937536 22.5481917)",,
