u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge
266992397,8244777843,0,97240783,False,2,木棉花街,tertiary,False,9.086,"LINESTRING (114.1045038 22.5405032, 114.104493 22.5405407, 114.1044762 22.5405807)",
266992397,8244777741,0,478022251,True,2,嘉宾路,secondary,False,83.75800000000001,"LINESTRING (114.1045038 22.5405032, 114.1045241 22.5405176, 114.1045417 22.5405346, 114.1045915 22.5405888, 114.1046167 22.5406161, 114.1049643 22.5409982, 114.104983 22.541019, 114.1050018 22.5410378, 114.1050217 22.5410556, 114.1050395 22.54107)",
348410156,8254932636,0,31311067,True,2,新园路,secondary,False,310.2199999999999,"LINESTRING (114.1132441 22.5499795, 114.1129961 22.5497198, 114.1129296 22.5496262, 114.1128673 22.5495143, 114.1123972 22.5486693, 114.1123416 22.548591, 114.112274 22.5485134, 114.1122014 22.5484393, 114.1121005 22.5483454, 114.1119284 22.5481874, 114.1118159 22.5480934, 114.1117373 22.5480324, 114.1116475 22.5479732, 114.111556 22.5479176, 114.1114763 22.5478746, 114.1113976 22.5478345)",
348413330,2456799878,0,996321281,True,,深南东路,primary,False,105.705,"LINESTRING (114.1136781 22.5459787, 114.1126643 22.5458144)",
348413330,2456778741,0,996647544,True,,人民南路,secondary,False,14.835,"LINESTRING (114.1136781 22.5459787, 114.1136537 22.5458472)",
348428738,3073056737,0,31354903,False,,桂园路,tertiary,False,11.57,"LINESTRING (114.1079625 22.5469723, 114.108003 22.5468752)",
348428738,2765186672,0,31354903,False,,桂园路,tertiary,True,96.796,"LINESTRING (114.1079625 22.5469723, 114.1078243 22.5478334)",
348428738,2765186563,0,996321285,True,,解放路,tertiary,False,61.061,"LINESTRING (114.1079625 22.5469723, 114.107407 22.5467765)",
348429244,2044364021,0,31312614,True,,永新路,residential,False,128.833,"LINESTRING (114.111431 22.5476968, 114.1120668 22.547682, 114.1126843 22.5476492)",
348429259,2765186548,0,748621319,False,,人民北路,unclassified,True,46.573,"LINESTRING (114.1139828 22.5474985, 114.1140903 22.5479054)",
348429259,2044364028,0,31312614,True,,永新路,residential,False,120.054,"LINESTRING (114.1139828 22.5474985, 114.1139951 22.5474619, 114.1139936 22.5474048, 114.1139915 22.5473485, 114.1139982 22.5473137, 114.1140142 22.5472757, 114.114044 22.5472388, 114.1140757 22.5472186, 114.1141237 22.5471983, 114.1145302 22.5470519, 114.1145709 22.5470293, 114.1146014 22.5469937, 114.1146217 22.5469505, 114.1146359 22.5469017, 114.1146592 22.5467719)",
348437757,348413330,0,996647546,True,,深南东路,primary,False,113.869,"LINESTRING (114.1147702 22.5461557, 114.1138373 22.5460045, 114.1137962 22.5459978, 114.1136781 22.5459787)",
349120461,1394350633,0,31346628,False,,南湖路,tertiary,False,184.255,"LINESTRING (114.115885 22.5428108, 114.1162702 22.5411924)",
349120461,2474735642,0,31346628,False,,南湖路,tertiary,True,9.746,"LINESTRING (114.115885 22.5428108, 114.1158641 22.5428963)",
349120461,2881809588,0,218581562,True,,嘉宾路,secondary,False,233.06799999999998,"LINESTRING (114.115885 22.5428108, 114.1167875 22.5430251, 114.1168854 22.5430548, 114.1178182 22.5434691, 114.1179914 22.5435605)",
349120843,2881809583,0,996309276,True,,嘉宾路,secondary,False,11.454,"LINESTRING (114.1180857 22.5436124, 114.1179764 22.5435919)",
349120843,6080270288,0,218581555,True,,东门南路,primary,False,193.536,"LINESTRING (114.1180857 22.5436124, 114.1177232 22.544265, 114.1176258 22.544466, 114.1175546 22.5446446, 114.117493 22.5448381, 114.1174484 22.5450298, 114.1174047 22.5452244)",
349120843,6080269183,0,239698145,False,,嘉宾路,residential,False,155.276,"LINESTRING (114.1180857 22.5436124, 114.1182817 22.5436983, 114.1194515 22.5442114)",
349132281,9421863566,0,1021561724,False,,,unclassified,False,262.592,"LINESTRING (114.1198679 22.545984, 114.1173489 22.5455786)",
349132281,8234507559,0,31347596,False,,向西路,residential,True,94.232,"LINESTRING (114.1198679 22.545984, 114.1198471 22.546092, 114.1197323 22.5467274, 114.1197157 22.5468197)",
564001829,7236140421,0,31354891,False,,红宝路,tertiary,True,13.238,"LINESTRING (114.1004768 22.5474801, 114.1003479 22.5474795)",
564001829,7236155470,0,31354935,False,,红桂一街,residential,True,41.11,"LINESTRING (114.1004768 22.5474801, 114.1004672 22.5478497)",
564001829,7237440090,0,31354891,False,,红宝路,tertiary,False,58.47,"LINESTRING (114.1004768 22.5474801, 114.1008583 22.5474843, 114.100962 22.5474898, 114.1010454 22.5474987)",
564001846,564001854,0,31354891,False,,红宝路,tertiary,False,83.804,"LINESTRING (114.1015319 22.5478359, 114.1021466 22.5483316)",
564001846,7236155473,0,303010827,False,,,residential,False,43.434,"LINESTRING (114.1015319 22.5478359, 114.1013262 22.5481772)",
564001846,7237440090,0,31354891,False,,红宝路,tertiary,True,63.242,"LINESTRING (114.1015319 22.5478359, 114.101174 22.547548, 114.1011209 22.547516, 114.1010454 22.5474987)",
564001854,3073056805,0,31354891,False,,红宝路,tertiary,False,26.154,"LINESTRING (114.1021466 22.5483316, 114.1023142 22.5485087)",
564001854,564001846,0,31354891,False,,红宝路,tertiary,True,83.804,"LINESTRING (114.1021466 22.5483316, 114.1015319 22.5478359)",
564001854,7236155444,0,239572649,False,,蔡屋围五街,tertiary,True,253.94,"LINESTRING (114.1021466 22.5483316, 114.1021887 22.5481744, 114.102304 22.5474066, 114.1023758 22.5469844, 114.1025529 22.5460798)",
564001902,564001914,0,31354891,False,,红宝路,tertiary,False,24.291,"LINESTRING (114.1029367 22.5490854, 114.1031497 22.5491804)",
564001902,7236140476,0,775651016,False,,,residential,False,25.404,"LINESTRING (114.1029367 22.5490854, 114.1030547 22.5488846)",
564001902,3073056805,0,31354891,False,,红宝路,tertiary,True,90.97,"LINESTRING (114.1029367 22.5490854, 114.1027411 22.5489537, 114.1025685 22.5487773, 114.1023142 22.5485087)",
564001914,564001902,0,31354891,False,,红宝路,tertiary,True,24.291,"LINESTRING (114.1031497 22.5491804, 114.1029367 22.5490854)",
564001914,7236155660,0,775651039,False,,红威路,tertiary,False,4.34,"LINESTRING (114.1031497 22.5491804, 114.1031339 22.5492166)",
564001914,7236155399,0,31354891,False,,红宝路,tertiary,False,84.957,"LINESTRING (114.1031497 22.5491804, 114.1034349 22.5492152, 114.1039744 22.5492251)",
564001941,3078099342,0,31354891,False,,红宝路,tertiary,True,5.635,"LINESTRING (114.105009 22.5492694, 114.1049546 22.5492628)",
1339061656,3835887163,0,119100850,False,,江背路,residential,False,123.572,"LINESTRING (114.1178249 22.5416118, 114.1184549 22.540665)",
1339061656,3835887161,0,125571540,False,,友谊路,tertiary,False,55.539,"LINESTRING (114.1178249 22.5416118, 114.1177106 22.5415489, 114.1175783 22.5414886, 114.1174477 22.5414405, 114.1173332 22.5414086)",
1339061656,2881809552,0,1050674546,False,,友谊路,tertiary,True,153.425,"LINESTRING (114.1178249 22.5416118, 114.1179839 22.5417084, 114.1181262 22.5418074, 114.1182592 22.5419128, 114.1189436 22.5425216)",
1394350633,349120461,0,31346628,False,,南湖路,tertiary,True,184.255,"LINESTRING (114.1162702 22.5411924, 114.115885 22.5428108)",
1394350633,8202181844,0,125571540,False,,友谊路,tertiary,False,271.151,"LINESTRING (114.1162702 22.5411924, 114.1136857 22.5406941)",
1394350633,3835887161,0,125571540,False,,友谊路,tertiary,True,111.786,"LINESTRING (114.1162702 22.5411924, 114.1173332 22.5414086)",
1394350650,8257482408,0,352604523,False,,迎春路,residential,True,75.39999999999999,"LINESTRING (114.1122893 22.5442623, 114.1123251 22.5441281, 114.1124525 22.5436505, 114.1124649 22.5436039)",
1394350650,2760370765,0,531378281,True,,,residential,False,130.99,"LINESTRING (114.1122893 22.5442623, 114.1121571 22.54424, 114.1117731 22.5441752, 114.1110355 22.544046)",
1394350651,8202181821,0,1050532700,False,,罗小三街,residential,False,85.778,"LINESTRING (114.1127323 22.5403968, 114.1135667 22.540431)",
1394350651,2278166492,0,1050532700,False,,罗小三街,residential,True,8.165,"LINESTRING (114.1127323 22.5403968, 114.112706 22.5403275)",
1394350651,2474735647,0,218581561,False,,,residential,True,195.87600000000003,"LINESTRING (114.1127323 22.5403968, 114.1126512 22.541133, 114.112617 22.5413944, 114.1125896 22.5416038, 114.1124891 22.5421432)",
2044364017,2044364037,0,193927269,True,2,东门老街,tertiary,False,63.469,"LINESTRING (114.112558 22.546396, 114.1131653 22.5465019)",
2044364017,2456799878,0,237813001,False,,布艺街,tertiary,False,65.586,"LINESTRING (114.112558 22.546396, 114.1126643 22.5458144)",
2044364017,2044364019,0,887873497,False,,东门老街,tertiary,False,64.004,"LINESTRING (114.112558 22.546396, 114.1119726 22.5465935)",
2044364018,2044364021,0,193927270,False,,南庆街,residential,False,60.748,"LINESTRING (114.1125852 22.5471106, 114.1126843 22.5476492)",
2044364018,2044364019,0,193927263,False,,汇食街,residential,True,96.51400000000001,"LINESTRING (114.1125852 22.5471106, 114.1121214 22.5469949, 114.1119726 22.5465935)",
2044364018,2044364037,0,193927270,False,,南庆街,residential,True,97.674,"LINESTRING (114.1125852 22.5471106, 114.112955 22.5469353, 114.1130955 22.5468077, 114.1131653 22.5465019)",
2044364019,2044364017,0,887873497,False,,东门老街,tertiary,True,64.004,"LINESTRING (114.1119726 22.5465935, 114.112558 22.546396)",
2044364019,2044364018,0,193927263,False,,汇食街,residential,False,96.51400000000001,"LINESTRING (114.1119726 22.5465935, 114.1121214 22.5469949, 114.1125852 22.5471106)",
2044364019,2765186639,0,887873496,True,2,东门老街,tertiary,False,150.897,"LINESTRING (114.1119726 22.5465935, 114.1113885 22.5468196, 114.1109995 22.5467702, 114.110561 22.5467097)",
2044364021,2044364026,0,193927270,False,,南庆街,residential,False,82.591,"LINESTRING (114.1126843 22.5476492, 114.1128422 22.5483775)",
2044364021,2044364018,0,193927270,False,,南庆街,residential,True,60.748,"LINESTRING (114.1126843 22.5476492, 114.1125852 22.5471106)",
2044364021,348429259,0,31312614,True,,永新路,residential,False,137.077,"LINESTRING (114.1126843 22.5476492, 114.1135488 22.5476093, 114.1137417 22.5475955, 114.1138705 22.5475741, 114.1139283 22.5475554, 114.1139598 22.547533, 114.1139828 22.5474985)",
2044364026,2044364021,0,193927270,False,,南庆街,residential,True,82.591,"LINESTRING (114.1128422 22.5483775, 114.1126843 22.5476492)",
2044364028,348437757,0,31312614,True,,永新路,residential,False,69.46,"LINESTRING (114.1146592 22.5467719, 114.1147702 22.5461557)",
2044364037,2044364028,0,193927269,True,2,东门老街,tertiary,False,156.328,"LINESTRING (114.1131653 22.5465019, 114.1146592 22.5467719)",
2044364037,2044364018,0,193927270,False,,南庆街,residential,False,97.67399999999999,"LINESTRING (114.1131653 22.5465019, 114.1130955 22.5468077, 114.112955 22.5469353, 114.1125852 22.5471106)",
2079451087,3070348462,0,685048798,False,2,湖贝路,tertiary,False,58.622,"LINESTRING (114.1183091 22.5479685, 114.117753 22.5480875)",
2278166416,3583676840,0,996531097,True,,深南东路,primary,False,25.309,"LINESTRING (114.1170498 22.5465214, 114.1168068 22.5464835)",
2278166416,2881809551,0,996531098,True,,东门中路,primary,False,15.142,"LINESTRING (114.1170498 22.5465214, 114.1170789 22.5463879)",
2278166463,2456799823,0,"[271078746, 271078740, 996635469]",True,,建设路,secondary,False,301.281,"LINESTRING (114.1108825 22.5444135, 114.1108366 22.5446284, 114.1107369 22.5451412, 114.1105777 22.5460133, 114.1104805 22.5466929, 114.1104257 22.5470892)",yes
2278166492,1394350651,0,1050532700,False,,罗小三街,residential,False,8.165,"LINESTRING (114.112706 22.5403275, 114.1127323 22.5403968)",
2278166492,2760370767,0,125571539,True,2,罗小三街,residential,False,106.499,"LINESTRING (114.112706 22.5403275, 114.1122974 22.5402694, 114.1116811 22.5401817)",
2278166635,2278166416,0,352604525,True,,深南东路,primary,False,12.402,"LINESTRING (114.1171688 22.5465404, 114.1170498 22.5465214)",
2278166635,8396612611,0,996531091,True,,东门中路,primary,False,21.673,"LINESTRING (114.1171688 22.5465404, 114.1171262 22.5467313)",
2456776556,5297349091,0,31346628,False,,南湖路,tertiary,False,128.55599999999998,"LINESTRING (114.1151214 22.5460788, 114.1152866 22.5452917, 114.1153752 22.5449469)",
2456776556,8234513340,0,996309282,True,,深南东路,primary,False,179.07999999999998,"LINESTRING (114.1151214 22.5460788, 114.1167876 22.5463415, 114.1168197 22.5463466, 114.1168403 22.5463499)",
2456776574,8234513338,0,272771512,True,,深南东路,primary,False,35.64,"LINESTRING (114.1171974 22.5464073, 114.1175391 22.5464633)",
2456776574,2278166635,0,996531091,True,,东门中路,primary,False,15.089,"LINESTRING (114.1171974 22.5464073, 114.1171688 22.5465404)",
2456776584,3583675480,0,237810420,True,,深南东路,primary,False,389.09,"LINESTRING (114.1019412 22.5437136, 114.1023761 22.5438237, 114.1056279 22.5445187)",
2456778741,6935521575,0,996647545,True,,深南东路,primary,False,10.194,"LINESTRING (114.1136537 22.5458472, 114.1137515 22.5458629)",
2456778741,8202181824,0,996309279,True,,人民南路,secondary,False,168.16,"LINESTRING (114.1136537 22.5458472, 114.113633 22.5456556, 114.1135686 22.5443372)",
2456799823,2760370738,0,271078734,True,,,secondary_link,False,129.197,"LINESTRING (114.1104257 22.5470892, 114.1103636 22.5471963, 114.1103476 22.547231, 114.1102825 22.5474427, 114.1102704 22.5474755, 114.1102534 22.5475049, 114.1102321 22.5475234, 114.1102085 22.547534, 114.1101773 22.5475391, 114.1101428 22.5475384, 114.1099001 22.5475038, 114.109856 22.5474963, 114.1098132 22.5474853, 114.1097675 22.5474647, 114.1097308 22.5474426, 114.1096976 22.5474124, 114.109666 22.5473733, 114.1096421 22.5473382, 114.109622 22.547305, 114.1096049 22.5472746)",
2456799823,7145693559,0,996755169,True,,建设路,secondary,False,67.378,"LINESTRING (114.1104257 22.5470892, 114.1104014 22.5472849, 114.110351 22.5476912)",
