u,v,key,osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed,lanes,junction,access,tunnel
267602106,2278166512,0,31311798,湖贝路,tertiary,False,False,17.927,,"LINESTRING (114.125966 22.5495069, 114.1258055 22.5494435)",,,,,,
267602106,6417689921,0,685048797,文锦中路,trunk,True,False,36.788,G107,"LINESTRING (114.125966 22.5495069, 114.1259602 22.5498377)",,,,,,
267602106,8258853341,0,218583681,凤凰路,tertiary,False,False,37.147,,"LINESTRING (114.125966 22.5495069, 114.1260901 22.5495596, 114.1261301 22.5495766, 114.1262986 22.5496379)",,,,,,
348414298,5568556462,0,31404771,文锦中路,trunk,True,False,55.834,G107,"LINESTRING (114.1259809 22.5479979, 114.1259758 22.5485)",,,,,,
348414298,2278166627,0,685048800,深南东路,primary,True,False,15.774,,"LINESTRING (114.1259809 22.5479979, 114.1258295 22.547974)",,,,,,
348416119,8234507561,0,272771512,深南东路,primary,True,False,349.322,,"LINESTRING (114.1218983 22.5471771, 114.1234541 22.5474318, 114.123526 22.5474436, 114.1252476 22.5477255)",,,,,,
348416120,2278166642,0,769531025,春风路,tertiary,True,False,16.822,,"LINESTRING (114.1260223 22.545151, 114.1258585 22.5451501)",,,,,,
348416120,5568978022,0,769531026,文锦南路,trunk,True,False,35.019,G107,"LINESTRING (114.1260223 22.545151, 114.1260174 22.5454659)",,,,,,
348421123,2278193428,0,218583682,凤凰路,tertiary,False,True,80.061,,"LINESTRING (114.1338228 22.5492669, 114.133757 22.5495476, 114.1337105 22.5497189, 114.1336249 22.5499626)",,,,,,
348421123,3066385390,0,713388334,深南东路,primary,True,False,294.026,,"LINESTRING (114.1338228 22.5492669, 114.1321941 22.5490286, 114.1310003 22.5488244)",,,,,,
348421856,8258828711,0,31311824,乐园路,tertiary,False,True,112.27600000000001,,"LINESTRING (114.1231015 22.5475147, 114.1229324 22.5483643, 114.1229271 22.5483909, 114.1229039 22.5485078)",,,,,,
348443137,9197010627,0,647444379,向西路,residential,False,False,14.775,,"LINESTRING (114.1202401 22.5445572, 114.1203131 22.5444427)",,,,,,
349121085,8234507583,0,31346643,新安路,residential,False,False,147.829,,"LINESTRING (114.1239978 22.5464667, 114.124024 22.545233, 114.124026 22.5451375)",,,,,,
349121085,8234507578,0,647444380,文东路,residential,False,True,199.65099999999998,,"LINESTRING (114.1239978 22.5464667, 114.1232081 22.5464148, 114.1221361 22.5463814, 114.1220577 22.5463677)",,,,,,
