u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge,name,maxspeed,access,junction
1235363599,1235363718,0,"[1017606353, 795505948]",False,1,unclassified,True,368.56600000000003,"LINESTRING (114.1593724 22.5476601, 114.1592234 22.5476085, 114.159 22.5474652, 114.1588014 22.5473165, 114.1586937 22.5472444, 114.1585697 22.5471977, 114.1584352 22.5471652, 114.1582966 22.5471231, 114.1582655 22.5470391, 114.1582345 22.5469722, 114.158129 22.5468461, 114.1580338 22.5467563, 114.157949 22.5466818, 114.157829 22.5466168, 114.1577689 22.5465826, 114.157484 22.5464205, 114.1573143 22.5463248, 114.1571318 22.5462175, 114.1568619 22.5460402, 114.1567531 22.5460063, 114.1565353 22.5459793, 114.1564763 22.5459641, 114.1564132 22.5459641)",,,,,
1235363718,6505217361,0,107497716,False,,unclassified,False,75.225,"LINESTRING (114.1564132 22.5459641, 114.1565111 22.5457856, 114.1565963 22.5456699, 114.1566291 22.5456221, 114.1567503 22.545459, 114.1567847 22.5454239, 114.1568157 22.5454042)",,,,,
1235363718,1235363599,0,"[1017606353, 795505948]",False,1,unclassified,False,368.56600000000003,"LINESTRING (114.1564132 22.5459641, 114.1564763 22.5459641, 114.1565353 22.5459793, 114.1567531 22.5460063, 114.1568619 22.5460402, 114.1571318 22.5462175, 114.1573143 22.5463248, 114.157484 22.5464205, 114.1577689 22.5465826, 114.157829 22.5466168, 114.157949 22.5466818, 114.1580338 22.5467563, 114.158129 22.5468461, 114.1582345 22.5469722, 114.1582655 22.5470391, 114.1582966 22.5471231, 114.1584352 22.5471652, 114.1585697 22.5471977, 114.1586937 22.5472444, 114.1588014 22.5473165, 114.159 22.5474652, 114.1592234 22.5476085, 114.1593724 22.5476601)",,,,,
1235363718,4786969368,0,795505948,False,,unclassified,True,162.22000000000003,"LINESTRING (114.1564132 22.5459641, 114.1562697 22.5459593, 114.1561488 22.545969, 114.1560034 22.545969, 114.1559444 22.5459644, 114.155858 22.5459577, 114.1557523 22.545936, 114.1553789 22.5459018, 114.1551377 22.5457835, 114.1550528 22.5457707, 114.1549778 22.5457604, 114.1548734 22.5457512)",,,,,
3357223765,7846382914,0,"[1051283459, 840889965, 840889966]",True,,motorway,False,92.24700000000001,"LINESTRING (114.1519977 22.5488246, 114.1519226 22.5489547, 114.1518938 22.5490108, 114.1518535 22.5491121, 114.1518689 22.5491418, 114.1518998 22.5491663, 114.1519424 22.5491771, 114.1519836 22.5491731, 114.1520248 22.5491568, 114.1520602 22.5491257, 114.1520892 22.5490354, 114.1521492 22.5488622)",,,,,
4786969336,4786969345,0,485940616,False,,residential,True,18.634,"LINESTRING (114.1549983 22.5452877, 114.1549797 22.5454544)",,,,,
4786969336,4786969338,0,485940614,False,,residential,True,26.547,"LINESTRING (114.1549983 22.5452877, 114.155181 22.545334, 114.1552441 22.5453599)",,,,,
4786969336,4786969355,0,485940616,False,,residential,False,46.169,"LINESTRING (114.1549983 22.5452877, 114.1550233 22.5450622, 114.1550601 22.5449165, 114.1550744 22.5448799)",,,,,
4786969338,4786969336,0,485940614,False,,residential,False,26.547,"LINESTRING (114.1552441 22.5453599, 114.155181 22.545334, 114.1549983 22.5452877)",,,,,
4786969338,4786969345,0,"[510523203, 485940614]",False,,residential,True,46.546,"LINESTRING (114.1552441 22.5453599, 114.1552757 22.545381, 114.1552932 22.5454133, 114.1552967 22.5454441, 114.1552792 22.5454748, 114.1552602 22.5454795, 114.1552266 22.5454878, 114.1551653 22.5454813, 114.1549797 22.5454544)",,,,,
