u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,bridge
1722812836,5187499061,0,1052079673,True,G107,北环大道,trunk,False,283.076,"LINESTRING (113.9928034 22.5573462, 113.9946342 22.5564653, 113.9949211 22.5563379, 113.9952598 22.5561916)",,,
1722822874,1722822889,0,160220793,True,,,motorway_link,False,44.112,"LINESTRING (113.9830056 22.5562673, 113.9829802 22.5561828, 113.9829361 22.5560486, 113.9829209 22.555988, 113.9829109 22.5559344, 113.9829062 22.5558824)",2,,
1722822874,1722823003,0,570471169,True,,深云路,primary,False,258.08,"LINESTRING (113.9830056 22.5562673, 113.9830247 22.5560479, 113.9830273 22.5559951, 113.9829532 22.5547179, 113.9829304 22.5544801, 113.9829151 22.5543621, 113.9828879 22.5542331, 113.9828562 22.5541199, 113.9828246 22.5540299, 113.9827962 22.5539667)",,,
1722822889,2756922928,0,270683503,True,,,tertiary_link,False,40.294,"LINESTRING (113.9829062 22.5558824, 113.9828511 22.5558228, 113.9827599 22.5557708, 113.982574 22.5557018)",,,
1722822896,1722823003,0,160220798,False,,深云西二路,tertiary,True,19.676,"LINESTRING (113.9829497 22.5538608, 113.9827962 22.5539667)",,,
1722822896,1722822989,0,228041661,True,,深云路,primary,False,164.688,"LINESTRING (113.9829497 22.5538608, 113.983003 22.5539663, 113.9830528 22.5540942, 113.9830944 22.5542327, 113.9831235 22.5543745, 113.9831489 22.5545706, 113.9831654 22.55473, 113.983183 22.554965, 113.9831942 22.5551506, 113.9832009 22.5553121)",,,
1722822896,7510804333,0,270683507,False,,,unclassified,False,55.64,"LINESTRING (113.9829497 22.5538608, 113.9830858 22.5538521, 113.9833274 22.5537455, 113.9834621 22.5537194)",,,
1722822969,10241989444,0,160220796,True,,南坪快速路,trunk,False,35.96,"LINESTRING (113.9831472 22.555983, 113.9831684 22.5563058)",3,,
1722822985,1722822896,0,228041661,True,,深云路,primary,False,488.06800000000004,"LINESTRING (113.9800614 22.5503784, 113.981347 22.5518791, 113.9821132 22.5527675, 113.9827043 22.5534966, 113.9827984 22.5536265, 113.9828682 22.5537299, 113.9829497 22.5538608)",,,
1722822989,7510401557,0,228041661,True,,深云路,primary,False,38.573,"LINESTRING (113.9832009 22.5553121, 113.9832097 22.5556589)",,,
