u,v,key,osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes
278659670,3687655934,0,1012130745,True,香梅路,primary,False,6.522,"LINESTRING (114.033416 22.553516, 114.0334493 22.5535112, 114.0334791 22.5535117)",,
278659670,7975286298,0,1012130746,True,香梅路,secondary,False,52.17700000000001,"LINESTRING (114.033416 22.553516, 114.0334094 22.5534842, 114.0334069 22.5534502, 114.0334083 22.5534209, 114.033412 22.5533909, 114.033475 22.5530526)",,
295526887,2530612268,0,26967986,False,,residential,False,114.96,"LINESTRING (114.0248726 22.5566535, 114.024639 22.5576646)",,
295526887,7983583722,0,26967986,False,,residential,True,89.85600000000001,"LINESTRING (114.0248726 22.5566535, 114.0249426 22.5562317, 114.0250111 22.5559359, 114.0250258 22.5558582)",,
295526887,295526893,0,245962646,False,,residential,False,173.942,"LINESTRING (114.0248726 22.5566535, 114.0254333 22.5567542, 114.0251788 22.557764)",,
295526893,2530612286,0,245962641,False,,residential,False,126.251,"LINESTRING (114.0251788 22.557764, 114.0263812 22.5580009)",,
295526893,2530612268,0,245962641,False,,residential,True,56.522,"LINESTRING (114.0251788 22.557764, 114.024639 22.5576646)",,
295526893,295526887,0,245962646,False,,residential,True,173.942,"LINESTRING (114.0251788 22.557764, 114.0254333 22.5567542, 114.0248726 22.5566535)",,
295526971,7983583614,0,364718560,True,香梅路,secondary,False,303.485,"LINESTRING (114.0293474 22.5567015, 114.0291805 22.5568242, 114.029143 22.5568517, 114.0285534 22.5572739, 114.0270472 22.5584149)",,
295526971,3687655962,0,1077629926,True,侨香路,primary,False,20.756,"LINESTRING (114.0293474 22.5567015, 114.0292882 22.5566862, 114.0291512 22.5566568)",,
295526981,2530612286,0,245962641,False,,residential,True,85.667,"LINESTRING (114.0272038 22.5581292, 114.0263812 22.5580009)",,
295526981,2528798896,0,364718561,True,香梅路,secondary,False,211.781,"LINESTRING (114.0272038 22.5581292, 114.027867 22.5576306, 114.0288033 22.5569269)",,
582492849,6317284715,0,25565889,True,侨香路,primary,False,348.485,"LINESTRING (114.0238771 22.5555075, 114.0241509 22.5555317, 114.0243348 22.5555513, 114.0245246 22.5555787, 114.0247409 22.5556124, 114.0249268 22.5556423, 114.0272112 22.5560809)",,
582492849,7998551625,0,227875240,False,,residential,True,204.661,"LINESTRING (114.0238771 22.5555075, 114.0238805 22.5553541, 114.0238954 22.5552705, 114.0239129 22.5552019, 114.0239379 22.5551323, 114.0239613 22.5550671, 114.0240016 22.5549526, 114.0243397 22.5537221)",,
582492998,2528808123,0,245744472,False,,unclassified,False,38.485,"LINESTRING (114.0222941 22.5556804, 114.0222983 22.5557488, 114.0222074 22.5560134)",,
1722054763,7979925154,0,996207970,True,莲花路,primary,False,76.165,"LINESTRING (114.0336513 22.5535979, 114.0341733 22.5540845)",,
2042459422,7983578046,0,856212677,True,景田北五街,residential,False,5.949,"LINESTRING (114.030252 22.5593964, 114.0302134 22.5593565)",20,
2323667223,2323667293,0,223463855,False,,residential,False,102.743,"LINESTRING (114.0334922 22.5514254, 114.0333225 22.552336)",,
2323667223,2323667312,0,223463855,False,,residential,True,154.224,"LINESTRING (114.0334922 22.5514254, 114.0335746 22.5509835, 114.0335556 22.5509231, 114.0337004 22.5501155, 114.0337353 22.5500684)",,
2323667223,2323667332,0,223463861,False,,residential,True,58.16700000000001,"LINESTRING (114.0334922 22.5514254, 114.0332766 22.5513912, 114.0332257 22.5513813, 114.0331535 22.5513972, 114.0331023 22.551416, 114.0330299 22.5514234, 114.0329417 22.5513948)",,
2323667226,2323667332,0,223463856,False,,residential,False,10.91,"LINESTRING (114.0328434 22.5514153, 114.0328738 22.551421, 114.032916 22.5514124, 114.0329417 22.5513948)",,
2323667226,2323667332,1,223463856,False,,residential,True,46.849000000000004,"LINESTRING (114.0328434 22.5514153, 114.0328185 22.5514017, 114.0327989 22.5513804, 114.0327867 22.5513468, 114.0327884 22.5513198, 114.0327997 22.5512941, 114.0328106 22.551281, 114.032835 22.551264, 114.0328673 22.5512552, 114.0328987 22.5512574, 114.0329198 22.5512652, 114.0329447 22.551284, 114.0329542 22.5512965, 114.032965 22.5513248, 114.0329652 22.5513497, 114.0329549 22.5513781, 114.0329417 22.5513948)",,
