u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes
279077946,7967774266,0,996750284,True,新洲路,primary,False,24.751,"LINESTRING (114.043872 22.5567817, 114.0437949 22.5569926)",
279077946,564083084,0,996207971,True,莲花路,primary,False,40.835,"LINESTRING (114.043872 22.5567817, 114.0439515 22.5568144, 114.0440249 22.5568514, 114.0441279 22.5569089, 114.0442141 22.5569669)",
503465656,7962005295,0,996188213,True,益田路,secondary,False,23.427,"LINESTRING (114.0510165 22.5513399, 114.0509729 22.5511331)",3
503465656,7961771614,0,"[996755152, 996188194]",True,红荔路,primary,False,644.034,"LINESTRING (114.0510165 22.5513399, 114.050779 22.5513265, 114.0507265 22.5513238, 114.0457335 22.5508954, 114.0447712 22.5508129)",
503465977,7962005389,0,1052079663,True,金田路,secondary,False,23.8,"LINESTRING (114.0578369 22.5514533, 114.0577792 22.551246)",3
503465977,503465656,0,996755157,True,红荔路,primary,False,700.531,"LINESTRING (114.0578369 22.5514533, 114.0512392 22.55135, 114.0512368 22.5513499, 114.0510165 22.5513399)",
1116492738,9393473363,0,908382934,False,,residential,True,21.079,"LINESTRING (114.0436262 22.5502651, 114.0434286 22.5502138)",1
1116492812,7977056110,0,245930185,True,,primary_link,False,24.34,"LINESTRING (114.0435328 22.5503541, 114.043763 22.5504062)",
1116492812,1116492738,0,245930189,True,商报东一路,residential,False,15.296,"LINESTRING (114.0435328 22.5503541, 114.0435554 22.5503511, 114.0435732 22.5503464, 114.0435894 22.5503376, 114.0436026 22.5503246, 114.0436147 22.550306, 114.0436226 22.5502868, 114.0436262 22.5502651)",
2530277078,7967831889,0,245929522,False,,residential,True,72.551,"LINESTRING (114.0426443 22.5551531, 114.0433503 22.5551779)",
2530277078,7967831889,1,245929523,False,,residential,True,173.421,"LINESTRING (114.0426443 22.5551531, 114.0426561 22.5547477, 114.0427257 22.5546694, 114.0432975 22.5546764, 114.0433605 22.5547383, 114.0433503 22.5551779)",
2530277078,7273823085,0,245929523,False,,residential,False,71.947,"LINESTRING (114.0426443 22.5551531, 114.0426254 22.5557999)",
2530277084,7979256747,0,245929516,False,十一号路,residential,False,7.251,"LINESTRING (114.0412687 22.5522921, 114.0413393 22.5522932)",
2530277084,7979256741,0,855693217,True,景田东路,tertiary,False,34.845000000000006,"LINESTRING (114.0412687 22.5522921, 114.0413425 22.5520754, 114.0413626 22.5520066, 114.041366 22.551992)",
2530277094,7979256766,0,245929524,False,安景道,residential,False,6.665,"LINESTRING (114.0410745 22.5551206, 114.0411394 22.5551212)",
2530277094,7979256757,0,855693217,True,景田东路,tertiary,False,182.472,"LINESTRING (114.0410745 22.5551206, 114.0410821 22.5550331, 114.0410981 22.5541547, 114.0411071 22.55366, 114.041109 22.5535551, 114.0411103 22.5534801)",
2530277098,7979256748,0,245929516,False,十一号路,residential,True,5.68,"LINESTRING (114.0424858 22.5523114, 114.0424305 22.5523105)",
2530277098,7979256882,0,855693215,True,七号路,residential,False,120.482,"LINESTRING (114.0424858 22.5523114, 114.0424594 22.5533174, 114.0424573 22.5533946)",
2530277113,7967831889,0,245929522,False,,residential,False,20.457,"LINESTRING (114.0435492 22.5551882, 114.0433503 22.5551779)",
2530277113,7967831842,0,854392422,False,商报东二路,residential,False,126.03799999999998,"LINESTRING (114.0435492 22.5551882, 114.0435441 22.5552443, 114.0435335 22.5553324, 114.0435221 22.5554276, 114.0435076 22.55552, 114.0434859 22.5556363, 114.0434634 22.5557559, 114.0434443 22.5558486, 114.0434329 22.5558919, 114.0434206 22.5559389, 114.0433237 22.5563007)",2
2530277113,7979256754,0,854392422,False,商报东二路,residential,True,188.046,"LINESTRING (114.0435492 22.5551882, 114.0435561 22.5550976, 114.0435906 22.5534976)",2
2530277142,7967831896,0,245929518,False,,residential,True,51.389,"LINESTRING (114.0420273 22.5546577, 114.0420199 22.5551198)",
2530277142,7967831883,0,854392423,False,,residential,True,109.564,"LINESTRING (114.0420273 22.5546577, 114.0425885 22.5546653, 114.042578 22.5551322)",
2530277142,2530277169,0,854392425,False,,residential,False,89.69399999999999,"LINESTRING (114.0420273 22.5546577, 114.0412841 22.5546451, 114.041154 22.554643)",
2530277169,7979256766,0,245929530,True,景田东路,tertiary,False,53.214999999999996,"LINESTRING (114.041154 22.554643, 114.0411486 22.5550032, 114.0411438 22.5550825, 114.0411394 22.5551212)",
