u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,junction
1305552293,7917061924,0,848445075,4,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,False,True,21.531,"LINESTRING (114.0794952 22.5009631, 114.0796105 22.5011248)",
1305552293,1305552337,0,"[115592693, 157803670]","['1', '2']",東永安路 Tung Wing On Road,unclassified,False,True,848.847,"LINESTRING (114.0794952 22.5009631, 114.0793267 22.501023, 114.0785884 22.5013953, 114.0785046 22.5014345, 114.078166 22.5016011, 114.0780916 22.5016377, 114.0778806 22.5016494, 114.0778606 22.5016408, 114.0778428 22.5016306, 114.0778206 22.5016156, 114.0775147 22.5013762, 114.0774954 22.5013628, 114.0774777 22.5013526, 114.077456 22.5013424, 114.0774339 22.501335, 114.0774131 22.5013322, 114.0773959 22.5013323, 114.0773748 22.5013341, 114.0773492 22.5013379, 114.077315 22.5013445, 114.0771844 22.5013754, 114.0771577 22.5013809, 114.0771323 22.5013845, 114.0771074 22.5013859, 114.0770832 22.5013856, 114.0770627 22.5013837, 114.077045 22.5013801, 114.0770294 22.5013748, 114.0770154 22.5013676, 114.0770023 22.5013579, 114.076988 22.5013441, 114.0769735 22.5013257, 114.076961 22.5013066, 114.0769477 22.5012819, 114.0769367 22.5012573, 114.0769291 22.5012346, 114.0769019 22.5011439, 114.0768932 22.5011235, 114.0768851 22.501108, 114.076876 22.5010965, 114.0768649 22.5010893, 114.0768465 22.5010818, 114.0768227 22.5010778, 114.0767896 22.5010751, 114.0761584 22.5011353, 114.0761307 22.5011589, 114.0761158 22.5012022, 114.0761243 22.5012573, 114.0762116 22.5013163, 114.076284 22.501389, 114.0763649 22.5014992, 114.0764522 22.5016093, 114.0764717 22.5017269, 114.076434 22.50191, 114.0763642 22.5020488, 114.0762276 22.5021927, 114.0758922 22.5024007, 114.075624 22.5024849, 114.0753343 22.5024948, 114.0749963 22.5024304, 114.0747281 22.5022867, 114.0743043 22.5019992, 114.0742346 22.50191, 114.0742052 22.5017591, 114.0743125 22.5016401, 114.0744949 22.5015187, 114.0747175 22.5014815)",
1305552293,1492215994,0,442562243,2,青山公路－新田段 Castle Peak Road – San Tin,secondary,False,True,89.833,"LINESTRING (114.0794952 22.5009631, 114.0793749 22.5007946, 114.0792808 22.5005982, 114.0792204 22.5004466, 114.0791526 22.5002256)",
1305552337,1305552293,0,"[115592693, 157803670]","['1', '2']",東永安路 Tung Wing On Road,unclassified,False,False,848.8470000000001,"LINESTRING (114.0747175 22.5014815, 114.0744949 22.5015187, 114.0743125 22.5016401, 114.0742052 22.5017591, 114.0742346 22.50191, 114.0743043 22.5019992, 114.0747281 22.5022867, 114.0749963 22.5024304, 114.0753343 22.5024948, 114.075624 22.5024849, 114.0758922 22.5024007, 114.0762276 22.5021927, 114.0763642 22.5020488, 114.076434 22.50191, 114.0764717 22.5017269, 114.0764522 22.5016093, 114.0763649 22.5014992, 114.076284 22.501389, 114.0762116 22.5013163, 114.0761243 22.5012573, 114.0761158 22.5012022, 114.0761307 22.5011589, 114.0761584 22.5011353, 114.0767896 22.5010751, 114.0768227 22.5010778, 114.0768465 22.5010818, 114.0768649 22.5010893, 114.076876 22.5010965, 114.0768851 22.501108, 114.0768932 22.5011235, 114.0769019 22.5011439, 114.0769291 22.5012346, 114.0769367 22.5012573, 114.0769477 22.5012819, 114.076961 22.5013066, 114.0769735 22.5013257, 114.076988 22.5013441, 114.0770023 22.5013579, 114.0770154 22.5013676, 114.0770294 22.5013748, 114.077045 22.5013801, 114.0770627 22.5013837, 114.0770832 22.5013856, 114.0771074 22.5013859, 114.0771323 22.5013845, 114.0771577 22.5013809, 114.0771844 22.5013754, 114.077315 22.5013445, 114.0773492 22.5013379, 114.0773748 22.5013341, 114.0773959 22.5013323, 114.0774131 22.5013322, 114.0774339 22.501335, 114.077456 22.5013424, 114.0774777 22.5013526, 114.0774954 22.5013628, 114.0775147 22.5013762, 114.0778206 22.5016156, 114.0778428 22.5016306, 114.0778606 22.5016408, 114.0778806 22.5016494, 114.0780916 22.5016377, 114.078166 22.5016011, 114.0785046 22.5014345, 114.0785884 22.5013953, 114.0793267 22.501023, 114.0794952 22.5009631)",
1492215994,2663218698,0,135960946,1,,unclassified,False,False,271.14,"LINESTRING (114.0791526 22.5002256, 114.0791084 22.5002354, 114.0783346 22.5001794, 114.0777901 22.5001329, 114.0775231 22.5001248, 114.0771264 22.5002025, 114.0768297 22.5003154, 114.0766916 22.5004019, 114.0765837 22.5004239)",
1492215994,1305552293,0,442562243,2,青山公路－新田段 Castle Peak Road – San Tin,secondary,False,False,89.833,"LINESTRING (114.0791526 22.5002256, 114.0792204 22.5004466, 114.0792808 22.5005982, 114.0793749 22.5007946, 114.0794952 22.5009631)",
1492216024,7917061924,0,157803653,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,True,False,11.068,"LINESTRING (114.0797008 22.5011791, 114.0796105 22.5011248)",
1492216045,1492216050,0,135960952,1,,motorway_link,True,False,10.257,"LINESTRING (114.0799514 22.5015144, 114.0798811 22.5015799)",intersection
1492216045,1492216024,0,157803653,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,True,False,45.331999999999994,"LINESTRING (114.0799514 22.5015144, 114.0798482 22.5013875, 114.0797008 22.5011791)",
1492216050,598503079,0,845874650,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,True,False,10.647,"LINESTRING (114.0798811 22.5015799, 114.0799355 22.5016614)",intersection
