u,v,key,osmid,highway,oneway,reversed,length,name,geometry,ref,lanes,tunnel,maxspeed,bridge
348392309,8212253652,0,302760268,residential,False,True,88.935,,"LINESTRING (114.1198148 22.5520204, 114.1198006 22.5512207)",,,,,
348392309,348392317,0,31309771,tertiary,True,False,151.63600000000002,东门中兴路,"LINESTRING (114.1198148 22.5520204, 114.1197222 22.5520183, 114.1196229 22.5520124, 114.1195327 22.5519989, 114.1194333 22.5519788, 114.1190636 22.5519025, 114.1189985 22.5518925, 114.1189273 22.5518844, 114.1188621 22.5518802, 114.1183541 22.5519155)",,,,,
348392317,348403005,0,684940088,tertiary,False,False,86.387,兴湖路,"LINESTRING (114.1183541 22.5519155, 114.1179832 22.5512182)",,,,,
348392317,349132362,0,31347604,residential,False,True,92.62399999999998,兴湖路,"LINESTRING (114.1183541 22.5519155, 114.1184004 22.5520081, 114.1184197 22.5520515, 114.1184319 22.5520883, 114.118441 22.5521283, 114.1184445 22.5521698, 114.1184438 22.5522064, 114.1184374 22.5522415, 114.1184257 22.5522766, 114.1184054 22.5523127, 114.1183739 22.5523507, 114.1180925 22.5526079)",,,,,
348394489,2623148607,0,558274289,trunk,True,False,18.744,东门中路,"LINESTRING (114.1199 22.55558, 114.1199835 22.5557299)",G205,,,,
348403005,6316689154,0,674501245,residential,False,True,28.928,兴湖路,"LINESTRING (114.1179832 22.5512182, 114.118127 22.5509945)",,,,,
348403005,348392317,0,684940088,tertiary,False,True,86.387,兴湖路,"LINESTRING (114.1179832 22.5512182, 114.1183541 22.5519155)",,,,,
348403005,348403007,0,684940089,tertiary,True,False,33.344,兴湖路,"LINESTRING (114.1179832 22.5512182, 114.1177113 22.5510543)",,,,,
348403007,6316689154,0,674501246,residential,False,False,43.204,兴湖路,"LINESTRING (114.1177113 22.5510543, 114.118127 22.5509945)",,,,,
348403007,2079451101,0,684940089,tertiary,True,False,49.290000000000006,兴湖路,"LINESTRING (114.1177113 22.5510543, 114.1175155 22.5511063, 114.1174324 22.5511373, 114.1172634 22.5512104)",,,,,
348404864,348404867,0,31310701,residential,False,False,191.196,童乐路,"LINESTRING (114.1187416 22.5570987, 114.1181151 22.5581687, 114.1181289 22.5583319, 114.1181173 22.5586711)",,,,,
348404864,2926107782,0,31310701,residential,False,True,308.835,童乐路,"LINESTRING (114.1187416 22.5570987, 114.1187931 22.5568133, 114.1181151 22.555656, 114.1180246 22.555464, 114.1177374 22.5549902, 114.1175388 22.5546125)",,,,,
348404864,5836097957,0,31313273,residential,False,True,201.878,,"LINESTRING (114.1187416 22.5570987, 114.1186386 22.5571066, 114.1178526 22.5571087, 114.1167761 22.5570967)",,,,,
348404867,348404864,0,31310701,residential,False,True,191.19600000000003,童乐路,"LINESTRING (114.1181173 22.5586711, 114.1181289 22.5583319, 114.1181151 22.5581687, 114.1187416 22.5570987)",,,,,
348406478,8258853410,0,44748633,tertiary_link,True,False,31.233,人民北路辅路,"LINESTRING (114.1156704 22.5568555, 114.1157009 22.5569957, 114.1157121 22.5570705, 114.1157183 22.5571326)",,2,,,
348406481,7001101027,0,31312640,residential,True,False,118.049,立新路,"LINESTRING (114.1145812 22.5504386, 114.115717 22.550275)",,,,,
348406481,8552056414,0,31310815,tertiary,False,True,356.98100000000005,人民北路,"LINESTRING (114.1145812 22.5504386, 114.114605 22.5505491, 114.1152094 22.5533625, 114.1152169 22.5534065, 114.1152204 22.5534582, 114.1152169 22.55351, 114.1152157 22.5535467, 114.1152206 22.553591)",,2,,,
348410158,348406481,0,31312640,residential,True,False,105.041,立新路,"LINESTRING (114.1135737 22.5506017, 114.1145812 22.5504386)",,,,,
349132362,348392317,0,31347604,residential,False,False,92.62399999999998,兴湖路,"LINESTRING (114.1180925 22.5526079, 114.1183739 22.5523507, 114.1184054 22.5523127, 114.1184257 22.5522766, 114.1184374 22.5522415, 114.1184438 22.5522064, 114.1184445 22.5521698, 114.118441 22.5521283, 114.1184319 22.5520883, 114.1184197 22.5520515, 114.1184004 22.5520081, 114.1183541 22.5519155)",,,,,
349132362,348394489,0,558274289,trunk,True,False,379.04600000000005,东门中路,"LINESTRING (114.1180925 22.5526079, 114.1187354 22.5536848, 114.1187741 22.5537477, 114.1187963 22.5537839, 114.1199 22.55558)",G205,,,,
349132364,6174423375,0,31404775,trunk,True,False,310.144,东门中路,"LINESTRING (114.1186096 22.5537147, 114.1172245 22.5514123, 114.1171335 22.5512817)",G205,,,,
349204620,2765242286,0,31352163,residential,False,False,35.442,蛟湖路,"LINESTRING (114.1118821 22.5526225, 114.1122051 22.5525102)",,,,,
349204629,7001093849,0,31352163,residential,False,True,52.334,蛟湖路,"LINESTRING (114.1138299 22.5519251, 114.1133513 22.5520868)",,,,,
349204629,348410158,0,31311067,secondary,True,False,149.519,新园路,"LINESTRING (114.1138299 22.5519251, 114.1137858 22.5517488, 114.1137542 22.551588, 114.1135737 22.5506017)",,2,,,
349237339,3070069731,0,31354887,tertiary,True,False,8.397,宝安南路,"LINESTRING (114.1042238 22.5530923, 114.1042092 22.5531666)",,2,,,
349237339,2765186611,0,31354900,secondary,True,False,221.55,红桂路,"LINESTRING (114.1042238 22.5530923, 114.1051442 22.5534138, 114.1052364 22.5534378, 114.1053413 22.5534541, 114.1054472 22.553457, 114.1055442 22.5534503, 114.1056557 22.5534299, 114.1057544 22.5534027, 114.1058498 22.5533638, 114.105956 22.5533097, 114.1060585 22.5532456, 114.1062201 22.5531337)",,2,,,
349237387,349237450,0,31354905,unclassified,False,False,14.076,桂园北街,"LINESTRING (114.1080579 22.555759, 114.1081662 22.5556814)",,,,,
349237387,349237453,0,31354905,unclassified,False,True,19.021,桂园北街,"LINESTRING (114.1080579 22.555759, 114.1079605 22.5559045)",,,,,
349237387,3078109166,0,31354909,residential,False,True,257.762,桂圆北路,"LINESTRING (114.1080579 22.555759, 114.1066856 22.553818)",,,,,
349237450,349237387,0,31354905,unclassified,False,True,14.076,桂园北街,"LINESTRING (114.1081662 22.5556814, 114.1080579 22.555759)",,,,,
349237450,3070071740,0,31354905,unclassified,False,False,358.52000000000004,桂园北街,"LINESTRING (114.1081662 22.5556814, 114.1083152 22.5555378, 114.1083754 22.5554753, 114.1084228 22.5554068, 114.1084513 22.5553116, 114.1084598 22.5552316, 114.1084523 22.5551606, 114.1078594 22.5539252, 114.1073553 22.5528745, 114.1073351 22.5527667)",,,,,
349237450,349237456,0,1034863395,residential,True,False,75.298,,"LINESTRING (114.1081662 22.5556814, 114.1082402 22.5557533, 114.108266 22.5558011, 114.1082775 22.555849, 114.1082785 22.5563245)",,,,,
349237453,349237387,0,31354905,unclassified,False,False,19.021,桂园北街,"LINESTRING (114.1079605 22.5559045, 114.1080579 22.555759)",,,,,
349237453,2647622566,0,"[31354905, 259359562]",unclassified,False,True,417.11600000000004,"['桂园北街', '松园东街']","LINESTRING (114.1079605 22.5559045, 114.1073567 22.5563348, 114.1072479 22.5563856, 114.1071409 22.5563982, 114.1049571 22.556346, 114.1048296 22.5563641, 114.1047264 22.5564009, 114.1046303 22.5564562, 114.1045493 22.5565481, 114.1045166 22.5566324, 114.104499 22.5567477, 114.10449 22.5569144)",,,,,
349237456,8110665639,0,"[31354921, 870670201, 870670202, 870670203, 870670204, 870670205, 870670206]","['living_street', 'residential']",False,False,285.58799999999997,,"LINESTRING (114.1082785 22.5563245, 114.1082701 22.5566988, 114.1086715 22.5567215, 114.1088271 22.5569409, 114.1089581 22.5572585, 114.1089991 22.557667, 114.1091099 22.5578204, 114.109491 22.5578106, 114.1095788 22.5578084, 114.1096335 22.557807, 114.1096816 22.5578057, 114.1097444 22.5578041, 114.1097873 22.557803)",,,yes,,
349237456,349237453,0,31354925,residential,True,False,57.521,,"LINESTRING (114.1082785 22.5563245, 114.1082563 22.5562546, 114.1082264 22.5562108, 114.1081934 22.556168, 114.1079605 22.5559045)",,,,,
349237484,7236155720,0,31354935,residential,False,False,37.446,红桂一街,"LINESTRING (114.1004924 22.5519837, 114.1003867 22.5516614)",,,,,
349237484,7236155717,0,31354900,secondary,True,False,36.632000000000005,红桂路,"LINESTRING (114.1004924 22.5519837, 114.1006719 22.5520225, 114.1008391 22.5520612)",,2,,,
349237516,7236155704,0,31354935,residential,False,True,10.91,红桂一街,"LINESTRING (114.1004156 22.5501124, 114.1004136 22.5502105)",,,,,
349237518,8768362395,0,31354939,tertiary,False,True,20.355,松园路,"LINESTRING (114.1025452 22.5556915, 114.1027434 22.5556943)",,2,,,
349237518,7601178011,0,31354928,residential,False,True,230.90800000000002,松园北街,"LINESTRING (114.1025452 22.5556915, 114.1022175 22.5567211, 114.1021517 22.5569277, 114.101705 22.5575992)",,,,20,
349237518,8768362360,0,31354939,tertiary,False,False,204.629,松园路,"LINESTRING (114.1025452 22.5556915, 114.1023927 22.5556825, 114.1022929 22.5556708, 114.1022073 22.5556576, 114.1021291 22.555642, 114.1020531 22.5556249, 114.1019733 22.5556042, 114.1018895 22.5555795, 114.1016518 22.5554919, 114.1006604 22.5551264)",,2,,,
349237519,8768362360,0,31354939,tertiary,False,True,5.336,松园路,"LINESTRING (114.1006107 22.5551124, 114.1006604 22.5551264)",,2,,,
349237519,2473539026,0,239576235,residential,False,False,217.268,,"LINESTRING (114.1006107 22.5551124, 114.1006216 22.5550227, 114.1006387 22.5549401, 114.1006622 22.5548617, 114.1012659 22.5532576)",,,,,
564275705,3068097607,0,219503251,primary,True,False,9.182,笋岗东路,"LINESTRING (114.1040883 22.5586833, 114.1039989 22.5586816)",,,,,
564275705,3068097600,0,996519927,tertiary,True,False,52.095,宝安北路,"LINESTRING (114.1040883 22.5586833, 114.1040885 22.5591518)",,,,,
564726051,564726071,0,972309918,primary,True,False,137.064,笋岗东路,"LINESTRING (114.1137921 22.5588556, 114.1124575 22.5588358)",,,,,
564726057,564726071,0,"[44426584, 44426583]",primary_link,True,False,182.50500000000002,笋岗东立交,"LINESTRING (114.112064 22.55904, 114.1122282 22.5593405, 114.1122862 22.5594091, 114.1123565 22.5594569, 114.112435 22.5594846, 114.1125219 22.5594883, 114.1126031 22.5594758, 114.1126843 22.559441, 114.1127567 22.5593816, 114.1127993 22.5593132, 114.1128202 22.5592379, 114.1128209 22.5591636, 114.1128041 22.5590943, 114.1127658 22.5590199, 114.1127086 22.558955, 114.1126299 22.5589002, 114.1125606 22.5588699, 114.1124575 22.5588358)",,,,,yes
564726071,564726073,0,"[44426585, 972309918]",primary,True,False,78.001,笋岗东路,"LINESTRING (114.1124575 22.5588358, 114.1124102 22.5588351, 114.111698 22.5588246)",,,,,yes
564726073,564726075,0,44426585,primary,True,False,87.295,笋岗东路,"LINESTRING (114.111698 22.5588246, 114.110848 22.5588121)",,,,,yes
564726073,564726175,0,"[44426593, 44426594, 44426580]",primary_link,True,False,214.45500000000004,笋岗东立交,"LINESTRING (114.111698 22.5588246, 114.1115482 22.5588637, 114.1114263 22.5589329, 114.1113576 22.5589956, 114.1113204 22.5590684, 114.1113083 22.5591555, 114.1113153 22.5592453, 114.1113848 22.5596422, 114.1114133 22.5597034, 114.1114613 22.559761, 114.1115261 22.5598086, 114.1116076 22.5598302, 114.1116914 22.5598356, 114.111787 22.5598211, 114.1118634 22.559789, 114.1119372 22.5597335, 114.1119886 22.5596704, 114.1120234 22.5595947, 114.1120479 22.5594815)",,,,,yes
564726075,726579158,0,"[219503254, 219503259, 44426590]",primary,True,False,235.837,"['笋岗桥', '笋岗东路']","LINESTRING (114.110848 22.5588121, 114.1102376 22.5588003, 114.1093191 22.558782, 114.1085517 22.5587781)",,,,,yes
564726083,564726169,0,"[44426587, 44426591]",primary_link,True,False,267.12899999999996,笋岗东立交,"LINESTRING (114.1110196 22.558669, 114.1111999 22.5586088, 114.1113201 22.5585612, 114.1114059 22.5585057, 114.111466 22.5584423, 114.1115048 22.5583641, 114.1115119 22.5582717, 114.1114942 22.558178, 114.1114515 22.558086, 114.1113325 22.5578766, 114.1111545 22.5576197, 114.1109224 22.5573409, 114.11072 22.557094, 114.1106407 22.5569795, 114.1105273 22.5567964)",,,,,yes
564726083,564726128,0,44426595,primary,True,False,142.801,笋岗东路,"LINESTRING (114.1110196 22.558669, 114.1116976 22.558678, 114.1124101 22.5586875)",,,,,yes
564726128,564727640,0,996625977,primary,True,False,140.162,笋岗东路,"LINESTRING (114.1124101 22.5586875, 114.1137749 22.5587056)",,,,,
