u,v,key,osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,access,bridge
267602126,2278193138,0,218583682,凤凰路,tertiary,False,True,208.377,"LINESTRING (114.1331357 22.5504326, 114.1330473 22.5504453, 114.1329341 22.550425, 114.1327657 22.5503809, 114.1325908 22.5503433, 114.132426 22.5503178, 114.1322239 22.550314, 114.1319851 22.5503363, 114.1318027 22.550371, 114.1316334 22.5504244, 114.1314326 22.5505271, 114.1312154 22.5506686)",,,,,
267602126,3066385392,0,974175110,,residential,False,False,30.806999999999995,"LINESTRING (114.1331357 22.5504326, 114.1331362 22.5505437, 114.1331596 22.5506235, 114.1332133 22.5506904)",,,,,
348390903,348390909,0,31309704,翠园街,residential,False,False,182.58,"LINESTRING (114.1227623 22.5559732, 114.1226177 22.5558222, 114.1224495 22.5556402, 114.122295 22.555339, 114.1221491 22.5548792, 114.1220032 22.5545146)",,,,,
348390903,2310681439,0,822233226,,residential,True,False,138.13500000000002,"LINESTRING (114.1227623 22.5559732, 114.1231382 22.5555598, 114.1234953 22.5551552, 114.1236667 22.5550685)",,,,,
348390909,348390918,0,31309704,翠园街,residential,False,False,231.56799999999998,"LINESTRING (114.1220032 22.5545146, 114.1217607 22.5538611, 114.1214625 22.552961, 114.121173 22.5525985)",,,,,
348390909,348390903,0,31309704,翠园街,residential,False,True,182.57999999999998,"LINESTRING (114.1220032 22.5545146, 114.1221491 22.5548792, 114.122295 22.555339, 114.1224495 22.5556402, 114.1226177 22.5558222, 114.1227623 22.5559732)",,,,,
348390909,348394502,0,31309892,东升街,residential,False,False,240.43699999999998,"LINESTRING (114.1220032 22.5545146, 114.1234022 22.5541341, 114.1242036 22.5544764)",,,,,
348390918,348390923,0,31309704,翠园街,residential,False,False,80.195,"LINESTRING (114.121173 22.5525985, 114.1207276 22.5520061)",,,,,
348390918,348390909,0,31309704,翠园街,residential,False,True,231.56799999999998,"LINESTRING (114.121173 22.5525985, 114.1214625 22.552961, 114.1217607 22.5538611, 114.1220032 22.5545146)",,,,,
348390918,348430504,0,31312674,,residential,False,False,403.9,"LINESTRING (114.121173 22.5525985, 114.1221234 22.5527945, 114.1228858 22.5534193, 114.1239487 22.5535689, 114.1247642 22.5538349)",,,,,
348390923,348390918,0,31309704,翠园街,residential,False,True,80.195,"LINESTRING (114.1207276 22.5520061, 114.121173 22.5525985)",,,,,
348390923,8212253684,0,31309704,翠园街,residential,False,False,104.576,"LINESTRING (114.1207276 22.5520061, 114.1206055 22.5517739, 114.1206043 22.5517448, 114.1206236 22.5517157, 114.1206697 22.5517, 114.1212909 22.5516959)",,,,,
348394502,348430504,0,45664294,文锦中路,primary,True,False,91.664,"LINESTRING (114.1242036 22.5544764, 114.1247642 22.5538349)",,,,,
348394502,348390909,0,31309892,东升街,residential,False,True,240.43699999999998,"LINESTRING (114.1242036 22.5544764, 114.1234022 22.5541341, 114.1220032 22.5545146)",,,,,
348414297,6376760086,0,680980380,,trunk_link,True,False,60.891000000000005,"LINESTRING (114.1259262 22.5525294, 114.1259913 22.5527239, 114.1260396 22.55288, 114.1260962 22.553054)",,,,,
348414297,2883507450,0,684940097,文锦中路,trunk,True,False,28.644,"LINESTRING (114.1259262 22.5525294, 114.1258956 22.5526687, 114.1258404 22.5527723)",G107,,,,
348420427,1126281600,0,996762413,华丽路,tertiary,False,False,67.407,"LINESTRING (114.1302464 22.5548334, 114.1302781 22.5542279)",,1,,,
348420427,3066385755,0,996531092,华丽路,tertiary,False,True,64.602,"LINESTRING (114.1302464 22.5548334, 114.1301785 22.5548933, 114.1297915 22.5552347)",,1,,,
348420427,1126281601,0,996531093,黄贝路,tertiary,False,False,79.082,"LINESTRING (114.1302464 22.5548334, 114.1305667 22.5546028, 114.1309004 22.5544686)",,2,,,
348421871,348390923,0,31309771,东门中兴路,tertiary,True,False,156.913,"LINESTRING (114.1222532 22.5519764, 114.122192 22.5519702, 114.1215026 22.5520179, 114.1207276 22.5520061)",,,,,
348421871,3077980669,0,31311824,乐园路,tertiary,False,False,143.664,"LINESTRING (114.1222532 22.5519764, 114.1222521 22.5519147, 114.1223882 22.5511179, 114.1224034 22.5510291, 114.1224689 22.5507009)",,,,,
348430504,348390918,0,31312674,,residential,False,True,403.90000000000003,"LINESTRING (114.1247642 22.5538349, 114.1239487 22.5535689, 114.1228858 22.5534193, 114.1221234 22.5527945, 114.121173 22.5525985)",,,,,
348430504,6316689155,0,45664294,文锦中路,primary,True,False,152.31300000000002,"LINESTRING (114.1247642 22.5538349, 114.1250397 22.5535222, 114.1255192 22.5529778, 114.1256312 22.5528465, 114.1256844 22.552762)",,,,,
349974439,2632289232,0,996531099,黄贝路,tertiary,False,False,9.084,"LINESTRING (114.1349762 22.5586105, 114.1350239 22.5586793)",,2,,,
349974439,8041937653,0,31416523,怡景路,primary,True,False,130.623,"LINESTRING (114.1349762 22.5586105, 114.1350638 22.5585177, 114.1351012 22.5584782, 114.1358127 22.5577255)",,,60,,
349974439,3066385650,0,996531094,黄贝路,tertiary,False,True,145.646,"LINESTRING (114.1349762 22.5586105, 114.1348852 22.5584756, 114.134236 22.5574932)",,2,,,
567623029,2921843410,0,568832512,文锦中路,primary,True,False,51.232,"LINESTRING (114.1201727 22.5583455, 114.1205617 22.558057)",,,,no,
567623250,567623254,0,44748637,文锦中路,primary,True,False,41.095,"LINESTRING (114.1206986 22.5590635, 114.1206551 22.5591684, 114.1206239 22.559233, 114.1205875 22.5593001, 114.1205247 22.5593953)",,,,,
567623250,567623124,0,996762414,笋岗东路,primary,True,False,32.907,"LINESTRING (114.1206986 22.5590635, 114.1206486 22.5591466, 114.1205825 22.559226, 114.120506 22.5592978)",,,,,
587862862,9199716051,0,568832515,,primary_link,True,False,52.349000000000004,"LINESTRING (114.1212102 22.5577938, 114.121159 22.557872, 114.1211172 22.5579489, 114.1210669 22.558067, 114.1210001 22.5582216)",,,,,yes
588493934,6384755279,0,996625956,沿河北路,trunk,True,False,115.494,"LINESTRING (114.139016 22.5542698, 114.1389678 22.5541395, 114.1389008 22.553986, 114.138819 22.5538002, 114.1387184 22.5535946, 114.138557 22.5533236)",S550,,,,
588498085,588498132,0,46156997,,trunk_link,True,False,239.16199999999998,"LINESTRING (114.1390921 22.5560147, 114.1389185 22.5560677, 114.1387903 22.5561331, 114.1387086 22.5561944, 114.1386436 22.5562708, 114.1385985 22.5563587, 114.1385755 22.5564535, 114.1385757 22.5565507, 114.1385991 22.5566455, 114.1386447 22.5567331, 114.13871 22.5568093, 114.1387919 22.5568703, 114.1388864 22.5569132, 114.1389888 22.5569357, 114.139094 22.5569367, 114.1391969 22.5569163, 114.1392924 22.5568755, 114.1393758 22.5568161, 114.1394429 22.5567413, 114.1394905 22.5566546, 114.1395162 22.5565603, 114.1395188 22.5564632)",,1,,,
588498085,588498209,0,627558751,怡景路,primary,True,False,262.08700000000005,"LINESTRING (114.1390921 22.5560147, 114.1387714 22.5560427, 114.1385145 22.5560679, 114.1383275 22.5560934, 114.1381538 22.5561199, 114.1379976 22.5561492, 114.1378494 22.5561868, 114.137653 22.5562557, 114.1374832 22.5563293, 114.1373311 22.5564117, 114.1371909 22.5565014, 114.1370696 22.5565852, 114.1369334 22.5566921, 114.136775 22.5568315)",,4,60,,
588498132,588498164,0,601616782,沿河北路辅路,primary,True,False,122.845,"LINESTRING (114.1395188 22.5564632, 114.1392644 22.5553837)",S360,,,,
588498164,588498181,0,46157001,,trunk_link,True,False,237.58100000000002,"LINESTRING (114.1392644 22.5553837, 114.139228 22.5552833, 114.1391952 22.5552203, 114.1391362 22.5551546, 114.1390704 22.5551039, 114.1389813 22.5550598, 114.1388881 22.555037, 114.1388036 22.5550309, 114.1387111 22.5550395, 114.1386104 22.5550742, 114.1385327 22.55512, 114.1384482 22.5551844, 114.1383685 22.5552656, 114.1383199 22.5553374, 114.1382861 22.5554372, 114.1382808 22.5555336, 114.1382993 22.5556241, 114.1383369 22.5557036, 114.1383993 22.5557807, 114.1384907 22.555848, 114.1386082 22.5558925, 114.1387439 22.5559057, 114.1388979 22.5559151)",S360,,,,
