u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,bridge,lanes,access,tunnel
588493897,2921643599,0,595870099,True,S360,沿河北路,trunk,False,173.587,"LINESTRING (114.1401106 22.5578559, 114.1404048 22.5590065, 114.140501 22.5593748)",,,,,
588498193,6514668391,0,996625952,False,,罗芳路,secondary,False,40.672,"LINESTRING (114.1439114 22.5554058, 114.1438554 22.5550437)",40,,,,
588498193,9202584160,0,"[681776037, 996635477, 1050532726, 1050532727, 283052698]",True,S360,"['罗沙公路边防通道桥', '罗沙公路']",trunk,False,713.7799999999999,"LINESTRING (114.1439114 22.5554058, 114.1447091 22.5553433, 114.1450034 22.5553208, 114.1452838 22.5553012, 114.1455656 22.55529, 114.1458769 22.5552946, 114.1461694 22.5553134, 114.1464985 22.555359, 114.1468648 22.555417, 114.1482711 22.5557063, 114.1504142 22.5561567, 114.1506635 22.556207, 114.1507491 22.5562292)",,yes,,,
588498482,6315228991,0,46157005,True,S360,罗沙公路,trunk,False,150.44,"LINESTRING (114.1400059 22.5558118, 114.1414658 22.555699)",,,,,
588498546,588493897,0,46157038,True,S360,,trunk_link,False,344.40899999999993,"LINESTRING (114.1422071 22.5557475, 114.1418538 22.5558533, 114.14165 22.5558873, 114.141512 22.5559308, 114.1413904 22.555992, 114.1412627 22.5560777, 114.1410951 22.5562321, 114.1404051 22.5569237, 114.1402911 22.5570725, 114.1402425 22.5571542, 114.1401882 22.5572594, 114.1401596 22.5573474, 114.1401326 22.557467, 114.1401184 22.5576009, 114.1401106 22.5578559)",,,,,
588498546,588498163,0,283052697,True,,罗沙公路,trunk,False,221.701,"LINESTRING (114.1422071 22.5557475, 114.1416435 22.5557622, 114.1400589 22.5559311)",,,,,
598153548,5836240000,0,996635478,True,S360,罗沙公路,trunk,False,200.549,"LINESTRING (114.1512185 22.5563561, 114.1514422 22.5564291, 114.1516621 22.5565214, 114.1520691 22.5567293, 114.1523519 22.556925, 114.152725 22.5571939, 114.1528672 22.5572994)",,,,,
1778957421,1778957423,0,996766355,True,S360,罗沙公路,trunk,False,51.689,"LINESTRING (114.1444056 22.5555614, 114.1439039 22.555599)",,,,,
1778957421,1778957431,0,166444162,True,,罗芳路,trunk_link,False,50.961000000000006,"LINESTRING (114.1444056 22.5555614, 114.1443166 22.5556015, 114.1442561 22.555643, 114.1442147 22.5556967, 114.1441821 22.5557627, 114.1441651 22.5558333, 114.1441613 22.5559197)",,,1,,
1778957423,588498546,0,"[283052696, 646651085, 646651087]",True,S360,"['罗沙公路东深供水管桥', '罗沙公路', '罗沙公路排洪渠桥']",trunk,False,175.02999999999997,"LINESTRING (114.1439039 22.555599, 114.143331 22.5556525, 114.1425121 22.5557257, 114.1422071 22.5557475)",,yes,,,
1778957431,1778957435,0,166444160,False,,罗芳路,secondary,True,90.813,"LINESTRING (114.1441613 22.5559197, 114.1443458 22.5564639, 114.1444255 22.5566991)",,,2,,
1778957431,1778957423,0,166444163,True,,罗芳路,trunk_link,False,46.422,"LINESTRING (114.1441613 22.5559197, 114.1441002 22.555754, 114.1440677 22.5557096, 114.1440225 22.555666, 114.1439782 22.5556382, 114.1439039 22.555599)",,,1,,
1778957432,8643657818,0,97234074,False,,延芳路,tertiary,False,120.17099999999999,"LINESTRING (114.1420586 22.5561193, 114.1426174 22.5562862, 114.1427524 22.5563174, 114.1431829 22.5564169)",,,2,,
