u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge
279961537,1476460594,0,134218042,True,2,trunk_link,False,105.78,"LINESTRING (114.0135251 22.565275, 114.013616 22.5649137, 114.0137583 22.5643484)",,,,
279961537,499558934,0,"[589243215, 517912178, 517912181, 377716599, 377716601]",True,"['3', '2']",trunk,False,534.2049999999999,"LINESTRING (114.0135251 22.565275, 114.0137836 22.5646683, 114.0138573 22.5644839, 114.0139125 22.5643138, 114.0140246 22.5639791, 114.0141182 22.5636558, 114.0141975 22.563366, 114.0142734 22.5630366, 114.0143497 22.5627012, 114.0144092 22.5623473, 114.0144819 22.5619014, 114.0145149 22.5616696, 114.0145808 22.5612285, 114.0146766 22.5606082)",S3111,福龙路,60,yes
499559174,5273698062,0,393911167,True,,trunk,False,564.292,"LINESTRING (114.0196996 22.5602462, 114.018981 22.5602512, 114.0181415 22.5602837, 114.0173735 22.5603097, 114.0166618 22.5603124, 114.0162104 22.5603021, 114.0158627 22.5602788, 114.0151041 22.5602095, 114.0145642 22.5601368, 114.0142217 22.560079)",G107,北环大道,,
499559430,499558934,0,545681201,True,2,trunk_link,False,291.572,"LINESTRING (114.0143004 22.5602416, 114.0140967 22.5602397, 114.0139451 22.5602552, 114.0138266 22.5603003, 114.013728 22.5603712, 114.0136472 22.5604654, 114.0135936 22.5605804, 114.0135754 22.5607105, 114.0135822 22.5608271, 114.0136192 22.5609438, 114.0136928 22.5610505, 114.0137903 22.5611355, 114.0138969 22.5611965, 114.0140299 22.5612302, 114.0141671 22.5612267, 114.0143105 22.5611829, 114.0144335 22.5610954, 114.0145257 22.5609812, 114.0146026 22.5608262, 114.0146766 22.5606082)",,,,
499559430,5273698063,0,996207975,True,1,primary,False,155.258,"LINESTRING (114.0143004 22.5602416, 114.0136971 22.5601501, 114.0129108 22.5600369, 114.0128089 22.5600143)",,北环大道辅路,,
1476460500,1476460518,0,329066209,True,1,trunk_link,False,73.417,"LINESTRING (114.0191755 22.5604034, 114.0184892 22.5605885)",,,,
1476460500,1476460562,0,"[589243220, 545781206, 134218046, 134218047]",True,1,trunk_link,False,589.863,"LINESTRING (114.0191755 22.5604034, 114.018903 22.5604172, 114.0184901 22.560438, 114.0175254 22.5605026, 114.016923 22.5605437, 114.0163625 22.5605829, 114.0159973 22.5606177, 114.0156835 22.5606997, 114.015429 22.5608122, 114.015271 22.5609016, 114.015121 22.5610334, 114.0150265 22.561127, 114.0149454 22.561224, 114.0148393 22.5613835, 114.0147927 22.561494, 114.0147558 22.5616047, 114.0147254 22.5617168, 114.0146974 22.5618505, 114.014646 22.5620661, 114.0145583 22.5623477)",,,,yes
1476460518,8512883941,0,377719593,True,1,primary,False,97.857,"LINESTRING (114.0184892 22.5605885, 114.0179889 22.5605948, 114.017616 22.5606115, 114.0175368 22.560615)",,北环大道辅路,,
1476460562,1476460614,0,"[517912180, 589243222]",True,3,trunk,False,403.543,"LINESTRING (114.0145583 22.5623477, 114.0143916 22.5633645, 114.0143258 22.5636692, 114.0140449 22.5648451, 114.0140013 22.565014, 114.0139446 22.5652014, 114.0138716 22.5654097, 114.013708 22.565885)",S3111,福龙路,,yes
1476460594,499559006,0,"[545681205, 134218037, 545681206]",True,1,trunk_link,False,357.43000000000006,"LINESTRING (114.0137583 22.5643484, 114.0138155 22.5637578, 114.0138412 22.5635937, 114.0139284 22.5631249, 114.0140107 22.562611, 114.0140182 22.5623643, 114.0140042 22.562236, 114.0139773 22.5620666, 114.013928 22.561929, 114.0137133 22.5614849, 114.0135716 22.5612348)",,,,yes
2535930072,5053181226,0,517912183,False,,residential,False,47.646,"LINESTRING (114.0075415 22.5619641, 114.0078995 22.5622367)",,莲塘尾一路,,
2552479791,2552479927,0,248452025,False,,residential,True,16.943,"LINESTRING (114.0034128 22.5655283, 114.00357 22.5655746)",,,,
2552479792,2552479977,0,248452027,False,,residential,True,212.24699999999999,"LINESTRING (114.0052475 22.5671605, 114.0054218 22.5669203, 114.0054889 22.5668633, 114.0057088 22.5667766, 114.0057812 22.5667321, 114.0058241 22.5666776, 114.0058751 22.5665141, 114.0060629 22.565833, 114.0061532 22.5655511)",,,,
2552479841,2552479992,0,248452022,False,,residential,False,18.882,"LINESTRING (114.0052779 22.5642787, 114.0050946 22.5642651)",,,,
2552479841,2552479977,0,248452027,False,,residential,False,189.611,"LINESTRING (114.0052779 22.5642787, 114.0053762 22.5644509, 114.0053709 22.5645326, 114.0053923 22.5647184, 114.0054755 22.5647927, 114.0058885 22.5649933, 114.0061487 22.5651766, 114.0062104 22.5652583, 114.0062211 22.5653302, 114.006197 22.5654144, 114.0061532 22.5655511)",,,,
2552479841,2552479944,0,"[248452018, 248452027]",False,,residential,True,74.01,"LINESTRING (114.0052779 22.5642787, 114.0050678 22.5639679, 114.0048482 22.5637479)",,,,yes
2552479842,2552479944,0,248452024,False,,residential,False,34.927,"LINESTRING (114.0049081 22.5634387, 114.0048482 22.5637479)",,,,
2552479842,5053181252,0,517912058,False,,unclassified,False,393.825,"LINESTRING (114.0049081 22.5634387, 114.0048289 22.5634289, 114.003881 22.5632797, 114.0037798 22.5632671, 114.003608 22.563255, 114.0034787 22.5632802, 114.0030946 22.563719, 114.0028091 22.5642607, 114.0027198 22.56435, 114.0026074 22.5644088, 114.0020898 22.5642221, 114.0019928 22.5641328, 114.0018762 22.564018)",,正尾路,,
2552479842,5053181226,0,517912058,False,,unclassified,True,386.9789999999999,"LINESTRING (114.0049081 22.5634387, 114.0049686 22.5634463, 114.0050933 22.5634463, 114.0052444 22.563394, 114.0053842 22.5633277, 114.0055277 22.5632754, 114.0057052 22.5632823, 114.0058714 22.5633137, 114.0060452 22.5633521, 114.0061963 22.5633661, 114.006287 22.5633556, 114.0063701 22.5633277, 114.0067554 22.5631777, 114.0068687 22.5631533, 114.0069631 22.5631498, 114.0073385 22.5631549, 114.0074436 22.5631469, 114.0075053 22.5631264, 114.0075698 22.5630806, 114.0076127 22.5630294, 114.0076458 22.5629695, 114.0076618 22.5628891, 114.0076681 22.562772, 114.0076701 22.5626773, 114.0076814 22.5626055, 114.0077126 22.5625298, 114.0078995 22.5622367)",,正尾路,,
2552479927,2552479791,0,248452025,False,,residential,False,16.943,"LINESTRING (114.00357 22.5655746, 114.0034128 22.5655283)",,,,
