u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
567623234,3068068013,0,45586091,True,G205,文锦北路,trunk,False,144.826,"LINESTRING (114.118723 22.5627381, 114.1192051 22.5615141)",,
567623234,3068068020,0,302558532,False,,,residential,False,47.465,"LINESTRING (114.118723 22.5627381, 114.1182864 22.5625979)",,
581260691,3068084292,0,302558535,False,,洪湖二街,tertiary,True,35.358,"LINESTRING (114.1184905 22.5636928, 114.1181509 22.5636402)",,
581260691,567623234,0,45586091,True,G205,文锦北路,trunk,False,108.86,"LINESTRING (114.1184905 22.5636928, 114.1186307 22.5630531, 114.118723 22.5627381)",,
2081768536,2885232833,0,1050747497,True,,宝岗路,secondary,False,9.821,"LINESTRING (114.107326 22.5666809, 114.1073004 22.5665958)",,
2081768536,2885232813,0,996519932,True,,梅园路,secondary,False,36.413,"LINESTRING (114.107326 22.5666809, 114.1072259 22.5666599, 114.1071752 22.5666492, 114.1069865 22.5665881)",,
2286531665,7088478145,0,996519933,True,,宝岗路,secondary,False,76.688,"LINESTRING (114.1070364 22.5607793, 114.1069877 22.5610278, 114.1069526 22.5612693, 114.1069296 22.5614616)",,
2286531669,2081768536,0,284629277,True,,梅园路,secondary,False,11.118,"LINESTRING (114.1074329 22.5666968, 114.107326 22.5666809)",,
2286531669,7088478137,0,1050747499,True,,宝岗路,secondary,False,33.236000000000004,"LINESTRING (114.1074329 22.5666968, 114.1074587 22.5667704, 114.1074764 22.566821, 114.1075241 22.5669835)",,
2286531670,8110665637,0,870476405,False,,,residential,False,25.099,"LINESTRING (114.1077065 22.5676921, 114.1079492 22.5676652)",,
2286531670,9201427134,0,393911185,True,,宝岗路,secondary,False,60.29599999999999,"LINESTRING (114.1077065 22.5676921, 114.1077083 22.5678091, 114.1077015 22.5682343)",,
2286531671,3842643310,0,380977103,False,,,residential,False,54.85,"LINESTRING (114.1075935 22.5676451, 114.1070594 22.5676367)",,
2286531671,7088478125,0,219503249,True,,宝岗路,secondary,False,76.824,"LINESTRING (114.1075935 22.5676451, 114.1075491 22.56745, 114.1074122 22.566975)",,
2788962642,3068386742,0,99002501,True,,梅园路,secondary,False,8.564,"LINESTRING (114.1016304 22.5647965, 114.101547 22.5647955)",,
2788962642,9553523472,0,274121645,True,,梨园路,tertiary,False,207.36099999999996,"LINESTRING (114.1016304 22.5647965, 114.101624 22.5649314, 114.1015959 22.5665634, 114.1015952 22.5666077, 114.1015943 22.566661)",2,
2883515633,2883526638,0,"[284630248, 284629275]",True,,,trunk_link,False,263.737,"LINESTRING (114.1170293 22.5683108, 114.1173345 22.5683039, 114.1174177 22.568289, 114.1174938 22.5682696, 114.1175386 22.568247, 114.1175804 22.5682196, 114.1176133 22.5681889, 114.1176381 22.5681516, 114.1176581 22.5681107, 114.1176721 22.5680668, 114.1176791 22.56802, 114.1178312 22.5667365, 114.1178638 22.5665633, 114.1179085 22.5664165)",,yes
2883515637,2885232859,0,"[197984418, 1050747498]",True,,梅园路,secondary,False,936.982,"LINESTRING (114.1162592 22.5681726, 114.1161306 22.5681268, 114.1159725 22.5680571, 114.1158395 22.5679849, 114.115672 22.5678848, 114.1151464 22.5675438, 114.1136673 22.5666226, 114.1133737 22.566448, 114.1131652 22.5663523, 114.1129678 22.5662764, 114.112727 22.5662148, 114.1125165 22.5661817, 114.1122822 22.566176, 114.1120428 22.5661911, 114.1117683 22.566224, 114.1101297 22.5664662, 114.1094495 22.5665623, 114.1087585 22.5666495, 114.1084515 22.5666862, 114.1081991 22.5667052, 114.1079945 22.5667128, 114.1077856 22.566715)",,yes
2883515639,2883515637,0,"[284630257, 284629279]",True,,,secondary_link,False,218.05100000000002,"LINESTRING (114.1172179 22.5698223, 114.1170134 22.5695574, 114.1169758 22.5694905, 114.1169383 22.5694162, 114.11689 22.5692775, 114.1167827 22.5687921, 114.1167344 22.5685914, 114.1167076 22.5685171, 114.1166781 22.5684577, 114.1166399 22.5684005, 114.116603 22.5683636, 114.1165306 22.5683215, 114.1162592 22.5681726)",,yes
2883515639,6080174706,0,972309910,True,,洪湖路,tertiary,False,195.353,"LINESTRING (114.1172179 22.5698223, 114.1170374 22.5696759, 114.1169125 22.5695222, 114.1168277 22.569382, 114.1167738 22.5692313, 114.1167341 22.5690625, 114.1165539 22.5682281)",,
2883515650,7088478167,0,758944554,False,,,residential,True,194.093,"LINESTRING (114.10819 22.5666273, 114.1078427 22.5649115)",,
2883515650,2883515633,0,284629273,True,,梅园路,secondary,False,978.258,"LINESTRING (114.10819 22.5666273, 114.1084414 22.5666085, 114.1087482 22.5665717, 114.1094374 22.5664847, 114.1101166 22.5663888, 114.1117561 22.5661464, 114.1120344 22.5661131, 114.1122804 22.5660976, 114.1125248 22.5661035, 114.1127455 22.5661382, 114.1129955 22.5662021, 114.1132004 22.5662809, 114.1134157 22.5663797, 114.113714 22.5665572, 114.1151945 22.5674792, 114.1157195 22.5678198, 114.1158841 22.5679181, 114.1160124 22.5679878, 114.1161643 22.5680548, 114.1163915 22.5681358, 114.1167364 22.5682456, 114.1169048 22.5682854, 114.1170293 22.5683108)",,yes
2883515672,2883515637,0,197984418,True,,梅园路,secondary,False,119.52,"LINESTRING (114.1173828 22.5684374, 114.1170681 22.5683995, 114.116885 22.5683616, 114.116712 22.5683207, 114.1163624 22.5682094, 114.1162592 22.5681726)",,yes
2883515672,2883526633,0,"[284630250, 284629274]",True,,,trunk_link,False,283.021,"LINESTRING (114.1173828 22.5684374, 114.1171146 22.5684649, 114.1170556 22.5684847, 114.1170127 22.5685095, 114.1169624 22.5685469, 114.1169222 22.5686038, 114.1168953 22.5686633, 114.1168792 22.5687401, 114.1168792 22.5688119, 114.1168927 22.5688911, 114.117016 22.5693716, 114.1170375 22.5694187, 114.1170804 22.5694781, 114.117126 22.5695178, 114.1171662 22.5695376, 114.1172306 22.5695475, 114.1173084 22.5695425, 114.1173674 22.5695302, 114.1174318 22.5695004, 114.1174774 22.5694608, 114.1175096 22.5694212, 114.1175444 22.5693617, 114.1175942 22.5692002, 114.117719 22.5687597)",,yes
