u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ref,lanes
348400298,2921637153,0,31407465,True,怡景路,primary,False,15.979,"LINESTRING (114.13172 22.5619088, 114.1317905 22.5618826, 114.1318627 22.5618516)",,
348400298,9230074577,0,685048789,True,爱国路,trunk,False,43.907,"LINESTRING (114.13172 22.5619088, 114.1316218 22.5617897, 114.1315924 22.5617541, 114.1314812 22.561582)",G107,
348400301,348400298,0,31310353,True,东门北路,primary,False,54.363,"LINESTRING (114.1312051 22.5618611, 114.1313854 22.5619148, 114.1314792 22.5619335, 114.1315613 22.5619366, 114.1316227 22.5619305, 114.13172 22.5619088)",,
348400301,9230074577,0,999910982,True,,trunk_link,False,50.794,"LINESTRING (114.1312051 22.5618611, 114.1312632 22.5618652, 114.1313217 22.5618581, 114.1313818 22.5618374, 114.1314321 22.5617989, 114.1314625 22.5617567, 114.1314812 22.561703, 114.1314889 22.5616496, 114.1314812 22.561582)",,
350286854,4472714139,0,"[996762409, 996762411]",False,黄贝路,tertiary,True,149.18300000000002,"LINESTRING (114.139737 22.5663552, 114.1398083 22.56527, 114.1398185 22.5651141, 114.139789 22.5650197)",,2
1145408314,348400298,0,31311507,True,爱国路,trunk,False,11.896,"LINESTRING (114.1317902 22.5619939, 114.13172 22.5619088)",G107,
1145408314,1983027106,0,996321279,True,东门北路,primary,False,64.114,"LINESTRING (114.1317902 22.5619939, 114.1316935 22.5620259, 114.1316435 22.5620363, 114.1315746 22.5620429, 114.1314861 22.562042, 114.1313964 22.5620371, 114.1313085 22.5620244, 114.1311799 22.5619903)",,
1145409828,3066529092,0,302394740,False,,residential,False,25.522,"LINESTRING (114.1347298 22.5653844, 114.1345883 22.5655731)",,
1145409828,5436817089,0,996321278,True,爱国路,trunk,False,30.482,"LINESTRING (114.1347298 22.5653844, 114.134544 22.5651706)",G107,4
1906994248,2081275108,0,197933464,False,贝丽南路,tertiary,False,228.319,"LINESTRING (114.1224496 22.5619125, 114.122175 22.5639501)",,2
1906994248,9199686574,0,180256241,False,田贝一路,tertiary,True,98.18,"LINESTRING (114.1224496 22.5619125, 114.1226136 22.5619299, 114.1234013 22.5619971)",,2
1983027106,6210847937,0,31404787,True,东门北路,primary,False,59.362,"LINESTRING (114.1311799 22.5619903, 114.1306291 22.5618282)",,
2081275108,9199686599,0,197933462,False,田贝二路,tertiary,True,248.353,"LINESTRING (114.122175 22.5639501, 114.1245893 22.5640837)",,
2081275108,2081768537,0,197933464,False,贝丽南路,tertiary,False,343.331,"LINESTRING (114.122175 22.5639501, 114.1217834 22.5670165)",,2
2081275108,1906994248,0,197933464,False,贝丽南路,tertiary,True,228.319,"LINESTRING (114.122175 22.5639501, 114.1224496 22.5619125)",,2
2081275113,2081275110,0,99002312,True,田贝四路,secondary,False,202.797,"LINESTRING (114.1224634 22.5693732, 114.1215235 22.5691311, 114.1205663 22.5688662)",,
2081768537,2081275108,0,197933464,False,贝丽南路,tertiary,True,343.331,"LINESTRING (114.1217834 22.5670165, 114.122175 22.5639501)",,2
2081768537,6798161694,0,197933464,False,贝丽南路,tertiary,False,56.905,"LINESTRING (114.1217834 22.5670165, 114.121747 22.5673124, 114.1217209 22.567525)",,2
2081768537,9199686557,0,197984419,False,田贝‎三路,tertiary,True,341.455,"LINESTRING (114.1217834 22.5670165, 114.124981 22.5673402, 114.125089 22.5673511)",,2
2081768537,6798161716,0,724860386,False,田贝三路,tertiary,False,106.813,"LINESTRING (114.1217834 22.5670165, 114.1210734 22.5669082, 114.1209624 22.566911, 114.1207991 22.5669451, 114.1207585 22.5669556)",,
2534284031,2883507649,0,972309908,True,爱国路,trunk,False,8.214,"LINESTRING (114.1377349 22.5688905, 114.1376969 22.5688255)",G107;S360,
2883507649,3066530007,0,972309908,True,爱国路,trunk,False,214.792,"LINESTRING (114.1376969 22.5688255, 114.1376525 22.5687578, 114.1375667 22.5686524, 114.1374197 22.5684852, 114.1364611 22.5673944, 114.1364269 22.5673556, 114.1363947 22.5673148)",G107;S360,
2883520325,6798161690,0,197933464,False,贝丽南路,tertiary,True,95.379,"LINESTRING (114.1215348 22.5690394, 114.1216395 22.5681871)",,2
2883520325,5187516406,0,284630443,True,田贝四路,secondary,False,214.079,"LINESTRING (114.1215348 22.5690394, 114.1224894 22.5692888, 114.1235379 22.5695734)",,
2883520329,2883520325,0,284630443,True,田贝四路,secondary,False,100.67,"LINESTRING (114.1205947 22.5687824, 114.1215348 22.5690394)",,
2921637153,2921637200,0,685048787,True,爱国路,trunk,False,9.759,"LINESTRING (114.1318627 22.5618516, 114.1319175 22.5619233)",G107,
2921637153,9655836637,0,685048788,True,怡景路,primary,False,37.87,"LINESTRING (114.1318627 22.5618516, 114.1319507 22.5617995, 114.1319975 22.5617615, 114.1321303 22.561621)",,
