u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,ref
598153437,8042216130,0,996937214,True,莲塘路,tertiary,False,6.988,"LINESTRING (114.1573913 22.5641947, 114.1574593 22.5641971)",,,
598153437,3537597388,0,347453893,False,,residential,False,569.9230000000001,"LINESTRING (114.1573913 22.5641947, 114.1573254 22.5641949, 114.1572852 22.5642009, 114.1572442 22.5642143, 114.1572 22.5642398, 114.1571657 22.5642697, 114.1571361 22.5643036, 114.1571192 22.5643373, 114.1569617 22.5647712, 114.1570637 22.5650482, 114.1570717 22.5662197, 114.1569001 22.5664575, 114.1567183 22.5664749, 114.1565396 22.5664507, 114.1564841 22.5663739, 114.1564548 22.5660785, 114.1559935 22.56592, 114.1558674 22.565063, 114.1559988 22.5645132)",,,
598153437,598153543,0,996937213,True,鹏兴路,tertiary,False,125.287,"LINESTRING (114.1573913 22.5641947, 114.157393 22.5641255, 114.1573941 22.5640819, 114.1573905 22.563068)",,,
598153443,598153445,0,593692068,True,国威路,tertiary,False,109.877,"LINESTRING (114.1584503 22.5667545, 114.1575741 22.5667397, 114.1575371 22.5667391, 114.1573804 22.5667364)",2,,
598153445,2663269066,0,271420751,True,鹏兴路,tertiary,False,6.856,"LINESTRING (114.1573804 22.5667364, 114.1573461 22.5666835)",,,
598153453,8042216129,0,46829118,False,,residential,False,119.005,"LINESTRING (114.1584189 22.5653299, 114.1584374 22.5642598)",,,
598153453,2663269154,0,46829118,False,,residential,True,152.398,"LINESTRING (114.1584189 22.5653299, 114.1584072 22.5667004)",,,
598153466,598153467,0,46829116,False,,residential,False,98.765,"LINESTRING (114.1594102 22.5630979, 114.1584487 22.5630746)",,,
598153466,598153470,0,46829126,False,,residential,False,60.558,"LINESTRING (114.1594102 22.5630979, 114.1594067 22.5636425)",,,
598153466,598153473,0,46829126,False,,residential,True,164.47199999999998,"LINESTRING (114.1594102 22.5630979, 114.1594143 22.5625652, 114.1593499 22.5624661, 114.1592533 22.5624265, 114.1584593 22.5624215)",,,
598153467,598153468,0,46829116,False,,residential,False,100.499,"LINESTRING (114.1584487 22.5630746, 114.1574702 22.5630554)",,,
598153467,598153466,0,46829116,False,,residential,True,98.765,"LINESTRING (114.1584487 22.5630746, 114.1594102 22.5630979)",,,
598153467,598153473,0,46829118,False,,residential,False,72.63,"LINESTRING (114.1584487 22.5630746, 114.1584593 22.5624215)",,,
598153467,598153471,0,46829118,False,,residential,True,60.579,"LINESTRING (114.1584487 22.5630746, 114.1584483 22.5636194)",,,
598153468,598153467,0,46829116,False,,residential,True,100.499,"LINESTRING (114.1574702 22.5630554, 114.1584487 22.5630746)",,,
598153468,598153472,0,996937215,True,鹏兴路,tertiary,False,62.089,"LINESTRING (114.1574702 22.5630554, 114.1574603 22.5636137)",,,
598153470,598153471,0,46829117,False,,residential,False,98.445,"LINESTRING (114.1594067 22.5636425, 114.1584483 22.5636194)",,,
598153470,598153517,0,46829126,False,,residential,False,53.175,"LINESTRING (114.1594067 22.5636425, 114.1594035 22.5641207)",,,
598153470,598153466,0,46829126,False,,residential,True,60.558,"LINESTRING (114.1594067 22.5636425, 114.1594102 22.5630979)",,,
598153471,598153472,0,46829117,False,,residential,False,101.453,"LINESTRING (114.1584483 22.5636194, 114.1574603 22.5636137)",,,
598153471,598153470,0,46829117,False,,residential,True,98.445,"LINESTRING (114.1584483 22.5636194, 114.1594067 22.5636425)",,,
598153471,598153467,0,46829118,False,,residential,False,60.579,"LINESTRING (114.1584483 22.5636194, 114.1584487 22.5630746)",,,
598153471,8042216131,0,46829118,False,,residential,True,65.035,"LINESTRING (114.1584483 22.5636194, 114.1584383 22.5642042)",,,
598153472,598153471,0,46829117,False,,residential,True,101.453,"LINESTRING (114.1574603 22.5636137, 114.1584483 22.5636194)",,,
598153472,8042216130,0,996937215,True,鹏兴路,tertiary,False,64.872,"LINESTRING (114.1574603 22.5636137, 114.1574604 22.5640812, 114.15746 22.5641268, 114.1574593 22.5641971)",,,
598153473,598153467,0,46829118,False,,residential,True,72.63,"LINESTRING (114.1584593 22.5624215, 114.1584487 22.5630746)",,,
598153473,598153513,0,46829126,False,,residential,True,80.414,"LINESTRING (114.1584593 22.5624215, 114.1576762 22.5624166)",,,
598153473,598153466,0,46829126,False,,residential,False,164.47199999999998,"LINESTRING (114.1584593 22.5624215, 114.1592533 22.5624265, 114.1593499 22.5624661, 114.1594143 22.5625652, 114.1594102 22.5630979)",,,
