u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes
564641496,2787061286,0,794405936,True,trunk_link,False,95.148,"LINESTRING (114.0826483 22.5719562, 114.0818871 22.5724442)",,,,
564641536,2787061276,0,222277666,True,trunk_link,False,92.66399999999999,"LINESTRING (114.0800908 22.5724621, 114.0803709 22.5723113, 114.0805152 22.5722154, 114.0808216 22.5719773)",,,,
564641536,564641540,0,1055004295,True,trunk,False,283.938,"LINESTRING (114.0800908 22.5724621, 114.0807823 22.5723279, 114.0811934 22.5722357, 114.0814843 22.572158, 114.0817847 22.5720751, 114.0820177 22.5720042, 114.0822736 22.5719192, 114.0824756 22.571841, 114.0827307 22.5717278)",G107,北环大道,,
564641540,2787061149,0,273906818,True,trunk_link,False,151.173,"LINESTRING (114.0827307 22.5717278, 114.0830623 22.5714672, 114.0831948 22.5713673, 114.0834369 22.5711727, 114.0836653 22.5709922, 114.0838542 22.5708493)",,,,
581064885,6266729989,0,669220270,True,secondary_link,False,24.296999999999997,"LINESTRING (114.0985614 22.5737307, 114.0986225 22.5736831, 114.0987026 22.57366, 114.0987752 22.5736553)",,,,
581064885,581064832,0,"[894250992, 1059457694]",True,secondary,False,283.86199999999997,"LINESTRING (114.0985614 22.5737307, 114.0987349 22.5724681, 114.098746 22.5723467, 114.0988536 22.5711927)",,红岗路,,
581065954,581065958,0,"[888905033, 888905034, 669220277]",True,primary_link,False,186.26499999999996,"LINESTRING (114.0990739 22.5711974, 114.0991367 22.5713145, 114.0991997 22.5714004, 114.0992928 22.5714703, 114.0993816 22.5715058, 114.0995037 22.5715162, 114.0996008 22.5715006, 114.0996852 22.5714696, 114.0997665 22.5714147, 114.0998401 22.5713324, 114.0998693 22.5712288, 114.0998759 22.5711479, 114.0998635 22.5710662, 114.0998423 22.5710171, 114.0997988 22.5709441, 114.0997245 22.5708638, 114.099534 22.5707002)",,,yes,
581065954,4127126162,0,1059457693,True,secondary,False,145.26999999999998,"LINESTRING (114.0990739 22.5711974, 114.0990527 22.5717506, 114.0990527 22.5718822, 114.0990694 22.5725033)",,红岗路,,
581065976,3012450208,0,"[222282173, 669220269]",True,motorway_link,False,130.84300000000002,"LINESTRING (114.0996568 22.5715786, 114.0994611 22.5716292, 114.0994177 22.5716428, 114.0993383 22.5716742, 114.0992524 22.5717282, 114.0991893 22.5717832, 114.0991346 22.5718434, 114.0990865 22.5719254, 114.0990604 22.5720141, 114.0990476 22.5720911, 114.099006 22.5724382)",,,viaduct,
1945547429,1945547375,0,1059457696,True,motorway_link,False,77.227,"LINESTRING (114.09888 22.5714755, 114.0988731 22.5712831, 114.0988303 22.5711246, 114.0986908 22.5708114)",,,yes,
2312616816,2312616887,0,222277670,False,residential,False,85.146,"LINESTRING (114.0832432 22.5767208, 114.0835994 22.5774123)",,,,
2312616816,2312616833,0,888419182,False,residential,False,60.447,"LINESTRING (114.0832432 22.5767208, 114.0829457 22.5762517)",,,,
2312616816,2312616865,0,888419182,False,residential,True,159.54,"LINESTRING (114.0832432 22.5767208, 114.082505 22.5767609, 114.0823817 22.5768055, 114.0822529 22.5769294, 114.082151 22.5771324, 114.0820705 22.5773545)",,,,
2312616833,8259776065,0,888419182,False,residential,False,89.345,"LINESTRING (114.0829457 22.5762517, 114.0824519 22.5755901)",,,,
2312616833,2312616816,0,888419182,False,residential,True,60.447,"LINESTRING (114.0829457 22.5762517, 114.0832432 22.5767208)",,,,
2312616833,2312616852,0,222277674,False,residential,True,230.37300000000002,"LINESTRING (114.0829457 22.5762517, 114.0822341 22.5762359, 114.0815073 22.5769244, 114.0812927 22.577125, 114.0812229 22.5772835)",,,,
2312616839,2312616872,0,222277673,False,residential,True,24.432,"LINESTRING (114.0824019 22.5796656, 114.0822636 22.5798444)",,,,
2312616839,2312616899,0,222277673,False,residential,False,144.545,"LINESTRING (114.0824019 22.5796656, 114.0825184 22.579515, 114.0826526 22.5792747, 114.0827277 22.5790964, 114.0828215 22.5787324, 114.0828376 22.5785813, 114.0828215 22.578455)",,,,
2312616839,2312616841,0,222277675,False,residential,False,533.9800000000001,"LINESTRING (114.0824019 22.5796656, 114.0821751 22.5794679, 114.0821751 22.5794035, 114.0824085 22.5791732, 114.0825909 22.5791212, 114.0826499 22.5790568, 114.0827518 22.5786234, 114.0826955 22.5784401, 114.0823575 22.5779175, 114.082269 22.5779126, 114.0821885 22.5779497, 114.0821376 22.5780364, 114.0818023 22.5787819, 114.08129 22.5785664, 114.0811666 22.5782692, 114.0811156 22.5782147, 114.0808689 22.5781008, 114.080834 22.5780389, 114.0808635 22.5779374, 114.0810727 22.5778309)",,,,
