u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,bridge
2312585010,2312585121,0,222273952,residential,False,False,86.876,"LINESTRING (114.0771835 22.5855107, 114.0779265 22.5851368)",,,
2312585010,2312585087,0,222273973,residential,False,False,50.192,"LINESTRING (114.0771835 22.5855107, 114.0769877 22.5850971)",,,
2312585010,2312585143,0,222273973,residential,False,True,69.579,"LINESTRING (114.0771835 22.5855107, 114.0771057 22.5861323)",,,
2312585047,9181562105,0,739463617,residential,False,True,95.73899999999999,"LINESTRING (114.0715639 22.5858708, 114.0713805 22.5858298, 114.0712681 22.5857857, 114.0711476 22.5857586, 114.0710925 22.5857605, 114.0710374 22.5857625, 114.0709292 22.5857721, 114.070863 22.5857804, 114.070801 22.5857906, 114.070709 22.5858248, 114.0706645 22.5858453)",,,
2312585047,2312585300,0,890745100,residential,False,False,87.789,"LINESTRING (114.0715639 22.5858708, 114.0716107 22.5860001, 114.0717708 22.5865484, 114.0717991 22.5866296)",,,
2312585047,8278552524,0,890745102,residential,False,True,270.53099999999995,"LINESTRING (114.0715639 22.5858708, 114.0716045 22.5858682, 114.0716496 22.5858569, 114.0717454 22.5858273, 114.0718177 22.5858025, 114.0719038 22.585763, 114.0719228 22.5857487, 114.0719295 22.5857307, 114.0719414 22.5856352, 114.0719454 22.5856115, 114.0719616 22.5855916, 114.0720676 22.5855321, 114.0726053 22.5850877, 114.0726399 22.5850627, 114.0726736 22.5850418, 114.072714 22.5850199, 114.0727588 22.5849985, 114.0728042 22.5849796, 114.0728517 22.5849616, 114.0729039 22.5849444, 114.0729687 22.5849259, 114.0731322 22.584888, 114.073176 22.5848793, 114.0732297 22.5848726, 114.0732716 22.5848691, 114.0733119 22.5848689, 114.073358 22.584872, 114.0734007 22.5848782, 114.0734684 22.5848971, 114.0737076 22.5849809, 114.0737583 22.5849959)",环湖一路,,
2312585087,2312585010,0,222273973,residential,False,True,50.192,"LINESTRING (114.0769877 22.5850971, 114.0771835 22.5855107)",,,
2312585087,2312585192,0,222273961,residential,False,False,65.206,"LINESTRING (114.0769877 22.5850971, 114.0768027 22.5850055, 114.0765264 22.5849015, 114.0764003 22.5848891)",,,
2312585087,2312585227,0,222273973,residential,False,False,108.955,"LINESTRING (114.0769877 22.5850971, 114.0770011 22.5850327, 114.0770816 22.5848916, 114.077095 22.5847826, 114.0770736 22.5846836, 114.0769243 22.5841572)",,,
2312585107,2312585201,0,222273950,residential,False,False,234.08300000000003,"LINESTRING (114.0701249 22.5879724, 114.0702844 22.5876394, 114.0703152 22.5875973, 114.0703505 22.5875701, 114.0705549 22.5874637, 114.0706161 22.5874126, 114.0706562 22.5873597, 114.0706783 22.587294, 114.0706828 22.5872315, 114.0706437 22.5870505, 114.0706336 22.5869274, 114.0706484 22.5868924, 114.0706831 22.5868601, 114.0713741 22.5864328)",,,
