u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
358333140,1606824701,0,"[31976873, 668664444, 147463742]",鳳南路 Fung Nam Road,residential,False,False,407.895,"LINESTRING (114.1299519 22.5081786, 114.1298289 22.5079852, 114.1295975 22.5076489, 114.129584 22.5076293, 114.1294702 22.5074612, 114.1293717 22.5073606, 114.1292435 22.5072828, 114.12915 22.5072603, 114.129028 22.5072594, 114.1289406 22.5072716, 114.12842 22.5075165, 114.1283833 22.5075324, 114.1282077 22.5076142, 114.1281639 22.5076346, 114.1278298 22.5078012, 114.1276015 22.507918, 114.127522 22.5079763, 114.1274476 22.5080687, 114.1274181 22.5081739, 114.1274039 22.5082518, 114.12741 22.5083814, 114.127476 22.5087166)",,,
358333140,637882117,0,157735140,天平路 Tin Ping Road,tertiary,False,True,372.6830000000001,"LINESTRING (114.1299519 22.5081786, 114.1301372 22.5080776, 114.1308328 22.5077329, 114.1309198 22.5076898, 114.131148 22.5075661, 114.1313666 22.5074149, 114.1314825 22.5072958, 114.1316047 22.5071426, 114.1316562 22.5070659, 114.131702 22.5069727, 114.1317665 22.5068102, 114.1318165 22.5066921, 114.1318604 22.5065527, 114.1318835 22.5064441, 114.1320268 22.5058218, 114.1320499 22.5057234)",,,
358333140,358333211,0,668664443,天平路 Tin Ping Road,tertiary,False,False,273.858,"LINESTRING (114.1299519 22.5081786, 114.1293225 22.5086073, 114.1289669 22.5088419, 114.1286917 22.5090161, 114.1283544 22.5091786, 114.128007 22.5092993, 114.1278964 22.5093279, 114.127655 22.5093762)",,,
358333211,1606824701,0,147463742,鳳南路 Fung Nam Road,residential,False,True,75.62,"LINESTRING (114.127655 22.5093762, 114.12761 22.5092247, 114.127476 22.5087166)",,,
358333211,358333140,0,668664443,天平路 Tin Ping Road,tertiary,False,True,273.858,"LINESTRING (114.127655 22.5093762, 114.1278964 22.5093279, 114.128007 22.5092993, 114.1283544 22.5091786, 114.1286917 22.5090161, 114.1289669 22.5088419, 114.1293225 22.5086073, 114.1299519 22.5081786)",,,
358333211,5221712404,0,800614954,天平路 Tin Ping Road,tertiary,False,False,95.675,"LINESTRING (114.127655 22.5093762, 114.1274111 22.5094247, 114.1267446 22.5095578)",,,
358334697,1599358847,0,146667670,天平路 Tin Ping Road,tertiary,False,True,8.048,"LINESTRING (114.1357009 22.502239, 114.1357636 22.5021956)",,,
358334697,5138656090,0,147463761,馬適路 Ma Sik Road,secondary,True,False,537.984,"LINESTRING (114.1357009 22.502239, 114.1357948 22.5023542, 114.1358146 22.5023771, 114.1362623 22.5028473, 114.1363438 22.5029329, 114.1364171 22.50301, 114.1367409 22.50335, 114.1368104 22.5034106, 114.1368854 22.5034653, 114.1369655 22.5035135, 114.1370499 22.5035549, 114.1371379 22.5035892, 114.137229 22.503616, 114.1373175 22.5036345, 114.137417 22.5036467, 114.1375125 22.5036503, 114.1376079 22.503646, 114.137658 22.5036396, 114.1377026 22.5036338, 114.137754 22.5036228, 114.1377957 22.5036139, 114.1378864 22.5035863, 114.1379756 22.5035537, 114.1386546 22.5032024, 114.1398803 22.5025683, 114.1398951 22.5025606, 114.1399897 22.5025117)",2,,
358334697,637882117,0,"[443149130, 443149131, 443153038]",天平路 Tin Ping Road,tertiary,False,False,553.8979999999999,"LINESTRING (114.1357009 22.502239, 114.1356367 22.5022984, 114.135604 22.5023268, 114.1355932 22.502336, 114.1355569 22.5023673, 114.1351515 22.5027172, 114.1351319 22.5027346, 114.1345889 22.5032177, 114.1344703 22.5033187, 114.133757 22.5039596, 114.1336391 22.5040518, 114.1331833 22.504361, 114.1330988 22.5044123, 114.1328715 22.5045365, 114.1325158 22.5047201, 114.1324089 22.5048159, 114.132305 22.5049438, 114.1321984 22.5051569, 114.1321013 22.5055336, 114.1320723 22.5056462, 114.1320499 22.5057234)",2,,
598635496,598635497,0,147463716,彩園路 Choi Yuen Road,secondary,True,False,14.829,"LINESTRING (114.123556 22.5031204, 114.1234117 22.503117)",,,
