osmid,y,x,highway,street_count,geometry
352965781,22.5273745,114.0385653,traffic_signals,4,POINT (114.0385653 22.5273745)
352965797,22.5254015,114.0387881,,4,POINT (114.0387881 22.5254015)
498857670,22.5263526,114.0325917,,4,POINT (114.0325917 22.5263526)
498857685,22.5284642,114.0287734,,3,POINT (114.0287734 22.5284642)
498857714,22.5298648,114.0267647,,3,POINT (114.0267647 22.5298648)
498877494,22.526287,114.0327119,,4,POINT (114.0327119 22.526287)
498877530,22.5289666,114.0280019,,3,POINT (114.0280019 22.5289666)
498877627,22.5235996,114.037575,,4,POINT (114.037575 22.5235996)
498877630,22.5246394,114.0356845,,3,POINT (114.0356845 22.5246394)
1491785460,22.5296044,114.0214167,,3,POINT (114.0214167 22.5296044)
1491845065,22.527482,114.0374399,,4,POINT (114.0374399 22.527482)
1491845092,22.5295001,114.0383133,,4,POINT (114.0383133 22.5295001)
1491845104,22.529883,114.0323559,,3,POINT (114.0323559 22.529883)
1491845106,22.5298911,114.0325697,,3,POINT (114.0325697 22.5298911)
1491845108,22.5299345,114.0334029,,3,POINT (114.0334029 22.5299345)
1491845119,22.5299963,114.0341014,,3,POINT (114.0341014 22.5299963)
2042400913,22.5277343,114.0351952,traffic_signals,4,POINT (114.0351952 22.5277343)
2042400915,22.5293847,114.0372302,,3,POINT (114.0372302 22.5293847)
2042400917,22.5256063,114.0339349,,3,POINT (114.0339349 22.5256063)
2042400930,22.5243101,114.0388935,,3,POINT (114.0388935 22.5243101)
2042400943,22.5259103,114.0364797,,4,POINT (114.0364797 22.5259103)
2042441671,22.5268583,114.0347229,,3,POINT (114.0347229 22.5268583)
2269569877,22.5205156,114.0379865,,3,POINT (114.0379865 22.5205156)
2269569885,22.5201254,114.0387083,,3,POINT (114.0387083 22.5201254)
2269570039,22.522716,114.0332205,,3,POINT (114.0332205 22.522716)
2269570366,22.5203556,114.034988,,3,POINT (114.034988 22.5203556)
2269570697,22.5218152,114.0348121,,3,POINT (114.0348121 22.5218152)
