osmid,y,x,street_count,highway,geometry
310170186,22.5271703,114.0415258,3,,POINT (114.0415258 22.5271703)
310170187,22.5271607,114.0408657,4,,POINT (114.0408657 22.5271607)
498877620,22.522091,114.0403131,3,,POINT (114.0403131 22.522091)
499237746,22.526315,114.0447975,3,,POINT (114.0447975 22.526315)
499256694,22.5299079,114.0446811,3,,POINT (114.0446811 22.5299079)
499287730,22.5211897,114.0419376,4,,POINT (114.0419376 22.5211897)
499287733,22.5212502,114.0418319,4,,POINT (114.0418319 22.5212502)
499374790,22.5296414,114.0514804,3,motorway_junction,POINT (114.0514804 22.5296414)
503466502,22.528209,114.0568985,3,,POINT (114.0568985 22.528209)
1116469159,22.526699,114.0445787,1,,POINT (114.0445787 22.526699)
1116469168,22.528769,114.0425534,3,,POINT (114.0425534 22.528769)
1116469169,22.5289012,114.0437275,3,,POINT (114.0437275 22.5289012)
1116469175,22.5289607,114.0442751,3,,POINT (114.0442751 22.5289607)
1116469186,22.5274569,114.0429565,3,,POINT (114.0429565 22.5274569)
1116469196,22.5275775,114.0451887,1,,POINT (114.0451887 22.5275775)
1116469206,22.5299812,114.0421791,3,,POINT (114.0421791 22.5299812)
1116469218,22.5276666,114.0449253,3,,POINT (114.0449253 22.5276666)
1116469223,22.5266909,114.0448155,3,,POINT (114.0448155 22.5266909)
1129150010,22.5211182,114.0467733,3,,POINT (114.0467733 22.5211182)
1129158411,22.5284144,114.0533998,4,,POINT (114.0533998 22.5284144)
1491845063,22.527334,114.0423911,3,,POINT (114.0423911 22.527334)
1491845096,22.5297251,114.040353,3,,POINT (114.040353 22.5297251)
1491845101,22.5298407,114.0408829,4,,POINT (114.0408829 22.5298407)
1783922699,22.5208733,114.0577715,3,,POINT (114.0577715 22.5208733)
1783922701,22.5209811,114.0588986,3,,POINT (114.0588986 22.5209811)
1783922705,22.5209933,114.0583801,3,,POINT (114.0583801 22.5209933)
1783922716,22.5214018,114.0576923,3,,POINT (114.0576923 22.5214018)
1783922726,22.5216303,114.0589768,3,,POINT (114.0589768 22.5216303)
1783922729,22.5216875,114.0596507,3,,POINT (114.0596507 22.5216875)
1783922784,22.5222391,114.0571773,3,,POINT (114.0571773 22.5222391)
1783922788,22.5222806,114.0571648,3,,POINT (114.0571648 22.5222806)
1783922791,22.5223167,114.0583456,3,,POINT (114.0583456 22.5223167)
1783922793,22.5223264,114.0574178,3,,POINT (114.0574178 22.5223264)
1783922795,22.5223269,114.0589897,4,,POINT (114.0589897 22.5223269)
1783922797,22.5223615,114.0594779,3,,POINT (114.0594779 22.5223615)
1783922800,22.5224284,114.0597424,3,,POINT (114.0597424 22.5224284)
1783922822,22.5225958,114.0574074,3,,POINT (114.0574074 22.5225958)
1783922830,22.5229121,114.056973,1,,POINT (114.056973 22.5229121)
1783922835,22.5236098,114.0592848,3,,POINT (114.0592848 22.5236098)
1783922837,22.523611,114.0593974,3,,POINT (114.0593974 22.523611)
1783922848,22.5236454,114.0579886,3,,POINT (114.0579886 22.5236454)
1783922850,22.5236687,114.0573606,3,,POINT (114.0573606 22.5236687)
1783922854,22.5237032,114.0564348,3,,POINT (114.0564348 22.5237032)
1783922878,22.5251719,114.05842,3,,POINT (114.05842 22.5251719)
1783922881,22.5251838,114.0588865,1,,POINT (114.0588865 22.5251838)
1982884413,22.5290041,114.0484733,3,,POINT (114.0484733 22.5290041)
1982884415,22.5242652,114.0541168,3,,POINT (114.0541168 22.5242652)
2042400935,22.5228165,114.0428103,3,,POINT (114.0428103 22.5228165)
2042407638,22.5249511,114.0415564,3,,POINT (114.0415564 22.5249511)
2042407645,22.5236047,114.0411903,4,,POINT (114.0411903 22.5236047)
2042407651,22.52115,114.0417641,4,,POINT (114.0417641 22.52115)
2042407660,22.5210889,114.0418752,4,,POINT (114.0418752 22.5210889)
2042407662,22.5203027,114.0433033,3,,POINT (114.0433033 22.5203027)
2042441665,22.5261525,114.0413397,3,,POINT (114.0413397 22.5261525)
2268753043,22.5227912,114.0581364,3,,POINT (114.0581364 22.5227912)
2268771702,22.5243809,114.0564256,1,,POINT (114.0564256 22.5243809)
2268995250,22.5299591,114.0480836,3,,POINT (114.0480836 22.5299591)
2268995259,22.5299719,114.0495166,3,,POINT (114.0495166 22.5299719)
2268995262,22.5241764,114.0458403,3,,POINT (114.0458403 22.5241764)
2268995297,22.5244719,114.0467206,3,,POINT (114.0467206 22.5244719)
2268995301,22.5238236,114.044786,3,,POINT (114.044786 22.5238236)
2458982112,22.5287894,114.0513747,3,,POINT (114.0513747 22.5287894)
2530287119,22.5257674,114.0515471,4,,POINT (114.0515471 22.5257674)
2530287123,22.5256716,114.0443254,3,,POINT (114.0443254 22.5256716)
2530287138,22.5297227,114.0448385,3,motorway_junction,POINT (114.0448385 22.5297227)
2868296608,22.5237404,114.0456438,3,,POINT (114.0456438 22.5237404)
2868296617,22.5228548,114.0453962,3,,POINT (114.0453962 22.5228548)
2868296646,22.5231329,114.0448212,3,,POINT (114.0448212 22.5231329)
2868296660,22.5241624,114.0457925,3,,POINT (114.0457925 22.5241624)
3653137211,22.524776,114.0415834,3,,POINT (114.0415834 22.524776)
3679099081,22.5283893,114.0451189,1,,POINT (114.0451189 22.5283893)
4981907891,22.5297579,114.0405247,3,,POINT (114.0405247 22.5297579)
5269888957,22.5287877,114.0512132,2,,POINT (114.0512132 22.5287877)
5269888970,22.5262261,114.0514208,3,,POINT (114.0514208 22.5262261)
5624710429,22.5262154,114.0595358,3,,POINT (114.0595358 22.5262154)
6020564486,22.5209886,114.0423149,3,,POINT (114.0423149 22.5209886)
6020564487,22.5208323,114.042351,3,,POINT (114.042351 22.5208323)
6020564502,22.5214931,114.0413967,3,,POINT (114.0413967 22.5214931)
6033482414,22.5295924,114.0587627,3,,POINT (114.0587627 22.5295924)
6203900689,22.5202838,114.0464379,3,,POINT (114.0464379 22.5202838)
6410194513,22.5279453,114.044911,3,,POINT (114.044911 22.5279453)
6438778593,22.5295053,114.0454065,1,,POINT (114.0454065 22.5295053)
7637868049,22.5285307,114.0525325,3,,POINT (114.0525325 22.5285307)
7710972505,22.5273792,114.0548142,3,,POINT (114.0548142 22.5273792)
7710972529,22.5276971,114.0451859,1,,POINT (114.0451859 22.5276971)
7899265503,22.5279066,114.04505,4,,POINT (114.04505 22.5279066)
7899265504,22.528096,114.0451558,1,,POINT (114.0451558 22.528096)
7963896350,22.5277628,114.0444092,4,,POINT (114.0444092 22.5277628)
8167951092,22.5230088,114.0564442,3,,POINT (114.0564442 22.5230088)
8167951097,22.5222185,114.0565769,1,,POINT (114.0565769 22.5222185)
8167985467,22.5221992,114.0536762,3,,POINT (114.0536762 22.5221992)
8167985470,22.5243587,114.0559828,1,,POINT (114.0559828 22.5243587)
8167985481,22.5222283,114.0545587,3,,POINT (114.0545587 22.5222283)
8167985564,22.5238717,114.0564325,1,,POINT (114.0564325 22.5238717)
8167985588,22.5258432,114.0563476,3,,POINT (114.0563476 22.5258432)
8167985613,22.5258013,114.0536948,3,,POINT (114.0536948 22.5258013)
8167985621,22.5257223,114.0484796,3,,POINT (114.0484796 22.5257223)
8167985624,22.5256736,114.0454863,3,,POINT (114.0454863 22.5256736)
8167985625,22.525676,114.0449448,3,,POINT (114.0449448 22.525676)
8167985636,22.5256985,114.046665,3,,POINT (114.046665 22.5256985)
8167985645,22.5257828,114.0468592,3,,POINT (114.0468592 22.5257828)
8167985649,22.525871,114.0532822,3,,POINT (114.0532822 22.525871)
8167985658,22.525765,114.0452576,3,,POINT (114.0452576 22.525765)
8167985663,22.5284066,114.0468076,3,,POINT (114.0468076 22.5284066)
8167985664,22.5295227,114.0467857,3,,POINT (114.0467857 22.5295227)
8167985701,22.5211655,114.0485561,4,,POINT (114.0485561 22.5211655)
8167985710,22.5258022,114.0485224,3,,POINT (114.0485224 22.5258022)
8167985719,22.5276014,114.0468235,4,,POINT (114.0468235 22.5276014)
8167985720,22.5276274,114.0484948,4,,POINT (114.0484948 22.5276274)
8167985726,22.5290175,114.0495307,4,,POINT (114.0495307 22.5290175)
8167985727,22.5276439,114.0495546,4,,POINT (114.0495546 22.5276439)
8167985753,22.5258176,114.0495854,3,,POINT (114.0495854 22.5258176)
8167985760,22.5212008,114.0510814,3,,POINT (114.0510814 22.5212008)
8167985780,22.5253375,114.0513794,3,,POINT (114.0513794 22.5253375)
8167985788,22.5257566,114.0508575,3,,POINT (114.0508575 22.5257566)
8167985791,22.5276715,114.0513948,3,,POINT (114.0513948 22.5276715)
8167985792,22.5257652,114.0514105,4,,POINT (114.0514105 22.5257652)
8167985804,22.5258371,114.0509363,3,,POINT (114.0509363 22.5258371)
8167985833,22.5262503,114.0515406,3,,POINT (114.0515406 22.5262503)
8167985843,22.5253074,114.0515142,3,,POINT (114.0515142 22.5253074)
8167985854,22.525775,114.0520269,3,,POINT (114.0520269 22.525775)
8167985858,22.525857,114.0572245,3,,POINT (114.0572245 22.525857)
8167985871,22.5258738,114.058292,3,,POINT (114.058292 22.5258738)
8167985873,22.5249579,114.0589347,1,,POINT (114.0589347 22.5249579)
8167985880,22.5245188,114.0584747,3,,POINT (114.0584747 22.5245188)
8167985893,22.5236808,114.0570375,3,,POINT (114.0570375 22.5236808)
8167985894,22.5236581,114.0576459,3,,POINT (114.0576459 22.5236581)
8167985895,22.5236249,114.0585417,4,,POINT (114.0585417 22.5236249)
8168044500,22.5295668,114.0586236,3,,POINT (114.0586236 22.5295668)
8168044501,22.5276264,114.0591438,4,,POINT (114.0591438 22.5276264)
8168044516,22.5259576,114.0592694,3,,POINT (114.0592694 22.5259576)
8168061639,22.5255702,114.0597164,3,,POINT (114.0597164 22.5255702)
8168061641,22.525889,114.0592667,3,,POINT (114.0592667 22.525889)
8168061656,22.5267991,114.0594974,3,,POINT (114.0594974 22.5267991)
8168061659,22.5293057,114.0588382,3,,POINT (114.0588382 22.5293057)
8168061672,22.5276185,114.0592819,4,,POINT (114.0592819 22.5276185)
8168061678,22.5262206,114.0596496,3,,POINT (114.0596496 22.5262206)
8168061742,22.5255634,114.0598224,3,,POINT (114.0598224 22.5255634)
8168061764,22.5259624,114.0596075,4,,POINT (114.0596075 22.5259624)
8168061765,22.5258947,114.0596271,4,,POINT (114.0596271 22.5258947)
8168061766,22.5259646,114.0597169,4,,POINT (114.0597169 22.5259646)
8168061767,22.5258975,114.0597345,4,,POINT (114.0597345 22.5258975)
8169270268,22.5214366,114.0564656,3,,POINT (114.0564656 22.5214366)
8169270274,22.5259245,114.0569786,3,,POINT (114.0569786 22.5259245)
8185629288,22.5205994,114.0415645,3,,POINT (114.0415645 22.5205994)
8289756736,22.5242063,114.0437232,3,,POINT (114.0437232 22.5242063)
8289756737,22.5225682,114.0427984,3,,POINT (114.0427984 22.5225682)
8289756744,22.525344,114.0442958,3,,POINT (114.0442958 22.525344)
8289756746,22.5256722,114.0444644,4,,POINT (114.0444644 22.5256722)
8289756747,22.5257574,114.0445096,4,,POINT (114.0445096 22.5257574)
8289756749,22.521595,114.0421972,3,,POINT (114.0421972 22.521595)
8483293289,22.527658,114.0582371,3,,POINT (114.0582371 22.527658)
8487628351,22.5277017,114.0569124,4,,POINT (114.0569124 22.5277017)
8487628353,22.52642,114.0569585,3,,POINT (114.0569585 22.52642)
8490646154,22.5299668,114.0535395,1,,POINT (114.0535395 22.5299668)
8490646155,22.5299651,114.0537049,3,,POINT (114.0537049 22.5299651)
8490646156,22.5299657,114.0536499,4,,POINT (114.0536499 22.5299657)
8490782023,22.5274124,114.0569233,3,,POINT (114.0569233 22.5274124)
8490782025,22.527375,114.0569246,3,,POINT (114.0569246 22.527375)
8495464684,22.5276398,114.0589026,3,,POINT (114.0589026 22.5276398)
8495464728,22.5264231,114.0574193,3,,POINT (114.0574193 22.5264231)
8495464735,22.5276019,114.057669,3,,POINT (114.057669 22.5276019)
8495464918,22.5275923,114.058237,4,,POINT (114.058237 22.5275923)
8792350041,22.5258543,114.0520287,3,,POINT (114.0520287 22.5258543)
8794485628,22.5285336,114.0515004,3,,POINT (114.0515004 22.5285336)
8869177719,22.5293142,114.0595544,3,,POINT (114.0595544 22.5293142)
8869177731,22.525844,114.0514164,4,,POINT (114.0514164 22.525844)
8869177732,22.5258459,114.0515466,4,,POINT (114.0515466 22.5258459)
8869448090,22.5218368,114.047211,3,,POINT (114.047211 22.5218368)
8869448105,22.5224117,114.047474,3,,POINT (114.047474 22.5224117)
8869448109,22.5226037,114.0485295,3,,POINT (114.0485295 22.5226037)
8869448116,22.5218069,114.0450853,3,,POINT (114.0450853 22.5218069)
8869467017,22.5200682,114.0439961,3,,POINT (114.0439961 22.5200682)
8882319736,22.5206826,114.0564758,4,,POINT (114.0564758 22.5206826)
8987589741,22.5203067,114.0464471,3,,POINT (114.0464471 22.5203067)
8987589756,22.5200235,114.0463328,3,,POINT (114.0463328 22.5200235)
9222802792,22.5249475,114.0439627,3,,POINT (114.0439627 22.5249475)
9222802794,22.5215831,114.0420405,3,,POINT (114.0420405 22.5215831)
9222802797,22.5206448,114.0414527,3,,POINT (114.0414527 22.5206448)
9222802800,22.5266231,114.0447919,3,,POINT (114.0447919 22.5266231)
9222802801,22.5265929,114.0449025,3,,POINT (114.0449025 22.5265929)
9577362646,22.5233062,114.0474339,3,,POINT (114.0474339 22.5233062)
9577362648,22.5233198,114.04852,3,,POINT (114.04852 22.5233198)
9660848459,22.5214905,114.041169,3,,POINT (114.041169 22.5214905)
9726177361,22.5211258,114.047049,3,,POINT (114.047049 22.5211258)
10006651411,22.5212664,114.0415548,3,,POINT (114.0415548 22.5212664)
10006651412,22.5213726,114.0416125,3,,POINT (114.0416125 22.5213726)
10050110834,22.5257569,114.0443708,3,,POINT (114.0443708 22.5257569)
10154495540,22.5295756,114.0513239,3,,POINT (114.0513239 22.5295756)
