osmid,y,x,street_count,highway,ref,geometry
500020948,22.5240798,114.0657568,3,,,POINT (114.0657568 22.5240798)
500020962,22.5294986,114.0682546,4,,,POINT (114.0682546 22.5294986)
500020974,22.5214145,114.0640942,3,motorway_junction,,POINT (114.0640942 22.5214145)
500020980,22.5260982,114.0671417,3,,,POINT (114.0671417 22.5260982)
500020991,22.5297228,114.0631531,4,,,POINT (114.0631531 22.5297228)
500020999,22.5295287,114.0630543,3,,,POINT (114.0630543 22.5295287)
500021035,22.5292791,114.068081,3,,,POINT (114.068081 22.5292791)
503304465,22.5229418,114.0627656,3,,,POINT (114.0627656 22.5229418)
503304545,22.521148,114.0610099,4,,,POINT (114.0610099 22.521148)
503466762,22.5257749,114.0710707,5,,,POINT (114.0710707 22.5257749)
503466998,22.5204229,114.0709631,3,,,POINT (114.0709631 22.5204229)
503467235,22.521103,114.0609403,4,,,POINT (114.0609403 22.521103)
598507913,22.5236891,114.0702934,3,,,POINT (114.0702934 22.5236891)
598508093,22.5287334,114.0679753,3,,,POINT (114.0679753 22.5287334)
598508151,22.5235357,114.0656807,3,motorway_junction,2282,POINT (114.0656807 22.5235357)
598508320,22.5286002,114.0681183,3,,,POINT (114.0681183 22.5286002)
598508344,22.5259529,114.0711341,5,,,POINT (114.0711341 22.5259529)
598508611,22.5230295,114.0700255,3,,,POINT (114.0700255 22.5230295)
1441786491,22.5208812,114.0612611,4,,,POINT (114.0612611 22.5208812)
1441786493,22.5210538,114.0609728,4,,,POINT (114.0609728 22.5210538)
1441786494,22.5210989,114.061045,4,,,POINT (114.061045 22.5210989)
1492216900,22.5202649,114.0717822,3,,,POINT (114.0717822 22.5202649)
1492217229,22.5272128,114.0715903,4,,,POINT (114.0715903 22.5272128)
1492217234,22.5278983,114.0718407,4,,,POINT (114.0718407 22.5278983)
1783922717,22.5214238,114.0605196,1,,,POINT (114.0605196 22.5214238)
1783922767,22.5218137,114.0604168,3,,,POINT (114.0604168 22.5218137)
2376737475,22.5279698,114.0627189,3,,,POINT (114.0627189 22.5279698)
2376737480,22.5276235,114.0619352,3,,,POINT (114.0619352 22.5276235)
2376737497,22.5268297,114.0616787,3,,,POINT (114.0616787 22.5268297)
