osmid,y,x,street_count,ref,geometry
582492781,22.5489483,114.006174,3,,POINT (114.006174 22.5489483)
582492790,22.5468345,114.0026989,3,,POINT (114.0026989 22.5468345)
582493112,22.548897,114.0063656,3,,POINT (114.0063656 22.548897)
1116503122,22.5478267,114.0092662,3,,POINT (114.0092662 22.5478267)
1116503150,22.5444134,114.011699,4,,POINT (114.011699 22.5444134)
1342322984,22.5488809,114.0056742,3,,POINT (114.0056742 22.5488809)
1342323040,22.5479445,114.0046576,3,,POINT (114.0046576 22.5479445)
1342323042,22.5498331,114.0069775,3,,POINT (114.0069775 22.5498331)
1342323044,22.5472425,114.0031659,3,,POINT (114.0031659 22.5472425)
2528818858,22.5409483,114.0111195,1,,POINT (114.0111195 22.5409483)
2528818863,22.5426653,114.0114837,3,,POINT (114.0114837 22.5426653)
2528818901,22.5413685,114.0121202,3,,POINT (114.0121202 22.5413685)
2528818913,22.5402257,114.0105809,3,,POINT (114.0105809 22.5402257)
2528818921,22.5410575,114.0110973,4,,POINT (114.0110973 22.5410575)
2528818944,22.5424215,114.0106508,4,,POINT (114.0106508 22.5424215)
2528818954,22.5417233,114.0082654,3,,POINT (114.0082654 22.5417233)
2528818956,22.5422315,114.0100015,3,,POINT (114.0100015 22.5422315)
2528818970,22.5442976,114.0100164,3,,POINT (114.0100164 22.5442976)
2528997027,22.548099,114.0059065,3,,POINT (114.0059065 22.548099)
2528997044,22.548574,114.0060342,3,,POINT (114.0060342 22.548574)
2528997084,22.5468572,114.0028592,3,,POINT (114.0028592 22.5468572)
2528997110,22.5462827,114.001135,3,,POINT (114.001135 22.5462827)
2528997116,22.5470748,114.0022432,3,,POINT (114.0022432 22.5470748)
2528997127,22.5490326,114.0069998,3,,POINT (114.0069998 22.5490326)
2528997154,22.5479873,114.0051905,3,,POINT (114.0051905 22.5479873)
2528997166,22.5464659,114.0007653,3,,POINT (114.0007653 22.5464659)
2528997176,22.5497546,114.0071275,3,,POINT (114.0071275 22.5497546)
2528997197,22.5468502,114.0001166,5,,POINT (114.0001166 22.5468502)
2532185224,22.5479382,114.0111806,1,,POINT (114.0111806 22.5479382)
2532185255,22.5483215,114.0103207,3,,POINT (114.0103207 22.5483215)
2532185256,22.5476384,114.0109607,1,,POINT (114.0109607 22.5476384)
2532185266,22.5451912,114.0102117,3,,POINT (114.0102117 22.5451912)
2532185269,22.5443866,114.011214,3,,POINT (114.011214 22.5443866)
2532185279,22.548292,114.0006173,1,,POINT (114.0006173 22.548292)
2532185283,22.5465492,114.0123534,3,,POINT (114.0123534 22.5465492)
2532185284,22.5463609,114.0130105,3,,POINT (114.0130105 22.5463609)
2532185287,22.5470631,114.0131505,4,,POINT (114.0131505 22.5470631)
2532185290,22.5466079,114.0128892,1,,POINT (114.0128892 22.5466079)
2532185304,22.5440214,114.0133655,1,,POINT (114.0133655 22.5440214)
2532185305,22.5449361,114.0059456,1,,POINT (114.0059456 22.5449361)
2532185308,22.5457483,114.0116527,1,,POINT (114.0116527 22.5457483)
2532185335,22.5469241,114.0008014,3,,POINT (114.0008014 22.5469241)
2532185343,22.5452068,114.0108626,3,,POINT (114.0108626 22.5452068)
4182043131,22.5457334,114.0114167,1,,POINT (114.0114167 22.5457334)
4182043133,22.5463676,114.0111002,3,,POINT (114.0111002 22.5463676)
4182043134,22.5464747,114.0114224,4,,POINT (114.0114224 22.5464747)
4182043136,22.5466599,114.01095,1,,POINT (114.01095 22.5466599)
5187498614,22.5442794,114.0084013,4,,POINT (114.0084013 22.5442794)
5187499064,22.5451474,114.0080964,3,,POINT (114.0080964 22.5451474)
5198341346,22.548668,114.0019264,3,,POINT (114.0019264 22.548668)
5198341348,22.5470592,114.0020834,3,,POINT (114.0020834 22.5470592)
5269756013,22.5493598,114.0068237,4,,POINT (114.0068237 22.5493598)
5981068144,22.5479377,114.0053555,3,,POINT (114.0053555 22.5479377)
5981068147,22.5474191,114.0051064,3,,POINT (114.0051064 22.5474191)
6562269867,22.5413085,114.0119229,3,,POINT (114.0119229 22.5413085)
6562269869,22.5425455,114.0110743,3,,POINT (114.0110743 22.5425455)
6562269870,22.5411834,114.0115115,4,,POINT (114.0115115 22.5411834)
6562269871,22.5406178,114.0096511,4,,POINT (114.0096511 22.5406178)
6562269874,22.5414747,114.0124694,4,,POINT (114.0124694 22.5414747)
6562269875,22.5408534,114.0104262,4,,POINT (114.0104262 22.5408534)
6562269876,22.5406947,114.0104747,5,,POINT (114.0104747 22.5406947)
6562269879,22.5404323,114.0105576,5,,POINT (114.0105576 22.5404323)
6562269880,22.5401183,114.0103071,3,,POINT (114.0103071 22.5401183)
6562282538,22.5427047,114.0120401,1,,POINT (114.0120401 22.5427047)
6562282554,22.5403979,114.0114066,1,,POINT (114.0114066 22.5403979)
6562282556,22.5408091,114.0110591,1,,POINT (114.0110591 22.5408091)
6562282557,22.5406018,114.0111423,1,,POINT (114.0111423 22.5406018)
6562282559,22.5405584,114.0114391,1,,POINT (114.0114391 22.5405584)
6562282562,22.5425086,114.0121086,3,,POINT (114.0121086 22.5425086)
6562282563,22.5420806,114.0107655,3,,POINT (114.0107655 22.5420806)
6562282564,22.5422353,114.0122041,3,,POINT (114.0122041 22.5422353)
6562282565,22.5418017,114.0108544,3,,POINT (114.0108544 22.5418017)
6562282566,22.541972,114.012296,3,,POINT (114.012296 22.541972)
6562282567,22.5415373,114.0109432,3,,POINT (114.0109432 22.5415373)
6562282568,22.5416881,114.0123952,3,,POINT (114.0123952 22.5416881)
6562282569,22.5413,114.0110296,3,,POINT (114.0110296 22.5413)
6562282571,22.5415266,114.0118473,4,,POINT (114.0118473 22.5415266)
6562282572,22.5414056,114.0114368,4,,POINT (114.0114368 22.5414056)
6562282573,22.541672,114.0113483,4,,POINT (114.0113483 22.541672)
6562282574,22.5418005,114.0117542,4,,POINT (114.0117542 22.5418005)
6562282575,22.5420631,114.011665,4,,POINT (114.011665 22.5420631)
6562282576,22.5419341,114.0112612,4,,POINT (114.0112612 22.5419341)
6562282577,22.5423382,114.0115715,4,,POINT (114.0115715 22.5423382)
6562282578,22.5422105,114.011169,4,,POINT (114.011169 22.5422105)
6824083306,22.5419976,114.0092027,3,,POINT (114.0092027 22.5419976)
7510707047,22.54744,114.0007328,3,,POINT (114.0007328 22.54744)
7510707051,22.5474367,114.0000521,1,,POINT (114.0000521 22.5474367)
7510707057,22.546987,114.0000893,3,,POINT (114.0000893 22.546987)
7510707063,22.5471765,114.0000045,1,,POINT (114.0000045 22.5471765)
7510707064,22.5469806,114.0000283,4,,POINT (114.0000283 22.5469806)
7510707065,22.5472963,114.0000558,3,,POINT (114.0000558 22.5472963)
7510707066,22.5473257,114.0000662,3,,POINT (114.0000662 22.5473257)
7987093012,22.544692,114.0171534,3,,POINT (114.0171534 22.544692)
7987093029,22.5482119,114.0149916,3,,POINT (114.0149916 22.5482119)
7987093033,22.5457763,114.0166161,3,,POINT (114.0166161 22.5457763)
7987093225,22.5449756,114.0135703,3,,POINT (114.0135703 22.5449756)
7987093241,22.5450977,114.0109065,3,,POINT (114.0109065 22.5450977)
7987093250,22.543435,114.0135677,3,,POINT (114.0135677 22.543435)
7987093265,22.5439988,114.0166054,3,,POINT (114.0166054 22.5439988)
7987093274,22.5436618,114.0172366,3,,POINT (114.0172366 22.5436618)
7987093282,22.5430802,114.0127639,3,,POINT (114.0127639 22.5430802)
7987093283,22.5434085,114.0149171,3,,POINT (114.0149171 22.5434085)
7987093294,22.5437322,114.0151637,3,,POINT (114.0151637 22.5437322)
7987093309,22.54407,114.0146269,3,,POINT (114.0146269 22.54407)
7987093319,22.5436878,114.0144058,3,,POINT (114.0144058 22.5436878)
7987093330,22.5435522,114.0143376,3,,POINT (114.0143376 22.5435522)
7987093361,22.5440976,114.0146874,3,,POINT (114.0146874 22.5440976)
7988360992,22.5415382,114.0126786,3,,POINT (114.0126786 22.5415382)
8481330415,22.543009,114.0150572,3,,POINT (114.0150572 22.543009)
8986992861,22.549376,114.0066007,4,,POINT (114.0066007 22.549376)
8986992863,22.5486761,114.0081281,3,,POINT (114.0081281 22.5486761)
8986992870,22.5491164,114.0072841,3,,POINT (114.0072841 22.5491164)
8986992871,22.5494433,114.0066623,4,,POINT (114.0066623 22.5494433)
8986992876,22.5496893,114.0062607,3,,POINT (114.0062607 22.5496893)
8986992882,22.549644,114.0061883,3,,POINT (114.0061883 22.549644)
8986992902,22.5475441,114.0039859,3,,POINT (114.0039859 22.5475441)
8986992910,22.5476636,114.0042056,3,,POINT (114.0042056 22.5476636)
9899895361,22.5400652,114.0168744,3,,POINT (114.0168744 22.5400652)
9902028237,22.540249,114.0134773,3,,POINT (114.0134773 22.540249)
9902028240,22.5403755,114.0140487,3,,POINT (114.0140487 22.5403755)
9902028241,22.5400278,114.0141561,3,,POINT (114.0141561 22.5400278)
9902028242,22.5401935,114.0141201,3,,POINT (114.0141201 22.5401935)
9902028243,22.5403113,114.0145338,3,,POINT (114.0145338 22.5403113)
9902028280,22.5423264,114.0128632,1,,POINT (114.0128632 22.5423264)
9902028281,22.5433013,114.0135011,3,,POINT (114.0135011 22.5433013)
