osmid,y,x,street_count,geometry
279077946,22.5567817,114.043872,4,POINT (114.043872 22.5567817)
503465656,22.5513399,114.0510165,4,POINT (114.0510165 22.5513399)
503465977,22.5514533,114.0578369,4,POINT (114.0578369 22.5514533)
564083084,22.5569669,114.0442141,3,POINT (114.0442141 22.5569669)
1116492738,22.5502651,114.0436262,3,POINT (114.0436262 22.5502651)
1116492812,22.5503541,114.0435328,3,POINT (114.0435328 22.5503541)
2530277078,22.5551531,114.0426443,3,POINT (114.0426443 22.5551531)
2530277084,22.5522921,114.0412687,3,POINT (114.0412687 22.5522921)
2530277094,22.5551206,114.0410745,3,POINT (114.0410745 22.5551206)
2530277098,22.5523114,114.0424858,3,POINT (114.0424858 22.5523114)
2530277113,22.5551882,114.0435492,3,POINT (114.0435492 22.5551882)
2530277142,22.5546577,114.0420273,3,POINT (114.0420273 22.5546577)
2530277169,22.554643,114.041154,3,POINT (114.041154 22.554643)
2530277198,22.5563188,114.0438168,3,POINT (114.0438168 22.5563188)
2530277199,22.5563009,114.0440275,3,POINT (114.0440275 22.5563009)
5832653044,22.5507804,114.0511066,3,POINT (114.0511066 22.5507804)
5832653080,22.550888,114.0579149,3,POINT (114.0579149 22.550888)
5834215792,22.5508128,114.0472522,3,POINT (114.0472522 22.5508128)
5834215800,22.5508614,114.0478824,3,POINT (114.0478824 22.5508614)
7273811035,22.5569194,114.0436026,4,POINT (114.0436026 22.5569194)
7273811043,22.5572018,114.0441408,3,POINT (114.0441408 22.5572018)
7273823085,22.5557999,114.0426254,1,POINT (114.0426254 22.5557999)
7961542885,22.5507593,114.0466438,3,POINT (114.0466438 22.5507593)
7961771614,22.5508129,114.0447712,3,POINT (114.0447712 22.5508129)
7961771617,22.5511411,114.051487,3,POINT (114.051487 22.5511411)
7961771620,22.5512388,114.0573373,3,POINT (114.0573373 22.5512388)
7961786793,22.5505915,114.0447484,3,POINT (114.0447484 22.5505915)
7961786863,22.5508232,114.0577858,3,POINT (114.0577858 22.5508232)
7961786868,22.551253,114.0582826,3,POINT (114.0582826 22.551253)
7962005295,22.5511331,114.0509729,4,POINT (114.0509729 22.5511331)
7962005299,22.5511353,114.0510905,4,POINT (114.0510905 22.5511353)
7962005352,22.5512624,114.0589528,3,POINT (114.0589528 22.5512624)
7962005389,22.551246,114.0577792,4,POINT (114.0577792 22.551246)
7962005395,22.5512472,114.0578953,4,POINT (114.0578953 22.5512472)
7967774254,22.5507766,114.0443237,4,POINT (114.0443237 22.5507766)
7967774259,22.5505551,114.0443248,4,POINT (114.0443248 22.5505551)
7967774265,22.5572852,114.0436551,3,POINT (114.0436551 22.5572852)
7967774266,22.5569926,114.0437949,4,POINT (114.0437949 22.5569926)
7967774270,22.5599795,114.0421183,3,POINT (114.0421183 22.5599795)
7967774274,22.5512201,114.0443162,3,POINT (114.0443162 22.5512201)
7967831807,22.5507429,114.0441271,4,POINT (114.0441271 22.5507429)
7967831812,22.556714,114.0436778,4,POINT (114.0436778 22.556714)
7967831814,22.5572678,114.0434446,3,POINT (114.0434446 22.5572678)
7967831842,22.5563007,114.0433237,3,POINT (114.0433237 22.5563007)
7967831847,22.5564728,114.0431453,3,POINT (114.0431453 22.5564728)
7967831856,22.5508246,114.0436483,3,POINT (114.0436483 22.5508246)
7967831860,22.5564956,114.0433811,3,POINT (114.0433811 22.5564956)
7967831869,22.550591,114.0435132,3,POINT (114.0435132 22.550591)
7967831880,22.550679,114.0438571,3,POINT (114.0438571 22.550679)
7967831883,22.5551322,114.042578,3,POINT (114.042578 22.5551322)
7967831889,22.5551779,114.0433503,3,POINT (114.0433503 22.5551779)
7967831896,22.5551198,114.0420199,4,POINT (114.0420199 22.5551198)
7967831901,22.550539,114.0441315,4,POINT (114.0441315 22.550539)
7977056101,22.5503618,114.0433593,3,POINT (114.0433593 22.5503618)
7977056110,22.5504062,114.043763,3,POINT (114.043763 22.5504062)
7977056150,22.5500949,114.0441399,3,POINT (114.0441399 22.5500949)
7979238441,22.5519388,114.0424388,3,POINT (114.0424388 22.5519388)
7979256663,22.550342,114.0425401,3,POINT (114.0425401 22.550342)
7979256664,22.5503249,114.0424732,3,POINT (114.0424732 22.5503249)
7979256695,22.5500531,114.0414106,3,POINT (114.0414106 22.5500531)
7979256700,22.5500918,114.0415618,3,POINT (114.0415618 22.5500918)
7979256704,22.5519999,114.0414357,3,POINT (114.0414357 22.5519999)
7979256741,22.551992,114.041366,4,POINT (114.041366 22.551992)
