osmid,y,x,ref,highway,street_count,geometry
279961537,22.565275,114.0135251,0,motorway_junction,3,POINT (114.0135251 22.565275)
499558934,22.5606082,114.0146766,,,3,POINT (114.0146766 22.5606082)
499559006,22.5612348,114.0135716,,,3,POINT (114.0135716 22.5612348)
499559174,22.5602462,114.0196996,,,3,POINT (114.0196996 22.5602462)
499559430,22.5602416,114.0143004,,,3,POINT (114.0143004 22.5602416)
1476460500,22.5604034,114.0191755,,,3,POINT (114.0191755 22.5604034)
1476460518,22.5605885,114.0184892,,,3,POINT (114.0184892 22.5605885)
1476460562,22.5623477,114.0145583,,,3,POINT (114.0145583 22.5623477)
1476460594,22.5643484,114.0137583,,,3,POINT (114.0137583 22.5643484)
1476460614,22.565885,114.013708,,,3,POINT (114.013708 22.565885)
2535930072,22.5619641,114.0075415,,,3,POINT (114.0075415 22.5619641)
2552479791,22.5655283,114.0034128,,turning_circle,1,POINT (114.0034128 22.5655283)
2552479792,22.5671605,114.0052475,,turning_circle,1,POINT (114.0052475 22.5671605)
2552479841,22.5642787,114.0052779,,,3,POINT (114.0052779 22.5642787)
2552479842,22.5634387,114.0049081,,,3,POINT (114.0049081 22.5634387)
2552479927,22.5655746,114.00357,,,3,POINT (114.00357 22.5655746)
2552479935,22.5674429,114.0039842,,turning_circle,1,POINT (114.0039842 22.5674429)
2552479944,22.5637479,114.0048482,,,3,POINT (114.0048482 22.5637479)
2552479949,22.5667494,114.0049202,,turning_circle,1,POINT (114.0049202 22.5667494)
2552479977,22.5655511,114.0061532,,,3,POINT (114.0061532 22.5655511)
2552479992,22.5642651,114.0050946,,turning_circle,1,POINT (114.0050946 22.5642651)
5053179212,22.5600493,114.0089231,,,3,POINT (114.0089231 22.5600493)
5053181223,22.5661719,114.0111544,,,4,POINT (114.0111544 22.5661719)
5053181226,22.5622367,114.0078995,,,3,POINT (114.0078995 22.5622367)
5053181252,22.564018,114.0018762,,,3,POINT (114.0018762 22.564018)
5053181274,22.565206,114.0108301,,,3,POINT (114.0108301 22.565206)
5053181275,22.564339,114.0108287,,,3,POINT (114.0108287 22.564339)
5053181284,22.5666655,114.0095432,,,3,POINT (114.0095432 22.5666655)
5053181306,22.5676562,114.007659,,,1,POINT (114.007659 22.5676562)
5053181309,22.5657893,114.0123603,,,3,POINT (114.0123603 22.5657893)
5053181447,22.5679034,114.0114787,,,1,POINT (114.0114787 22.5679034)
5053181448,22.564429,114.0108416,,,3,POINT (114.0108416 22.564429)
5053181472,22.5649318,114.0091301,,,3,POINT (114.0091301 22.5649318)
5053181727,22.5648481,114.0017289,,,1,POINT (114.0017289 22.5648481)
5053181733,22.5632202,114.0020644,,,3,POINT (114.0020644 22.5632202)
5053181747,22.562321,114.0024268,,,1,POINT (114.0024268 22.562321)
5053181755,22.5626818,114.0027003,,,1,POINT (114.0027003 22.5626818)
5053181820,22.5657488,114.0124939,,,3,POINT (114.0124939 22.5657488)
5053181947,22.5623221,114.013954,,,1,POINT (114.013954 22.5623221)
5053181972,22.5613191,114.015467,,,1,POINT (114.015467 22.5613191)
5273698062,22.560079,114.0142217,,motorway_junction,3,POINT (114.0142217 22.560079)
5273698063,22.5600143,114.0128089,,,3,POINT (114.0128089 22.5600143)
8512883930,22.560795,114.0174523,,,3,POINT (114.0174523 22.560795)
8512883931,22.5607225,114.0174536,,,3,POINT (114.0174536 22.5607225)
8512883936,22.5606234,114.017345,,,3,POINT (114.017345 22.5606234)
8512883941,22.560615,114.0175368,,,3,POINT (114.0175368 22.560615)
